,price
2019-02-19,2.649688959121704
2019-02-20,2.5429246211807506
2019-02-21,2.552630662918091
2019-02-22,2.591453989075137
2019-02-23,2.591453989075137
2019-02-24,2.591453989075137
2019-02-25,2.824393358431868
2019-02-26,2.707923859933787
2019-02-27,2.7176296710968018
2019-02-28,2.8049819469451904
2019-03-01,2.7661583145818516
2019-03-02,2.7661583145818516
2019-03-03,2.7661583145818516
2019-03-04,2.7661585807800293
2019-03-05,2.7661585807800293
2019-03-06,2.7661585807800293
2019-03-07,2.620571248777285
2019-03-08,2.436160606876579
2019-03-09,2.436160606876579
2019-03-10,2.436160606876579
2019-03-11,2.445866346359253
2019-03-12,2.445866346359253
2019-03-13,2.436160744379626
2019-03-14,2.6205713748931885
2019-03-15,2.620571241659421
2019-03-16,2.620571241659421
2019-03-17,2.620571241659421
2019-03-18,2.834099292755127
2019-03-19,2.756452827759933
2019-03-20,2.814687728881836
2019-03-21,2.8243935674994325
2019-03-22,2.572042226791382
2019-03-23,2.572042226791382
2019-03-24,2.572042226791382
2019-03-25,2.5623364448547363
2019-03-26,2.504101573106236
2019-03-27,2.5235128681578516
2019-03-28,2.445866346359253
2019-03-29,2.5235129818924755
2019-03-30,2.5235129818924755
2019-03-31,2.5235129818924755
2019-04-01,2.5235130501029315
2019-04-02,2.5041012485108496
2019-04-03,2.5138070583343506
2019-04-04,2.5332187549135745
2019-04-05,2.572042226791382
2019-04-06,2.572042226791382
2019-04-07,2.572042226791382
2019-04-08,2.5623362935883747
2019-04-09,2.524133945418117
2019-04-10,2.299114176876231
2019-04-11,2.416516002579059
2019-04-12,2.259980490295146
2019-04-13,2.259980490295146
2019-04-14,2.259980490295146
2019-04-15,2.2599806785583496
2019-04-16,2.3969492416074374
2019-04-17,2.396949231673687
2019-04-18,2.396949291229248
2019-04-19,2.396949291229248
2019-04-20,2.396949291229248
2019-04-21,2.396949291229248
2019-04-22,2.4458664572046525
2019-04-23,2.6317524909973145
2019-04-24,2.445866474414302
2019-04-25,2.3871657943317026
2019-04-26,2.4360830783843994
2019-04-27,2.4360830783843994
2019-04-28,2.4360830783843994
2019-04-29,2.3088979721069336
2019-04-30,2.39694934044763
2019-05-01,2.4067327976226807
2019-05-02,2.475216815600825
2019-05-03,2.465433359146118
2019-05-04,2.465433359146118
2019-05-05,2.465433359146118
2019-05-06,2.4556501335133745
2019-05-07,2.299114227294922
2019-05-08,2.406732475052617
2019-05-09,2.299114227294922
2019-05-10,2.455649992005478
2019-05-11,2.455649992005478
2019-05-12,2.455649992005478
2019-05-13,2.396949291229248
2019-05-14,2.396949291229248
2019-05-15,2.396949291229248
2019-05-16,2.3969491636224287
2019-05-17,2.2795474529266357
2019-05-18,2.2795474529266357
2019-05-19,2.2795474529266357
2019-05-20,2.2795474529266357
2019-05-21,2.230630299042559
2019-05-22,2.191496506515545
2019-05-23,2.4067327976226807
2019-05-24,2.3675987464509545
2019-05-25,2.3675987464509545
2019-05-26,2.3675987464509545
2019-05-27,2.3675987464509545
2019-05-28,2.3871657848358154
2019-05-29,2.3871657848358154
2019-05-30,2.3871657848358154
2019-05-31,2.445866576100046
2019-06-01,2.445866576100046
2019-06-02,2.445866576100046
2019-06-03,2.3969491236593985
2019-06-04,2.318681240081787
2019-06-05,2.318681240081787
2019-06-06,2.357815463332609
2019-06-07,2.396949291229248
2019-06-08,2.396949291229248
2019-06-09,2.396949291229248
2019-06-10,2.269764117309159
2019-06-11,2.269764117309159
2019-06-12,2.338248500977706
2019-06-13,2.3871657848358154
2019-06-14,2.2012800190905923
2019-06-15,2.2012800190905923
2019-06-16,2.2012800190905923
