,price
2019-02-28,41.95440598258678
2019-03-01,41.94478516224547
2019-03-02,41.94478516224547
2019-03-03,41.94478516224547
2019-03-04,42.28414207291177
2019-03-05,42.34431733276942
2019-03-06,42.038655588513286
2019-03-07,41.846114965665926
2019-03-08,40.99171613015992
2019-03-09,40.99171613015992
2019-03-10,40.99171613015992
2019-03-11,42.236007479528915
2019-03-12,43.321443831783725
2019-03-13,43.86297591028528
2019-03-14,44.26007624597198
2019-03-15,44.488722132151885
2019-03-16,44.488722132151885
2019-03-17,44.488722132151885
2019-03-18,44.717368789823
2019-03-19,45.33108471272051
2019-03-20,44.82084296009983
2019-03-21,45.73302028114427
2019-03-22,47.01339650532469
2019-03-23,47.01339650532469
2019-03-24,47.01339650532469
2019-03-25,46.09161213010793
2019-03-26,46.127711861570674
2019-03-27,45.427354908120996
2019-03-28,45.475485838520555
2019-03-29,45.687287655486024
2019-03-30,45.687287655486024
2019-03-31,45.687287655486024
2019-04-01,46.12290645685442
2019-04-02,45.99053040397646
2019-04-03,46.51038594990899
2019-04-04,46.88102772216354
2019-04-05,47.28054626522288
2019-04-06,47.28054626522288
2019-04-07,47.28054626522288
2019-04-08,47.27333072634412
2019-04-09,48.21195767793272
2019-04-10,47.81725107482381
2019-04-11,48.339528370372626
2019-04-12,47.942395344316424
2019-04-13,47.942395344316424
2019-04-14,47.942395344316424
2019-04-15,47.7931860099468
2019-04-16,48.004984380893234
2019-04-17,48.02423105441567
2019-04-18,48.8858413646967
2019-04-19,48.8858413646967
2019-04-20,48.8858413646967
2019-04-21,48.8858413646967
2019-04-22,48.81605057669939
2019-04-23,49.20112592763897
2019-04-24,49.90631139584087
2019-04-25,49.77875872271458
2019-04-26,49.3142405564913
2019-04-27,49.3142405564913
2019-04-28,49.3142405564913
2019-04-29,49.19391012432461
2019-04-30,48.87140842210407
2019-05-01,50.51280413319414
2019-05-02,50.503182385913796
2019-05-03,50.755894946280776
2019-05-04,50.755894946280776
2019-05-05,50.755894946280776
2019-05-06,49.16744123540844
2019-05-07,49.550111370764974
2019-05-08,48.59222627219422
2019-05-09,48.23120986997865
2019-05-10,47.696978009275135
2019-05-11,47.696978009275135
2019-05-12,47.696978009275135
2019-05-13,45.351027659792535
2019-05-14,45.0369476380204
2019-05-15,45.00312582078852
2019-05-16,45.88255031106956
2019-05-17,45.16257981774915
2019-05-18,45.16257981774915
2019-05-19,45.16257981774915
2019-05-20,44.33871571362372
2019-05-21,44.74944008600103
2019-05-22,44.61413942435868
2019-05-23,43.43995962877702
2019-05-24,43.53660218751483
2019-05-25,43.53660218751483
2019-05-26,43.53660218751483
2019-05-27,43.53660218751483
2019-05-28,43.22734406851254
2019-05-29,42.623338938089354
2019-05-30,42.99299078674584
2019-05-31,42.5774351391925
2019-06-01,42.5774351391925
2019-06-02,42.5774351391925
2019-06-03,42.42522922722978
2019-06-04,42.386572838438674
2019-06-05,44.522339683180235
2019-06-06,44.23241207165557
2019-06-07,45.06110320076749
2019-06-08,45.06110320076749
2019-06-09,45.06110320076749
2019-06-10,46.34159941436761
2019-06-11,47.078475620060594
2019-06-12,46.85861358232424
2019-06-13,47.03982587835779
2019-06-14,46.278781535833225
2019-06-15,46.278781535833225
2019-06-16,46.278781535833225
2019-06-17,46.60493318622168
2019-06-18,47.36598146264048
2019-06-19,48.24299661844071
2019-06-20,48.40970830833974
2019-06-21,48.030383905018
2019-06-22,48.030383905018
2019-06-23,48.030383905018
2019-06-24,47.96756013286937
2019-06-25,47.94099986962416
2019-06-26,47.78153331304853
2019-06-27,48.39037761122267
2019-06-28,48.00139156714963
2019-06-29,48.00139156714963
2019-06-30,48.00139156714963
2019-07-01,49.08619088234746
2019-07-02,48.66097673677571
2019-07-03,49.11276936671343
2019-07-04,49.11276936671343
2019-07-05,49.12968209033054
2019-07-06,49.12968209033054
2019-07-07,49.12968209033054
2019-07-08,48.51600933435358
2019-07-09,48.127026721913495
2019-07-10,48.767277466123026
2019-07-11,49.120016157382445
2019-07-12,48.912240478735626
2019-07-13,48.912240478735626
2019-07-14,48.912240478735626
2019-07-15,49.308459542797486
2019-07-16,49.42925591762678
2019-07-17,49.29879716706054
2019-07-18,49.28671899240652
2019-07-19,49.719176701641366
2019-07-20,49.719176701641366
2019-07-21,49.719176701641366
2019-07-22,49.202151310062376
2019-07-23,50.36426005069135
2019-07-24,50.17339174432748
2019-07-25,50.46814732321809
2019-07-26,50.1274888544306
2019-07-27,50.1274888544306
2019-07-28,50.1274888544306
2019-07-29,50.364257545413494
2019-07-30,50.436741033179885
2019-07-31,52.287405254334175
2019-08-01,51.67857459143183
2019-08-02,49.65637054199482
2019-08-03,49.65637054199482
2019-08-04,49.65637054199482
2019-08-05,47.83469990529749
2019-08-06,47.42879910345856
2019-08-07,47.211360150150746
2019-08-08,48.3686300925413
2019-08-09,48.81916847829873
2019-08-10,48.81916847829873
2019-08-11,48.81916847829873
2019-08-12,48.41175240106335
2019-08-13,48.75127285442709
2019-08-14,49.270267480814944
2019-08-15,49.34301422699286
2019-08-16,49.54188667970358
2019-08-17,49.54188667970358
2019-08-18,49.54188667970358
2019-08-19,51.07945083017883
2019-08-20,51.14250672868976
2019-08-21,51.654234509517295
2019-08-22,51.70273400375798
2019-08-23,50.790855505035736
2019-08-24,50.790855505035736
2019-08-25,50.790855505035736
2019-08-26,49.92506948650281
2019-08-27,50.41011224698009
2019-08-28,49.4982268469617
2019-08-29,50.565315563680535
2019-08-30,50.9679048120043
2019-08-31,50.9679048120043
2019-09-01,50.9679048120043
2019-09-02,50.9679048120043
2019-09-03,50.06331067192374
2019-09-04,50.53863443217625
2019-09-05,51.414138905061684
2019-09-06,51.91130379608303
2019-09-07,51.91130379608303
2019-09-08,51.91130379608303
2019-09-09,52.10289061216502
2019-09-10,51.86521966968199
2019-09-11,52.88623982238778
2019-09-12,54.518381982900806
2019-09-13,53.35430071149554
2019-09-14,53.35430071149554
2019-09-15,53.35430071149554
2019-09-16,52.80377685051422
2019-09-17,53.34459341069093
2019-09-18,53.61136724184756
2019-09-19,53.84175878401613
2019-09-20,53.68897040610659
2019-09-21,53.68897040610659
2019-09-22,53.68897040610659
2019-09-23,53.09964365256333
2019-09-24,53.60407526685843
2019-09-25,53.002644243524166
2019-09-26,53.35429494075622
2019-09-27,53.485249186785616
2019-09-28,53.485249186785616
2019-09-29,53.485249186785616
2019-09-30,53.572548726896756
2019-10-01,54.583872671716996
2019-10-02,54.096389784184595
2019-10-03,52.973528875020975
2019-10-04,54.72210885045584
2019-10-05,54.72210885045584
2019-10-06,54.72210885045584
2019-10-07,54.874889946746386
2019-10-08,54.76575238835131
2019-10-09,55.0592041015625
2019-10-10,55.27746470002359
2019-10-11,56.49492171241401
2019-10-12,56.49492171241401
2019-10-13,56.49492171241401
2019-10-14,56.96783498814905
2019-10-15,57.32917698182774
2019-10-16,56.5967787302961
2019-10-17,57.01391063028128
2019-10-18,56.89265049988691
2019-10-19,56.89265049988691
2019-10-20,56.89265049988691
