,price
2019-02-17,29.482999801635742
2019-02-18,27.507003784179688
2019-02-19,26.76508140563965
2019-02-20,27.16552734375
2019-02-21,26.737823486328125
2019-02-22,27.021207809448242
2019-02-23,26.830276489257812
2019-02-24,26.099159240722656
2019-02-25,28.1077880859375
2019-02-26,27.732702255249023
2019-02-27,27.95701789855957
2019-02-28,28.267162322998047
2019-03-01,28.167442321777344
2019-03-02,28.249834060668945
2019-03-03,28.76460838317871
2019-03-04,29.076974868774414
2019-03-05,29.54458999633789
2019-03-06,28.260650634765625
2019-03-07,28.123554229736328
2019-03-08,28.339590072631836
2019-03-09,28.824758529663086
2019-03-10,28.743289947509766
2019-03-11,28.90761947631836
2019-03-12,29.165576934814453
2019-03-13,29.11205291748047
2019-03-14,29.307004928588867
2019-03-15,29.38092613220215
2019-03-16,28.777851104736328
2019-03-17,28.429248809814453
2019-03-18,28.762067794799805
2019-03-19,28.951513290405273
2019-03-20,28.977767944335938
2019-03-21,29.077838897705078
2019-03-22,29.47618865966797
2019-03-23,29.31899070739746
2019-03-24,29.190996170043945
2019-03-25,29.378053665161133
2019-03-26,29.38170623779297
2019-03-27,29.424657821655273
2019-03-28,28.988758087158203
2019-03-29,29.196256637573242
2019-03-30,28.745159149169922
2019-03-31,28.883344650268555
2019-04-01,29.020240783691406
2019-04-02,29.30720329284668
2019-04-03,29.754276275634766
2019-04-04,30.795103073120117
2019-04-05,31.15305519104004
2019-04-06,30.43172836303711
2019-04-07,30.502939224243164
2019-04-08,29.80708122253418
2019-04-09,29.352210998535156
2019-04-10,29.55738639831543
2019-04-11,30.027057647705078
2019-04-12,30.611753463745117
2019-04-13,30.912172317504883
2019-04-14,30.981760025024414
2019-04-15,30.77665138244629
2019-04-16,31.366840362548828
2019-04-17,31.250492095947266
2019-04-18,31.462343215942383
2019-04-19,30.486328125
2019-04-20,30.533023834228516
2019-04-21,30.716209411621094
2019-04-22,31.246755599975586
2019-04-23,31.390344619750977
2019-04-24,32.51545715332031
2019-04-25,32.947792053222656
2019-04-26,33.70632553100586
2019-04-27,33.78410339355469
2019-04-28,33.26028060913086
2019-04-29,33.5992317199707
2019-04-30,33.818599700927734
2019-05-01,32.99234390258789
2019-05-02,33.58596420288086
2019-05-03,33.9691276550293
2019-05-04,34.36355972290039
2019-05-05,35.5519905090332
2019-05-06,35.458335876464844
2019-05-07,33.321868896484375
2019-05-08,34.42811584472656
2019-05-09,34.99415588378906
2019-05-10,36.2616081237793
2019-05-11,36.847015380859375
2019-05-12,37.100303649902344
2019-05-13,37.195899963378906
2019-05-14,39.6866569519043
2019-05-15,36.815677642822266
2019-05-16,33.18391418457031
2019-05-17,29.891889572143555
2019-05-18,30.0997314453125
2019-05-19,31.000125885009766
2019-05-20,31.373685836791992
2019-05-21,31.702911376953125
2019-05-22,31.201717376708984
2019-05-23,31.378681182861328
2019-05-24,32.04109191894531
2019-05-25,32.006710052490234
2019-05-26,32.00004959106445
2019-05-27,32.46990966796875
2019-05-28,32.29297637939453
2019-05-29,32.0797004699707
2019-05-30,32.13392639160156
2019-05-31,32.49917984008789
2019-06-01,31.940292358398438
2019-06-02,32.26012420654297
2019-06-03,32.36622619628906
2019-06-04,32.51725769042969
2019-06-05,31.902433395385742
2019-06-06,31.668018341064453
2019-06-07,31.391069412231445
2019-06-08,31.98725128173828
2019-06-09,32.37622833251953
2019-06-10,33.03818130493164
2019-06-11,32.293128967285156
2019-06-12,32.22697067260742
2019-06-13,31.219329833984375
2019-06-14,32.12940216064453
2019-06-15,32.923919677734375
2019-06-16,32.87989044189453
2019-06-17,33.404823303222656
2019-06-18,34.03126907348633
2019-06-19,34.25200271606445
2019-06-20,34.4201545715332
2019-06-21,35.05176544189453
2019-06-22,34.48120880126953
2019-06-23,34.57050323486328
