,price
2019-02-17,3216.35888671875
2019-02-18,3250.539306640625
2019-02-19,3458.1708984375
2019-02-20,3480.332763671875
2019-02-21,3525.846435546875
2019-02-22,3485.425537109375
2019-02-23,3527.1640625
2019-02-24,3656.418212890625
2019-02-25,3356.70263671875
2019-02-26,3412.85791015625
2019-02-27,3385.929931640625
2019-02-28,3382.491455078125
2019-03-01,3388.581787109375
2019-03-02,3391.234375
2019-03-03,3397.040771484375
2019-03-04,3380.15087890625
2019-03-05,3316.484375
2019-03-06,3446.609619140625
2019-03-07,3450.37353515625
2019-03-08,3494.585205078125
2019-03-09,3466.560791015625
2019-03-10,3530.291748046875
2019-03-11,3520.12158203125
2019-03-12,3467.080078125
2019-03-13,3467.057861328125
2019-03-14,3446.3515625
2019-03-15,3472.7919921875
2019-03-16,3497.34912109375
2019-03-17,3571.302978515625
2019-03-18,3560.247314453125
2019-03-19,3557.3828125
2019-03-20,3585.180908203125
2019-03-21,3573.741455078125
2019-03-22,3541.72509765625
2019-03-23,3557.876708984375
2019-03-24,3568.88818359375
2019-03-25,3562.5107421875
2019-03-26,3507.794189453125
2019-03-27,3534.148681640625
2019-03-28,3632.922607421875
2019-03-29,3622.54443359375
2019-03-30,3646.50244140625
2019-03-31,3658.3720703125
2019-04-01,3657.873779296875
2019-04-02,3709.759765625
2019-04-03,4355.7431640625
2019-04-04,4421.103515625
2019-04-05,4386.22021484375
2019-04-06,4488.2861328125
2019-04-07,4511.45556640625
2019-04-08,4635.3203125
2019-04-09,4699.43603515625
2019-04-10,4619.2626953125
2019-04-11,4722.46875
2019-04-12,4494.34619140625
2019-04-13,4500.06982421875
2019-04-14,4506.17919921875
2019-04-15,4571.0283203125
2019-04-16,4482.17333984375
2019-04-17,4640.0380859375
2019-04-18,4648.7470703125
2019-04-19,4715.54833984375
2019-04-20,4716.6982421875
2019-04-21,4744.90380859375
2019-04-22,4724.68310546875
2019-04-23,4795.59765625
2019-04-24,4963.701171875
2019-04-25,4901.1435546875
2019-04-26,4678.353515625
2019-04-27,4732.51806640625
2019-04-28,4725.2666015625
2019-04-29,4739.8466796875
2019-04-30,4691.55615234375
2019-05-01,4770.99853515625
2019-05-02,4823.375
2019-05-03,4927.52978515625
2019-05-04,5147.859375
2019-05-05,5203.0625
2019-05-06,5177.91259765625
2019-05-07,5129.09619140625
2019-05-08,5227.39501953125
2019-05-09,5342.40576171875
2019-05-10,5504.837890625
2019-05-11,5679.1796875
2019-05-12,6412.5625
2019-05-13,6204.32080078125
2019-05-14,6951.3984375
2019-05-15,7130.71630859375
2019-05-16,7311.98583984375
2019-05-17,7058.9169921875
2019-05-18,6576.51611328125
2019-05-19,6510.49609375
2019-05-20,7341.9521484375
2019-05-21,7142.63623046875
2019-05-22,7125.14599609375
2019-05-23,6882.326171875
2019-05-24,7047.81201171875
2019-05-25,7132.1181640625
2019-05-26,7187.974609375
2019-05-27,7738.14013671875
2019-05-28,7864.1728515625
2019-05-29,7806.8447265625
2019-05-30,7777.39453125
2019-05-31,7474.5458984375
2019-06-01,7659.69677734375
2019-06-02,7652.22265625
2019-06-03,7823.85498046875
2019-06-04,7301.0361328125
2019-06-05,6846.11767578125
2019-06-06,6964.16552734375
2019-06-07,6940.5595703125
2019-06-08,7088.6767578125
2019-06-09,7011.8515625
2019-06-10,6794.92578125
2019-06-11,7072.41357421875
2019-06-12,6995.70166015625
2019-06-13,7212.59521484375
2019-06-14,7296.63427734375
2019-06-15,7738.30615234375
2019-06-16,7873.3916015625
2019-06-17,8012.591796875
2019-06-18,8316.3046875
2019-06-19,8107.4580078125
2019-06-20,8253.515625
2019-06-21,8431.8818359375
2019-06-22,8936.83203125
2019-06-23,9394.1865234375
2019-06-24,9533.896484375
2019-06-25,9656.4755859375
2019-06-26,10361.6298828125
2019-06-27,11443.8232421875
2019-06-28,9815.6201171875
2019-06-29,10897.791015625
2019-06-30,10485.8330078125
2019-07-01,9503.080078125
2019-07-02,9381.30859375
2019-07-03,9581.5
2019-07-04,10607.5771484375
2019-07-05,9927.080078125
2019-07-06,9776.60546875
2019-07-07,9987.6044921875
2019-07-08,10195.0263671875
2019-07-09,10952.98828125
2019-07-10,11219.99609375
2019-07-11,10782.6396484375
2019-07-12,10092.4169921875
2019-07-13,10471.23828125
2019-07-14,10088.216796875
2019-07-15,9100.42578125
2019-07-16,9675.9990234375
2019-07-17,8447.763671875
