,price
2019-02-19,67.90886905061525
2019-02-20,68.15078094599617
2019-02-21,67.06249288595625
2019-02-22,66.6811660096805
2019-02-23,66.6811660096805
2019-02-24,66.6811660096805
2019-02-25,67.83453941456958
2019-02-26,67.36946479970335
2019-02-27,66.70907055252975
2019-02-28,66.27191502630572
2019-03-01,65.9556609203527
2019-03-02,65.9556609203527
2019-03-03,65.9556609203527
2019-03-04,67.49037051162487
2019-03-05,66.68116493435335
2019-03-06,66.43004086924073
2019-03-07,67.26715543194751
2019-03-08,66.60673855929265
2019-03-09,66.60673855929265
2019-03-10,66.60673855929265
2019-03-11,66.38353367686749
2019-03-12,67.248549958606
2019-03-13,66.90439928180066
2019-03-14,66.24402051728273
2019-03-15,66.09517503776533
2019-03-16,66.09517503776533
2019-03-17,66.09517503776533
2019-03-18,67.06250214307934
2019-03-19,67.2578372544569
2019-03-20,67.12763563369393
2019-03-21,66.49513236222897
2019-03-22,66.93229846006047
2019-03-23,66.93229846006047
2019-03-24,66.93229846006047
2019-03-25,65.79754331059895
2019-03-26,66.25331003956654
2019-03-27,66.16028778336393
2019-03-28,66.86718843961214
2019-03-29,66.98810447387429
2019-03-30,66.98810447387429
2019-03-31,66.98810447387429
2019-04-01,67.89965088675055
2019-04-02,68.69955635587941
2019-04-03,68.73674895635138
2019-04-04,69.10882988970972
2019-04-05,68.69024805988617
2019-04-06,68.69024805988617
2019-04-07,68.69024805988617
2019-04-08,69.07162223816344
2019-04-09,68.75537876790503
2019-04-10,69.2483342909135
2019-04-11,69.4529519830915
2019-04-12,69.21112859249996
2019-04-13,69.21112859249996
2019-04-14,69.21112859249996
2019-04-15,69.23902928486145
2019-04-16,67.89965468236305
2019-04-17,67.12764645966269
2019-04-18,67.22061356885214
2019-04-19,67.22061356885214
2019-04-20,67.22061356885214
2019-04-21,67.22061356885214
2019-04-22,65.99285633990243
2019-04-23,66.75556477110528
2019-04-24,67.88104291639905
2019-04-25,67.63919919640017
2019-04-26,67.9647396268001
2019-04-27,67.9647396268001
2019-04-28,67.9647396268001
2019-04-29,66.17890282441587
2019-04-30,67.36945038185107
2019-05-01,68.2251696739725
2019-05-02,67.14623107638143
2019-05-03,55.89162819870656
2019-05-04,55.89162819870656
2019-05-05,55.89162819870656
2019-05-06,54.46853269950338
2019-05-07,54.87779387790295
2019-05-08,54.394133400242275
2019-05-09,54.19879455669772
2019-05-10,54.46853563300302
2019-05-11,54.46853563300302
2019-05-12,54.46853563300302
2019-05-13,53.96626821336566
2019-05-14,53.1291380778897
2019-05-15,53.52909935117938
2019-05-16,54.37552179970009
2019-05-17,53.95697037966402
2019-05-18,53.95697037966402
2019-05-19,53.95697037966402
2019-05-20,54.71966911672551
2019-05-21,56.16258949368761
2019-05-22,56.563884142316816
2019-05-23,56.890522103846486
2019-05-24,57.394469915836815
2019-05-25,57.394469915836815
2019-05-26,57.394469915836815
2019-05-27,57.394469915836815
2019-05-28,57.99174123948799
2019-05-29,57.7024344641473
2019-05-30,57.80509933683588
2019-05-31,57.60910792350187
2019-06-01,57.60910792350187
2019-06-02,57.60910792350187
2019-06-03,57.64643925046342
2019-06-04,56.955841004864105
2019-06-05,57.609115375298046
2019-06-06,57.80509589086263
2019-06-07,58.0850672608776
2019-06-08,58.0850672608776
2019-06-09,58.0850672608776
2019-06-10,58.654338770123594
2019-06-11,59.41026695443433
2019-06-12,58.878327086193934
2019-06-13,58.309040178882846
2019-06-14,57.86109563255528
2019-06-15,57.86109563255528
2019-06-16,57.86109563255528
2019-06-17,57.86108758260579
2019-06-18,59.04631020576091
2019-06-19,59.419602185352005
2019-06-20,59.07430590120396
2019-06-21,59.83957244101616
2019-06-22,59.83957244101616
2019-06-23,59.83957244101616
2019-06-24,59.81156205423618
2019-06-25,59.77423885615369
2019-06-26,59.354271390713066
2019-06-27,59.046302958461524
2019-06-28,59.13963701074057
2019-06-29,59.13963701074057
2019-06-30,59.13963701074057
2019-07-01,60.166194842754734
2019-07-02,60.110198791660416
2019-07-03,60.119533809887116
2019-07-04,60.119533809887116
2019-07-05,59.4849387739418
2019-07-06,59.4849387739418
2019-07-07,59.4849387739418
2019-07-08,60.11021392179523
2019-07-09,59.578258002438155
2019-07-10,60.268863732060034
2019-07-11,60.05420651595255
2019-07-12,61.192767989890136
2019-07-13,61.192767989890136
2019-07-14,61.192767989890136
2019-07-15,61.50075525271051
2019-07-16,61.40741680361314
2019-07-17,61.7900472321779
2019-07-18,60.455493562737914
2019-07-19,61.650055592066145
2019-07-20,61.650055592066145
2019-07-21,61.650055592066145
2019-07-22,60.94078435172707
2019-07-23,60.74480817095529
2019-07-24,61.1647871948242
2019-07-25,61.41675578033895
2019-07-26,61.37008248258425
2019-07-27,61.37008248258425
2019-07-28,61.37008248258425
2019-07-29,61.93002719508401
2019-07-30,61.27676015312255
2019-07-31,61.08077655892643
2019-08-01,62.48997944541692
2019-08-02,60.97812036781155
2019-08-03,60.97812036781155
2019-08-04,60.97812036781155
2019-08-05,58.51435504130209
2019-08-06,58.03839876563934
2019-08-07,57.56245381766923
2019-08-08,58.54234641144527
2019-08-09,59.20496049751216
2019-08-10,59.20496049751216
2019-08-11,59.20496049751216
2019-08-12,58.122402909641835
2019-08-13,57.08649436208555
2019-08-14,56.81586092389892
2019-08-15,56.69453452067933
2019-08-16,57.10515991582383
2019-08-17,57.10515991582383
2019-08-18,57.10515991582383
2019-08-19,57.805084395523195
2019-08-20,57.64645026424714
2019-08-21,58.14325551485942
2019-08-22,58.077712232818236
2019-08-23,57.160153113339035
2019-08-24,57.160153113339035
2019-08-25,57.160153113339035
2019-08-26,56.7481840402451
2019-08-27,56.37366728088961
2019-08-28,55.98980035339436
2019-08-29,56.95418337887002
2019-08-30,57.89044858949228
2019-08-31,57.89044858949228
2019-09-01,57.89044858949228
2019-09-02,57.89044858949228
2019-09-03,57.066526072354726
2019-09-04,58.218149638617156
2019-09-05,59.13571923029875
2019-09-06,60.17498204799879
2019-09-07,60.17498204799879
2019-09-08,60.17498204799879
2019-09-09,60.41841917656088
2019-09-10,59.86601691374508
2019-09-11,60.7835702219541
2019-09-12,61.42961449277863
2019-09-13,60.877198107403395
2019-09-14,60.877198107403395
2019-09-15,60.877198107403395
2019-09-16,59.92219162370239
2019-09-17,59.97836638866647
2019-09-18,59.641301885916526
2019-09-19,59.2855164792228
2019-09-20,59.08890326699068
2019-09-21,59.08890326699068
2019-09-22,59.08890326699068
2019-09-23,57.76873648995398
2019-09-24,57.141426041555754
2019-09-25,56.14896603598458
2019-09-26,56.17705182725982
2019-09-27,56.19578001116838
2019-09-28,56.19578001116838
2019-09-29,56.19578001116838
2019-09-30,55.28758361709565
2019-10-01,56.55156538219549
2019-10-02,56.20514203710055
2019-10-03,56.16768835001449
2019-10-04,56.52346944404246
2019-10-05,56.52346944404246
2019-10-06,56.52346944404246
2019-10-07,56.439205169677734
2019-10-08,55.9055322820325
2019-10-09,55.93362480687961
2019-10-10,55.287582519273364
2019-10-11,56.598386488786666
2019-10-12,56.598386488786666
2019-10-13,56.598386488786666
2019-10-14,56.73882082307012
2019-10-15,56.55156530838621
2019-10-16,57.487846134000485
2019-10-17,57.600218347369555
2019-10-18,57.51593717576657
2019-10-19,57.51593717576657
2019-10-20,57.51593717576657
2019-10-21,57.41295062053236
2019-10-22,57.04779129331185
2019-10-23,56.14897145971258
2019-10-24,56.98225021910256
2019-10-25,56.65456344130559
2019-10-26,56.65456344130559
2019-10-27,56.65456344130559
2019-10-28,56.58902210389381
2019-10-29,56.841821027051964
2019-10-30,56.92608473234358
2019-10-31,56.17704602581963
