,price
2019-02-26,122.87459564208984
2019-02-27,121.14759063720703
2019-02-28,119.76652526855469
2019-03-01,120.31298828125
2019-03-02,119.93694305419922
2019-03-03,118.55059814453125
2019-03-04,116.1776123046875
2019-03-05,112.71760559082031
2019-03-06,122.0118179321289
2019-03-07,122.817138671875
2019-03-08,123.51370239257812
2019-03-09,120.0640869140625
2019-03-10,122.99446105957031
2019-03-11,121.84083557128906
2019-03-12,119.02203369140625
2019-03-13,119.2718276977539
2019-03-14,117.55776977539062
2019-03-15,118.11009216308594
2019-03-16,121.67972564697266
2019-03-17,125.49684143066406
2019-03-18,123.7511215209961
2019-03-19,122.8379135131836
2019-03-20,123.7283935546875
2019-03-21,122.92878723144531
2019-03-22,120.06034851074219
2019-03-23,121.20450592041016
2019-03-24,122.33259582519531
2019-03-25,121.35689544677734
2019-03-26,119.35791015625
2019-03-27,120.14111328125
2019-03-28,125.30513000488281
2019-03-29,124.0916748046875
2019-03-30,126.85623168945312
2019-03-31,126.6602554321289
2019-04-01,126.0440444946289
2019-04-02,126.58084869384766
2019-04-03,146.3644256591797
2019-04-04,143.56126403808594
2019-04-05,140.80136108398438
2019-04-06,147.487060546875
2019-04-07,147.90231323242188
2019-04-08,155.51263427734375
2019-04-09,160.10501098632812
2019-04-10,156.2801055908203
2019-04-11,157.27572631835938
2019-04-12,146.8176727294922
2019-04-13,145.57598876953125
2019-04-14,145.44619750976562
2019-04-15,148.52261352539062
2019-04-16,142.88912963867188
2019-04-17,148.4788818359375
2019-04-18,147.75323486328125
2019-04-19,154.6712188720703
2019-04-20,154.4785919189453
2019-04-21,154.47555541992188
2019-04-22,151.20895385742188
2019-04-23,152.7730255126953
2019-04-24,152.66421508789062
2019-04-25,148.7548370361328
2019-04-26,138.7974853515625
2019-04-27,140.08120727539062
2019-04-28,142.06936645507812
2019-04-29,141.0713653564453
2019-04-30,138.71437072753906
2019-05-01,144.6222381591797
2019-05-02,143.61280822753906
2019-05-03,145.05775451660156
2019-05-04,149.80575561523438
2019-05-05,146.35081481933594
2019-05-06,146.03494262695312
2019-05-07,153.9258270263672
2019-05-08,151.83387756347656
2019-05-09,152.6661834716797
2019-05-10,151.81443786621094
2019-05-11,154.1286163330078
2019-05-12,172.84393310546875
2019-05-13,166.80120849609375
2019-05-14,175.16651916503906
2019-05-15,193.6787109375
2019-05-16,220.3433380126953
2019-05-17,236.1519317626953
2019-05-18,218.49085998535156
2019-05-19,210.01513671875
2019-05-20,234.0162353515625
2019-05-21,225.29905700683594
2019-05-22,228.35748291015625
2019-05-23,219.3236846923828
2019-05-24,219.9373016357422
2019-05-25,222.83197021484375
2019-05-26,224.6238555908203
2019-05-27,238.31727600097656
2019-05-28,243.5258026123047
2019-05-29,243.35777282714844
2019-05-30,242.0306396484375
2019-05-31,229.99183654785156
2019-06-01,239.81298828125
2019-06-02,237.20375061035156
2019-06-03,241.72897338867188
2019-06-04,224.52804565429688
2019-06-05,214.59547424316406
2019-06-06,219.91162109375
2019-06-07,221.11053466796875
2019-06-08,221.60943603515625
2019-06-09,216.57406616210938
2019-06-10,205.66888427734375
2019-06-11,219.0067596435547
2019-06-12,217.0759735107422
2019-06-13,230.9888153076172
2019-06-14,227.103271484375
2019-06-15,235.03598022460938
2019-06-16,239.45916748046875
2019-06-17,239.86331176757812
2019-06-18,244.37245178222656
2019-06-19,236.68966674804688
2019-06-20,239.7872772216797
2019-06-21,240.6007843017578
2019-06-22,259.1797790527344
2019-06-23,271.73992919921875
2019-06-24,270.3289794921875
2019-06-25,272.554931640625
2019-06-26,279.7384033203125
2019-06-27,296.23358154296875
2019-06-28,258.6590881347656
2019-06-29,273.5567626953125
2019-06-30,280.8504638671875
2019-07-01,255.48416137695312
2019-07-02,260.0666809082031
2019-07-03,258.4007568359375
2019-07-04,268.473876953125
2019-07-05,251.98794555664062
2019-07-06,256.2816467285156
2019-07-07,256.06787109375
2019-07-08,272.3057556152344
2019-07-09,279.3431701660156
2019-07-10,275.6222839355469
2019-07-11,257.53350830078125
2019-07-12,238.8306121826172
2019-07-13,244.90460205078125
2019-07-14,238.69309997558594
2019-07-15,202.24330139160156
2019-07-16,204.01197814941406
2019-07-17,177.54010009765625
2019-07-18,188.31912231445312
2019-07-19,201.27883911132812
2019-07-20,197.19012451171875
2019-07-21,204.11279296875
2019-07-22,201.18980407714844
2019-07-23,194.15264892578125
2019-07-24,190.5885009765625
2019-07-25,194.7291259765625
2019-07-26,197.04530334472656
2019-07-27,197.2166290283203
2019-07-28,186.257568359375
2019-07-29,189.6802520751953
2019-07-30,189.6669921875
2019-07-31,188.65382385253906
2019-08-01,197.41183471679688
2019-08-02,196.6625213623047
2019-08-03,195.86630249023438
2019-08-04,200.07789611816406
2019-08-05,200.4414520263672
2019-08-06,208.33966064453125
2019-08-07,201.63063049316406
2019-08-08,202.17770385742188
2019-08-09,197.48040771484375
2019-08-10,186.63204956054688
2019-08-11,183.26524353027344
2019-08-12,192.76724243164062
2019-08-13,188.425537109375
2019-08-14,186.6619873046875
2019-08-15,167.5419158935547
2019-08-16,169.7886962890625
2019-08-17,167.2196807861328
2019-08-18,167.4985809326172
2019-08-19,175.40257263183594
2019-08-20,182.99830627441406
2019-08-21,177.1813201904297
2019-08-22,168.54454040527344
2019-08-23,172.39349365234375
2019-08-24,173.4134979248047
2019-08-25,170.193603515625
