,price
2019-02-19,44.93691655414771
2019-02-20,45.18195179720112
2019-02-21,44.910669397442234
2019-02-22,46.118323641326484
2019-02-23,46.118323641326484
2019-02-24,46.118323641326484
2019-02-25,46.4333628337994
2019-02-26,46.38961645514488
2019-02-27,46.17082539828886
2019-02-28,46.31085048835396
2019-03-01,46.76590942050439
2019-03-02,46.76590942050439
2019-03-03,46.76590942050439
2019-03-04,47.03719469602895
2019-03-05,47.124707914830466
2019-03-06,46.93217251756595
2019-03-07,46.1795703507575
2019-03-08,45.47949542096443
2019-03-09,45.47949542096443
2019-03-10,45.47949542096443
2019-03-11,46.27584177481885
2019-03-12,46.6784017718074
2019-03-13,47.25596773511168
2019-03-14,47.51850678203207
2019-03-15,46.975934649497276
2019-03-16,46.975934649497276
2019-03-17,46.975934649497276
2019-03-18,47.62351426387482
2019-03-19,47.66727139346772
2019-03-20,47.30847770864714
2019-03-21,47.185959373215404
2019-03-22,47.60600804405164
2019-03-23,47.60600804405164
2019-03-24,47.60600804405164
2019-03-25,46.35459708038067
2019-03-26,46.66089876088201
2019-03-27,46.8971756508673
2019-03-28,46.59963055759941
2019-03-29,47.080940799615504
2019-03-30,47.080940799615504
2019-03-31,47.080940799615504
2019-04-01,47.55350713228679
2019-04-02,47.71978543572138
2019-04-03,48.157328009005035
2019-04-04,48.367360262991845
2019-04-05,48.78741492573072
2019-04-06,48.78741492573072
2019-04-07,48.78741492573072
2019-04-08,48.37610878187636
2019-04-09,48.43736598638504
2019-04-10,48.41110916596194
2019-04-11,48.79616009247478
2019-04-12,49.189961114042006
2019-04-13,49.189961114042006
2019-04-14,49.189961114042006
2019-04-15,49.40873704234531
2019-04-16,49.583759029713434
2019-04-17,51.14145193597326
2019-04-18,51.37774469583589
2019-04-19,51.37774469583589
2019-04-20,51.37774469583589
2019-04-21,51.37774469583589
2019-04-22,50.88768036569737
2019-04-23,51.535261874609
2019-04-24,51.21146329798621
2019-04-25,51.018944247082736
