,price
2019-02-19,168.2173288310181
2019-02-20,168.43115968151207
2019-02-21,169.37946619834725
2019-02-22,164.03374578484028
2019-02-23,164.03374578484028
2019-02-24,164.03374578484028
2019-02-25,169.48173714972268
2019-02-26,166.3114824465654
2019-02-27,165.14935936854687
2019-02-28,163.77342831089928
2019-03-01,165.17725432023295
2019-03-02,165.17725432023295
2019-03-03,165.17725432023295
2019-03-04,164.87975163444546
2019-03-05,164.5172151089783
2019-03-06,161.30044531781823
2019-03-07,156.66134782623774
2019-03-08,153.11924035473186
2019-03-09,153.11924035473186
2019-03-10,153.11924035473186
2019-03-11,157.70259503414496
2019-03-12,160.70546707880018
2019-03-13,160.9378827825875
2019-03-14,158.9763146908092
2019-03-15,168.58922620431653
2019-03-16,168.58922620431653
2019-03-17,168.58922620431653
2019-03-18,169.03548916097628
2019-03-19,168.63315588321717
2019-03-20,167.5948444651229
2019-03-21,164.4332066529545
2019-03-22,170.53195167720622
2019-03-23,170.53195167720622
2019-03-24,170.53195167720622
2019-03-25,167.46388281689397
2019-03-26,168.12799841814274
2019-03-27,168.53026181144045
2019-03-28,166.28532571562008
2019-03-29,166.2852785118759
2019-03-30,166.2852785118759
2019-03-31,166.2852785118759
2019-04-01,170.24202769565267
2019-04-02,173.1137006233851
2019-04-03,175.50830866530382
2019-04-04,177.3417025674926
2019-04-05,180.72782464774923
2019-04-06,180.72782464774923
2019-04-07,180.72782464774923
2019-04-08,181.09261022556092
2019-04-09,179.42762589599187
2019-04-10,177.53810479681056
2019-04-11,178.9505615234375
2019-04-12,181.5696561875705
2019-04-13,181.5696561875705
2019-04-14,181.5696561875705
2019-04-15,180.88686599245352
2019-04-16,181.9344642363204
2019-04-17,184.5909787363326
2019-04-18,184.02037916939423
2019-04-19,184.02037916939423
2019-04-20,184.02037916939423
2019-04-21,184.02037916939423
2019-04-22,183.60880660141592
2019-04-23,182.4021382672853
2019-04-24,182.54249369118827
2019-04-25,189.8853382517407
2019-04-26,189.885359317905
2019-04-27,189.885359317905
2019-04-28,189.885359317905
2019-04-29,193.37436396454203
2019-04-30,192.90668735023579
2019-05-01,194.59972732997736
2019-05-02,190.78331915184543
2019-05-03,193.9917330766265
2019-05-04,193.9917330766265
2019-05-05,193.9917330766265
2019-05-06,187.3878132096401
2019-05-07,187.91161794363666
2019-05-08,185.67602637338456
2019-05-09,183.33757298683548
2019-05-10,184.3571388800007
2019-05-11,184.3571388800007
2019-05-12,184.3571388800007
2019-05-13,178.94118130957997
2019-05-14,178.15548868906436
2019-05-15,178.8102782859015
2019-05-16,179.63339392896162
2019-05-17,180.615574703862
2019-05-18,180.615574703862
2019-05-19,180.615574703862
2019-05-20,176.45304059873365
2019-05-21,174.55420202791376
2019-05-22,173.40368598555116
2019-05-23,171.92570401221988
2019-05-24,174.71321915901012
2019-05-25,174.71321915901012
2019-05-26,174.71321915901012
2019-05-27,174.71321915901012
2019-05-28,171.6825158820921
2019-05-29,165.6866446182107
2019-05-30,166.4536698647812
2019-05-31,164.91960702805176
2019-06-01,164.91960702805176
2019-06-02,164.91960702805176
2019-06-03,164.1432275821296
2019-06-04,163.26395279465825
2019-06-05,169.45628887801743
2019-06-06,170.56940649017378
2019-06-07,173.63753572004362
2019-06-08,173.63753572004362
2019-06-09,173.63753572004362
2019-06-10,175.93857485074227
2019-06-11,183.37315646460178
2019-06-12,172.51618792871975
2019-06-13,170.1359343075344
2019-06-14,165.8834985745236
2019-06-15,165.8834985745236
2019-06-16,165.8834985745236
2019-06-17,166.32565834927527
2019-06-18,164.62277373114702
2019-06-19,170.90742477136754
2019-06-20,174.12497555687014
2019-06-21,171.87646310399384
2019-06-22,171.87646310399384
2019-06-23,171.87646310399384
2019-06-24,171.3119529465221
2019-06-25,170.50283724025607
2019-06-26,168.75296226177107
2019-06-27,172.06459646685116
