,price
2018-08-06,183.87
2018-08-07,184.96
2018-08-08,185.88
2018-08-09,184.39
2018-08-10,181.3
2018-08-13,180.76
2018-08-14,181.44
2018-08-15,178.18
2018-08-16,177.58
2018-08-17,172.59
2018-08-20,172.79
2018-08-21,173.35
2018-08-22,172.51
2018-08-23,174.505
2018-08-24,173.74
2018-08-27,177.5
2018-08-28,176.9
2018-08-29,175.6
2018-08-30,179.17
2018-08-31,175.84
2018-09-04,170.71
2018-09-05,168.47
2018-09-06,160.77
2018-09-07,162.59
2018-09-10,164.55
2018-09-11,166.77
2018-09-12,162.31
2018-09-13,161.62
2018-09-14,161.72
2018-09-17,160.92
2018-09-18,160.29
2018-09-19,161.36
2018-09-20,165.91
2018-09-21,164.46
2018-09-24,164.63
2018-09-25,165.24
2018-09-26,167.93
2018-09-27,171.23
2018-09-28,164.12
2018-10-01,161.65
2018-10-02,159.72
2018-10-03,162.7
2018-10-04,157.71
2018-10-05,156.62
2018-10-08,155.3
2018-10-09,158.31
2018-10-10,155.13
2018-10-11,153.12
2018-10-12,152.37
2018-10-15,154.4
2018-10-16,157.68
2018-10-17,159.08
2018-10-18,154.7
2018-10-19,154.81
2018-10-22,155.7
2018-10-23,153.0
2018-10-24,150.37
2018-10-25,149.22
2018-10-26,147.74
2018-10-29,144.25
2018-10-30,142.46
2018-10-31,152.18
2018-11-01,151.69
2018-11-02,149.36
2018-11-05,147.97
2018-11-06,149.86
2018-11-07,150.3
2018-11-08,147.31
2018-11-09,144.97
2018-11-12,141.27
2018-11-13,143.0
2018-11-14,142.92
2018-11-15,142.5
2018-11-16,138.79
2018-11-19,131.74
2018-11-20,131.05
2018-11-21,135.9
2018-11-23,131.63
2018-11-26,135.86
2018-11-27,134.58
2018-11-28,134.19
2018-11-29,138.17
2018-11-30,139.19
2018-12-03,143.32
2018-12-04,139.62
2018-12-06,138.29
2018-12-07,137.75
2018-12-10,140.49
2018-12-11,142.5
2018-12-12,146.7
2018-12-13,143.97
2018-12-14,145.38
2018-12-17,143.13
2018-12-18,145.75
2018-12-19,135.29
2018-12-20,133.64
2018-12-21,126.39
2018-12-24,124.16
2018-12-26,132.61
2018-12-27,130.91
2018-12-28,133.74
2018-12-31,130.67
2019-01-02,136.2
2019-01-03,133.08
2019-01-04,137.49
2019-01-07,138.3
2019-01-08,142.24
2019-01-09,144.57
2019-01-10,144.35
2019-01-11,144.71
2019-01-14,144.65
2019-01-15,149.33
2019-01-16,147.78
2019-01-17,148.19
2019-01-18,151.26
2019-01-22,148.21
2019-01-23,144.3
2019-01-24,144.45
2019-01-25,149.25
2019-01-28,146.93
