,price
2019-02-19,40.8449109328254
2019-02-20,41.20110484321963
2019-02-21,41.34791183869769
2019-02-22,41.29497123929922
2019-02-23,41.29497123929922
2019-02-24,41.29497123929922
2019-02-25,41.91590538305711
2019-02-26,41.807604300863915
2019-02-27,41.687278480167166
2019-02-28,41.9544213444829
2019-03-01,41.94478516224547
2019-03-02,41.94478516224547
2019-03-03,41.94478516224547
2019-03-04,42.28414588413809
2019-03-05,42.34430968555412
2019-03-06,42.038655588513286
2019-03-07,41.84611112067233
2019-03-08,40.991723645274746
2019-03-09,40.991723645274746
2019-03-10,40.991723645274746
2019-03-11,42.23600373754307
2019-03-12,43.32145142280129
2019-03-13,43.86296443218472
2019-03-14,44.26008006419884
2019-03-15,44.488722132151885
2019-03-16,44.488722132151885
2019-03-17,44.488722132151885
2019-03-18,44.71736125051072
2019-03-19,45.33108471272051
2019-03-20,44.82084673566871
2019-03-21,45.73301656558323
2019-03-22,47.013400405680294
2019-03-23,47.013400405680294
2019-03-24,47.013400405680294
2019-03-25,46.0916198714731
2019-03-26,46.127711861570674
2019-03-27,45.427354908120996
2019-03-28,45.475485838520555
2019-03-29,45.687272406336234
2019-03-30,45.687272406336234
2019-03-31,45.687272406336234
2019-04-01,46.12291027953044
2019-04-02,45.99052664688713
2019-04-03,46.51039349728779
2019-04-04,46.88102772216354
2019-04-05,47.28054626522288
2019-04-06,47.28054626522288
2019-04-07,47.28054626522288
2019-04-08,47.27332323726059
2019-04-09,48.21196533868645
2019-04-10,47.81724729701481
2019-04-11,48.33951681698765
2019-04-12,47.94240298637106
2019-04-13,47.94240298637106
2019-04-14,47.94240298637106
2019-04-15,47.793189812198506
2019-04-16,48.00498056217533
2019-04-17,48.02423854897235
2019-04-18,48.88584516554673
2019-04-19,48.88584516554673
2019-04-20,48.88584516554673
2019-04-21,48.88584516554673
2019-04-22,48.81605057669939
2019-04-23,49.201133444879666
2019-04-24,49.90631139584087
2019-04-25,49.77875103571295
2019-04-26,49.314248208291936
2019-04-27,49.314248208291936
2019-04-28,49.314248208291936
2019-04-29,49.193913935106565
2019-04-30,48.87141614236544
2019-05-01,50.51280793629439
2019-05-02,50.50318621319605
2019-05-03,50.75588734787224
2019-05-04,50.75588734787224
2019-05-05,50.75588734787224
2019-05-06,49.167437497378444
2019-05-07,49.550115242252154
2019-05-08,48.59222627219422
2019-05-09,48.23120986997865
2019-05-10,47.69697418993466
2019-05-11,47.69697418993466
2019-05-12,47.69697418993466
2019-05-13,45.35103537093668
2019-05-14,45.0369476380204
2019-05-15,45.00312209900095
2019-05-16,45.882554122355145
2019-05-17,45.162583590666245
2019-05-18,45.162583590666245
2019-05-19,45.162583590666245
2019-05-20,44.3387118899672
2019-05-21,44.74944387248661
2019-05-22,44.61414327829246
2019-05-23,43.439963446446875
2019-05-24,43.53660218751483
2019-05-25,43.53660218751483
2019-05-26,43.53660218751483
2019-05-27,43.53660218751483
2019-05-28,43.227355556909174
2019-05-29,42.62334273214092
2019-05-30,42.99299459395478
2019-05-31,42.57744665911118
2019-06-01,42.57744665911118
2019-06-02,42.57744665911118
2019-06-03,42.42523695788012
2019-06-04,42.386576563948026
2019-06-05,44.52233583212056
2019-06-06,44.23241584227849
2019-06-07,45.06110694244085
2019-06-08,45.06110694244085
2019-06-09,45.06110694244085
2019-06-10,46.34158801603341
2019-06-11,47.078479435737
2019-06-12,46.85861358232424
2019-06-13,47.03982587835779
2019-06-14,46.27878911812286
2019-06-15,46.27878911812286
2019-06-16,46.27878911812286
2019-06-17,46.6049407766604
2019-06-18,47.365977694076996
2019-06-19,48.24300046803258
2019-06-20,48.409696812037026
2019-06-21,48.03038772009916
2019-06-22,48.03038772009916
2019-06-23,48.03038772009916
2019-06-24,47.967575388584194
2019-06-25,47.94099212865855
2019-06-26,47.78154086492724
2019-06-27,48.39037378602156
2019-06-28,48.00139156714963
2019-06-29,48.00139156714963
2019-06-30,48.00139156714963
2019-07-01,49.08618703698886
2019-07-02,48.66097294691626
2019-07-03,49.11276177949517
2019-07-04,49.11276177949517
2019-07-05,49.1296782920701
2019-07-06,49.1296782920701
2019-07-07,49.1296782920701
2019-07-08,48.516001674826214
2019-07-09,48.127026721913495
2019-07-10,48.76727367732864
2019-07-11,49.12000462480116
2019-07-12,48.91223288123992
2019-07-13,48.91223288123992
2019-07-14,48.91223288123992
2019-07-15,49.30845574892036
2019-07-16,49.429263550378856
2019-07-17,49.29879333923184
2019-07-18,49.286715208499935
2019-07-19,49.71918057659342
2019-07-20,49.71918057659342
2019-07-21,49.71918057659342
2019-07-22,49.20215505903965
2019-07-23,50.36426385844768
2019-07-24,50.173403133576265
2019-07-25,50.46814732321809
2019-07-26,50.127492664353355
2019-07-27,50.127492664353355
2019-07-28,50.127492664353355
2019-07-29,50.364257545413494
2019-07-30,50.43673721884813
2019-07-31,52.28741300477354
2019-08-01,51.67857459143183
2019-08-02,49.65636285613355
2019-08-03,49.65636285613355
2019-08-04,49.65636285613355
2019-08-05,47.8346881859645
2019-08-06,47.42881050746685
2019-08-07,47.211360150150746
2019-08-08,48.36863384667004
2019-08-09,48.81917611946049
2019-08-10,48.81917611946049
2019-08-11,48.81917611946049
2019-08-12,48.4117448043967
2019-08-13,48.751276523999074
2019-08-14,49.270256013580756
2019-08-15,49.34301807421358
2019-08-16,49.54188667970358
2019-08-17,49.54188667970358
2019-08-18,49.54188667970358
2019-08-19,51.07945846936586
2019-08-20,51.14251820107105
2019-08-21,51.65423068854102
2019-08-22,51.70273400375798
2019-08-23,50.79086733259233
2019-08-24,50.79086733259233
2019-08-25,50.79086733259233
2019-08-26,49.92506568344425
2019-08-27,50.41010836314897
2019-08-28,49.49823821143024
2019-08-29,50.565319369069755
2019-08-30,50.96790865265185
2019-08-31,50.96790865265185
2019-09-01,50.96790865265185
2019-09-02,50.96790865265185
2019-09-03,50.06330301545373
2019-09-04,50.538642032393774
2019-09-05,51.414138905061684
2019-09-06,51.91129996725446
2019-09-07,51.91129996725446
2019-09-08,51.91129996725446
2019-09-09,52.10289443879598
2019-09-10,51.865223434385136
2019-09-11,52.886228660827676
2019-09-12,54.51838967077539
2019-09-13,53.35428920200893
2019-09-14,53.35428920200893
2019-09-15,53.35428920200893
2019-09-16,52.80377685051422
2019-09-17,53.34459341069093
2019-09-18,53.6113710272628
2019-09-19,53.8417511183672
2019-09-20,53.688966527460025
2019-09-21,53.688966527460025
2019-09-22,53.688966527460025
2019-09-23,53.09965128998058
2019-09-24,53.604079140262336
2019-09-25,53.00264047162848
2019-09-26,53.35429112415064
2019-09-27,53.485245342103774
2019-09-28,53.485245342103774
2019-09-29,53.485245342103774
2019-09-30,53.572548726896756
2019-10-01,54.583868848866665
2019-10-02,54.09640532869202
2019-10-03,52.973540195249235
2019-10-04,54.7221050587801
2019-10-05,54.7221050587801
2019-10-06,54.7221050587801
2019-10-07,54.874889946746386
2019-10-08,54.765760066024995
2019-10-09,55.059200286865234
2019-10-10,55.277468478909825
2019-10-11,56.49491795036461
2019-10-12,56.49491795036461
2019-10-13,56.49491795036461
2019-10-14,56.96783498814905
2019-10-15,57.329184645912875
2019-10-16,56.59678252871698
2019-10-17,57.01391444189795
2019-10-18,56.89265428521666
2019-10-19,56.89265428521666
2019-10-20,56.89265428521666
2019-10-21,57.603238135258266
2019-10-22,58.48600711386628
2019-10-23,58.71397330586252
2019-10-24,59.29844404743762
2019-10-25,58.97105206448249
2019-10-26,58.97105206448249
2019-10-27,58.97105206448249
2019-10-28,60.00418233398393
2019-10-29,60.38007606629204
2019-10-30,59.35907575441926
2019-10-31,59.960520376396545
2019-11-01,60.51831029832907
2019-11-02,60.51831029832907
2019-11-03,60.51831029832907
2019-11-04,62.40754848251038
2019-11-05,62.33963360230424
2019-11-06,62.27173482824561
2019-11-07,62.937898111735926
2019-11-08,62.92571896771951
2019-11-09,62.92571896771951
2019-11-10,62.92571896771951
2019-11-11,62.83085790537784
2019-11-12,63.62140178686697
2019-11-13,63.51925696506541
2019-11-14,64.15657515121677
2019-11-15,64.13954089569823
2019-11-16,64.13954089569823
2019-11-17,64.13954089569823
2019-11-18,64.65522439690305
2019-11-19,65.16603918717709
2019-11-20,64.59197334198672
2019-11-21,64.1419725939807
2019-11-22,63.87439816250043
2019-11-23,63.87439816250043
2019-11-24,63.87439816250043
2019-11-25,63.90358181565176
2019-11-26,64.93253053034051
2019-11-27,64.60170146932671
2019-11-28,64.60170146932671
2019-11-29,64.84982508221611
2019-11-30,64.84982508221611
2019-12-01,64.84982508221611
2019-12-02,65.01279080974909
2019-12-03,62.83329366106024
2019-12-04,63.504649884871654
2019-12-05,64.16629951088656
2019-12-06,65.06387850752826
2019-12-07,65.06387850752826
2019-12-08,65.06387850752826
2019-12-09,65.67685748536404
2019-12-10,65.33631743524884
2019-12-11,65.38739535028351
2019-12-12,65.13685573532513
2019-12-13,66.03198885603383
2019-12-14,66.03198885603383
2019-12-15,66.03198885603383
2019-12-16,67.37958701490396
2019-12-17,68.00474118149926
2019-12-18,68.0606910672274
2019-12-19,67.98771830090254
2019-12-20,68.65176152576046
2019-12-21,68.65176152576046
2019-12-22,68.65176152576046
2019-12-23,68.2382592004273
2019-12-24,69.25014697561615
2019-12-25,69.25014697561615
2019-12-26,69.28179081998722
2019-12-27,70.81425273327086
2019-12-28,70.81425273327086
2019-12-29,70.81425273327086
2019-12-30,70.41045528735668
2019-12-31,70.52477560427792
2020-01-01,70.52477560427792
2020-01-02,72.05968880920676
2020-01-03,72.28101207284324
2020-01-04,72.28101207284324
2020-01-05,72.28101207284324
2020-01-06,71.46373804024232
2020-01-07,72.93536143574885
2020-01-08,72.28346133591573
2020-01-09,74.73538429189325
2020-01-10,75.55270400105542
2020-01-11,75.55270400105542
2020-01-12,75.55270400105542
2020-01-13,75.80568279163079
2020-01-14,77.03653030446604
2020-01-15,75.8567704514818
2020-01-16,76.28003170644548
2020-01-17,76.93191713314856
2020-01-18,76.93191713314856
2020-01-19,76.93191713314856
2020-01-20,76.93191713314856
2020-01-21,77.15573333553387
2020-01-22,77.4938062610222
2020-01-23,77.33330840217195
2020-01-24,77.9000473208939
2020-01-25,77.9000473208939
2020-01-26,77.9000473208939
2020-01-27,75.42134555526901
2020-01-28,76.0392291610324
2020-01-29,78.92168144343876
2020-01-30,77.97059023425881
2020-01-31,78.06545848772218
2020-02-01,78.06545848772218
2020-02-02,78.06545848772218
2020-02-03,74.02024707390015
2020-02-04,76.69839548849424
2020-02-05,78.6954571741798
2020-02-06,78.46438986970223
2020-02-07,78.60184524689816
2020-02-08,78.60184524689816
2020-02-09,78.60184524689816
2020-02-10,76.60490529334038
2020-02-11,78.90175299540124
2020-02-12,78.38239863386096
2020-02-13,79.0455961150054
2020-02-14,79.17969503939916
2020-02-15,79.17969503939916
2020-02-16,79.17969503939916
2020-02-17,79.17969503939916
2020-02-18,76.89260243818596
2020-02-19,78.02397122698356
2020-02-20,78.66524613176017
2020-02-21,77.6874903624011
