,price
2019-02-19,258.9800109863281
2019-02-20,258.1300048828125
2019-02-21,257.29998779296875
2019-02-22,257.6099853515625
2019-02-23,257.6099853515625
2019-02-24,257.6099853515625
2019-02-25,261.5
2019-02-26,258.0
2019-02-27,259.7699890136719
2019-02-28,262.3999938964844
2019-03-01,265.75
2019-03-02,265.75
2019-03-03,265.75
2019-03-04,266.70001220703125
2019-03-05,259.0
2019-03-06,257.3999938964844
2019-03-07,255.77000427246094
2019-03-08,251.49000549316406
2019-03-09,251.49000549316406
2019-03-10,251.49000549316406
2019-03-11,255.97999572753906
2019-03-12,261.8599853515625
2019-03-13,265.5
2019-03-14,265.260009765625
2019-03-15,258.0299987792969
2019-03-16,258.0299987792969
2019-03-17,258.0299987792969
2019-03-18,257.1099853515625
2019-03-19,259.42999267578125
2019-03-20,260.5400085449219
2019-03-21,259.0
2019-03-22,263.4700012207031
2019-03-23,263.4700012207031
2019-03-24,263.4700012207031
2019-03-25,259.2099914550781
2019-03-26,265.04998779296875
2019-03-27,265.5299987792969
2019-03-28,263.5
2019-03-29,265.4700012207031
2019-03-30,265.4700012207031
2019-03-31,265.4700012207031
2019-04-01,269.8500061035156
2019-04-02,272.8900146484375
2019-04-03,273.7099914550781
2019-04-04,270.9800109863281
2019-04-05,269.44000244140625
2019-04-06,269.44000244140625
2019-04-07,269.44000244140625
2019-04-08,266.9599914550781
2019-04-09,267.1199951171875
2019-04-10,269.4700012207031
2019-04-11,271.95001220703125
2019-04-12,273.010009765625
2019-04-13,273.010009765625
2019-04-14,273.010009765625
2019-04-15,271.8599853515625
2019-04-16,273.07000732421875
2019-04-17,272.1700134277344
2019-04-18,270.0899963378906
2019-04-19,270.0899963378906
2019-04-20,270.0899963378906
2019-04-21,270.0899963378906
2019-04-22,269.82000732421875
2019-04-23,272.5400085449219
2019-04-24,279.2200012207031
2019-04-25,278.3999938964844
2019-04-26,278.17999267578125
2019-04-27,278.17999267578125
2019-04-28,278.17999267578125
2019-04-29,286.4599914550781
2019-04-30,286.1000061035156
2019-05-01,291.0
2019-05-02,283.1400146484375
2019-05-03,282.55999755859375
2019-05-04,282.55999755859375
2019-05-05,282.55999755859375
2019-05-06,277.6000061035156
2019-05-07,278.82000732421875
2019-05-08,275.8299865722656
2019-05-09,274.1600036621094
2019-05-10,273.5799865722656
2019-05-11,273.5799865722656
2019-05-12,273.5799865722656
2019-05-13,270.57000732421875
2019-05-14,269.42999267578125
2019-05-15,269.82000732421875
2019-05-16,278.6300048828125
2019-05-17,281.67999267578125
2019-05-18,281.67999267578125
2019-05-19,281.67999267578125
2019-05-20,276.1000061035156
2019-05-21,278.2099914550781
2019-05-22,277.4200134277344
2019-05-23,278.2900085449219
2019-05-24,273.5400085449219
2019-05-25,273.5400085449219
2019-05-26,273.5400085449219
2019-05-27,273.5400085449219
2019-05-28,276.489990234375
2019-05-29,275.2900085449219
2019-05-30,274.42999267578125
2019-05-31,271.2799987792969
2019-06-01,271.2799987792969
2019-06-02,271.2799987792969
2019-06-03,270.510009765625
2019-06-04,263.2699890136719
2019-06-05,272.7799987792969
2019-06-06,273.7200012207031
2019-06-07,275.8699951171875
2019-06-08,275.8699951171875
2019-06-09,275.8699951171875
2019-06-10,280.9800109863281
2019-06-11,283.9100036621094
2019-06-12,276.1300048828125
2019-06-13,278.5899963378906
2019-06-14,275.9100036621094
2019-06-15,275.9100036621094
2019-06-16,275.9100036621094
2019-06-17,274.6300048828125
2019-06-18,280.3699951171875
2019-06-19,287.0
2019-06-20,293.25
2019-06-21,301.4599914550781
2019-06-22,301.4599914550781
2019-06-23,301.4599914550781
2019-06-24,300.0
2019-06-25,299.2099914550781
2019-06-26,291.260009765625
2019-06-27,290.0400085449219
2019-06-28,294.5
2019-06-29,294.5
2019-06-30,294.5
2019-07-01,299.54998779296875
2019-07-02,301.19000244140625
2019-07-03,302.0
2019-07-04,302.0
2019-07-05,304.010009765625
2019-07-06,304.010009765625
2019-07-07,304.010009765625
2019-07-08,302.760009765625
