,price
2019-02-19,134.22873354478924
2019-02-20,135.70592451153863
2019-02-21,135.23750481703297
2019-02-22,136.57061253987567
2019-02-23,136.57061253987567
2019-02-24,136.57061253987567
2019-02-25,138.76842223919823
2019-02-26,137.3993034025213
2019-02-27,136.98500629886183
2019-02-28,137.52538702727585
2019-03-01,138.93956354309293
2019-03-02,138.93956354309293
2019-03-03,138.93956354309293
2019-03-04,138.61527802170656
2019-03-05,138.21898128429703
2019-03-06,137.33626219399883
2019-03-07,137.03723470487654
2019-03-08,134.9184496271734
2019-03-09,134.9184496271734
2019-03-10,134.9184496271734
2019-03-11,135.7061925070207
2019-03-12,137.39935996213964
2019-03-13,138.26860992667665
2019-03-14,138.83896759112076
2019-03-15,138.54019875684043
2019-03-16,138.54019875684043
2019-03-17,138.54019875684043
2019-03-18,140.6226886796919
2019-03-19,140.34199402555717
2019-03-20,139.8258981253201
2019-03-21,138.9295557175648
2019-03-22,140.27865213363185
2019-03-23,140.27865213363185
2019-03-24,140.27865213363185
2019-03-25,138.9657497400933
2019-03-26,140.44160990359327
2019-03-27,141.62771725182114
2019-03-28,142.18004969666774
2019-03-29,144.4074157080085
2019-03-30,144.4074157080085
2019-03-31,144.4074157080085
2019-04-01,145.9556727679838
2019-04-02,147.16895610601878
2019-04-03,147.08746808554503
2019-04-04,146.10960234766404
2019-04-05,144.93256042895226
2019-04-06,144.93256042895226
2019-04-07,144.93256042895226
2019-04-08,144.82388051671322
2019-04-09,144.71524513057796
2019-04-10,144.98688139052865
2019-04-11,145.80174951683352
2019-04-12,146.8248931097912
2019-04-13,146.8248931097912
2019-04-14,146.8248931097912
2019-04-15,147.6126311301225
2019-04-16,148.86212841132425
2019-04-17,147.15991627614977
2019-04-18,148.24643180475283
2019-04-19,148.24643180475283
2019-04-20,148.24643180475283
2019-04-21,148.24643180475283
2019-04-22,146.36312002888562
2019-04-23,146.68906714785453
2019-04-24,149.61365004921538
2019-04-25,147.295673007973
2019-04-26,148.88021520063987
2019-04-27,148.88021520063987
2019-04-28,148.88021520063987
2019-04-29,148.36412235781432
2019-04-30,147.8390093447647
2019-05-01,145.7746042893399
2019-05-02,142.5693609361482
2019-05-03,144.58851301408248
2019-05-04,144.58851301408248
2019-05-05,144.58851301408248
2019-05-06,142.49696381906173
2019-05-07,143.20319451192933
2019-05-08,143.0583060376839
2019-05-09,143.05830155250592
2019-05-10,144.75148335779286
2019-05-11,144.75148335779286
2019-05-12,144.75148335779286
2019-05-13,143.42954592663668
2019-05-14,142.65992257464202
2019-05-15,142.75951957113293
2019-05-16,144.19008639216023
2019-05-17,145.22231731326602
2019-05-18,145.22231731326602
2019-05-19,145.22231731326602
2019-05-20,144.9597008915025
2019-05-21,147.078439807885
2019-05-22,147.29573588500477
2019-05-23,146.4446636438784
2019-05-24,146.7886920230471
2019-05-25,146.7886920230471
2019-05-26,146.7886920230471
2019-05-27,146.7886920230471
2019-05-28,146.65286531636744
2019-05-29,145.8560934119719
2019-05-30,145.29472281040972
2019-05-31,144.2534789420081
2019-06-01,144.2534789420081
2019-06-02,144.2534789420081
2019-06-03,145.3671561851978
2019-06-04,142.6599187155449
2019-06-05,144.96877779775681
2019-06-06,147.2866835248726
2019-06-07,149.40537144314578
2019-06-08,149.40537144314578
2019-06-09,149.40537144314578
2019-06-10,151.48787101331402
2019-06-11,152.59251825101478
2019-06-12,149.67700560763882
2019-06-13,150.30518264293414
2019-06-14,149.63190205675
2019-06-15,149.63190205675
2019-06-16,149.63190205675
2019-06-17,151.1057305834694
2019-06-18,152.45225656108263
2019-06-19,153.09823048056933
2019-06-20,154.63574983076953
2019-06-21,154.11715034901107
2019-06-22,154.11715034901107
2019-06-23,154.11715034901107
2019-06-24,153.53487395944825
2019-06-25,152.89804543195982
2019-06-26,150.78734613168646
2019-06-27,148.92227103969407
2019-06-28,149.50453952335675
2019-06-29,149.50453952335675
2019-06-30,149.50453952335675
2019-07-01,152.49770571774252
2019-07-02,145.27407167548992
2019-07-03,148.2945343423656
2019-07-04,148.2945343423656
2019-07-05,148.28543207891727
2019-07-06,148.28543207891727
2019-07-07,148.28543207891727
2019-07-08,149.73198939856553
2019-07-09,148.44008927134578
2019-07-10,149.45904873625832
2019-07-11,150.0049306563894
2019-07-12,150.06863852791165
2019-07-13,150.06863852791165
2019-07-14,150.06863852791165
2019-07-15,150.55078302950994
2019-07-16,150.15959688427557
2019-07-17,149.6228116642798
2019-07-18,150.41432971572053
2019-07-19,153.45299412124277
2019-07-20,153.45299412124277
2019-07-21,153.45299412124277
2019-07-22,151.91549712374487
2019-07-23,153.09818120791473
2019-07-24,152.36127905714898
2019-07-25,151.88818935844643
2019-07-26,152.48864384191143
2019-07-27,152.48864384191143
2019-07-28,152.48864384191143
2019-07-29,153.87150180102063
2019-07-30,152.23390001273347
2019-07-31,156.48258274149632
2019-08-01,150.34155498480854
2019-08-02,149.19522845612101
2019-08-03,149.19522845612101
2019-08-04,149.19522845612101
2019-08-05,148.03071558406265
2019-08-06,145.592468514032
2019-08-07,147.28467197683315
2019-08-08,151.0329734754477
2019-08-09,154.61752701905024
2019-08-10,154.61752701905024
2019-08-11,154.61752701905024
2019-08-12,152.30671266572014
2019-08-13,150.41432618070448
2019-08-14,151.4423391774287
2019-08-15,149.36806052772886
2019-08-16,151.7699353001512
2019-08-17,151.7699353001512
2019-08-18,151.7699353001512
2019-08-19,153.7805354666724
2019-08-20,153.38023654156012
2019-08-21,153.65312235740888
2019-08-22,154.25364265425063
2019-08-23,153.80782789297834
2019-08-24,153.80782789297834
2019-08-25,153.80782789297834
2019-08-26,151.6152651920742
2019-08-27,152.97082397166295
2019-08-28,150.97840714588312
2019-08-29,154.0352730269057
2019-08-30,155.3089762674508
2019-08-31,155.3089762674508
2019-09-01,155.3089762674508
2019-09-02,155.3089762674508
2019-09-03,152.61601705104135
2019-09-04,153.3256043691391
2019-09-05,155.70925235852508
2019-09-06,158.06562571895873
2019-09-07,158.06562571895873
2019-09-08,158.06562571895873
2019-09-09,157.9018429346059
2019-09-10,151.87907979657865
2019-09-11,148.42190556424106
2019-09-12,147.34289453331155
2019-09-13,147.23319554130333
2019-09-14,147.23319554130333
2019-09-15,147.23319554130333
2019-09-16,145.27664695764372
2019-09-17,144.81950545643082
2019-09-18,144.75553153180516
2019-09-19,145.61493698677302
2019-09-20,145.5692521566465
2019-09-21,145.5692521566465
2019-09-22,145.5692521566465
2019-09-23,145.15779724253093
2019-09-24,146.39203387854326
2019-09-25,146.35549841336123
2019-09-26,148.33031163815775
2019-09-27,149.74742153871753
2019-09-28,149.74742153871753
2019-09-29,149.74742153871753
2019-09-30,147.04119933588757
2019-10-01,148.39431357625412
2019-10-02,145.3406508967213
2019-10-03,142.9544232950724
2019-10-04,144.57266946440083
2019-10-05,144.57266946440083
2019-10-06,144.57266946440083
2019-10-07,145.322386004101
2019-10-08,144.04241897122415
2019-10-09,144.12470108239793
2019-10-10,144.3898216508941
2019-10-11,148.4857035384772
2019-10-12,148.4857035384772
2019-10-13,148.4857035384772
2019-10-14,148.70514693768257
2019-10-15,148.60456303058925
2019-10-16,149.7017038674792
2019-10-17,150.43310142126154
2019-10-18,150.24109087304905
2019-10-19,150.24109087304905
2019-10-20,150.24109087304905
2019-10-21,150.01256650861976
2019-10-22,148.43086795100734
2019-10-23,145.61495013952094
2019-10-24,147.15087594212412
2019-10-25,148.11999711172632
2019-10-26,148.11999711172632
2019-10-27,148.11999711172632
2019-10-28,148.64116044614937
2019-10-29,148.6868855519909
2019-10-30,145.18524529564598
2019-10-31,149.40914428048973
2019-11-01,149.3908406815224
2019-11-02,149.3908406815224
2019-11-03,149.3908406815224
2019-11-04,150.1313824068942
2019-11-05,147.51661006561895
2019-11-06,144.33493996729635
2019-11-07,146.7760213825417
2019-11-08,147.86405543067943
2019-11-09,147.86405543067943
