,price
2019-02-19,160.42999267578125
2019-02-20,160.5500030517578
2019-02-21,159.63999938964844
2019-02-22,160.8699951171875
2019-02-23,160.8699951171875
2019-02-24,160.8699951171875
2019-02-25,163.5399932861328
2019-02-26,163.77999877929688
2019-02-27,162.58999633789062
2019-02-28,164.07000732421875
2019-03-01,167.77000427246094
2019-03-02,167.77000427246094
2019-03-03,167.77000427246094
2019-03-04,161.0
2019-03-05,158.1999969482422
2019-03-06,154.75999450683594
2019-03-07,152.89999389648438
2019-03-08,150.2899932861328
2019-03-09,150.2899932861328
2019-03-10,150.2899932861328
2019-03-11,152.38999938964844
2019-03-12,154.36000061035156
2019-03-13,155.33999633789062
2019-03-14,153.0500030517578
2019-03-15,152.6999969482422
2019-03-16,152.6999969482422
2019-03-17,152.6999969482422
2019-03-18,153.2899932861328
2019-03-19,154.6199951171875
2019-03-20,156.0
2019-03-21,154.27000427246094
2019-03-22,158.0
2019-03-23,158.0
2019-03-24,158.0
2019-03-25,153.52999877929688
2019-03-26,155.49000549316406
2019-03-27,155.64999389648438
2019-03-28,153.74000549316406
2019-03-29,154.69000244140625
2019-03-30,154.69000244140625
2019-03-31,154.69000244140625
2019-04-01,158.22000122070312
2019-04-02,163.52999877929688
2019-04-03,165.5500030517578
2019-04-04,166.69000244140625
2019-04-05,166.0399932861328
2019-04-06,166.0399932861328
2019-04-07,166.0399932861328
2019-04-08,165.82000732421875
2019-04-09,166.14999389648438
2019-04-10,167.3000030517578
2019-04-11,171.32000732421875
2019-04-12,173.02000427246094
2019-04-13,173.02000427246094
2019-04-14,173.02000427246094
2019-04-15,172.00999450683594
2019-04-16,173.0
2019-04-17,173.1199951171875
2019-04-18,168.35000610351562
2019-04-19,168.35000610351562
2019-04-20,168.35000610351562
2019-04-21,168.35000610351562
2019-04-22,168.69000244140625
2019-04-23,173.0
2019-04-24,175.0399932861328
2019-04-25,176.75999450683594
2019-04-26,175.3699951171875
2019-04-27,175.3699951171875
2019-04-28,175.3699951171875
2019-04-29,177.2899932861328
2019-04-30,176.6699981689453
2019-05-01,178.92999267578125
2019-05-02,173.63999938964844
2019-05-03,174.72000122070312
2019-05-04,174.72000122070312
2019-05-05,174.72000122070312
2019-05-06,171.8000030517578
2019-05-07,173.0
2019-05-08,170.33999633789062
2019-05-09,169.22999572753906
2019-05-10,170.63999938964844
2019-05-11,170.63999938964844
2019-05-12,170.63999938964844
2019-05-13,168.0500030517578
2019-05-14,166.72999572753906
2019-05-15,168.1699981689453
2019-05-16,174.14999389648438
2019-05-17,174.97000122070312
2019-05-18,174.97000122070312
2019-05-19,174.97000122070312
2019-05-20,172.42999267578125
2019-05-21,172.75999450683594
2019-05-22,173.8699951171875
2019-05-23,170.00999450683594
2019-05-24,160.67999267578125
2019-05-25,160.67999267578125
2019-05-26,160.67999267578125
2019-05-27,160.67999267578125
2019-05-28,161.52000427246094
2019-05-29,160.0
2019-05-30,161.8699951171875
2019-05-31,160.0
2019-06-01,160.0
2019-06-02,160.0
2019-06-03,161.4199981689453
2019-06-04,157.5800018310547
2019-06-05,162.32000732421875
2019-06-06,161.08999633789062
2019-06-07,162.0399932861328
2019-06-08,162.0399932861328
2019-06-09,162.0399932861328
2019-06-10,166.3800048828125
2019-06-11,166.94000244140625
2019-06-12,163.4600067138672
2019-06-13,164.5399932861328
2019-06-14,161.85000610351562
2019-06-15,161.85000610351562
2019-06-16,161.85000610351562
2019-06-17,158.38999938964844
2019-06-18,159.8699951171875
2019-06-19,163.00999450683594
2019-06-20,169.02999877929688
2019-06-21,169.3300018310547
2019-06-22,169.3300018310547
2019-06-23,169.3300018310547
2019-06-24,171.3699951171875
2019-06-25,169.27999877929688
2019-06-26,164.1699981689453
2019-06-27,163.14999389648438
2019-06-28,166.1199951171875
2019-06-29,166.1199951171875
2019-06-30,166.1199951171875
2019-07-01,166.99000549316406
2019-07-02,169.11000061035156
2019-07-03,170.36000061035156
2019-07-04,170.36000061035156
2019-07-05,170.38999938964844
2019-07-06,170.38999938964844
2019-07-07,170.38999938964844
2019-07-08,170.75
2019-07-09,168.77000427246094
2019-07-10,172.50999450683594
2019-07-11,173.11000061035156
2019-07-12,174.4600067138672
2019-07-13,174.4600067138672
2019-07-14,174.4600067138672
2019-07-15,174.89999389648438
2019-07-16,174.02000427246094
2019-07-17,170.64999389648438
2019-07-18,170.67999267578125
2019-07-19,173.3000030517578
2019-07-20,173.3000030517578
2019-07-21,173.3000030517578
2019-07-22,170.30999755859375
2019-07-23,171.4499969482422
2019-07-24,169.02000427246094
2019-07-25,171.91000366210938
2019-07-26,170.22999572753906
2019-07-27,170.22999572753906
2019-07-28,170.22999572753906
2019-07-29,168.30999755859375
2019-07-30,162.0800018310547
2019-07-31,160.27999877929688
2019-08-01,156.1199951171875
2019-08-02,153.22999572753906
2019-08-03,153.22999572753906
2019-08-04,153.22999572753906
2019-08-05,143.5800018310547
2019-08-06,145.25999450683594
2019-08-07,141.8800048828125
2019-08-08,146.47999572753906
2019-08-09,151.0399932861328
2019-08-10,151.0399932861328
2019-08-11,151.0399932861328
2019-08-12,149.52999877929688
2019-08-13,148.58999633789062
2019-08-14,148.52000427246094
2019-08-15,144.99000549316406
2019-08-16,144.7100067138672
2019-08-17,144.7100067138672
2019-08-18,144.7100067138672
2019-08-19,146.75
2019-08-20,145.72000122070312
2019-08-21,147.75
2019-08-22,145.89999389648438
2019-08-23,144.39999389648438
2019-08-24,144.39999389648438
2019-08-25,144.39999389648438
2019-08-26,145.82000732421875
2019-08-27,149.4499969482422
2019-08-28,131.42999267578125
2019-08-29,142.02000427246094
2019-08-30,143.7899932861328
2019-08-31,143.7899932861328
2019-09-01,143.7899932861328
2019-09-02,143.7899932861328
2019-09-03,141.0
2019-09-04,142.55999755859375
2019-09-05,146.27999877929688
2019-09-06,148.8300018310547
2019-09-07,148.8300018310547
2019-09-08,148.8300018310547
2019-09-09,151.02000427246094
2019-09-10,149.97999572753906
2019-09-11,149.27000427246094
2019-09-12,155.6699981689453
2019-09-13,155.52999877929688
2019-09-14,155.52999877929688
2019-09-15,155.52999877929688
2019-09-16,152.47000122070312
2019-09-17,152.25
2019-09-18,152.1300048828125
2019-09-19,151.38999938964844
2019-09-20,153.13999938964844
2019-09-21,153.13999938964844
2019-09-22,153.13999938964844
2019-09-23,152.4600067138672
2019-09-24,152.94000244140625
2019-09-25,148.85000610351562
2019-09-26,146.86000061035156
2019-09-27,149.3699951171875
2019-09-28,149.3699951171875
2019-09-29,149.3699951171875
2019-09-30,145.74000549316406
2019-10-01,148.5
2019-10-02,143.99000549316406
2019-10-03,142.3699951171875
2019-10-04,145.8800048828125
2019-10-05,145.8800048828125
2019-10-06,145.8800048828125
2019-10-07,145.97999572753906
2019-10-08,146.1699981689453
2019-10-09,147.32000732421875
2019-10-10,147.9499969482422
2019-10-11,147.16000366210938
2019-10-12,147.16000366210938
2019-10-13,147.16000366210938
2019-10-14,149.7100067138672
2019-10-15,150.55999755859375
2019-10-16,147.85000610351562
2019-10-17,146.02000427246094
2019-10-18,144.02000427246094
2019-10-19,144.02000427246094
2019-10-20,144.02000427246094
2019-10-21,140.89999389648438
2019-10-22,142.02000427246094
2019-10-23,139.57000732421875
2019-10-24,143.0
2019-10-25,144.97999572753906
2019-10-26,144.97999572753906
2019-10-27,144.97999572753906
2019-10-28,146.99000549316406
2019-10-29,146.97999572753906
2019-10-30,146.24000549316406
2019-10-31,148.75999450683594
2019-11-01,148.60000610351562
2019-11-02,148.60000610351562
2019-11-03,148.60000610351562
2019-11-04,151.14999389648438
2019-11-05,152.0399932861328
2019-11-06,151.67999267578125
2019-11-07,152.30999755859375
2019-11-08,150.7899932861328
2019-11-09,150.7899932861328
2019-11-10,150.7899932861328
2019-11-11,152.38999938964844
2019-11-12,154.77999877929688
2019-11-13,156.83999633789062
2019-11-14,158.41000366210938
2019-11-15,158.36000061035156
2019-11-16,158.36000061035156
2019-11-17,158.36000061035156
2019-11-18,160.02999877929688
2019-11-19,163.47000122070312
2019-11-20,165.0
2019-11-21,165.3300018310547
2019-11-22,165.9600067138672
2019-11-23,165.9600067138672
2019-11-24,165.9600067138672
2019-11-25,168.0
2019-11-26,169.7899932861328
2019-11-27,170.52999877929688
2019-11-28,170.52999877929688
2019-11-29,178.5
2019-11-30,178.5
2019-12-01,178.5
2019-12-02,180.69000244140625
2019-12-03,172.1999969482422
2019-12-04,175.08999633789062
2019-12-05,177.55999755859375
2019-12-06,177.92999267578125
2019-12-07,177.92999267578125
2019-12-08,177.92999267578125
2019-12-09,179.30999755859375
2019-12-10,178.5
2019-12-11,179.0800018310547
2019-12-12,175.75999450683594
2019-12-13,178.4199981689453
2019-12-14,178.4199981689453
2019-12-15,178.4199981689453
2019-12-16,180.1300048828125
2019-12-17,184.61000061035156
2019-12-18,182.0
2019-12-19,184.0
2019-12-20,185.75
2019-12-21,185.75
2019-12-22,185.75
2019-12-23,183.17999267578125
2019-12-24,183.1999969482422
2019-12-25,183.1999969482422
2019-12-26,184.39999389648438
2019-12-27,185.3000030517578
2019-12-28,185.3000030517578
2019-12-29,185.3000030517578
2019-12-30,184.6300048828125
2019-12-31,183.0500030517578
2020-01-01,183.0500030517578
2020-01-02,184.2100067138672
2020-01-03,184.49000549316406
2020-01-04,184.49000549316406
2020-01-05,184.49000549316406
2020-01-06,183.77999877929688
2020-01-07,186.1300048828125
2020-01-08,188.22000122070312
2020-01-09,191.7100067138672
2020-01-10,193.16000366210938
2020-01-11,193.16000366210938
2020-01-12,193.16000366210938
2020-01-13,190.0
2020-01-14,192.25
2020-01-15,190.94000244140625
2020-01-16,192.50999450683594
2020-01-17,192.3800048828125
2020-01-18,192.3800048828125
2020-01-19,192.3800048828125
2020-01-20,192.3800048828125
2020-01-21,194.00999450683594
2020-01-22,197.47000122070312
2020-01-23,195.38999938964844
2020-01-24,199.42999267578125
2020-01-25,199.42999267578125
2020-01-26,199.42999267578125
2020-01-27,195.77000427246094
2020-01-28,196.25999450683594
2020-01-29,200.9199981689453
2020-01-30,198.4199981689453
2020-01-31,198.77000427246094
2020-02-01,198.77000427246094
2020-02-02,198.77000427246094
2020-02-03,197.86000061035156
2020-02-04,202.0
2020-02-05,206.72000122070312
2020-02-06,203.6199951171875
