,price
2019-02-19,66.67256593618207
2019-02-20,66.96617404616656
2019-02-21,67.27652029391867
2019-02-22,68.1741145773429
2019-02-23,68.1741145773429
2019-02-24,68.1741145773429
2019-02-25,68.44253559160113
2019-02-26,67.91408273791751
2019-02-27,67.19265820704486
2019-02-28,67.69594998752162
2019-03-01,68.03989495361049
2019-03-02,68.03989495361049
2019-03-03,68.03989495361049
2019-03-04,68.57678252064632
2019-03-05,68.2076732473018
2019-03-06,68.06506788074196
2019-03-07,68.4509416082912
2019-03-08,68.52644608436131
2019-03-09,68.52644608436131
2019-03-10,68.52644608436131
2019-03-11,68.87876313409845
2019-03-12,69.61696301346156
2019-03-13,69.62534930987367
2019-03-14,69.75117851262806
2019-03-15,69.79311993343647
2019-03-16,69.79311993343647
2019-03-17,69.79311993343647
2019-03-18,70.296434684937
2019-03-19,69.91055025503437
2019-03-20,69.56661827910175
2019-03-21,69.53305932989298
2019-03-22,70.95075756652638
2019-03-23,70.95075756652638
2019-03-24,70.95075756652638
2019-03-25,71.52117315622927
2019-03-26,71.61343255968212
2019-03-27,72.16709369766549
2019-03-28,71.48761729395764
2019-03-29,70.12866348941644
2019-03-30,70.12866348941644
2019-03-31,70.12866348941644
2019-04-01,70.38031985558409
2019-04-02,69.80989129956946
2019-04-03,69.65889226330852
2019-04-04,69.84344151114828
2019-04-05,69.47434807073274
2019-04-06,69.47434807073274
2019-04-07,69.47434807073274
2019-04-08,69.94410904497296
2019-04-09,69.69245334697241
2019-04-10,70.38032832519094
2019-04-11,69.9608716853646
2019-04-12,70.06993924459789
2019-04-13,70.06993924459789
2019-04-14,70.06993924459789
2019-04-15,70.5900445627313
2019-04-16,70.50615702376632
2019-04-17,69.70921379099129
2019-04-18,69.65051003237345
2019-04-19,69.65051003237345
2019-04-20,69.65051003237345
2019-04-21,69.65051003237345
2019-04-22,69.5666275024414
2019-04-23,69.62534304659243
2019-04-24,70.19577832941674
2019-04-25,70.06156602060308
2019-04-26,71.69733431145887
2019-04-27,71.69733431145887
2019-04-28,71.69733431145887
2019-04-29,70.83330205614016
2019-04-30,70.51452951611365
2019-05-01,71.47922130226415
2019-05-02,71.1604550652368
2019-05-03,71.18562288903209
2019-05-04,71.18562288903209
2019-05-05,71.18562288903209
2019-05-06,71.75606636046476
2019-05-07,71.27789899366716
2019-05-08,70.81651775084309
2019-05-09,70.30535784858968
2019-05-10,70.17852787428784
2019-05-11,70.17852787428784
2019-05-12,70.17852787428784
2019-05-13,71.5907144013225
2019-05-14,72.97755185605033
2019-05-15,72.5293624638622
2019-05-16,71.86976661283983
2019-05-17,71.81903319829826
2019-05-18,71.81903319829826
2019-05-19,71.81903319829826
2019-05-20,72.88452828307292
2019-05-21,72.99446029238985
2019-05-22,73.37498328302803
2019-05-23,74.05995490335329
2019-05-24,74.54193696681104
2019-05-25,74.54193696681104
2019-05-26,74.54193696681104
2019-05-27,74.54193696681104
2019-05-28,74.74490639592446
2019-05-29,73.62021178467224
2019-05-30,72.47861559356693
2019-05-31,72.36023563834179
2019-06-01,72.36023563834179
2019-06-02,72.36023563834179
2019-06-03,73.01982758141094
2019-06-04,73.68785098684836
2019-06-05,73.91619690746505
2019-06-06,75.68354827033149
2019-06-07,76.563002975846
2019-06-08,76.563002975846
2019-06-09,76.563002975846
2019-06-10,75.51442970454218
2019-06-11,75.23537310820812
2019-06-12,75.16771726813542
2019-06-13,75.71737374336467
2019-06-14,75.95415447696928
2019-06-15,75.95415447696928
2019-06-16,75.95415447696928
2019-06-17,76.70676110773232
2019-06-18,76.67293310446185
2019-06-19,75.70046787292812
2019-06-20,77.17186530553134
2019-06-21,77.16339329123319
2019-06-22,77.16339329123319
2019-06-23,77.16339329123319
2019-06-24,77.42552627188482
