,price
2019-02-19,36.835531702318875
2019-02-20,37.16634992057404
2019-02-21,37.02395645488401
2019-02-22,36.9195117720469
2019-02-23,36.9195117720469
2019-02-24,36.9195117720469
2019-02-25,37.89732977997945
2019-02-26,37.527092575907474
2019-02-27,37.30874320544968
2019-02-28,36.53029818538343
2019-03-01,36.70116341097542
2019-03-02,36.70116341097542
2019-03-03,36.70116341097542
2019-03-04,36.995468380179524
2019-03-05,37.194833492493
2019-03-06,36.910027697838586
2019-03-07,36.02715191605848
2019-03-08,34.97338910497761
2019-03-09,34.97338910497761
2019-03-10,34.97338910497761
2019-03-11,36.02714944844929
2019-03-12,36.739146427195216
2019-03-13,36.96699151102155
2019-03-14,36.73915450038246
2019-03-15,37.35621491192399
2019-03-16,37.35621491192399
2019-03-17,37.35621491192399
2019-03-18,38.36250400076569
2019-03-19,38.163154451862184
2019-03-20,38.334023629164165
2019-03-21,37.77391375707445
2019-03-22,38.960586039480084
2019-03-23,38.960586039480084
2019-03-24,38.960586039480084
2019-03-25,37.67898239707779
2019-03-26,37.81188397415864
2019-03-27,37.660004212570236
2019-03-28,36.94799900861342
2019-03-29,37.080907343367464
2019-03-30,37.080907343367464
2019-03-31,37.080907343367464
2019-04-01,38.258073323877056
2019-04-02,38.92261581198001
2019-04-03,39.549169141211564
2019-04-04,39.93839744520513
2019-04-05,40.821274966811956
2019-04-06,40.821274966811956
2019-04-07,40.821274966811956
2019-04-08,40.754822343677056
2019-04-09,40.39406781169165
2019-04-10,39.78650428153126
2019-04-11,40.28016396689801
2019-04-12,40.82128600991111
2019-04-13,40.82128600991111
2019-04-14,40.82128600991111
2019-04-15,40.5839450678223
2019-04-16,40.91620288238966
2019-04-17,42.10287149480928
2019-04-18,41.780098316925915
2019-04-19,41.780098316925915
2019-04-20,41.780098316925915
2019-04-21,41.780098316925915
2019-04-22,41.637703868637836
2019-04-23,41.58073617806831
2019-04-24,41.68516642253874
2019-04-25,42.87183214989792
2019-04-26,41.39087025247083
2019-04-27,41.39087025247083
2019-04-28,41.39087025247083
2019-04-29,42.31172508123901
2019-04-30,41.91301113739481
2019-05-01,41.80858105344958
2019-05-02,40.992152479894884
2019-05-03,41.799092271728234
2019-05-04,41.799092271728234
2019-05-05,41.799092271728234
2019-05-06,40.261168048868825
2019-05-07,40.118773394319284
2019-05-08,39.58713963540415
2019-05-09,38.70426547776923
2019-05-10,38.751733199449326
2019-05-11,38.751733199449326
2019-05-12,38.751733199449326
2019-05-13,37.270771138938414
2019-05-14,37.52708258171746
2019-05-15,38.3624909535704
2019-05-16,39.20740756251067
2019-05-17,41.153539747349974
2019-05-18,41.153539747349974
2019-05-19,41.153539747349974
2019-05-20,39.68207006553455
2019-05-21,39.093488358454934
2019-05-22,38.88313502529769
2019-05-23,37.8335293748506
2019-05-24,38.42513551087674
2019-05-25,38.42513551087674
2019-05-26,38.42513551087674
2019-05-27,38.42513551087674
2019-05-28,37.98619588517492
2019-05-29,36.94613703718784
2019-05-30,37.64269196955742
2019-05-31,37.40414862229696
2019-06-01,37.40414862229696
2019-06-02,37.40414862229696
2019-06-03,37.18467772605098
2019-06-04,37.709482366527105
2019-06-05,38.930847240961356
2019-06-06,38.682754515223735
2019-06-07,39.69419151956043
2019-06-08,39.69419151956043
2019-06-09,39.69419151956043
2019-06-10,40.07587728311491
2019-06-11,41.898363024917366
2019-06-12,40.68654300406553
2019-06-13,39.70372922214649
2019-06-14,39.083502167672194
2019-06-15,39.083502167672194
2019-06-16,39.083502167672194
2019-06-17,39.22663173186995
2019-06-18,39.05489015229609
2019-06-19,40.73424709557679
2019-06-20,41.736163910102256
2019-06-21,40.93462961089123
2019-06-22,40.93462961089123
2019-06-23,40.93462961089123
2019-06-24,40.944189237126324
2019-06-25,40.31441661165282
2019-06-26,41.030050499657044
2019-06-27,41.879286122122245
2019-06-28,43.06246903913314
2019-06-29,43.06246903913314
2019-06-30,43.06246903913314
2019-07-01,44.49375512804016
2019-07-02,43.043391069272715
2019-07-03,42.48041307996507
2019-07-04,42.48041307996507
2019-07-05,42.213243451559215
2019-07-06,42.213243451559215
