,price
2019-02-19,23.6299991607666
2019-02-20,24.139999389648438
2019-02-21,24.040000915527344
2019-02-22,24.049999237060547
2019-02-23,24.049999237060547
2019-02-24,24.049999237060547
2019-02-25,25.010000228881836
2019-02-26,24.649999618530273
2019-02-27,24.110000610351562
2019-02-28,23.209999084472656
2019-03-01,23.969999313354492
2019-03-02,23.969999313354492
2019-03-03,23.969999313354492
2019-03-04,23.889999389648438
2019-03-05,23.34000015258789
2019-03-06,23.469999313354492
2019-03-07,22.329999923706055
2019-03-08,21.350000381469727
2019-03-09,21.350000381469727
2019-03-10,21.350000381469727
2019-03-11,22.149999618530273
2019-03-12,23.100000381469727
2019-03-13,23.65999984741211
2019-03-14,23.3700008392334
2019-03-15,23.100000381469727
2019-03-16,23.100000381469727
2019-03-17,23.100000381469727
2019-03-18,23.299999237060547
2019-03-19,23.600000381469727
2019-03-20,26.489999771118164
2019-03-21,25.780000686645508
2019-03-22,27.540000915527344
2019-03-23,27.540000915527344
2019-03-24,27.540000915527344
2019-03-25,26.290000915527344
2019-03-26,26.690000534057617
2019-03-27,25.700000762939453
2019-03-28,25.100000381469727
2019-03-29,25.579999923706055
2019-03-30,25.579999923706055
2019-03-31,25.579999923706055
2019-04-01,26.420000076293945
2019-04-02,26.510000228881836
2019-04-03,28.020000457763672
2019-04-04,28.8799991607666
2019-04-05,29.639999389648438
2019-04-06,29.639999389648438
2019-04-07,29.639999389648438
2019-04-08,28.690000534057617
2019-04-09,28.239999771118164
2019-04-10,27.459999084472656
2019-04-11,27.809999465942383
2019-04-12,28.209999084472656
2019-04-13,28.209999084472656
2019-04-14,28.209999084472656
2019-04-15,27.799999237060547
2019-04-16,27.719999313354492
2019-04-17,28.209999084472656
2019-04-18,27.600000381469727
2019-04-19,27.600000381469727
2019-04-20,27.600000381469727
2019-04-21,27.600000381469727
2019-04-22,27.6200008392334
2019-04-23,28.18000030517578
2019-04-24,28.100000381469727
2019-04-25,28.670000076293945
2019-04-26,27.65999984741211
2019-04-27,27.65999984741211
2019-04-28,27.65999984741211
2019-04-29,27.899999618530273
2019-04-30,27.59000015258789
2019-05-01,28.950000762939453
2019-05-02,26.940000534057617
2019-05-03,28.299999237060547
2019-05-04,28.299999237060547
2019-05-05,28.299999237060547
2019-05-06,26.719999313354492
2019-05-07,27.200000762939453
2019-05-08,26.40999984741211
2019-05-09,26.700000762939453
2019-05-10,27.030000686645508
2019-05-11,27.030000686645508
2019-05-12,27.030000686645508
2019-05-13,26.979999542236328
2019-05-14,26.530000686645508
2019-05-15,26.8700008392334
2019-05-16,27.3700008392334
2019-05-17,27.690000534057617
2019-05-18,27.690000534057617
2019-05-19,27.690000534057617
2019-05-20,26.979999542236328
2019-05-21,27.18000030517578
2019-05-22,27.1200008392334
2019-05-23,26.989999771118164
2019-05-24,26.610000610351562
2019-05-25,26.610000610351562
2019-05-26,26.610000610351562
2019-05-27,26.610000610351562
2019-05-28,27.270000457763672
2019-05-29,29.0
2019-05-30,28.399999618530273
2019-05-31,27.56999969482422
2019-06-01,27.56999969482422
2019-06-02,27.56999969482422
2019-06-03,28.75
2019-06-04,28.389999389648438
2019-06-05,29.93000030517578
2019-06-06,29.8700008392334
2019-06-07,31.940000534057617
2019-06-08,31.940000534057617
2019-06-09,31.940000534057617
2019-06-10,33.529998779296875
2019-06-11,33.43000030517578
2019-06-12,32.0
2019-06-13,32.38999938964844
2019-06-14,30.700000762939453
2019-06-15,30.700000762939453
2019-06-16,30.700000762939453
2019-06-17,30.25
2019-06-18,29.760000228881836
2019-06-19,30.670000076293945
2019-06-20,31.239999771118164
2019-06-21,29.649999618530273
2019-06-22,29.649999618530273
2019-06-23,29.649999618530273
2019-06-24,29.31999969482422
2019-06-25,29.260000228881836
2019-06-26,29.979999542236328
2019-06-27,30.40999984741211
2019-06-28,31.079999923706055
2019-06-29,31.079999923706055
2019-06-30,31.079999923706055
2019-07-01,31.790000915527344
2019-07-02,30.959999084472656
2019-07-03,31.1299991607666
2019-07-04,31.1299991607666
2019-07-05,30.8799991607666
2019-07-06,30.8799991607666
2019-07-07,30.8799991607666
2019-07-08,31.799999237060547
2019-07-09,31.760000228881836
2019-07-10,33.560001373291016
2019-07-11,33.90999984741211
2019-07-12,32.7599983215332
2019-07-13,32.7599983215332
2019-07-14,32.7599983215332
2019-07-15,33.34000015258789
2019-07-16,34.29999923706055
2019-07-17,34.0099983215332
2019-07-18,33.029998779296875
2019-07-19,33.08000183105469
2019-07-20,33.08000183105469
2019-07-21,33.08000183105469
2019-07-22,32.79999923706055
2019-07-23,33.16999816894531
2019-07-24,33.63999938964844
2019-07-25,34.04999923706055
2019-07-26,34.22999954223633
2019-07-27,34.22999954223633
2019-07-28,34.22999954223633
2019-07-29,34.13999938964844
2019-07-30,33.209999084472656
2019-07-31,32.08000183105469
2019-08-01,30.5
2019-08-02,29.479999542236328
2019-08-03,29.479999542236328
2019-08-04,29.479999542236328
2019-08-05,28.260000228881836
2019-08-06,28.860000610351562
2019-08-07,28.469999313354492
2019-08-08,31.530000686645508
2019-08-09,33.45000076293945
2019-08-10,33.45000076293945
2019-08-11,33.45000076293945
2019-08-12,34.15999984741211
2019-08-13,32.36000061035156
2019-08-14,31.0
2019-08-15,30.6299991607666
2019-08-16,30.309999465942383
2019-08-17,30.309999465942383
2019-08-18,30.309999465942383
2019-08-19,32.0
2019-08-20,30.940000534057617
2019-08-21,31.049999237060547
2019-08-22,31.760000228881836
2019-08-23,31.299999237060547
2019-08-24,31.299999237060547
2019-08-25,31.299999237060547
2019-08-26,30.34000015258789
2019-08-27,30.600000381469727
2019-08-28,29.920000076293945
2019-08-29,31.469999313354492
2019-08-30,31.600000381469727
2019-08-31,31.600000381469727
2019-09-01,31.600000381469727
2019-09-02,31.600000381469727
2019-09-03,30.829999923706055
2019-09-04,31.31999969482422
2019-09-05,31.790000915527344
2019-09-06,31.5
2019-09-07,31.5
2019-09-08,31.5
2019-09-09,30.93000030517578
2019-09-10,30.219999313354492
2019-09-11,30.3799991607666
2019-09-12,30.079999923706055
2019-09-13,30.270000457763672
2019-09-14,30.270000457763672
2019-09-15,30.270000457763672
2019-09-16,30.3700008392334
2019-09-17,31.06999969482422
2019-09-18,30.75
2019-09-19,30.56999969482422
2019-09-20,30.360000610351562
2019-09-21,30.360000610351562
2019-09-22,30.360000610351562
2019-09-23,30.1200008392334
2019-09-24,30.540000915527344
2019-09-25,29.479999542236328
2019-09-26,29.670000076293945
2019-09-27,29.170000076293945
2019-09-28,29.170000076293945
2019-09-29,29.170000076293945
2019-09-30,28.889999389648438
2019-10-01,29.049999237060547
2019-10-02,28.5
2019-10-03,28.280000686645508
2019-10-04,28.829999923706055
2019-10-05,28.829999923706055
2019-10-06,28.829999923706055
2019-10-07,28.899999618530273
2019-10-08,28.549999237060547
2019-10-09,28.799999237060547
2019-10-10,28.520000457763672
2019-10-11,28.829999923706055
2019-10-12,28.829999923706055
2019-10-13,28.829999923706055
2019-10-14,29.709999084472656
2019-10-15,30.700000762939453
2019-10-16,30.600000381469727
2019-10-17,31.299999237060547
2019-10-18,31.059999465942383
2019-10-19,31.059999465942383
2019-10-20,31.059999465942383
2019-10-21,31.5
2019-10-22,32.060001373291016
2019-10-23,31.09000015258789
2019-10-24,31.579999923706055
2019-10-25,31.899999618530273
2019-10-26,31.899999618530273
2019-10-27,31.899999618530273
2019-10-28,33.15999984741211
2019-10-29,33.72999954223633
2019-10-30,32.93000030517578
2019-10-31,32.97999954223633
2019-11-01,34.369998931884766
2019-11-02,34.369998931884766
2019-11-03,34.369998931884766
2019-11-04,35.189998626708984
2019-11-05,36.560001373291016
2019-11-06,36.060001373291016
2019-11-07,36.52000045776367
2019-11-08,36.060001373291016
2019-11-09,36.060001373291016
2019-11-10,36.060001373291016
2019-11-11,35.959999084472656
2019-11-12,36.43000030517578
2019-11-13,36.650001525878906
2019-11-14,37.5099983215332
2019-11-15,38.939998626708984
2019-11-16,38.939998626708984
2019-11-17,38.939998626708984
2019-11-18,38.650001525878906
2019-11-19,40.13999938964844
2019-11-20,40.959999084472656
2019-11-21,40.41999816894531
2019-11-22,39.36000061035156
2019-11-23,39.36000061035156
2019-11-24,39.36000061035156
2019-11-25,39.5
2019-11-26,39.29999923706055
2019-11-27,39.459999084472656
2019-11-28,39.459999084472656
2019-11-29,39.099998474121094
2019-11-30,39.099998474121094
2019-12-01,39.099998474121094
2019-12-02,39.31999969482422
2019-12-03,37.34000015258789
2019-12-04,39.380001068115234
2019-12-05,39.95000076293945
2019-12-06,40.099998474121094
2019-12-07,40.099998474121094
2019-12-08,40.099998474121094
2019-12-09,39.459999084472656
2019-12-10,39.20000076293945
2019-12-11,39.439998626708984
2019-12-12,39.400001525878906
2019-12-13,42.349998474121094
2019-12-14,42.349998474121094
2019-12-15,42.349998474121094
2019-12-16,41.72999954223633
2019-12-17,42.5099983215332
2019-12-18,42.790000915527344
2019-12-19,42.630001068115234
2019-12-20,43.439998626708984
2019-12-21,43.439998626708984
2019-12-22,43.439998626708984
2019-12-23,44.58000183105469
2019-12-24,46.099998474121094
2019-12-25,46.099998474121094
2019-12-26,46.9900016784668
2019-12-27,46.849998474121094
2019-12-28,46.849998474121094
2019-12-29,46.849998474121094
2019-12-30,46.13999938964844
2019-12-31,45.06999969482422
2020-01-01,45.06999969482422
2020-01-02,46.86000061035156
2020-01-03,48.029998779296875
2020-01-04,48.029998779296875
2020-01-05,48.029998779296875
2020-01-06,48.02000045776367
2020-01-07,49.349998474121094
2020-01-08,47.849998474121094
2020-01-09,48.939998626708984
2020-01-10,49.2599983215332
2020-01-11,49.2599983215332
2020-01-12,49.2599983215332
2020-01-13,48.65999984741211
2020-01-14,48.63999938964844
2020-01-15,48.22999954223633
2020-01-16,49.16999816894531
2020-01-17,50.20000076293945
2020-01-18,50.20000076293945
2020-01-19,50.20000076293945
2020-01-20,50.20000076293945
2020-01-21,50.959999084472656
2020-01-22,51.630001068115234
2020-01-23,51.34000015258789
2020-01-24,52.279998779296875
2020-01-25,52.279998779296875
2020-01-26,52.279998779296875
2020-01-27,48.45000076293945
2020-01-28,50.029998779296875
2020-01-29,47.84000015258789
2020-01-30,46.4900016784668
2020-01-31,48.400001525878906
2020-02-01,48.400001525878906
2020-02-02,48.400001525878906
2020-02-03,46.400001525878906
2020-02-04,49.209999084472656
2020-02-05,50.290000915527344
2020-02-06,48.79999923706055
2020-02-07,48.90999984741211
