,price
2019-02-19,161.15709818594522
2019-02-20,160.64215762770655
2019-02-21,159.9556564982802
2019-02-22,159.52656775257736
2019-02-23,159.52656775257736
2019-02-24,159.52656775257736
2019-02-25,161.90366571520522
2019-02-26,162.67605866802282
2019-02-27,161.9723541794403
2019-02-28,164.2379473685084
2019-03-01,164.24652563925383
2019-03-02,164.24652563925383
2019-03-03,164.24652563925383
2019-03-04,164.61554156441179
2019-03-05,163.05368908404276
2019-03-06,162.09252063340347
2019-03-07,156.97780038105898
2019-03-08,154.98679220775003
2019-03-09,154.98679220775003
2019-03-10,154.98679220775003
2019-03-11,156.05093956852116
2019-03-12,158.42808976923445
2019-03-13,158.50533296444812
2019-03-14,160.93395532509027
2019-03-15,161.73208153221708
2019-03-16,161.73208153221708
2019-03-17,161.73208153221708
2019-03-18,163.980464141354
2019-03-19,164.70992334751466
2019-03-20,164.3409277985891
2019-03-21,162.82196269670362
2019-03-22,163.87752291883552
2019-03-23,163.87752291883552
2019-03-24,163.87752291883552
2019-03-25,160.17013924799664
2019-03-26,160.95112690809245
2019-03-27,161.55185983682466
2019-03-28,160.54778734820962
2019-03-29,162.51299520352308
2019-03-30,162.51299520352308
2019-03-31,162.51299520352308
2019-04-01,164.03199126254674
2019-04-02,164.60695718402152
2019-04-03,165.78263058863917
2019-04-04,165.4995090674321
2019-04-05,166.3833707752803
2019-04-06,166.3833707752803
2019-04-07,166.3833707752803
2019-04-08,166.94120989014064
2019-04-09,166.13452684218973
2019-04-10,166.61508911924645
2019-04-11,166.9755319202188
2019-04-12,165.6453512017539
2019-04-13,165.6453512017539
2019-04-14,165.6453512017539
2019-04-15,164.63268310886116
2019-04-16,165.00171158872408
2019-04-17,161.63770050933812
2019-04-18,157.25239094383127
2019-04-19,157.25239094383127
2019-04-20,157.25239094383127
2019-04-21,157.25239094383127
2019-04-22,151.98316978234126
2019-04-23,151.8458622393892
2019-04-24,154.5920588418844
2019-04-25,151.96602229670805
2019-04-26,155.07258321394673
2019-04-27,155.07258321394673
2019-04-28,155.07258321394673
2019-04-29,155.7162407020146
2019-04-30,155.87069243553628
2019-05-01,150.52429162464185
2019-05-02,151.0906464699445
2019-05-03,151.8372796000867
2019-05-04,151.8372796000867
2019-05-05,151.8372796000867
2019-05-06,150.60149090087836
2019-05-07,150.3011619595446
2019-05-08,148.8937126695906
2019-05-09,146.9542835621976
2019-05-10,148.00124128581652
2019-05-11,148.00124128581652
2019-05-12,148.00124128581652
2019-05-13,145.23791546913236
2019-05-14,143.8991291983144
2019-05-15,143.51296202791858
2019-05-16,146.62679127735018
2019-05-17,146.51430631550184
2019-05-18,146.51430631550184
2019-05-19,146.51430631550184
2019-05-20,146.00361749732005
2019-05-21,146.94703917412642
2019-05-22,146.58349725547023
2019-05-23,148.3059840364401
2019-05-24,149.4139288245099
2019-05-25,149.4139288245099
2019-05-26,149.4139288245099
2019-05-27,149.4139288245099
2019-05-28,148.49644771932185
2019-05-29,145.41500985805484
2019-05-30,146.66145025935472
2019-05-31,145.46693399787674
2019-06-01,145.46693399787674
2019-06-02,145.46693399787674
2019-06-03,148.8772844029875
2019-06-04,150.63437164891764
2019-06-05,152.06256812535145
2019-06-06,151.28356305371418
2019-06-07,152.01928212076308
2019-06-08,152.01928212076308
2019-06-09,152.01928212076308
2019-06-10,152.2962682366815
2019-06-11,152.5732411112976
2019-06-12,151.73367480798947
2019-06-13,152.1924147980021
2019-06-14,153.179135766799
2019-06-15,153.179135766799
2019-06-16,153.179135766799
2019-06-17,152.37414937364696
2019-06-18,155.16992302000983
2019-06-19,157.08283017379452
2019-06-20,159.93922156745708
2019-06-21,159.16884113544452
2019-06-22,159.16884113544452
2019-06-23,159.16884113544452
2019-06-24,161.05580431283062
2019-06-25,159.78337583395955
2019-06-26,159.87864814559057
2019-06-27,158.70144475177923
2019-06-28,159.4111807087796
2019-06-29,159.4111807087796
2019-06-30,159.4111807087796
2019-07-01,161.7568595485131
2019-07-02,161.0211530626491
2019-07-03,162.36279743390537
2019-07-04,162.36279743390537
2019-07-05,162.23290595462487
2019-07-06,162.23290595462487
2019-07-07,162.23290595462487
2019-07-08,159.83534400955338
2019-07-09,156.84913363438645
2019-07-10,157.68005499409145
2019-07-11,156.54618138198222
2019-07-12,153.91488849285304
2019-07-13,153.91488849285304
2019-07-14,153.91488849285304
2019-07-15,151.3873989380399
2019-07-16,152.63381473276115
2019-07-17,154.19181597773624
2019-07-18,153.31765275971452
2019-07-19,156.38172198510284
2019-07-20,156.38172198510284
2019-07-21,156.38172198510284
2019-07-22,153.92352300701805
2019-07-23,152.7117415551396
2019-07-24,152.35686381666363
2019-07-25,152.14912152052852
2019-07-26,150.84210130735383
2019-07-27,150.84210130735383
2019-07-28,150.84210130735383
2019-07-29,151.70767697976325
2019-07-30,151.40472022562392
2019-07-31,155.80179996135007
2019-08-01,161.34142971259632
2019-08-02,160.99517182641722
2019-08-03,160.99517182641722
2019-08-04,160.99517182641722
2019-08-05,160.6316523740168
2019-08-06,156.75390062934275
2019-08-07,158.43312295804375
2019-08-08,158.8053142044721
2019-08-09,160.2594507227112
2019-08-10,160.2594507227112
2019-08-11,160.2594507227112
2019-08-12,171.29539833489346
2019-08-13,176.08195121311113
2019-08-14,176.7890449996771
2019-08-15,174.33954117216533
2019-08-16,175.93476029717718
2019-08-17,175.93476029717718
2019-08-18,175.93476029717718
2019-08-19,177.1550961185554
2019-08-20,179.48254463151716
2019-08-21,178.21859363521256
2019-08-22,178.9334011654957
2019-08-23,177.03310100631336
2019-08-24,177.03310100631336
2019-08-25,177.03310100631336
2019-08-26,174.86258609929467
2019-08-27,180.0404461946009
2019-08-28,179.14257831676326
2019-08-29,182.18479832971622
2019-08-30,182.17608329412533
2019-08-31,182.17608329412533
2019-09-01,182.17608329412533
2019-09-02,182.17608329412533
2019-09-03,180.70292691738547
2019-09-04,180.17991467519934
2019-09-05,180.11890402596666
2019-09-06,181.87103753648145
2019-09-07,181.87103753648145
2019-09-08,181.87103753648145
2019-09-09,176.54494293674716
2019-09-10,175.04560541920875
2019-09-11,171.83778492058963
2019-09-12,170.9312048059643
2019-09-13,169.466764831031
2019-09-14,169.466764831031
2019-09-15,169.466764831031
2019-09-16,170.99220980983972
2019-09-17,169.14422038219837
2019-09-18,171.16657763676972
2019-09-19,170.60867842300408
2019-09-20,170.8527213082238
2019-09-21,170.8527213082238
2019-09-22,170.8527213082238
2019-09-23,172.3782354424428
2019-09-24,173.45040284265983
2019-09-25,172.23004412710225
2019-09-26,170.7743156548827
2019-09-27,170.46920504726663
2019-09-28,170.46920504726663
2019-09-29,170.46920504726663
2019-09-30,168.06330732558635
2019-10-01,167.87153842684114
2019-10-02,168.74321295458063
2019-10-03,165.27390019495056
2019-10-04,168.35971954847471
2019-10-05,168.35971954847471
2019-10-06,168.35971954847471
2019-10-07,169.58006566735597
2019-10-08,171.33216903626086
2019-10-09,173.18887813899252
2019-10-10,172.59615571891263
2019-10-11,174.54003690830987
2019-10-12,174.54003690830987
2019-10-13,174.54003690830987
2019-10-14,175.42916566484405
2019-10-15,177.35562250928038
2019-10-16,177.95709530626237
2019-10-17,175.72554913978757
2019-10-18,177.92219991876996
2019-10-19,177.92219991876996
2019-10-20,177.92219991876996
2019-10-21,177.4515150444113
2019-10-22,178.3754830875319
2019-10-23,178.0268010086922
2019-10-24,177.78273788777167
2019-10-25,176.59722794063677
2019-10-26,176.59722794063677
2019-10-27,176.59722794063677
2019-10-28,177.10277538595943
2019-10-29,178.92468975657656
2019-10-30,179.87480409731452
2019-10-31,183.1437141199019
2019-11-01,186.76991458542594
2019-11-02,186.76991458542594
2019-11-03,186.76991458542594
2019-11-04,190.66643828782463
2019-11-05,188.2169487616588
2019-11-06,187.80722025067948
2019-11-07,189.0799576783776
2019-11-08,190.21315566925827
2019-11-09,190.21315566925827
2019-11-10,190.21315566925827
2019-11-11,191.98270875231057
2019-11-12,192.9154052734375
2019-11-13,192.14834064552517
