,price
2019-02-19,174.24000549316406
2019-02-20,174.5
2019-02-21,174.5500030517578
2019-02-22,175.3000030517578
2019-02-23,175.3000030517578
2019-02-24,175.3000030517578
2019-02-25,177.38999938964844
2019-02-26,174.66000366210938
2019-02-27,173.94000244140625
2019-02-28,186.0
2019-03-01,179.64999389648438
2019-03-02,179.64999389648438
2019-03-03,179.64999389648438
2019-03-04,182.3800048828125
2019-03-05,179.74000549316406
2019-03-06,178.52000427246094
2019-03-07,177.8699951171875
2019-03-08,177.02000427246094
2019-03-09,177.02000427246094
2019-03-10,177.02000427246094
2019-03-11,177.8699951171875
2019-03-12,179.0500030517578
2019-03-13,182.0
2019-03-14,180.50999450683594
2019-03-15,180.27999877929688
2019-03-16,180.27999877929688
2019-03-17,180.27999877929688
2019-03-18,180.80999755859375
2019-03-19,181.3800048828125
2019-03-20,181.36000061035156
2019-03-21,179.72999572753906
2019-03-22,182.02999877929688
2019-03-23,182.02999877929688
2019-03-24,182.02999877929688
2019-03-25,176.4600067138672
2019-03-26,179.17999267578125
2019-03-27,180.19000244140625
2019-03-28,179.02000427246094
2019-03-29,181.97999572753906
2019-03-30,181.97999572753906
2019-03-31,181.97999572753906
2019-04-01,184.0500030517578
2019-04-02,187.42999267578125
2019-04-03,188.6300048828125
2019-04-04,188.92999267578125
2019-04-05,185.6300048828125
2019-04-06,185.6300048828125
2019-04-07,185.6300048828125
2019-04-08,185.72000122070312
2019-04-09,185.38999938964844
2019-04-10,186.88999938964844
2019-04-11,187.75999450683594
2019-04-12,189.8000030517578
2019-04-13,189.8000030517578
2019-04-14,189.8000030517578
2019-04-15,189.8300018310547
2019-04-16,190.7899932861328
2019-04-17,190.17999267578125
2019-04-18,186.97000122070312
2019-04-19,186.97000122070312
2019-04-20,186.97000122070312
2019-04-21,186.97000122070312
2019-04-22,185.6199951171875
2019-04-23,189.97000122070312
2019-04-24,193.07000732421875
2019-04-25,192.47000122070312
2019-04-26,191.5
2019-04-27,191.5
2019-04-28,191.5
2019-04-29,194.47999572753906
