,price
2019-02-19,171.28383063293654
2019-02-20,172.16418421110617
2019-02-21,172.10742422926185
2019-02-22,174.47399169116997
2019-02-23,174.47399169116997
2019-02-24,174.47399169116997
2019-02-25,177.77774175332158
2019-02-26,175.42063724172894
2019-02-27,175.250237349436
2019-02-28,173.53682111972628
2019-03-01,174.56865229600305
2019-03-02,174.56865229600305
2019-03-03,174.56865229600305
2019-03-04,175.467990696304
2019-03-05,174.79585762507764
2019-03-06,174.46453952152817
2019-03-07,170.5170853035945
2019-03-08,166.56961932803327
2019-03-09,166.56961932803327
2019-03-10,166.56961932803327
2019-03-11,168.82260038434706
2019-03-12,172.28727223324185
2019-03-13,173.9438954226642
2019-03-14,173.4705486171311
2019-03-15,177.62627788891237
2019-03-16,177.62627788891237
2019-03-17,177.62627788891237
2019-03-18,180.36202577415563
2019-03-19,181.36546324307915
2019-03-20,180.32419299839353
2019-03-21,179.81299916400653
2019-03-22,181.1477546140641
2019-03-23,181.1477546140641
2019-03-24,181.1477546140641
2019-03-25,176.38616943359375
2019-03-26,176.25366438233127
2019-03-27,177.14350657488737
2019-03-28,173.80190166165477
2019-03-29,176.33882899314713
2019-03-30,176.33882899314713
2019-03-31,176.33882899314713
2019-04-01,181.03414606270564
2019-04-02,183.6279046575435
2019-04-03,186.6382372931422
2019-04-04,187.67006963370292
2019-04-05,189.86626994611052
2019-04-06,189.86626994611052
2019-04-07,189.86626994611052
2019-04-08,191.21992490840677
2019-04-09,191.31459596383982
2019-04-10,189.41186154325342
2019-04-11,187.16834292282067
2019-04-12,191.05901307488605
2019-04-13,191.05901307488605
2019-04-14,191.05901307488605
2019-04-15,190.53835572388493
2019-04-16,190.63304462541092
2019-04-17,197.2594268306584
2019-04-18,195.0538080007197
2019-04-19,195.0538080007197
2019-04-20,195.0538080007197
2019-04-21,195.0538080007197
2019-04-22,193.70011468010205
2019-04-23,193.21734535737258
2019-04-24,194.58992621972106
2019-04-25,195.82053649046748
2019-04-26,196.2070298037351
2019-04-27,196.2070298037351
2019-04-28,196.2070298037351
2019-04-29,197.2030578834261
2019-04-30,197.90217969334526
2019-05-01,201.04345116418398
2019-05-02,197.8064050892048
2019-05-03,198.02670226902174
2019-05-04,198.02670226902174
2019-05-05,198.02670226902174
2019-05-06,193.6882567488157
2019-05-07,194.4160844924356
2019-05-08,193.1615060527617
2019-05-09,189.99144652566446
2019-05-10,189.73289289199883
2019-05-11,189.73289289199883
2019-05-12,189.73289289199883
2019-05-13,185.2220191314255
2019-05-14,187.0800054828243
2019-05-15,186.88848692976305
2019-05-16,192.06016415685934
2019-05-17,193.32429493265528
2019-05-18,193.32429493265528
2019-05-19,193.32429493265528
2019-05-20,185.6721746309355
2019-05-21,186.27555242723034
2019-05-22,183.38323316153907
2019-05-23,181.5540119240298
2019-05-24,183.85251615031387
2019-05-25,183.85251615031387
2019-05-26,183.85251615031387
2019-05-27,183.85251615031387
2019-05-28,184.47503627088352
2019-05-29,180.5867156982422
2019-05-30,181.15172897901292
2019-05-31,180.6441717300245
2019-06-01,180.6441717300245
2019-06-02,180.6441717300245
2019-06-03,180.60583565773098
2019-06-04,180.97935658020702
2019-06-05,183.7184442960681
2019-06-06,182.60749500221655
2019-06-07,187.35776457631798
2019-06-08,187.35776457631798
2019-06-09,187.35776457631798
2019-06-10,187.97068283086236
2019-06-11,193.80316304740424
2019-06-12,191.11199387132623
2019-06-13,189.397676075333
2019-06-14,183.45026352283156
2019-06-15,183.45026352283156
2019-06-16,183.45026352283156
2019-06-17,183.8812402103048
2019-06-18,181.47739200363642
2019-06-19,188.1622304934348
2019-06-20,194.52143486831557
2019-06-21,192.78801062520745
2019-06-22,192.78801062520745
2019-06-23,192.78801062520745
2019-06-24,194.78964242751502
2019-06-25,194.2245674733962
2019-06-26,195.74732971191406
2019-06-27,196.03465832539771
2019-06-28,200.42096787739936
2019-06-29,200.42096787739936
2019-06-30,200.42096787739936
2019-07-01,206.83767394078203
2019-07-02,205.4489725109728
2019-07-03,204.78817749023438
2019-07-04,204.78817749023438
2019-07-05,200.66997784762438
2019-07-06,200.66997784762438
2019-07-07,200.66997784762438
2019-07-08,199.75057258652367
2019-07-09,197.18391823081214
2019-07-10,198.72581684965678
2019-07-11,200.74662895145988
2019-07-12,199.24299569766978
2019-07-13,199.24299569766978
2019-07-14,199.24299569766978
2019-07-15,199.5111524532261
2019-07-16,196.71460777226062
2019-07-17,208.44661614872214
2019-07-18,212.31578311087074
2019-07-19,213.75237420992124
2019-07-20,213.75237420992124
2019-07-21,213.75237420992124
2019-07-22,215.76358737121166
2019-07-23,221.1075902453408
2019-07-24,220.45639820642015
2019-07-25,222.91769510797283
2019-07-26,222.40055042598883
2019-07-27,222.40055042598883
2019-07-28,222.40055042598883
2019-07-29,220.8586064933018
2019-07-30,218.03339218672414
2019-07-31,217.4587466479319
2019-08-01,216.42438905436964
2019-08-02,213.12986419609427
2019-08-03,213.12986419609427
2019-08-04,213.12986419609427
2019-08-05,207.2303374233871
2019-08-06,206.4641396995006
2019-08-07,204.539133432909
2019-08-08,207.72834575873907
2019-08-09,207.66133435050276
2019-08-10,207.66133435050276
2019-08-11,207.66133435050276
2019-08-12,206.91427695263837
2019-08-13,203.72508839095622
2019-08-14,201.90543291763723
2019-08-15,200.4880071752048
2019-08-16,200.44011726837348
2019-08-17,200.44011726837348
2019-08-18,200.44011726837348
2019-08-19,207.65174150352158
2019-08-20,206.52161199559632
2019-08-21,209.36602002324028
2019-08-22,207.1633184638062
2019-08-23,204.5966360380612
2019-08-24,204.5966360380612
2019-08-25,204.5966360380612
2019-08-26,204.81689864301362
2019-08-27,206.20559301332628
2019-08-28,204.16566448394957
2019-08-29,210.7451466989868
2019-08-30,213.8290100146992
2019-08-31,213.8290100146992
2019-09-01,213.8290100146992
