,price
2019-02-19,238.20432307586697
2019-02-20,239.98353487528462
2019-02-21,239.97509297156557
2019-02-22,237.18765612316756
2019-02-23,237.18765612316756
2019-02-24,237.18765612316756
2019-02-25,237.89079103053217
2019-02-26,235.47618012601
2019-02-27,231.4856185776727
2019-02-28,228.73204281282494
2019-03-01,235.3067626221913
2019-03-02,235.3067626221913
2019-03-03,235.3067626221913
2019-03-04,232.99372829332043
2019-03-05,233.41733026229625
2019-03-06,234.4001707329013
2019-03-07,228.9099658148429
2019-03-08,221.60670459289625
2019-03-09,221.60670459289625
2019-03-10,221.60670459289625
2019-03-11,224.42805693404569
2019-03-12,228.554162136935
2019-03-13,229.18957913235425
2019-03-14,230.5282413321441
2019-03-15,242.70321460761642
2019-03-16,242.70321460761642
2019-03-17,242.70321460761642
2019-03-18,245.89743286596536
2019-03-19,249.22709077079045
2019-03-20,254.73584001880778
2019-03-21,249.50433119240074
2019-03-22,252.95777792311557
2019-03-23,252.95777792311557
2019-03-24,252.95777792311557
2019-03-25,249.7778828929186
2019-03-26,251.6328423276883
2019-03-27,254.36826368417826
2019-03-28,253.9750803789477
2019-03-29,257.4883643539836
2019-03-30,257.4883643539836
2019-03-31,257.4883643539836
2019-04-01,259.1039645715518
2019-04-02,261.7111409663753
2019-04-03,261.76249037085483
2019-04-04,260.5058095313066
2019-04-05,259.8647169035269
2019-04-06,259.8647169035269
2019-04-07,259.8647169035269
2019-04-08,259.9844198740735
2019-04-09,258.65090897086685
2019-04-10,259.52286091870906
2019-04-11,263.4122395008117
2019-04-12,266.1476899465464
2019-04-13,266.1476899465464
2019-04-14,266.1476899465464
2019-04-15,271.00307834418203
2019-04-16,273.5418710753532
2019-04-17,273.7470294476703
2019-04-18,274.4308849792654
2019-04-19,274.4308849792654
2019-04-20,274.4308849792654
2019-04-21,274.4308849792654
2019-04-22,271.2509151809213
2019-04-23,270.77224213699145
2019-04-24,268.9086813435007
2019-04-25,267.51538729291366
2019-04-26,264.26709773629244
2019-04-27,264.26709773629244
2019-04-28,264.26709773629244
2019-04-29,266.0536157404419
2019-04-30,267.8316078845555
2019-05-01,273.9692157154525
2019-05-02,273.5247048716533
2019-05-03,269.2250201712068
2019-05-04,269.2250201712068
2019-05-05,269.2250201712068
2019-05-06,262.24969375502866
2019-05-07,263.839633742851
2019-05-08,260.97600266345256
2019-05-09,256.44551609595
2019-05-10,259.2065352908445
2019-05-11,259.2065352908445
2019-05-12,259.2065352908445
2019-05-13,251.16269742378074
2019-05-14,252.7611598238312
2019-05-15,256.6762400747774
2019-05-16,256.2317824568636
2019-05-17,250.27371036608756
2019-05-18,250.27371036608756
2019-05-19,250.27371036608756
2019-05-20,237.63947778320508
2019-05-21,236.86160529109702
2019-05-22,231.2112498761082
2019-05-23,226.1677915705291
2019-05-24,224.560760392881
2019-05-25,224.560760392881
2019-05-26,224.560760392881
2019-05-27,224.560760392881
2019-05-28,219.32069849472816
2019-05-29,216.04675441860613
2019-05-30,217.68799753495358
2019-05-31,216.30321622900837
2019-06-01,216.30321622900837
2019-06-02,216.30321622900837
2019-06-03,215.88434022186135
2019-06-04,219.6541140846176
2019-06-05,229.95466277692012
2019-06-06,228.25359433975197
2019-06-07,234.88698244369826
2019-06-08,234.88698244369826
2019-06-09,234.88698244369826
2019-06-10,236.55378412211044
2019-06-11,248.31614115492013
2019-06-12,240.7766814943855
2019-06-13,240.64836552724978
2019-06-14,220.63709335645018
2019-06-15,220.63709335645018
2019-06-16,220.63709335645018
2019-06-17,226.3900084641083
2019-06-18,229.21950969906504
2019-06-19,238.30613733184083
2019-06-20,241.49472314325607
2019-06-21,238.7182299598639
2019-06-22,238.7182299598639
2019-06-23,238.7182299598639
2019-06-24,237.7775951031026
2019-06-25,240.918970156306
2019-06-26,240.4183787146282
2019-06-27,244.1724629513649
2019-06-28,248.42713928222656
2019-06-29,248.42713928222656
2019-06-30,248.42713928222656
2019-07-01,260.3539427674281
2019-07-02,257.9376167292327
2019-07-03,244.83708592500426
2019-07-04,244.83708592500426
2019-07-05,244.7939048126125
2019-07-06,244.7939048126125
2019-07-07,244.7939048126125
2019-07-08,241.6438781876225
2019-07-09,235.9911367124459
2019-07-10,239.79700687810617
2019-07-11,237.53591366044134
2019-07-12,238.51976910701256
2019-07-13,238.51976910701256
2019-07-14,238.51976910701256
2019-07-15,251.223388322088
2019-07-16,247.67635226910306
2019-07-17,246.44221019274778
2019-07-18,246.977282027245
2019-07-19,251.85335180657947
2019-07-20,251.85335180657947
2019-07-21,251.85335180657947
2019-07-22,252.86303954878292
2019-07-23,258.4726443667227
2019-07-24,259.9397589458916
2019-07-25,260.74235820928965
2019-07-26,260.27635519066257
2019-07-27,260.27635519066257
2019-07-28,260.27635519066257
2019-07-29,259.96570354540523
2019-07-30,258.1187660498027
2019-07-31,258.930110537366
2019-08-01,249.5231949292283
2019-08-02,243.43030506019588
2019-08-03,243.43030506019588
2019-08-04,243.43030506019588
2019-08-05,234.6966145478877
2019-08-06,233.12592937966585
2019-08-07,227.86156567474916
2019-08-08,233.3416835050368
2019-08-09,232.6512603215962
2019-08-10,232.6512603215962
2019-08-11,232.6512603215962
2019-08-12,235.93075983838537
2019-08-13,237.58763960314565
2019-08-14,240.59963053522284
2019-08-15,234.73977131811301
2019-08-16,234.8691927616578
2019-08-17,234.8691927616578
2019-08-18,234.8691927616578
2019-08-19,241.21237445215212
2019-08-20,240.0558819583036
2019-08-21,245.6482936964929
2019-08-22,248.88455393857436
2019-08-23,245.08733844539205
2019-08-24,245.08733844539205
2019-08-25,245.08733844539205
2019-08-26,239.01173142537678
2019-08-27,240.91030237184324
2019-08-28,236.75056792950508
2019-08-29,242.9297605805422
2019-08-30,246.26965975853088
2019-08-31,246.26965975853088
2019-09-01,246.26965975853088
2019-09-02,246.26965975853088
2019-09-03,241.64385355570724
2019-09-04,240.59963615426818
2019-09-05,248.85861625250027
2019-09-06,251.870584559855
2019-09-07,251.870584559855
2019-09-08,251.870584559855
2019-09-09,254.58907439151528
2019-09-10,251.4390645644275
2019-09-11,255.7282720549503
2019-09-12,260.13829125341744
2019-09-13,256.8760660617423
2019-09-14,256.8760660617423
2019-09-15,256.8760660617423
2019-09-16,247.51234959161067
2019-09-17,248.56527353715444
2019-09-18,248.97082292056012
2019-09-19,248.97944728262948
2019-09-20,250.54762686106906
2019-09-21,250.54762686106906
2019-09-22,250.54762686106906
2019-09-23,247.02027907135587
2019-09-24,250.24282707632065
2019-09-25,236.68201338282782
2019-09-26,239.7390922231668
2019-09-27,240.93229563077676
2019-09-28,240.93229563077676
2019-09-29,240.93229563077676
2019-09-30,240.2006832274451
2019-10-01,242.36067065637755
2019-10-02,238.17136541143014
2019-10-03,235.1578500447372
2019-10-04,242.55224423257408
2019-10-05,242.55224423257408
2019-10-06,242.55224423257408
2019-10-07,243.8761049783553
2019-10-08,238.69392315598034
2019-10-09,238.36298759037467
2019-10-10,239.12940740607056
2019-10-11,243.42325088996952
2019-10-12,243.42325088996952
2019-10-13,243.42325088996952
2019-10-14,244.2331957674327
2019-10-15,246.1667686677588
2019-10-16,251.70606097824026
2019-10-17,252.6988107959242
2019-10-18,252.14147871193325
2019-10-19,252.14147871193325
2019-10-20,252.14147871193325
2019-10-21,251.21830057829197
2019-10-22,252.2198539693856
2019-10-23,246.445456405989
2019-10-24,246.38450234133637
2019-10-25,246.70674850012645
2019-10-26,246.70674850012645
2019-10-27,246.70674850012645
2019-10-28,253.5872822607851
2019-10-29,254.5627415727994
2019-10-30,252.5856470845012
2019-10-31,252.4028204219335
2019-11-01,255.18111529651063
2019-11-02,255.18111529651063
2019-11-03,255.18111529651063
2019-11-04,260.8684530338608
2019-11-05,265.6413282862005
2019-11-06,271.79020471901185
2019-11-07,274.8559073742395
2019-11-08,269.88287569288514
2019-11-09,269.88287569288514
2019-11-10,269.88287569288514
2019-11-11,271.0412350740972
2019-11-12,273.4798788349719
2019-11-13,272.1560357592108
2019-11-14,270.6492673489769
2019-11-15,271.9731241051416
2019-11-16,271.9731241051416
2019-11-17,271.9731241051416
2019-11-18,271.58113358400186
2019-11-19,275.78784353498315
2019-11-20,275.13474609369
2019-11-21,270.98899070532144
2019-11-22,275.7792021003516
2019-11-23,275.7792021003516
2019-11-24,275.7792021003516
2019-11-25,275.75302049459356
2019-11-26,277.83468729540647
2019-11-27,276.91144631006546
2019-11-28,276.91144631006546
2019-11-29,275.96208702378306
2019-11-30,275.96208702378306
2019-12-01,275.96208702378306
2019-12-02,276.71982342243024
2019-12-03,266.35543540483445
2019-12-04,269.77829433323103
2019-12-05,270.50989242169896
2019-12-06,274.0373270334835
2019-12-07,274.0373270334835
2019-12-08,274.0373270334835
2019-12-09,275.2217949748408
2019-12-10,274.4379828565162
2019-12-11,274.50758785321597
2019-12-12,278.4704371554459
2019-12-13,277.015982493142
2019-12-14,277.015982493142
2019-12-15,277.015982493142
2019-12-16,276.93757053876215
2019-12-17,281.96297309600436
2019-12-18,282.53777539708574
2019-12-19,286.7270870508556
2019-12-20,283.7017845776557
2019-12-21,283.7017845776557
2019-12-22,283.7017845776557
2019-12-23,282.003818023075
2019-12-24,281.5286478646646
2019-12-25,281.5286478646646
