,price
2019-02-19,35.00556567635123
2019-02-20,35.24203910758931
2019-02-21,35.39092331181602
2019-02-22,35.41719304541411
2019-02-23,35.41719304541411
2019-02-24,35.41719304541411
2019-02-25,36.34553909301758
2019-02-26,36.43311528860643
2019-02-27,36.83598142425061
2019-02-28,36.88310444506712
2019-03-01,37.2772955298769
2019-03-02,37.2772955298769
2019-03-03,37.2772955298769
2019-03-04,37.38480045107714
2019-03-05,37.23250240305965
2019-03-06,37.949200522255914
2019-03-07,37.27729715709222
2019-03-08,37.133955986606736
2019-03-09,37.133955986606736
2019-03-10,37.133955986606736
2019-03-11,37.31313261057769
2019-03-12,37.30417313505333
2019-03-13,37.69835869299567
2019-03-14,37.87752565057266
2019-03-15,37.87752952740506
2019-03-16,37.87752952740506
2019-03-17,37.87752952740506
2019-03-18,38.09253619281715
2019-03-19,38.42401529287207
2019-03-20,38.58527074345911
2019-03-21,38.441932183733336
2019-03-22,38.02982501037415
2019-03-23,38.02982501037415
2019-03-24,38.02982501037415
2019-03-25,38.16420827299228
2019-03-26,38.540471097915564
2019-03-27,38.164207042655256
2019-03-28,38.65694275813772
2019-03-29,36.175368451976915
2019-03-30,36.175368451976915
2019-03-31,36.175368451976915
2019-04-01,37.1249873990976
2019-04-02,36.9458259713034
2019-04-03,36.909989963538834
2019-04-04,36.54268245174646
2019-04-05,36.282879807701775
2019-04-06,36.282879807701775
2019-04-07,36.282879807701775
2019-04-08,36.80248188817863
2019-04-09,36.53371559448222
2019-04-10,36.506842930643465
2019-04-11,36.12161195324205
2019-04-12,35.49450464743663
2019-04-13,35.49450464743663
2019-04-14,35.49450464743663
2019-04-15,35.61992984708923
2019-04-16,35.92452275921913
2019-04-17,35.22574285411956
2019-04-18,34.73300877480535
2019-04-19,34.73300877480535
2019-04-20,34.73300877480535
2019-04-21,34.73300877480535
2019-04-22,34.74197062940727
2019-04-23,34.60760001849453
2019-04-24,34.6882209777832
2019-04-25,34.41945881923561
2019-04-26,33.89985071183104
2019-04-27,33.89985071183104
2019-04-28,33.89985071183104
2019-04-29,34.5448815688978
2019-04-30,34.15965953338608
2019-05-01,33.60421609931147
2019-05-02,33.71172325321423
2019-05-03,34.32986321287696
2019-05-04,34.32986321287696
2019-05-05,34.32986321287696
2019-05-06,33.97152080285918
2019-05-07,34.365705228761165
2019-05-08,34.4642547709688
2019-05-09,34.46425247192383
2019-05-10,34.09694127176713
2019-05-11,34.09694127176713
2019-05-12,34.09694127176713
2019-05-13,33.407127306271086
2019-05-14,33.84609935983093
2019-05-15,33.69379701285732
2019-05-16,33.810267263969656
2019-05-17,33.71172087854237
2019-05-18,33.71172087854237
2019-05-19,33.71172087854237
2019-05-20,33.45190909896156
2019-05-21,33.72964132222124
2019-05-22,33.72068124560596
2019-05-23,34.63447189331055
2019-05-24,34.948024824560235
2019-05-25,34.948024824560235
2019-05-26,34.948024824560235
2019-05-27,34.948024824560235
2019-05-28,34.491130251393685
2019-05-29,33.73859585950476
2019-05-30,33.810263790329785
2019-05-31,33.263786430492694
2019-06-01,33.263786430492694
2019-06-02,33.263786430492694
2019-06-03,34.079023561226535
