,price
2019-02-19,330.8299865722656
2019-02-20,332.3699951171875
2019-02-21,329.9700012207031
2019-02-22,321.19000244140625
2019-02-23,321.19000244140625
2019-02-24,321.19000244140625
2019-02-25,327.95001220703125
2019-02-26,327.2300109863281
2019-02-27,326.5299987792969
2019-02-28,327.6400146484375
2019-03-01,331.2900085449219
2019-03-02,331.2900085449219
2019-03-03,331.2900085449219
2019-03-04,335.6000061035156
2019-03-05,327.75
2019-03-06,327.489990234375
2019-03-07,317.1099853515625
2019-03-08,312.2900085449219
2019-03-09,312.2900085449219
2019-03-10,312.2900085449219
2019-03-11,308.2799987792969
2019-03-12,313.0799865722656
2019-03-13,313.1199951171875
2019-03-14,321.5299987792969
2019-03-15,321.9599914550781
2019-03-16,321.9599914550781
2019-03-17,321.9599914550781
2019-03-18,328.54998779296875
2019-03-19,326.260009765625
2019-03-20,323.6700134277344
2019-03-21,230.07000732421875
2019-03-22,225.10000610351562
2019-03-23,225.10000610351562
2019-03-24,225.10000610351562
2019-03-25,220.02000427246094
2019-03-26,221.88999938964844
2019-03-27,232.94000244140625
2019-03-28,230.97999572753906
2019-03-29,235.58999633789062
2019-03-30,235.58999633789062
2019-03-31,235.58999633789062
2019-04-01,239.07000732421875
2019-04-02,232.35000610351562
2019-04-03,235.0
2019-04-04,231.39999389648438
2019-04-05,235.47000122070312
2019-04-06,235.47000122070312
2019-04-07,235.47000122070312
2019-04-08,241.8300018310547
2019-04-09,239.25
2019-04-10,237.64999389648438
2019-04-11,240.52000427246094
2019-04-12,235.0
2019-04-13,235.0
2019-04-14,235.0
2019-04-15,235.0399932861328
2019-04-16,232.1699981689453
2019-04-17,229.77000427246094
2019-04-18,227.27999877929688
2019-04-19,227.27999877929688
2019-04-20,227.27999877929688
2019-04-21,227.27999877929688
2019-04-22,226.99000549316406
2019-04-23,228.27000427246094
2019-04-24,232.02000427246094
2019-04-25,224.02999877929688
2019-04-26,230.25
2019-04-27,230.25
2019-04-28,230.25
2019-04-29,230.9600067138672
2019-04-30,229.6699981689453
2019-05-01,228.97000122070312
2019-05-02,229.8300018310547
2019-05-03,232.77000427246094
2019-05-04,232.77000427246094
2019-05-05,232.77000427246094
2019-05-06,228.9499969482422
2019-05-07,233.7899932861328
2019-05-08,229.25
2019-05-09,229.1699981689453
2019-05-10,227.67999267578125
2019-05-11,227.67999267578125
2019-05-12,227.67999267578125
2019-05-13,222.99000549316406
2019-05-14,225.8800048828125
2019-05-15,228.8000030517578
2019-05-16,230.4600067138672
2019-05-17,229.5
2019-05-18,229.5
2019-05-19,229.5
2019-05-20,228.17999267578125
2019-05-21,230.07000732421875
2019-05-22,231.9199981689453
2019-05-23,232.94000244140625
2019-05-24,229.72999572753906
2019-05-25,229.72999572753906
2019-05-26,229.72999572753906
2019-05-27,229.72999572753906
2019-05-28,227.7899932861328
2019-05-29,223.63999938964844
2019-05-30,223.00999450683594
2019-05-31,221.7100067138672
2019-06-01,221.7100067138672
2019-06-02,221.7100067138672
2019-06-03,220.30999755859375
2019-06-04,224.50999450683594
2019-06-05,227.1199951171875
2019-06-06,225.17999267578125
2019-06-07,226.0500030517578
2019-06-08,226.0500030517578
2019-06-09,226.0500030517578
2019-06-10,227.52000427246094
2019-06-11,229.5
2019-06-12,228.2899932861328
2019-06-13,231.0500030517578
2019-06-14,230.49000549316406
2019-06-15,230.49000549316406
2019-06-16,230.49000549316406
2019-06-17,228.75999450683594
2019-06-18,233.9499969482422
2019-06-19,232.61000061035156
2019-06-20,236.25999450683594
2019-06-21,234.6699981689453
2019-06-22,234.6699981689453
2019-06-23,234.6699981689453
2019-06-24,238.6999969482422
2019-06-25,236.39999389648438
2019-06-26,241.4499969482422
2019-06-27,237.91000366210938
2019-06-28,235.49000549316406
2019-06-29,235.49000549316406
2019-06-30,235.49000549316406
2019-07-01,236.58999633789062
2019-07-02,236.25999450683594
2019-07-03,237.0
2019-07-04,237.0
2019-07-05,236.91000366210938
2019-07-06,236.91000366210938
2019-07-07,236.91000366210938
2019-07-08,234.25
2019-07-09,229.49000549316406
2019-07-10,233.8800048828125
2019-07-11,231.8000030517578
2019-07-12,230.88999938964844
2019-07-13,230.88999938964844
2019-07-14,230.88999938964844
2019-07-15,232.52999877929688
2019-07-16,234.3000030517578
2019-07-17,231.52999877929688
2019-07-18,229.85000610351562
2019-07-19,232.86000061035156
2019-07-20,232.86000061035156
2019-07-21,232.86000061035156
2019-07-22,232.52000427246094
2019-07-23,239.0
2019-07-24,244.6999969482422
2019-07-25,241.32000732421875
2019-07-26,233.91000366210938
2019-07-27,233.91000366210938
2019-07-28,233.91000366210938
2019-07-29,238.2100067138672
2019-07-30,237.3300018310547
2019-07-31,239.75999450683594
2019-08-01,238.75999450683594
2019-08-02,242.1199951171875
2019-08-03,242.1199951171875
2019-08-04,242.1199951171875
2019-08-05,240.35000610351562
2019-08-06,236.4499969482422
2019-08-07,237.80999755859375
2019-08-08,238.16000366210938
2019-08-09,237.83999633789062
2019-08-10,237.83999633789062
2019-08-11,237.83999633789062
2019-08-12,234.08999633789062
2019-08-13,230.8300018310547
2019-08-14,230.0
2019-08-15,227.0800018310547
2019-08-16,229.38999938964844
2019-08-17,229.38999938964844
2019-08-18,229.38999938964844
2019-08-19,233.3699951171875
2019-08-20,235.08999633789062
2019-08-21,232.8000030517578
2019-08-22,233.4199981689453
2019-08-23,231.25999450683594
2019-08-24,231.25999450683594
2019-08-25,231.25999450683594
2019-08-26,227.32000732421875
2019-08-27,225.0
2019-08-28,220.5500030517578
2019-08-29,223.10000610351562
2019-08-30,220.72999572753906
2019-08-31,220.72999572753906
2019-09-01,220.72999572753906
2019-09-02,220.72999572753906
