,price
2019-02-19,1927.56005859375
2019-02-20,1936.510009765625
2019-02-21,1924.6500244140625
2019-02-22,1920.3800048828125
2019-02-23,1920.3800048828125
2019-02-24,1920.3800048828125
2019-02-25,1928.6300048828125
2019-02-26,1885.8299560546875
2019-02-27,1906.0
2019-02-28,1754.0
2019-03-01,1708.199951171875
2019-03-02,1708.199951171875
2019-03-03,1708.199951171875
2019-03-04,1723.6600341796875
2019-03-05,1715.0
2019-03-06,1748.3699951171875
2019-03-07,1746.5
2019-03-08,1708.0400390625
2019-03-09,1708.0400390625
2019-03-10,1708.0400390625
2019-03-11,1721.68994140625
2019-03-12,1709.719970703125
2019-03-13,1740.43994140625
2019-03-14,1768.8299560546875
2019-03-15,1751.7900390625
2019-03-16,1751.7900390625
2019-03-17,1751.7900390625
2019-03-18,1757.7099609375
2019-03-19,1751.050048828125
2019-03-20,1766.780029296875
2019-03-21,1765.800048828125
2019-03-22,1754.0400390625
2019-03-23,1754.0400390625
2019-03-24,1754.0400390625
2019-03-25,1714.010009765625
2019-03-26,1761.199951171875
2019-03-27,1768.97998046875
2019-03-28,1759.989990234375
2019-03-29,1736.5999755859375
2019-03-30,1736.5999755859375
2019-03-31,1736.5999755859375
2019-04-01,1755.0799560546875
2019-04-02,1766.030029296875
2019-04-03,1778.469970703125
2019-04-04,1775.31005859375
2019-04-05,1788.030029296875
2019-04-06,1788.030029296875
2019-04-07,1788.030029296875
2019-04-08,1767.9200439453125
2019-04-09,1776.75
2019-04-10,1793.8499755859375
2019-04-11,1810.0
2019-04-12,1827.8699951171875
2019-04-13,1827.8699951171875
2019-04-14,1827.8699951171875
2019-04-15,1834.0
2019-04-16,1851.800048828125
2019-04-17,1848.6300048828125
2019-04-18,1847.6400146484375
2019-04-19,1847.6400146484375
2019-04-20,1847.6400146484375
2019-04-21,1847.6400146484375
2019-04-22,1833.9300537109375
2019-04-23,1849.22998046875
2019-04-24,1887.1400146484375
2019-04-25,1870.6500244140625
2019-04-26,1868.0999755859375
2019-04-27,1868.0999755859375
2019-04-28,1868.0999755859375
2019-04-29,1869.81005859375
2019-04-30,1872.0
2019-05-01,1857.5699462890625
2019-05-02,1824.6600341796875
2019-05-03,1816.1700439453125
2019-05-04,1816.1700439453125
2019-05-05,1816.1700439453125
2019-05-06,1798.9599609375
2019-05-07,1781.449951171875
2019-05-08,1765.010009765625
2019-05-09,1729.4300537109375
2019-05-10,1825.0
2019-05-11,1825.0
2019-05-12,1825.0
2019-05-13,1800.0
2019-05-14,1787.1199951171875
2019-05-15,1778.5999755859375
2019-05-16,1790.0
2019-05-17,1786.3699951171875
2019-05-18,1786.3699951171875
2019-05-19,1786.3699951171875
2019-05-20,1769.72998046875
2019-05-21,1762.3399658203125
2019-05-22,1757.3499755859375
2019-05-23,1746.949951171875
2019-05-24,1731.52001953125
2019-05-25,1731.52001953125
2019-05-26,1731.52001953125
2019-05-27,1731.52001953125
2019-05-28,1707.5899658203125
2019-05-29,1676.9300537109375
2019-05-30,1687.0
2019-05-31,1650.0999755859375
2019-06-01,1650.0999755859375
2019-06-02,1650.0999755859375
2019-06-03,1658.5
2019-06-04,1673.5
2019-06-05,1755.75
2019-06-06,1766.010009765625
2019-06-07,1765.25
2019-06-08,1765.25
2019-06-09,1765.25
2019-06-10,1782.5699462890625
2019-06-11,1799.5
2019-06-12,1804.1700439453125
2019-06-13,1802.050048828125
2019-06-14,1808.199951171875
2019-06-15,1808.199951171875
2019-06-16,1808.199951171875
2019-06-17,1776.0
2019-06-18,1808.3800048828125
2019-06-19,1812.0
2019-06-20,1862.0699462890625
2019-06-21,1859.3599853515625
2019-06-22,1859.3599853515625
2019-06-23,1859.3599853515625
2019-06-24,1880.969970703125
2019-06-25,1880.8299560546875
2019-06-26,1848.300048828125
2019-06-27,1835.0
2019-06-28,1852.5799560546875
2019-06-29,1852.5799560546875
2019-06-30,1852.5799560546875
2019-07-01,1900.0
2019-07-02,1902.239990234375
2019-07-03,1906.219970703125
2019-07-04,1906.219970703125
2019-07-05,1904.760009765625
2019-07-06,1904.760009765625
2019-07-07,1904.760009765625
2019-07-08,1918.72998046875
2019-07-09,1873.0
2019-07-10,1890.52001953125
2019-07-11,1875.449951171875
2019-07-12,1878.02001953125
2019-07-13,1878.02001953125
2019-07-14,1878.02001953125
2019-07-15,1881.8900146484375
2019-07-16,1879.8900146484375
2019-07-17,1887.75
2019-07-18,1861.8299560546875
2019-07-19,1896.030029296875
2019-07-20,1896.030029296875
2019-07-21,1896.030029296875
2019-07-22,1883.6500244140625
2019-07-23,1898.6300048828125
2019-07-24,1896.260009765625
2019-07-25,1911.989990234375
2019-07-26,1940.0
2019-07-27,1940.0
2019-07-28,1940.0
2019-07-29,1958.780029296875
2019-07-30,1909.8599853515625
2019-07-31,1906.3299560546875
2019-08-01,1885.469970703125
2019-08-02,1874.1099853515625
