,price
2019-02-19,22.017493722775118
2019-02-20,22.39459473876629
2019-02-21,22.857399492500296
2019-02-22,22.703134801629023
2019-02-23,22.703134801629023
2019-02-24,22.703134801629023
2019-02-25,22.506008562541872
2019-02-26,22.951672486873576
2019-02-27,22.968814160310714
2019-02-28,22.93453435805698
2019-03-01,22.780269028421444
2019-03-02,22.780269028421444
2019-03-03,22.780269028421444
2019-03-04,23.380200543960488
2019-03-05,23.268783760499172
2019-03-06,23.165934189264068
2019-03-07,22.531724978806515
2019-03-08,21.97464077155567
2019-03-09,21.97464077155567
2019-03-10,21.97464077155567
2019-03-11,22.35174510247082
2019-03-12,22.84025462555585
2019-03-13,23.208790581786864
2019-03-14,23.38019776332503
2019-03-15,23.62016755470312
2019-03-16,23.62016755470312
2019-03-17,23.62016755470312
2019-03-18,24.005839174380966
2019-03-19,24.391508890723856
2019-03-20,23.860142229260635
2019-03-21,24.142971482768623
2019-03-22,24.22867421829007
2019-03-23,24.22867421829007
2019-03-24,24.22867421829007
2019-03-25,23.097375219453053
2019-03-26,23.7230167388916
2019-03-27,23.73158598457154
2019-03-28,23.277353286743164
2019-03-29,23.55160681935286
2019-03-30,23.55160681935286
2019-03-31,23.55160681935286
2019-04-01,23.928711052606094
2019-04-02,23.87728297457975
2019-04-03,23.294490457942963
2019-04-04,22.763123421623142
2019-04-05,22.994527029325447
2019-04-06,22.994527029325447
2019-04-07,22.994527029325447
2019-04-08,23.0116643222249
2019-04-09,22.87454507751591
2019-04-10,22.977382794206324
2019-04-11,23.00309385599833
2019-04-12,23.200217965748486
2019-04-13,23.200217965748486
2019-04-14,23.200217965748486
2019-04-15,22.49743886084176
2019-04-16,22.326030141096517
2019-04-17,22.266037373621618
2019-04-18,22.17176172952396
2019-04-19,22.17176172952396
2019-04-20,22.17176172952396
2019-04-21,22.17176172952396
2019-04-22,22.120340523874518
2019-04-23,22.79740871232326
2019-04-24,22.351743386769087
2019-04-25,21.940361913099046
2019-04-26,21.700385808780705
2019-04-27,21.700385808780705
2019-04-28,21.700385808780705
2019-04-29,21.837517113677425
2019-04-30,21.97464185062734
2019-05-01,20.526233858068778
2019-05-02,20.063431701867746
2019-05-03,20.397680822687608
2019-05-04,20.397680822687608
2019-05-05,20.397680822687608
2019-05-06,20.40624525961768
2019-05-07,20.226271906438555
2019-05-08,19.92630431060777
2019-05-09,19.506352650559528
2019-05-10,19.30065927532201
2019-05-11,19.30065927532201
2019-05-12,19.30065927532201
2019-05-13,18.86357241014562
2019-05-14,18.82928735240498
2019-05-15,18.872136247887045
2019-05-16,19.54063020543428
2019-05-17,19.454929938776978
2019-05-18,19.454929938776978
2019-05-19,19.454929938776978
2019-05-20,19.57443900124937
2019-05-21,20.118656383166183
2019-05-22,20.170484404145004
2019-05-23,19.747206002539674
2019-05-24,20.05818156011541
2019-05-25,20.05818156011541
2019-05-26,20.05818156011541
2019-05-27,20.05818156011541
2019-05-28,19.220271536929822
2019-05-29,18.866095128316456
2019-05-30,18.693331232401665
2019-05-31,17.933161056605066
2019-06-01,17.933161056605066
2019-06-02,17.933161056605066
2019-06-03,18.57239527704151
2019-06-04,19.116609439826178
2019-06-05,19.047499517268683
2019-06-06,19.237546817968198
2019-06-07,19.93724983831844
2019-06-08,19.93724983831844
2019-06-09,19.93724983831844
2019-06-10,20.282782834436144
2019-06-11,20.386443890206507
2019-06-12,19.799036924948343
2019-06-13,19.5398875483516
2019-06-14,19.652182161872503
2019-06-15,19.652182161872503
2019-06-16,19.652182161872503
2019-06-17,19.107966328988933
2019-06-18,19.410313608877015
2019-06-19,20.006356357869844
2019-06-20,20.45555473204679
2019-06-21,21.103430328906363
2019-06-22,21.103430328906363
2019-06-23,21.103430328906363
2019-06-24,21.768576024671315
2019-06-25,21.29346533599198
2019-06-26,21.405764041225968
2019-06-27,21.37121105207213
2019-06-28,21.388487013506438
2019-06-29,21.388487013506438
2019-06-30,21.388487013506438
2019-07-01,21.58716840311475
2019-07-02,21.73402364097183
2019-07-03,21.293467129869413
2019-07-04,21.293467129869413
2019-07-05,21.042953901694695
2019-07-06,21.042953901694695
2019-07-07,21.042953901694695
2019-07-08,21.155253984310942
2019-07-09,21.647639419034824
2019-07-10,21.811765256478655
2019-07-11,21.872231894262452
2019-07-12,21.889512941894647
2019-07-13,21.889512941894647
2019-07-14,21.889512941894647
2019-07-15,21.62172321166658
2019-07-16,21.276191545285073
2019-07-17,20.818361615235137
2019-07-18,19.980440933043745
2019-07-19,20.127290173166802
2019-07-20,20.127290173166802
2019-07-21,20.127290173166802
2019-07-22,20.472827069622113
2019-07-23,20.697421843631265
2019-07-24,20.99112529040272
2019-07-25,21.595806962999838
2019-07-26,21.155254171487265
2019-07-27,21.155254171487265
2019-07-28,21.155254171487265
2019-07-29,21.414406246781855
2019-07-30,20.662869908855914
2019-07-31,21.50942161987316
2019-08-01,21.543977843970875
2019-08-02,21.915431135841008
2019-08-03,21.915431135841008
2019-08-04,21.915431135841008
2019-08-05,20.37780378816812
2019-08-06,20.740615627207532
2019-08-07,19.937249289221576
2019-08-08,20.21367899506721
2019-08-09,20.818358874012684
2019-08-10,20.818358874012684
2019-08-11,20.818358874012684
2019-08-12,20.455547782462897
2019-08-13,20.290164474258415
2019-08-14,19.959395833710502
2019-08-15,18.949673677268787
2019-08-16,18.166269497312875
2019-08-17,18.166269497312875
2019-08-18,18.166269497312875
2019-08-19,18.71465156293507
2019-08-20,18.523153767448388
2019-08-21,18.53185809742696
2019-08-22,18.523153848121606
2019-08-23,18.314243965427835
2019-08-24,18.314243965427835
2019-08-25,18.314243965427835
2019-08-26,18.453518110609448
2019-08-27,18.766880324143457
2019-08-28,18.584084203565816
2019-08-29,19.02801197816158
2019-08-30,19.175988132476462
2019-08-31,19.175988132476462
2019-09-01,19.175988132476462
2019-09-02,19.175988132476462
2019-09-03,18.51444704302883
2019-09-04,19.541579285666355
2019-09-05,20.055146293071367
2019-09-06,20.351097880384255
2019-09-07,20.351097880384255
2019-09-08,20.351097880384255
2019-09-09,20.594822870277536
2019-09-10,21.221546463828595
2019-09-11,20.237937689002067
2019-09-12,18.845218372772724
2019-09-13,19.98550550887408
2019-09-14,19.98550550887408
2019-09-15,19.98550550887408
2019-09-16,20.481662946987445
2019-09-17,20.359805612585475
2019-09-18,20.32498033075258
2019-09-19,20.42073151486571
2019-09-20,20.25534826844715
2019-09-21,20.25534826844715
2019-09-22,20.25534826844715
2019-09-23,20.412028971388573
2019-09-24,20.620935544770045
2019-09-25,20.36850679117843
2019-09-26,20.960414369437252
2019-09-27,20.751501977806793
2019-09-28,20.751501977806793
2019-09-29,20.751501977806793
2019-09-30,20.78632189322565
2019-10-01,20.351092033857697
2019-10-02,19.715667189161813
2019-10-03,19.175988370147884
2019-10-04,19.750494193156143
2019-10-05,19.750494193156143
2019-10-06,19.750494193156143
2019-10-07,19.57639885625793
2019-10-08,18.88003742621894
2019-10-09,18.82780772420781
2019-10-10,18.914851246558435
2019-10-11,19.25432843514815
2019-10-12,19.25432843514815
2019-10-13,19.25432843514815
2019-10-14,19.08023988644924
2019-10-15,19.42842011948712
2019-10-16,19.419715810295894
2019-10-17,19.297853478546994
2019-10-18,19.219512939453125
2019-10-19,19.219512939453125
2019-10-20,19.219512939453125
2019-10-21,18.94096943409432
2019-10-22,19.393607299690228
2019-10-23,19.585099713823467
2019-10-24,20.063850812634623
2019-10-25,19.4110121866407
2019-10-26,19.4110121866407
2019-10-27,19.4110121866407
2019-10-28,19.628623361224605
2019-10-29,18.99319792870179
2019-10-30,19.61121546844494
2019-10-31,18.688534679748827
2019-11-01,18.714654499465986
2019-11-02,18.714654499465986
2019-11-03,18.714654499465986
2019-11-04,19.21950914505969
2019-11-05,19.35878853741656
2019-11-06,19.64603114070075
2019-11-07,19.316990639687507
2019-11-08,19.194117501261317
2019-11-09,19.194117501261317
2019-11-10,19.194117501261317
2019-11-11,19.220443909992486
2019-11-12,19.650494453673325
2019-11-13,19.27310451175365
2019-11-14,18.992264084080862
2019-11-15,19.42230302531496
2019-11-16,19.42230302531496
2019-11-17,19.42230302531496
2019-11-18,19.81724940383125
2019-11-19,19.439861730363095
2019-11-20,19.5363994414428
2019-11-21,19.817252160518446
2019-11-22,19.826022543818254
2019-11-23,19.826022543818254
2019-11-24,19.826022543818254
2019-11-25,19.571504228419435
2019-11-26,19.79969503038244
2019-11-27,19.76459003927704
2019-11-28,19.76459003927704
2019-11-29,19.58905773079011
2019-11-30,19.58905773079011
2019-12-01,19.58905773079011
2019-12-02,19.668046591989466
2019-12-03,19.150235429285317
2019-12-04,18.886944981533432
2019-12-05,19.58905831860984
2019-12-06,19.431078714537623
2019-12-07,19.431078714537623
2019-12-08,19.431078714537623
2019-12-09,19.422303973238332
2019-12-10,20.054212851681072
2019-12-11,19.64171543652175
2019-12-12,20.089319956933792
2019-12-13,21.05472933562734
2019-12-14,21.05472933562734
2019-12-15,21.05472933562734
2019-12-16,20.95818997887536
2019-12-17,21.010847020760345
2019-12-18,21.39700716633694
2019-12-19,21.598870179886042
