,price
2019-02-19,40.576574386696805
2019-02-20,40.38652075955665
2019-02-21,40.3606046665982
2019-02-22,40.01504673636659
2019-02-23,40.01504673636659
2019-02-24,40.01504673636659
2019-02-25,40.680244172783176
2019-02-26,40.81845858051321
2019-02-27,40.101433097615896
2019-02-28,40.282851899156086
2019-03-01,40.94804602370914
2019-03-02,40.94804602370914
2019-03-03,40.94804602370914
2019-03-04,41.207209285426494
2019-03-05,40.92212644745492
2019-03-06,40.99987277753461
2019-03-07,41.276322700165636
2019-03-08,41.33678616769892
2019-03-09,41.33678616769892
2019-03-10,41.33678616769892
2019-03-11,41.466367137675384
2019-03-12,42.28705691081148
2019-03-13,42.08836904175588
2019-03-14,42.17475132140747
2019-03-15,42.261142663397
2019-03-16,42.261142663397
2019-03-17,42.261142663397
2019-03-18,42.632612533231836
2019-03-19,42.960889174501446
2019-03-20,42.65853088977957
2019-03-21,41.95878723275511
2019-03-22,42.451198596844876
2019-03-23,42.451198596844876
2019-03-24,42.451198596844876
2019-03-25,42.511671733960526
2019-03-26,42.77947394170935
2019-03-27,43.764304112064416
2019-03-28,43.997544966051386
2019-03-29,44.31718183096332
2019-03-30,44.31718183096332
2019-03-31,44.31718183096332
2019-04-01,44.852793728444766
2019-04-02,44.29126874594898
2019-04-03,43.712466491559766
2019-04-04,43.84204543583495
2019-04-05,44.10985316667891
2019-04-06,44.10985316667891
2019-04-07,44.10985316667891
2019-04-08,43.95435402915414
2019-04-09,44.29990736457643
2019-04-10,44.394933006757235
2019-04-11,44.18760205165685
2019-04-12,44.16168562667299
2019-04-13,44.16168562667299
2019-04-14,44.16168562667299
2019-04-15,44.25671479650071
2019-04-16,44.70593547344212
2019-04-17,44.619543390614965
2019-04-18,44.65409431697174
2019-04-19,44.65409431697174
2019-04-20,44.65409431697174
2019-04-21,44.65409431697174
2019-04-22,44.9218997751197
2019-04-23,45.00828829496377
2019-04-24,45.44023034804498
2019-04-25,44.95645557441342
2019-04-26,45.31064768423324
2019-04-27,45.31064768423324
2019-04-28,45.31064768423324
2019-04-29,45.33656880002934
2019-04-30,46.16589508419616
2019-05-01,46.27819923632732
2019-05-02,46.10541971073955
2019-05-03,46.45097065996666
2019-05-04,46.45097065996666
2019-05-05,46.45097065996666
2019-05-06,46.50281264327626
2019-05-07,46.91747900012494
2019-05-08,46.848356526479385
2019-05-09,46.554639460856095
2019-05-10,46.36458206478732
2019-05-11,46.36458206478732
2019-05-12,46.36458206478732
2019-05-13,46.80516280627861
2019-05-14,47.49626696382264
2019-05-15,47.51354851010734
2019-05-16,48.12690001258024
2019-05-17,48.6279659239963
2019-05-18,48.6279659239963
2019-05-19,48.6279659239963
2019-05-20,48.15281973447314
2019-05-21,49.08581185531339
2019-05-22,48.58476584351118
2019-05-23,49.17220178589393
2019-05-24,48.83990143060997
2019-05-25,48.83990143060997
2019-05-26,48.83990143060997
2019-05-27,48.83990143060997
2019-05-28,49.15471597562954
2019-05-29,48.122818614347246
2019-05-30,48.00914443000809
2019-05-31,48.13156606450442
2019-06-01,48.13156606450442
2019-06-02,48.13156606450442
2019-06-03,48.45512987881131
2019-06-04,49.54822746117442
2019-06-05,49.58321443994235
2019-06-06,49.60944775965217
2019-06-07,50.44895475200699
2019-06-08,50.44895475200699
2019-06-09,50.44895475200699
2019-06-10,50.641336047526465
2019-06-11,50.413974801250816
2019-06-12,50.03794531937787
2019-06-13,50.5451448227855
2019-06-14,49.68815152445991
2019-06-15,49.68815152445991
