,price
2019-02-19,52.34000015258789
2019-02-20,57.0
2019-02-21,55.0
2019-02-22,55.560001373291016
2019-02-23,55.560001373291016
2019-02-24,55.560001373291016
2019-02-25,56.91999816894531
2019-02-26,57.290000915527344
2019-02-27,57.099998474121094
2019-02-28,57.4900016784668
2019-03-01,58.060001373291016
2019-03-02,58.060001373291016
2019-03-03,58.060001373291016
2019-03-04,58.880001068115234
2019-03-05,58.59000015258789
2019-03-06,58.95000076293945
2019-03-07,58.459999084472656
2019-03-08,58.130001068115234
2019-03-09,58.130001068115234
2019-03-10,58.130001068115234
2019-03-11,59.31999969482422
2019-03-12,60.0
2019-03-13,60.869998931884766
2019-03-14,60.7599983215332
2019-03-15,61.2599983215332
2019-03-16,61.2599983215332
2019-03-17,61.2599983215332
2019-03-18,61.2599983215332
2019-03-19,61.189998626708984
2019-03-20,61.310001373291016
2019-03-21,61.56999969482422
2019-03-22,63.11000061035156
2019-03-23,63.11000061035156
2019-03-24,63.11000061035156
2019-03-25,61.7599983215332
2019-03-26,62.7599983215332
2019-03-27,62.349998474121094
2019-03-28,62.029998779296875
2019-03-29,63.150001525878906
2019-03-30,63.150001525878906
2019-03-31,63.150001525878906
2019-04-01,65.08000183105469
2019-04-02,64.75
2019-04-03,65.05999755859375
2019-04-04,65.25
2019-04-05,64.12999725341797
2019-04-06,64.12999725341797
2019-04-07,64.12999725341797
2019-04-08,64.2300033569336
2019-04-09,63.63999938964844
2019-04-10,64.30999755859375
2019-04-11,64.58999633789062
2019-04-12,64.80000305175781
2019-04-13,64.80000305175781
2019-04-14,64.80000305175781
2019-04-15,65.0
2019-04-16,65.4800033569336
2019-04-17,65.0
2019-04-18,64.33000183105469
2019-04-19,64.33000183105469
2019-04-20,64.33000183105469
2019-04-21,64.33000183105469
2019-04-22,63.310001373291016
2019-04-23,68.5
2019-04-24,66.79000091552734
2019-04-25,68.11000061035156
2019-04-26,67.5
2019-04-27,67.5
2019-04-28,67.5
2019-04-29,68.41999816894531
2019-04-30,68.18000030517578
2019-05-01,69.5999984741211
2019-05-02,68.54000091552734
2019-05-03,69.58999633789062
2019-05-04,69.58999633789062
2019-05-05,69.58999633789062
2019-05-06,68.62000274658203
2019-05-07,69.11000061035156
2019-05-08,68.29000091552734
2019-05-09,68.06999969482422
2019-05-10,68.44999694824219
2019-05-11,68.44999694824219
2019-05-12,68.44999694824219
2019-05-13,67.4000015258789
2019-05-14,67.2699966430664
2019-05-15,67.55000305175781
2019-05-16,68.9000015258789
2019-05-17,69.52999877929688
2019-05-18,69.52999877929688
2019-05-19,69.52999877929688
2019-05-20,67.37000274658203
2019-05-21,65.4000015258789
2019-05-22,65.0199966430664
2019-05-23,64.20999908447266
2019-05-24,63.88999938964844
2019-05-25,63.88999938964844
2019-05-26,63.88999938964844
2019-05-27,63.88999938964844
2019-05-28,64.16000366210938
2019-05-29,63.439998626708984
2019-05-30,64.01000213623047
2019-05-31,63.45000076293945
2019-06-01,63.45000076293945
2019-06-02,63.45000076293945
2019-06-03,63.310001373291016
2019-06-04,62.56999969482422
2019-06-05,64.06999969482422
2019-06-06,64.69999694824219
2019-06-07,64.87000274658203
2019-06-08,64.87000274658203
2019-06-09,64.87000274658203
2019-06-10,66.19999694824219
2019-06-11,67.83000183105469
2019-06-12,68.13999938964844
2019-06-13,69.9800033569336
2019-06-14,68.0
2019-06-15,68.0
2019-06-16,68.0
2019-06-17,67.9000015258789
2019-06-18,68.33000183105469
2019-06-19,69.3499984741211
2019-06-20,72.5199966430664
2019-06-21,72.5
2019-06-22,72.5
2019-06-23,72.5
2019-06-24,71.56999969482422
2019-06-25,71.04000091552734
2019-06-26,69.9800033569336
2019-06-27,69.98999786376953
2019-06-28,70.38999938964844
2019-06-29,70.38999938964844
2019-06-30,70.38999938964844
2019-07-01,72.55999755859375
2019-07-02,73.3499984741211
2019-07-03,74.25
2019-07-04,74.25
2019-07-05,74.19999694824219
2019-07-06,74.19999694824219
2019-07-07,74.19999694824219
2019-07-08,74.08000183105469
2019-07-09,73.8499984741211
2019-07-10,74.83999633789062
2019-07-11,75.55000305175781
2019-07-12,75.16999816894531
2019-07-13,75.16999816894531
2019-07-14,75.16999816894531
2019-07-15,75.52999877929688
2019-07-16,75.05000305175781
2019-07-17,74.75
2019-07-18,74.0
2019-07-19,74.80000305175781
2019-07-20,74.80000305175781
2019-07-21,74.80000305175781
2019-07-22,73.4000015258789
2019-07-23,71.98999786376953
2019-07-24,74.01000213623047
2019-07-25,75.69000244140625
2019-07-26,76.19000244140625
2019-07-27,76.19000244140625
2019-07-28,76.19000244140625
2019-07-29,76.01000213623047
2019-07-30,75.69999694824219
2019-07-31,75.7300033569336
2019-08-01,73.91000366210938
2019-08-02,72.31999969482422
2019-08-03,72.31999969482422
2019-08-04,72.31999969482422
2019-08-05,69.5
2019-08-06,68.1500015258789
2019-08-07,68.25
2019-08-08,69.51000213623047
2019-08-09,70.83000183105469
2019-08-10,70.83000183105469
2019-08-11,70.83000183105469
2019-08-12,69.94999694824219
2019-08-13,68.5999984741211
2019-08-14,69.41999816894531
2019-08-15,67.91999816894531
2019-08-16,69.05000305175781
2019-08-17,69.05000305175781
2019-08-18,69.05000305175781
2019-08-19,70.58999633789062
2019-08-20,69.37000274658203
2019-08-21,69.4800033569336
2019-08-22,70.18000030517578
2019-08-23,69.33000183105469
2019-08-24,69.33000183105469
2019-08-25,69.33000183105469
