,price
2019-02-19,89.13073654399427
2019-02-20,89.27235238991943
2019-02-21,89.52725962709611
2019-02-22,90.23228938660922
2019-02-23,90.23228938660922
2019-02-24,90.23228938660922
2019-02-25,91.10355666114528
2019-02-26,90.07131949753041
2019-02-27,89.69249050711468
2019-02-28,89.84400911478487
2019-03-01,89.25686235182296
2019-03-02,89.25686235182296
2019-03-03,89.25686235182296
2019-03-04,89.96712140587414
2019-03-05,89.42732300720623
2019-03-06,89.00117638697579
2019-03-07,87.91208444390273
2019-03-08,85.98965290174668
2019-03-09,85.98965290174668
2019-03-10,85.98965290174668
2019-03-11,87.65638258577637
2019-03-12,90.0334345814823
2019-03-13,91.24560718032053
2019-03-14,91.65282444961021
2019-03-15,91.74753006660909
2019-03-16,91.74753006660909
2019-03-17,91.74753006660909
2019-03-18,92.44833440638006
2019-03-19,92.2968213991373
2019-03-20,92.20209231196745
2019-03-21,92.17368968021029
2019-03-22,93.20593342381804
2019-03-23,93.20593342381804
2019-03-24,93.20593342381804
2019-03-25,90.89521760925403
2019-03-26,91.35924665114258
2019-03-27,90.93309912882451
2019-03-28,89.70196614985898
2019-03-29,90.75317906367353
2019-03-30,90.75317906367353
2019-03-31,90.75317906367353
2019-04-01,92.11686915604554
2019-04-02,93.37640676316359
2019-04-03,94.68330226593248
2019-04-04,95.37462927424328
2019-04-05,95.60189822875637
2019-04-06,95.60189822875637
2019-04-07,95.60189822875637
2019-04-08,95.21364277829197
2019-04-09,96.28378431684003
2019-04-10,96.63417205376862
2019-04-11,99.39947754264593
2019-04-12,101.36927214148454
2019-04-13,101.36927214148454
2019-04-14,101.36927214148454
2019-04-15,101.71968837565612
2019-04-16,102.43941126736519
2019-04-17,101.90907911269129
2019-04-18,100.0150477682002
2019-04-19,100.0150477682002
2019-04-20,100.0150477682002
2019-04-21,100.0150477682002
2019-04-22,99.66462674784601
2019-04-23,99.47523871825665
2019-04-24,100.62112949681925
2019-04-25,100.88629796276987
2019-04-26,98.92596002256437
2019-04-27,98.92596002256437
2019-04-28,98.92596002256437
2019-04-29,99.55100274432152
2019-04-30,99.32370455935063
