,price
2019-02-19,347.6700134277344
2019-02-20,349.29998779296875
2019-02-21,348.2799987792969
2019-02-22,350.9200134277344
2019-02-23,350.9200134277344
2019-02-24,350.9200134277344
2019-02-25,352.3399963378906
2019-02-26,348.8299865722656
2019-02-27,344.5899963378906
2019-02-28,345.1600036621094
2019-03-01,347.5199890136719
2019-03-02,347.5199890136719
2019-03-03,347.5199890136719
2019-03-04,348.8800048828125
2019-03-05,345.2200012207031
2019-03-06,344.7799987792969
2019-03-07,339.80999755859375
2019-03-08,337.3999938964844
2019-03-09,337.3999938964844
2019-03-10,337.3999938964844
2019-03-11,337.69000244140625
2019-03-12,342.3999938964844
2019-03-13,343.989990234375
2019-03-14,348.9700012207031
2019-03-15,352.3599853515625
2019-03-16,352.3599853515625
2019-03-17,352.3599853515625
2019-03-18,356.5199890136719
2019-03-19,359.4800109863281
2019-03-20,360.5799865722656
2019-03-21,361.79998779296875
2019-03-22,365.70001220703125
2019-03-23,365.70001220703125
2019-03-24,365.70001220703125
2019-03-25,360.75
2019-03-26,356.79998779296875
2019-03-27,356.3900146484375
2019-03-28,356.1700134277344
2019-03-29,352.1199951171875
2019-03-30,352.1199951171875
2019-03-31,352.1199951171875
2019-04-01,349.80999755859375
2019-04-02,346.75
2019-04-03,348.6600036621094
2019-04-04,346.25
2019-04-05,345.7900085449219
2019-04-06,345.7900085449219
2019-04-07,345.7900085449219
2019-04-08,350.5299987792969
2019-04-09,351.8900146484375
2019-04-10,353.4800109863281
2019-04-11,356.3500061035156
2019-04-12,355.8900146484375
2019-04-13,355.8900146484375
2019-04-14,355.8900146484375
2019-04-15,356.5899963378906
2019-04-16,359.010009765625
2019-04-17,360.0
2019-04-18,367.20001220703125
2019-04-19,367.20001220703125
2019-04-20,367.20001220703125
2019-04-21,367.20001220703125
2019-04-22,358.5400085449219
2019-04-23,356.5
2019-04-24,358.0400085449219
2019-04-25,357.9100036621094
2019-04-26,368.19000244140625
2019-04-27,368.19000244140625
2019-04-28,368.19000244140625
2019-04-29,370.0
2019-04-30,371.44000244140625
2019-05-01,373.1300048828125
2019-05-02,370.9700012207031
2019-05-03,372.1199951171875
2019-05-04,372.1199951171875
2019-05-05,372.1199951171875
2019-05-06,372.6700134277344
2019-05-07,372.30999755859375
2019-05-08,374.6400146484375
2019-05-09,369.4599914550781
2019-05-10,372.3699951171875
2019-05-11,372.3699951171875
2019-05-12,372.3699951171875
2019-05-13,372.30999755859375
2019-05-14,369.3800048828125
2019-05-15,370.3800048828125
2019-05-16,378.19000244140625
2019-05-17,381.8299865722656
2019-05-18,381.8299865722656
2019-05-19,381.8299865722656
2019-05-20,378.42999267578125
2019-05-21,379.3900146484375
2019-05-22,378.2099914550781
2019-05-23,375.42999267578125
2019-05-24,376.739990234375
2019-05-25,376.739990234375
2019-05-26,376.739990234375
2019-05-27,376.739990234375
2019-05-28,377.20001220703125
2019-05-29,375.9800109863281
2019-05-30,377.69000244140625
2019-05-31,376.1600036621094
2019-06-01,376.1600036621094
2019-06-02,376.1600036621094
2019-06-03,376.3399963378906
2019-06-04,380.94000244140625
2019-06-05,389.05999755859375
2019-06-06,384.6199951171875
2019-06-07,389.0
2019-06-08,389.0
2019-06-09,389.0
2019-06-10,395.8900146484375
2019-06-11,397.67999267578125
2019-06-12,391.42999267578125
2019-06-13,392.9100036621094
2019-06-14,390.32000732421875
2019-06-15,390.32000732421875
2019-06-16,390.32000732421875
2019-06-17,393.739990234375
2019-06-18,397.5199890136719
2019-06-19,395.6300048828125
2019-06-20,400.4800109863281
2019-06-21,400.0
2019-06-22,400.0
2019-06-23,400.0
2019-06-24,396.010009765625
2019-06-25,391.17999267578125
2019-06-26,391.489990234375
2019-06-27,389.75
2019-06-28,391.4599914550781
2019-06-29,391.4599914550781
2019-06-30,391.4599914550781
2019-07-01,400.0
2019-07-02,398.8399963378906
2019-07-03,399.5799865722656
2019-07-04,399.5799865722656
2019-07-05,397.3699951171875
2019-07-06,397.3699951171875
2019-07-07,397.3699951171875
2019-07-08,399.8699951171875
2019-07-09,397.9200134277344
2019-07-10,404.3399963378906
2019-07-11,408.1499938964844
2019-07-12,411.5
2019-07-13,411.5
2019-07-14,411.5
2019-07-15,415.7300109863281
2019-07-16,414.7900085449219
2019-07-17,416.5899963378906
2019-07-18,410.1199951171875
2019-07-19,417.1300048828125
2019-07-20,417.1300048828125
2019-07-21,417.1300048828125
2019-07-22,411.0
2019-07-23,408.9700012207031
2019-07-24,407.45001220703125
2019-07-25,407.2200012207031
2019-07-26,380.0
2019-07-27,380.0
2019-07-28,380.0
2019-07-29,398.7799987792969
2019-07-30,391.6700134277344
2019-07-31,390.9800109863281
2019-08-01,385.94000244140625
2019-08-02,383.1199951171875
2019-08-03,383.1199951171875
2019-08-04,383.1199951171875
2019-08-05,380.07000732421875
2019-08-06,379.7699890136719
2019-08-07,376.3999938964844
2019-08-08,378.19000244140625
2019-08-09,380.510009765625
2019-08-10,380.510009765625
2019-08-11,380.510009765625
2019-08-12,378.79998779296875
2019-08-13,376.2300109863281
2019-08-14,375.8599853515625
2019-08-15,376.19000244140625
2019-08-16,385.3299865722656
2019-08-17,385.3299865722656
2019-08-18,385.3299865722656
2019-08-19,388.17999267578125
2019-08-20,386.95001220703125
2019-08-21,393.29998779296875
2019-08-22,392.67999267578125
2019-08-23,388.8399963378906
2019-08-24,388.8399963378906
2019-08-25,388.8399963378906
2019-08-26,387.8500061035156
2019-08-27,397.42999267578125
2019-08-28,398.6499938964844
2019-08-29,404.6199951171875
2019-08-30,409.1199951171875
2019-08-31,409.1199951171875
2019-09-01,409.1199951171875
2019-09-02,409.1199951171875
2019-09-03,408.0799865722656
2019-09-04,415.3800048828125
2019-09-05,424.75
2019-09-06,423.1199951171875
2019-09-07,423.1199951171875
2019-09-08,423.1199951171875
2019-09-09,425.989990234375
2019-09-10,418.9700012207031
2019-09-11,420.17999267578125
2019-09-12,427.6700134277344
2019-09-13,425.05999755859375
2019-09-14,425.05999755859375
2019-09-15,425.05999755859375
2019-09-16,425.19000244140625
2019-09-17,423.30999755859375
2019-09-18,424.239990234375
2019-09-19,426.7799987792969
2019-09-20,426.010009765625
2019-09-21,426.010009765625
2019-09-22,426.010009765625
2019-09-23,421.69000244140625
2019-09-24,422.5400085449219
2019-09-25,417.20001220703125
2019-09-26,418.45001220703125
2019-09-27,411.8299865722656
2019-09-28,411.8299865722656
2019-09-29,411.8299865722656
2019-09-30,408.2099914550781
2019-10-01,412.5299987792969
2019-10-02,409.9100036621094
2019-10-03,409.010009765625
2019-10-04,422.1700134277344
2019-10-05,422.1700134277344
2019-10-06,422.1700134277344
2019-10-07,425.5299987792969
2019-10-08,426.9100036621094
2019-10-09,431.2300109863281
2019-10-10,428.9700012207031
2019-10-11,430.2200012207031
2019-10-12,430.2200012207031
2019-10-13,430.2200012207031
2019-10-14,423.8900146484375
2019-10-15,423.6000061035156
2019-10-16,432.8500061035156
2019-10-17,439.54998779296875
2019-10-18,443.7900085449219
2019-10-19,443.7900085449219
2019-10-20,443.7900085449219
2019-10-21,442.2200012207031
2019-10-22,437.0400085449219
2019-10-23,436.25
2019-10-24,435.1099853515625
2019-10-25,460.8699951171875
2019-10-26,460.8699951171875
2019-10-27,460.8699951171875
2019-10-28,465.8299865722656
2019-10-29,464.010009765625
2019-10-30,464.1000061035156
2019-10-31,468.260009765625
2019-11-01,469.9700012207031
2019-11-02,469.9700012207031
2019-11-03,469.9700012207031
2019-11-04,477.70001220703125
2019-11-05,474.42999267578125
2019-11-06,472.7200012207031
2019-11-07,468.6199951171875
2019-11-08,467.260009765625
2019-11-09,467.260009765625
2019-11-10,467.260009765625
