,price
2019-02-19,33.59646749882943
2019-02-20,33.55197856768218
2019-02-21,33.471870477591715
2019-02-22,34.24614191706855
2019-02-23,34.24614191706855
2019-02-24,34.24614191706855
2019-02-25,34.40633820381762
2019-02-26,34.37965107402554
2019-02-27,34.388546961023366
2019-02-28,34.30844927537035
2019-03-01,34.575434702900324
2019-03-02,34.575434702900324
2019-03-03,34.575434702900324
2019-03-04,34.93142941229136
2019-03-05,34.52204895938572
2019-03-06,34.60213228051066
2019-03-07,34.32624767854882
2019-03-08,34.01475003705077
2019-03-09,34.01475003705077
2019-03-10,34.01475003705077
2019-03-11,34.04145250180655
2019-03-12,34.85133072595058
2019-03-13,35.323022827853656
2019-03-14,35.12722446510065
2019-03-15,35.51881071554859
2019-03-16,35.51881071554859
2019-03-17,35.51881071554859
2019-03-18,35.80359888673094
2019-03-19,35.58110571100155
2019-03-20,35.38532115980885
2019-03-21,35.1094236529219
2019-03-22,35.54550693590522
2019-03-23,35.54550693590522
2019-03-24,35.54550693590522
2019-03-25,35.136116456699774
2019-03-26,35.06492567480314
2019-03-27,35.31412026047945
2019-03-28,35.78579335764678
2019-03-29,35.77690317340467
2019-03-30,35.77690317340467
2019-03-31,35.77690317340467
2019-04-01,35.90149973100206
2019-04-02,35.937423252519274
2019-04-03,36.05372771271172
2019-04-04,36.07162441514146
2019-04-05,36.17003146727936
2019-04-06,36.17003146727936
2019-04-07,36.17003146727936
2019-04-08,36.09846359168768
2019-04-09,36.41157997090188
2019-04-10,36.84101075916595
2019-04-11,36.78732435983344
2019-04-12,36.74259516114705
2019-04-13,36.74259516114705
2019-04-14,36.74259516114705
2019-04-15,36.96625793067887
2019-04-16,37.431456727310724
2019-04-17,37.699860036943655
2019-04-18,38.23663093295008
2019-04-19,38.23663093295008
2019-04-20,38.23663093295008
2019-04-21,38.23663093295008
2019-04-22,37.807199547829185
2019-04-23,37.54776167863839
2019-04-24,37.60144108594726
2019-04-25,37.9771812267598
2019-04-26,39.30124278840407
2019-04-27,39.30124278840407
2019-04-28,39.30124278840407
2019-04-29,38.62133026186747
2019-04-30,38.97023503194616
2019-05-01,38.898669021898336
2019-05-02,38.755519235063396
2019-05-03,38.442401036249294
2019-05-04,38.442401036249294
2019-05-05,38.442401036249294
2019-05-06,38.263466749231625
2019-05-07,38.46923392115299
2019-05-08,38.22768084440118
2019-05-09,37.83404654299171
2019-05-10,38.200853548047405
2019-05-11,38.200853548047405
2019-05-12,38.200853548047405
2019-05-13,38.084544456200994
2019-05-14,37.81615660018164
2019-05-15,38.24558080042922
2019-05-16,38.08454183478226
2019-05-17,38.52291177595801
2019-05-18,38.52291177595801
2019-05-19,38.52291177595801
2019-05-20,38.80920110858756
2019-05-21,38.522918184511326
2019-05-22,38.70183515621949
2019-05-23,38.469243121381204
2019-05-24,38.29925896464112
2019-05-25,38.29925896464112
2019-05-26,38.29925896464112
2019-05-27,38.29925896464112
2019-05-28,38.33504110136036
2019-05-29,37.78932237263042
2019-05-30,37.780371361674106
2019-05-31,37.02887627124366
2019-06-01,37.02887627124366
2019-06-02,37.02887627124366
2019-06-03,36.706815821444096
2019-06-04,37.08255752844901
2019-06-05,37.359891007051594
2019-06-06,36.92151825295026
2019-06-07,36.993094575362555
2019-06-08,36.993094575362555
2019-06-09,36.993094575362555
2019-06-10,37.10940942937603
2019-06-11,37.18990941157203
2019-06-12,36.93941266085694
2019-06-13,37.0915026264732
2019-06-14,37.54776844839038
2019-06-15,37.54776844839038
2019-06-16,37.54776844839038
2019-06-17,37.878783020458926
2019-06-18,38.45134255794924
2019-06-19,38.6660585502307
2019-06-20,39.041808595084454
2019-06-21,38.853923007713384
2019-06-22,38.853923007713384
2019-06-23,38.853923007713384
2019-06-24,38.96128097878115
2019-06-25,38.934439143083225
2019-06-26,38.16505945103504
2019-06-27,37.834040865934746
2019-06-28,37.72668972272456
2019-06-29,37.72668972272456
2019-06-30,37.72668972272456
2019-07-01,38.156117269023
2019-07-02,38.27272023185663
2019-07-03,38.65931310087867
2019-07-04,38.65931310087867
2019-07-05,38.794181966390354
2019-07-06,38.794181966390354
2019-07-07,38.794181966390354
2019-07-08,38.821162188354286
2019-07-09,38.26373733571367
2019-07-10,39.594331327636255
2019-07-11,39.38754606081506
2019-07-12,39.621313249655365
2019-07-13,39.621313249655365
2019-07-14,39.621313249655365
2019-07-15,40.340555976109016
2019-07-16,40.304592803987404
2019-07-17,40.48439633490372
2019-07-18,39.7831397106292
2019-07-19,40.23266208891465
2019-07-20,40.23266208891465
2019-07-21,40.23266208891465
2019-07-22,39.65726359861426
2019-07-23,39.56736138694281
2019-07-24,39.83708145578422
2019-07-25,39.83708456129768
2019-07-26,39.57635905189466
2019-07-27,39.57635905189466
2019-07-28,39.57635905189466
2019-07-29,40.187712246164246
2019-07-30,39.59432801196384
2019-07-31,39.37856935658656
2019-08-01,38.830141929463025
2019-08-02,38.434558110493306
2019-08-03,38.434558110493306
2019-08-04,38.434558110493306
2019-08-05,37.88614269978771
2019-08-06,37.481554976856046
2019-08-07,37.13092365646156
2019-08-08,37.73329176390798
2019-08-09,38.326662883394484
2019-08-10,38.326662883394484
2019-08-11,38.326662883394484
2019-08-12,38.416576930760655
2019-08-13,38.24575562321078
2019-08-14,39.099869212771196
2019-08-15,38.164839548061174
2019-08-16,38.46153254332793
2019-08-17,38.46153254332793
2019-08-18,38.46153254332793
2019-08-19,39.22573107254257
2019-08-20,39.45049163160451
2019-08-21,39.342597597856525
2019-08-22,39.765149314658295
2019-08-23,39.10884563827176
2019-08-24,39.10884563827176
2019-08-25,39.10884563827176
2019-08-26,38.425571308667024
2019-08-27,39.468472302890945
2019-08-28,39.018936441203344
2019-08-29,39.69323409689045
2019-08-30,39.998918794309006
2019-08-31,39.998918794309006
2019-09-01,39.998918794309006
2019-09-02,39.998918794309006
2019-09-03,39.45948570596287
2019-09-04,39.846072723616295
2019-09-05,41.74307914851681
2019-09-06,41.743079992738686
2019-09-07,41.743079992738686
2019-09-08,41.743079992738686
2019-09-09,41.9408781885132
2019-09-10,41.52730664113057
2019-09-11,41.60821746691005
2019-09-12,42.066739030439656
2019-09-13,42.21958184999645
2019-09-14,42.21958184999645
2019-09-15,42.21958184999645
2019-09-16,41.56326873450344
2019-09-17,41.46437181909832
2019-09-18,42.23754683717865
2019-09-19,42.291498255215764
2019-09-20,41.958849817240974
2019-09-21,41.958849817240974
2019-09-22,41.958849817240974
