,price
2019-02-19,198.58491129659237
2019-02-20,200.0146853459549
2019-02-21,198.52073337940323
2019-02-22,197.21013746184877
2019-02-23,197.21013746184877
2019-02-24,197.21013746184877
2019-02-25,199.22646459531322
2019-02-26,198.7865529891542
2019-02-27,198.43823455386902
2019-02-28,200.2529838112415
2019-03-01,201.41700113310702
2019-03-02,201.41700113310702
2019-03-03,201.41700113310702
2019-03-04,202.03104062367055
2019-03-05,200.63793774323173
2019-03-06,202.09521239562437
2019-03-07,199.92304826274844
2019-03-08,206.65956543026456
2019-03-09,206.65956543026456
2019-03-10,206.65956543026456
2019-03-11,208.5384764594232
2019-03-12,211.0956002595171
2019-03-13,214.69753292149193
2019-03-14,216.42062743829462
2019-03-15,214.62420713137942
2019-03-16,214.62420713137942
2019-03-17,214.62420713137942
2019-03-18,214.08345376856204
2019-03-19,217.69462602345916
2019-03-20,217.24550589531717
2019-03-21,216.92472393228556
2019-03-22,219.73846881043363
2019-03-23,219.73846881043363
2019-03-24,219.73846881043363
2019-03-25,217.15382162758127
2019-03-26,218.1345691503254
2019-03-27,218.78527999650055
2019-03-28,219.94926535250286
2019-03-29,221.48903906637892
2019-03-30,221.48903906637892
2019-03-31,221.48903906637892
2019-04-01,222.78133518731875
2019-04-02,223.63371825664308
2019-04-03,221.516516285145
2019-04-04,221.9564739747086
2019-04-05,224.51357738167619
2019-04-06,224.51357738167619
2019-04-07,224.51357738167619
2019-04-08,225.4575987771435
2019-04-09,224.65107697347216
2019-04-10,224.80688735249186
2019-04-11,223.2854620471584
2019-04-12,221.3515608595664
2019-04-13,221.3515608595664
2019-04-14,221.3515608595664
2019-04-15,222.13976987269987
2019-04-16,226.06253169617912
2019-04-17,225.74174552773198
2019-04-18,226.19084543917543
2019-04-19,226.19084543917543
2019-04-20,226.19084543917543
2019-04-21,226.19084543917543
2019-04-22,224.72439197162402
2019-04-23,224.2294816241355
2019-04-24,225.17350889885694
2019-04-25,225.6592588039717
2019-04-26,225.1185111266117
2019-04-27,225.1185111266117
2019-04-28,225.1185111266117
2019-04-29,224.5502695523693
2019-04-30,224.33948215885
2019-05-01,224.86185922009656
2019-05-02,221.58066281855866
2019-05-03,222.9646560089608
2019-05-04,222.9646560089608
2019-05-05,222.9646560089608
2019-05-06,222.5796784725612
2019-05-07,221.5440656669617
2019-05-08,219.56434485955558
2019-05-09,221.16817304910296
2019-05-10,223.26354214553783
2019-05-11,223.26354214553783
2019-05-12,223.26354214553783
2019-05-13,224.34795367638202
2019-05-14,222.6661456390543
2019-05-15,222.50070817658528
2019-05-16,225.73569320668838
2019-05-17,225.96543378738326
2019-05-18,225.96543378738326
2019-05-19,225.96543378738326
2019-05-20,227.13256726855826
2019-05-21,228.9337691784964
2019-05-22,230.67990186157104
2019-05-23,228.49267838921554
2019-05-24,228.9338165569531
2019-05-25,228.9338165569531
2019-05-26,228.9338165569531
2019-05-27,228.9338165569531
2019-05-28,228.4467145712032
2019-05-29,224.35715620416605
2019-05-30,222.53752350170257
2019-05-31,219.62424946959595
2019-06-01,219.62424946959595
2019-06-02,219.62424946959595
2019-06-03,220.35947142551152
2019-06-04,223.31864639426072
2019-06-05,226.1675391825371
2019-06-06,227.9136904456391
2019-06-07,230.817789313567
2019-06-08,230.817789313567
2019-06-09,230.817789313567
2019-06-10,235.6333260013469
2019-06-11,237.94005672349363
2019-06-12,236.71773281272624
2019-06-13,236.8372184586684
2019-06-14,238.94177494649304
2019-06-15,238.94177494649304
2019-06-16,238.94177494649304
2019-06-17,239.9802600946791
2019-06-18,242.25940091848489
2019-06-19,241.0646636203382
2019-06-20,243.53684596528174
2019-06-21,245.16345193534755
2019-06-22,245.16345193534755
2019-06-23,245.16345193534755
2019-06-24,245.6596625514317
2019-06-25,245.10826378214855
2019-06-26,244.86939554430734
2019-06-27,243.44492151829868
2019-06-28,243.99630996693486
2019-06-29,243.99630996693486
2019-06-30,243.99630996693486
2019-07-01,244.85095219896675
2019-07-02,242.54437644695057
2019-07-03,243.66544964428763
2019-07-04,243.66544964428763
2019-07-05,246.4776051954192
2019-07-06,246.4776051954192
2019-07-07,246.4776051954192
2019-07-08,246.5970394646024
2019-07-09,247.5436850305994
2019-07-10,248.17778096788712
2019-07-11,250.27317212496501
2019-07-12,254.10533866495427
2019-07-13,254.10533866495427
2019-07-14,254.10533866495427
2019-07-15,257.26676965670646
2019-07-16,258.2408473632823
2019-07-17,258.2867908286204
2019-07-18,259.3437288484996
2019-07-19,260.14324298828586
2019-07-20,260.14324298828586
2019-07-21,260.14324298828586
2019-07-22,258.4431259748537
2019-07-23,259.0221110180407
2019-07-24,257.1656490028187
2019-07-25,258.4246933305264
2019-07-26,257.13814593942806
2019-07-27,257.13814593942806
2019-07-28,257.13814593942806
2019-07-29,258.2501061923284
2019-07-30,257.5700213677135
2019-07-31,256.4213119557732
2019-08-01,253.41613213854225
2019-08-02,252.08361425873474
2019-08-03,252.08361425873474
2019-08-04,252.08361425873474
2019-08-05,248.2145739274846
2019-08-06,244.88775041614878
2019-08-07,246.45928468595324
2019-08-08,250.92565770959408
2019-08-09,252.34089640052014
2019-08-10,252.34089640052014
2019-08-11,252.34089640052014
2019-08-12,251.83545423022048
2019-08-13,249.21625642670188
2019-08-14,251.80791337946877
2019-08-15,248.61890928076897
2019-08-16,251.89984130859375
2019-08-17,251.89984130859375
2019-08-18,251.89984130859375
2019-08-19,254.02269792573216
2019-08-20,253.90325432796834
2019-08-21,253.10368488277462
2019-08-22,254.57416015333703
2019-08-23,255.6768896051591
2019-08-24,255.6768896051591
2019-08-25,255.6768896051591
2019-08-26,253.41613083817475
2019-08-27,258.2409753016166
2019-08-28,269.9582496014445
2019-08-29,273.9908899474837
2019-08-30,274.46987792140885
2019-08-31,274.46987792140885
2019-09-01,274.46987792140885
2019-09-02,274.46987792140885
2019-09-03,269.4686132121753
2019-09-04,270.7857421114141
2019-09-05,274.86588938129864
2019-09-06,275.5750556290742
2019-09-07,275.5750556290742
2019-09-08,275.5750556290742
2019-09-09,280.456618548237
2019-09-10,273.8987971992681
2019-09-11,271.0620007186287
2019-09-12,267.41466462563193
2019-09-13,267.28569005123546
2019-09-14,267.28569005123546
2019-09-15,267.28569005123546
2019-09-16,267.62651766357595
2019-09-17,266.6963086170012
2019-09-18,267.74627978741995
2019-09-19,266.6318042053973
2019-09-20,265.9502611727635
2019-09-21,265.9502611727635
2019-09-22,265.9502611727635
2019-09-23,263.7489857816909
2019-09-24,266.4568054250684
2019-09-25,265.498988056708
2019-09-26,266.5765326703289
2019-09-27,266.66864795503386
2019-09-28,266.66864795503386
2019-09-29,266.66864795503386
2019-09-30,264.98320767761373
2019-10-01,265.2964149581451
2019-10-02,260.8660643224151
2019-10-03,262.85554103617744
2019-10-04,265.1212702108639
2019-10-05,265.1212702108639
2019-10-06,265.1212702108639
2019-10-07,268.05944959231164
2019-10-08,269.81855433808795
2019-10-09,269.966007297572
2019-10-10,275.0500131141596
2019-10-11,274.5343302447288
2019-10-12,274.5343302447288
2019-10-13,274.5343302447288
2019-10-14,274.46984968410015
2019-10-15,274.76462202540654
2019-10-16,273.3646243808549
2019-10-17,275.2526598889992
2019-10-18,278.1540556357866
2019-10-19,278.1540556357866
2019-10-20,278.1540556357866
2019-10-21,279.07508005695234
2019-10-22,277.7948230534446
2019-10-23,275.9250670313931
2019-10-24,271.7527994305216
2019-10-25,272.1855974413649
2019-10-26,272.1855974413649
2019-10-27,272.1855974413649
2019-10-28,272.35144226377673
2019-10-29,274.6632896313181
2019-10-30,273.4751909361275
2019-10-31,275.39836857366265
2019-11-01,275.05690288712617
2019-11-02,275.05690288712617
2019-11-03,275.05690288712617
2019-11-04,274.2908202523986
2019-11-05,274.2261220092525
2019-11-06,276.88460948131143
2019-11-07,280.53973104784023
2019-11-08,279.44129625126794
2019-11-09,279.44129625126794
2019-11-10,279.44129625126794
2019-11-11,278.3429732245834
2019-11-12,277.678309285099
2019-11-13,277.0782874810978
2019-11-14,280.9643955624334
2019-11-15,281.8135081000582
2019-11-16,281.8135081000582
