,price
2019-02-19,13.5
2019-02-20,13.359999656677246
2019-02-21,13.47249984741211
2019-02-22,14.104999542236328
2019-02-23,14.104999542236328
2019-02-24,14.104999542236328
2019-02-25,14.609999656677246
2019-02-26,14.84749984741211
2019-02-27,14.699999809265137
2019-02-28,14.630000114440918
2019-03-01,14.720000267028809
2019-03-02,14.720000267028809
2019-03-03,14.720000267028809
2019-03-04,14.817500114440918
2019-03-05,14.46500015258789
2019-03-06,14.520000457763672
2019-03-07,14.479999542236328
2019-03-08,14.46500015258789
2019-03-09,14.46500015258789
2019-03-10,14.46500015258789
2019-03-11,14.567500114440918
2019-03-12,14.720000267028809
2019-03-13,14.859999656677246
2019-03-14,14.920000076293945
2019-03-15,14.75
2019-03-16,14.75
2019-03-17,14.75
2019-03-18,14.77750015258789
2019-03-19,14.7475004196167
2019-03-20,14.734999656677246
2019-03-21,14.729999542236328
2019-03-22,14.907500267028809
2019-03-23,14.907500267028809
2019-03-24,14.907500267028809
2019-03-25,14.819999694824219
2019-03-26,14.890000343322754
2019-03-27,15.03499984741211
2019-03-28,14.932499885559082
2019-03-29,15.0625
2019-03-30,15.0625
2019-03-31,15.0625
2019-04-01,15.239999771118164
2019-04-02,15.555000305175781
2019-04-03,15.852499961853027
2019-04-04,15.9399995803833
2019-04-05,15.767499923706055
2019-04-06,15.767499923706055
2019-04-07,15.767499923706055
2019-04-08,15.979999542236328
2019-04-09,16.122499465942383
2019-04-10,16.125
2019-04-11,16.09749984741211
2019-04-12,16.28499984741211
2019-04-13,16.28499984741211
2019-04-14,16.28499984741211
2019-04-15,16.364999771118164
2019-04-16,16.38249969482422
2019-04-17,16.387500762939453
2019-04-18,16.202499389648438
2019-04-19,16.202499389648438
2019-04-20,16.202499389648438
2019-04-21,16.202499389648438
2019-04-22,16.209999084472656
2019-04-23,16.282499313354492
2019-04-24,16.485000610351562
2019-04-25,16.559999465942383
2019-04-26,16.4950008392334
2019-04-27,16.4950008392334
2019-04-28,16.4950008392334
2019-04-29,16.719999313354492
2019-04-30,16.790000915527344
2019-05-01,16.8174991607666
2019-05-02,16.512500762939453
2019-05-03,16.739999771118164
2019-05-04,16.739999771118164
2019-05-05,16.739999771118164
2019-05-06,16.532499313354492
2019-05-07,16.6200008392334
2019-05-08,16.450000762939453
2019-05-09,16.4424991607666
2019-05-10,16.530000686645508
2019-05-11,16.530000686645508
2019-05-12,16.530000686645508
2019-05-13,16.43000030517578
2019-05-14,16.337499618530273
2019-05-15,16.38249969482422
2019-05-16,16.61750030517578
2019-05-17,16.469999313354492
2019-05-18,16.469999313354492
2019-05-19,16.469999313354492
2019-05-20,16.280000686645508
2019-05-21,16.4375
2019-05-22,16.55500030517578
2019-05-23,16.912500381469727
2019-05-24,17.655000686645508
2019-05-25,17.655000686645508
2019-05-26,17.655000686645508
2019-05-27,17.655000686645508
2019-05-28,17.88249969482422
2019-05-29,17.795000076293945
2019-05-30,17.6299991607666
2019-05-31,17.72249984741211
2019-06-01,17.72249984741211
2019-06-02,17.72249984741211
2019-06-03,17.88249969482422
2019-06-04,17.959999084472656
2019-06-05,18.274999618530273
2019-06-06,18.354999542236328
2019-06-07,18.537500381469727
2019-06-08,18.537500381469727
2019-06-09,18.537500381469727
2019-06-10,18.739999771118164
2019-06-11,18.7549991607666
2019-06-12,18.47249984741211
2019-06-13,18.732500076293945
2019-06-14,18.69499969482422
2019-06-15,18.69499969482422
2019-06-16,18.69499969482422
2019-06-17,18.514999389648438
2019-06-18,18.40250015258789
2019-06-19,18.334999084472656
2019-06-20,18.717500686645508
2019-06-21,18.602500915527344
2019-06-22,18.602500915527344
2019-06-23,18.602500915527344
2019-06-24,18.552499771118164
2019-06-25,18.46500015258789
2019-06-26,18.415000915527344
2019-06-27,18.34749984741211
2019-06-28,18.315000534057617
2019-06-29,18.315000534057617
2019-06-30,18.315000534057617
2019-07-01,18.877500534057617
2019-07-02,18.74250030517578
2019-07-03,18.767499923706055
2019-07-04,18.767499923706055
2019-07-05,18.672500610351562
2019-07-06,18.672500610351562
2019-07-07,18.672500610351562
2019-07-08,18.61750030517578
2019-07-09,18.5
2019-07-10,18.899999618530273
2019-07-11,18.989999771118164
2019-07-12,19.239999771118164
2019-07-13,19.239999771118164
2019-07-14,19.239999771118164
2019-07-15,19.334999084472656
2019-07-16,19.34000015258789
2019-07-17,19.389999389648438
2019-07-18,19.302499771118164
2019-07-19,19.545000076293945
2019-07-20,19.545000076293945
2019-07-21,19.545000076293945
2019-07-22,19.3799991607666
2019-07-23,19.684999465942383
2019-07-24,19.71500015258789
2019-07-25,19.8125
2019-07-26,19.8125
2019-07-27,19.8125
2019-07-28,19.8125
2019-07-29,19.877500534057617
2019-07-30,19.462499618530273
2019-07-31,19.5
2019-08-01,19.31999969482422
2019-08-02,19.19499969482422
2019-08-03,19.19499969482422
2019-08-04,19.19499969482422
2019-08-05,18.795000076293945
2019-08-06,18.467500686645508
2019-08-07,18.467500686645508
2019-08-08,18.797500610351562
2019-08-09,18.93000030517578
2019-08-10,18.93000030517578
2019-08-11,18.93000030517578
2019-08-12,18.782499313354492
2019-08-13,18.737499237060547
2019-08-14,18.850000381469727
2019-08-15,18.65999984741211
2019-08-16,18.799999237060547
2019-08-17,18.799999237060547
2019-08-18,18.799999237060547
2019-08-19,19.09749984741211
2019-08-20,19.024999618530273
2019-08-21,19.06999969482422
2019-08-22,19.1924991607666
2019-08-23,18.9950008392334
2019-08-24,18.9950008392334
2019-08-25,18.9950008392334
2019-08-26,18.497499465942383
2019-08-27,18.61750030517578
2019-08-28,18.627500534057617
2019-08-29,18.887500762939453
2019-08-30,19.09000015258789
