,price
2019-02-19,42.27540906633386
2019-02-20,42.70503368847069
2019-02-21,42.56755674232145
2019-02-22,42.705032371368766
2019-02-23,42.705032371368766
2019-02-24,42.705032371368766
2019-02-25,43.25495849390625
2019-02-26,43.40102701743585
2019-02-27,44.002507011126205
2019-02-28,44.29465476350915
2019-03-01,44.681319625552696
2019-03-02,44.681319625552696
2019-03-03,44.681319625552696
2019-03-04,44.38059365099133
2019-03-05,43.92517903963197
2019-03-06,44.13998611726459
2019-03-07,44.294659917457736
2019-03-08,43.58147902411794
2019-03-09,43.58147902411794
2019-03-10,43.58147902411794
2019-03-11,43.9423643307856
2019-03-12,44.68991636731879
2019-03-13,45.033630847014976
2019-03-14,45.22265049184982
2019-03-15,45.48901681008902
2019-03-16,45.48901681008902
2019-03-17,45.48901681008902
2019-03-18,45.77258205733853
2019-03-19,46.21939220186509
2019-03-20,45.67806417712232
2019-03-21,45.60932047023418
2019-03-22,46.32249727602945
2019-03-23,46.32249727602945
2019-03-24,46.32249727602945
2019-03-25,45.28280566694274
2019-03-26,45.703833923017804
2019-03-27,45.79835044619368
2019-03-28,45.7038316770594
2019-03-29,46.14205790004056
2019-03-30,46.14205790004056
2019-03-31,46.14205790004056
2019-04-01,46.812280894865744
2019-04-02,47.259092798908675
2019-04-03,47.65435121504227
2019-04-04,47.87824687537806
2019-04-05,47.774483519968605
2019-04-06,47.774483519968605
2019-04-07,47.774483519968605
2019-04-08,47.73124711286423
2019-04-09,47.6274827839282
2019-04-10,47.65342693438555
2019-04-11,48.362469311663205
2019-04-12,48.36247202977138
2019-04-13,48.36247202977138
2019-04-14,48.36247202977138
2019-04-15,48.76888669067232
2019-04-16,48.95911345442367
2019-04-17,49.44334023957358
2019-04-18,48.967758715621635
2019-04-19,48.967758715621635
2019-04-20,48.967758715621635
2019-04-21,48.967758715621635
2019-04-22,48.56136483363171
2019-04-23,48.794822244562226
2019-04-24,48.976408464642056
2019-04-25,48.82076694238811
2019-04-26,48.440297550361535
2019-04-27,48.440297550361535
2019-04-28,48.440297550361535
2019-04-29,48.13765275103011
2019-04-30,48.423010171775914
2019-05-01,48.42300063335778
2019-05-02,47.973368550606516
2019-05-03,47.24702325076587
2019-05-04,47.24702325076587
2019-05-05,47.24702325076587
2019-05-06,46.57256438236996
2019-05-07,46.57255061467183
2019-05-08,45.975917053133394
2019-05-09,45.67327439576985
2019-05-10,45.49168301370466
2019-05-11,45.49168301370466
2019-05-12,45.49168301370466
2019-05-13,44.81722776518816
2019-05-14,44.48863344494381
2019-05-15,44.75668693448988
2019-05-16,46.92708026588823
2019-05-17,48.23276645019997
2019-05-18,48.23276645019997
2019-05-19,48.23276645019997
2019-05-20,48.25006278576911
2019-05-21,49.01099381365793
2019-05-22,48.61324059805082
2019-05-23,47.48047733666997
2019-05-24,47.18648977184125
2019-05-25,47.18648977184125
2019-05-26,47.18648977184125
2019-05-27,47.18648977184125
2019-05-28,47.33349258051348
2019-05-29,46.304498713998534
2019-05-30,46.209384936079665
2019-05-31,45.64733314219318
2019-06-01,45.64733314219318
2019-06-02,45.64733314219318
2019-06-03,45.00745144881906
2019-06-04,45.3792677541742
2019-06-05,46.563908164186905
2019-06-06,47.463193719113605
2019-06-07,47.91283376524061
2019-06-08,47.91283376524061
2019-06-09,47.91283376524061
2019-06-10,48.544060810563835
2019-06-11,49.06288333187992
2019-06-12,48.46623970008601
2019-06-13,48.35382557483966
2019-06-14,48.41436156254878
2019-06-15,48.41436156254878
2019-06-16,48.41436156254878
2019-06-17,47.549664610850876
2019-06-18,48.48353425565528
2019-06-19,48.457592832181916
2019-06-20,49.287705518393835
2019-06-21,49.642230029892445
2019-06-22,49.642230029892445
2019-06-23,49.642230029892445
2019-06-24,49.503872604856475
2019-06-25,49.33958978246074
2019-06-26,48.88994618217122
2019-06-27,49.23581905423617
2019-06-28,48.34517881485981
2019-06-29,48.34517881485981
2019-06-30,48.34517881485981
2019-07-01,47.7831161945511
2019-07-02,47.41131059585503
2019-07-03,48.528458778376425
2019-07-04,48.528458778376425
2019-07-05,48.728595874600245
2019-07-06,48.728595874600245
2019-07-07,48.728595874600245
2019-07-08,48.94613893767298
2019-07-09,49.0505595710715
2019-07-10,49.32899863789519
2019-07-11,49.92070891517774
2019-07-12,50.10343630980794
2019-07-13,50.10343630980794
2019-07-14,50.10343630980794
2019-07-15,50.46890601118098
2019-07-16,50.5820247806174
2019-07-17,50.09474233739801
2019-07-18,49.64225253119875
2019-07-19,50.303579970200914
2019-07-20,50.303579970200914
2019-07-21,50.303579970200914
2019-07-22,49.99902495754624
2019-07-23,50.52111609661884
2019-07-24,50.10343722979676
2019-07-25,49.91200819714553
2019-07-26,49.32030555470562
2019-07-27,49.32030555470562
2019-07-28,49.32030555470562
2019-07-29,49.32899208880043
2019-07-30,49.468221528657565
2019-07-31,49.015747835512066
2019-08-01,48.589369404014114
2019-08-02,47.17972813475824
2019-08-03,47.17972813475824
2019-08-04,47.17972813475824
2019-08-05,45.58734416330395
2019-08-06,45.20447891915666
2019-08-07,45.10005785826109
2019-08-08,45.93540269502809
2019-08-09,45.926695152425225
2019-08-10,45.926695152425225
2019-08-11,45.926695152425225
2019-08-12,45.482921276590204
2019-08-13,44.78679334397825
2019-08-14,45.352405536250025
2019-08-15,41.210469281099535
2019-08-16,40.39252399628573
2019-08-17,40.39252399628573
2019-08-18,40.39252399628573
2019-08-19,41.68035896387631
2019-08-20,42.237249367669904
2019-08-21,42.20244372148314
2019-08-22,42.84635987832859
2019-08-23,41.680356390042846
2019-08-24,41.680356390042846
2019-08-25,41.680356390042846
2019-08-26,40.94072302876557
2019-08-27,41.36710420307049
2019-08-28,40.48823585174914
2019-08-29,41.410616748279026
2019-08-30,41.349699897817864
2019-08-31,41.349699897817864
2019-09-01,41.349699897817864
2019-09-02,41.349699897817864
