,price
2019-02-19,40.83100128173828
2019-02-20,40.89899826049805
2019-02-21,40.84400177001953
2019-02-22,40.65800094604492
2019-02-23,40.65800094604492
2019-02-24,40.65800094604492
2019-02-25,41.4370002746582
2019-02-26,41.090999603271484
2019-02-27,44.499000549316406
2019-02-28,45.63999938964844
2019-03-01,45.74800109863281
2019-03-02,45.74800109863281
2019-03-03,45.74800109863281
2019-03-04,48.0
2019-03-05,46.60200119018555
2019-03-06,46.24800109863281
2019-03-07,45.71699905395508
2019-03-08,45.305999755859375
2019-03-09,45.305999755859375
2019-03-10,45.305999755859375
2019-03-11,45.95500183105469
2019-03-12,46.60599899291992
2019-03-13,46.75
2019-03-14,47.034000396728516
2019-03-15,46.69599914550781
2019-03-16,46.69599914550781
2019-03-17,46.69599914550781
2019-03-18,46.926998138427734
2019-03-19,47.0
2019-03-20,46.558998107910156
2019-03-21,46.361000061035156
2019-03-22,47.064998626708984
2019-03-23,47.064998626708984
2019-03-24,47.064998626708984
2019-03-25,46.29899978637695
2019-03-26,46.93000030517578
2019-03-27,46.31700134277344
2019-03-28,46.064998626708984
2019-03-29,46.42599868774414
2019-03-30,46.42599868774414
2019-03-31,46.42599868774414
2019-04-01,46.983001708984375
2019-04-02,48.099998474121094
2019-04-03,47.895999908447266
2019-04-04,48.45000076293945
2019-04-05,48.00199890136719
2019-04-06,48.00199890136719
2019-04-07,48.00199890136719
2019-04-08,48.347999572753906
2019-04-09,47.900001525878906
2019-04-10,47.64799880981445
2019-04-11,48.040000915527344
2019-04-12,48.277000427246094
2019-04-13,48.277000427246094
2019-04-14,48.277000427246094
2019-04-15,48.75699996948242
2019-04-16,49.13600158691406
2019-04-17,48.553001403808594
2019-04-18,48.095001220703125
2019-04-19,48.095001220703125
2019-04-20,48.095001220703125
2019-04-21,48.095001220703125
2019-04-22,47.97200012207031
2019-04-23,48.85300064086914
2019-04-24,49.07899856567383
2019-04-25,47.59700012207031
2019-04-26,48.54199981689453
2019-04-27,48.54199981689453
2019-04-28,48.54199981689453
2019-04-29,49.029998779296875
2019-04-30,48.91699981689453
2019-05-01,49.72700119018555
2019-05-02,49.36899948120117
2019-05-03,50.2760009765625
2019-05-04,50.2760009765625
2019-05-05,50.2760009765625
2019-05-06,49.349998474121094
2019-05-07,50.24700164794922
2019-05-08,49.39500045776367
2019-05-09,49.409000396728516
2019-05-10,49.22700119018555
2019-05-11,49.22700119018555
2019-05-12,49.22700119018555
2019-05-13,48.952999114990234
2019-05-14,48.99700164794922
2019-05-15,50.012001037597656
2019-05-16,51.23500061035156
2019-05-17,51.42599868774414
2019-05-18,51.42599868774414
2019-05-19,51.42599868774414
2019-05-20,51.39699935913086
2019-05-21,52.02000045776367
2019-05-22,52.50899887084961
2019-05-23,52.422000885009766
2019-05-24,51.737998962402344
2019-05-25,51.737998962402344
2019-05-26,51.737998962402344
2019-05-27,51.737998962402344
2019-05-28,51.553001403808594
2019-05-29,51.0
2019-05-30,51.24700164794922
2019-05-31,50.821998596191406
2019-06-01,50.821998596191406
2019-06-02,50.821998596191406
2019-06-03,51.191001892089844
2019-06-04,50.444000244140625
