,price
2019-02-19,22.29632754299918
2019-02-20,22.683816268284833
2019-02-21,22.92131266277039
2019-02-22,22.70881856796369
2019-02-23,22.70881856796369
2019-02-24,22.70881856796369
2019-02-25,22.961937617291024
2019-02-26,22.740065974708163
2019-02-27,22.680503917575926
2019-02-28,22.72440158142343
2019-03-01,22.981493405273028
2019-03-02,22.981493405273028
2019-03-03,22.981493405273028
2019-03-04,22.8278649800021
2019-03-05,22.862354529642523
2019-03-06,22.55509624382029
2019-03-07,22.51433703141149
2019-03-08,22.407738304610387
2019-03-09,22.407738304610387
2019-03-10,22.407738304610387
2019-03-11,22.457905797902637
2019-03-12,22.92505477544576
2019-03-13,22.906246060206335
2019-03-14,23.22917720923617
2019-03-15,22.84667762173006
2019-03-16,22.84667762173006
2019-03-17,22.84667762173006
2019-03-18,23.00971134610208
2019-03-19,23.213504691370098
2019-03-20,22.83099937438965
2019-03-21,22.674233558511474
2019-03-22,23.022251612328162
2019-03-23,23.022251612328162
2019-03-24,23.022251612328162
2019-03-25,22.646020325255634
2019-03-26,22.947004873530897
2019-03-27,22.862357203602542
2019-03-28,23.05987233642755
2019-03-29,23.486269826127717
2019-03-30,23.486269826127717
2019-03-31,23.486269826127717
2019-04-01,23.624225698159762
2019-04-02,24.116457946716647
2019-04-03,23.928342937782134
2019-04-04,23.523894376706153
2019-04-05,23.439240056142914
2019-04-06,23.439240056142914
2019-04-07,23.439240056142914
2019-04-08,23.37026456104121
2019-04-09,23.54270593850332
2019-04-10,23.46118978495759
2019-04-11,23.58346212893585
2019-04-12,23.762177468785673
2019-04-13,23.762177468785673
2019-04-14,23.762177468785673
2019-04-15,23.953426822570137
2019-04-16,23.86563795999264
2019-04-17,24.89400698450642
2019-04-18,25.02882067548545
2019-04-19,25.02882067548545
2019-04-20,25.02882067548545
2019-04-21,25.02882067548545
2019-04-22,24.671400020971788
2019-04-23,24.709023918757623
2019-04-24,24.796811037724133
2019-04-25,24.72470278534581
2019-04-26,24.6588609562212
2019-04-27,24.6588609562212
2019-04-28,24.6588609562212
2019-04-29,24.79367350678868
2019-04-30,24.875193573786913
2019-05-01,24.9410334338291
2019-05-02,24.765455705040395
2019-05-03,24.872056134014702
2019-05-04,24.872056134014702
2019-05-05,24.872056134014702
2019-05-06,24.806215842582798
2019-05-07,24.828167481507947
2019-05-08,24.536582900755704
2019-05-09,24.323386852505735
2019-05-10,24.429985117562534
2019-05-11,24.429985117562534
2019-05-12,24.429985117562534
2019-05-13,24.204247805450255
2019-05-14,24.122733626958883
2019-05-15,24.320249190764155
2019-05-16,24.32338915322608
2019-05-17,24.420583863607774
2019-05-18,24.420583863607774
2019-05-19,24.420583863607774
2019-05-20,24.451932699302223
2019-05-21,24.564798608359368
2019-05-22,24.498960205600905
2019-05-23,23.984780139991997
2019-05-24,23.755900414778765
2019-05-25,23.755900414778765
2019-05-26,23.755900414778765
2019-05-27,23.755900414778765
2019-05-28,23.63362757599786
2019-05-29,23.119447188656167
2019-05-30,23.263919270530273
2019-05-31,23.295378135028088
2019-06-01,23.295378135028088
2019-06-02,23.295378135028088
2019-06-03,23.43692114599865
2019-06-04,23.638232074770876
2019-06-05,24.138358321964038
2019-06-06,24.594456622583753
2019-06-07,24.512674055359305
2019-06-08,24.512674055359305
2019-06-09,24.512674055359305
2019-06-10,24.654219211489544
2019-06-11,24.89013271955334
2019-06-12,24.704545486651522
2019-06-13,24.629057785538027
2019-06-14,24.437180221465177
2019-06-15,24.437180221465177
2019-06-16,24.437180221465177
2019-06-17,24.24845660164206
2019-06-18,24.34282158385454
2019-06-19,24.424597167345475
