,price
2019-02-19,192.66615714537
2019-02-20,192.50477336635322
2019-02-21,192.97942719960244
2019-02-22,193.18828924483773
2019-02-23,193.18828924483773
2019-02-24,193.18828924483773
2019-02-25,194.91609332681682
2019-02-26,193.36864889837892
2019-02-27,192.54276941182107
2019-02-28,194.72619417288672
2019-03-01,197.49825282229185
2019-03-02,197.49825282229185
2019-03-03,197.49825282229185
2019-03-04,198.52350322429945
2019-03-05,196.43499312915193
2019-03-06,194.80215120358392
2019-03-07,192.8750561905797
2019-03-08,190.90990579354215
2019-03-09,190.90990579354215
2019-03-10,190.90990579354215
2019-03-11,191.53647372712967
2019-03-12,194.14712924151738
2019-03-13,194.3274704733168
2019-03-14,194.71671164346478
2019-03-15,194.52684520344812
2019-03-16,194.52684520344812
2019-03-17,194.52684520344812
2019-03-18,195.5521125136471
2019-03-19,197.3463542878907
2019-03-20,196.71031067194386
2019-03-21,193.66297548446582
2019-03-22,192.62817134267138
2019-03-23,192.62817134267138
2019-03-24,192.62817134267138
2019-03-25,184.2835910576676
2019-03-26,188.44165560535865
2019-03-27,189.45746752413993
2019-03-28,189.40047237698033
2019-03-29,191.8117560074823
2019-03-30,191.8117560074823
2019-03-31,191.8117560074823
2019-04-01,193.862335146457
2019-04-02,194.7926441561721
2019-04-03,196.33055248522507
2019-04-04,197.60265318021607
2019-04-05,195.69453086623705
2019-04-06,195.69453086623705
2019-04-07,195.69453086623705
2019-04-08,195.00149122957333
2019-04-09,194.81167558296576
2019-04-10,194.58383178710938
2019-04-11,194.6502225564428
2019-04-12,195.9223512194458
2019-04-13,195.9223512194458
2019-04-14,195.9223512194458
2019-04-15,196.98561381142108
2019-04-16,197.85900813667845
2019-04-17,199.3874074999224
2019-04-18,200.27979120552988
2019-04-19,200.27979120552988
2019-04-20,200.27979120552988
2019-04-21,200.27979120552988
2019-04-22,201.12468436370494
2019-04-23,200.81141536663552
2019-04-24,202.84297734297493
2019-04-25,203.43155899479538
2019-04-26,205.2352794401972
2019-04-27,205.2352794401972
2019-04-28,205.2352794401972
2019-04-29,205.62453587953289
2019-04-30,205.51057063061887
2019-05-01,206.58330851910745
2019-05-02,204.47580599108923
2019-05-03,208.26362451610296
2019-05-04,208.26362451610296
2019-05-05,208.26362451610296
2019-05-06,207.29531136790155
2019-05-07,209.118015163768
2019-05-08,208.46299556103935
2019-05-09,207.1243955152401
2019-05-10,208.6623398330648
2019-05-11,208.6623398330648
2019-05-12,208.6623398330648
2019-05-13,206.91558182664866
2019-05-14,206.20357627495915
2019-05-15,207.37125809845583
2019-05-16,210.6844071249663
2019-05-17,211.19707895388132
2019-05-18,211.19707895388132
2019-05-19,211.19707895388132
2019-05-20,210.23825027684285
2019-05-21,213.64631337345733
2019-05-22,215.12727832546835
2019-05-23,213.22864461004207
2019-05-24,213.47542810523777
2019-05-25,213.47542810523777
2019-05-26,213.47542810523777
2019-05-27,213.47542810523777
2019-05-28,211.6052705980233
2019-05-29,209.7730743458957
2019-05-30,210.83629580112054
2019-05-31,210.2287281856242
2019-06-01,210.2287281856242
2019-06-02,210.2287281856242
2019-06-03,210.9027648931939
2019-06-04,213.5988349156664
2019-06-05,215.9721629861923
2019-06-06,218.49740141732573
2019-06-07,221.34539381608138
2019-06-08,221.34539381608138
2019-06-09,221.34539381608138
2019-06-10,221.70611303459393
2019-06-11,223.31998197321258
2019-06-12,220.64287522810127
2019-06-13,222.60799577733675
2019-06-14,224.17435876703482
2019-06-15,224.17435876703482
2019-06-16,224.17435876703482
2019-06-17,223.99399397136966
2019-06-18,221.9814336850229
2019-06-19,219.43719965305093
2019-06-20,224.8768689769345
2019-06-21,220.88967578387633
2019-06-22,220.88967578387633
2019-06-23,220.88967578387633
2019-06-24,220.6998007197698
2019-06-25,222.00041181845845
2019-06-26,221.25992952966402
2019-06-27,221.22195687637313
2019-06-28,224.1363943707698
2019-06-29,224.1363943707698
2019-06-30,224.1363943707698
2019-07-01,227.8387978882096
2019-07-02,226.76605077209186
2019-07-03,226.33880807617535
2019-07-04,226.33880807617535
2019-07-05,226.24388395576705
2019-07-06,226.24388395576705
2019-07-07,226.24388395576705
2019-07-08,226.51920609449073
2019-07-09,225.13318575220418
2019-07-10,227.2122113537026
2019-07-11,227.1173189253775
2019-07-12,228.46533303466325
2019-07-13,228.46533303466325
2019-07-14,228.46533303466325
2019-07-15,229.73741496436492
2019-07-16,231.84496288187273
2019-07-17,241.05345545788472
2019-07-18,246.82534051424318
2019-07-19,249.19865691295618
2019-07-20,249.19865691295618
2019-07-21,249.19865691295618
2019-07-22,245.31590113786018
2019-07-23,246.89179989789747
2019-07-24,245.80005270180422
2019-07-25,246.78734928545236
2019-07-26,247.3664446005059
2019-07-27,247.3664446005059
