,price
2019-02-19,67.90886905061525
2019-02-20,68.15075773468634
2019-02-21,67.06251601797317
2019-02-22,66.6811811230083
2019-02-23,66.6811811230083
2019-02-24,66.6811811230083
2019-02-25,67.83451631096769
2019-02-26,67.36947247040077
2019-02-27,66.70907055252975
2019-02-28,66.27191502630572
2019-03-01,65.95566842070504
2019-03-02,65.95566842070504
2019-03-03,65.95566842070504
2019-03-04,67.49038594052209
2019-03-05,66.6811802572646
2019-03-06,66.43003324411688
2019-03-07,67.26715543194751
2019-03-08,66.60677695289317
2019-03-09,66.60677695289317
2019-03-10,66.60677695289317
2019-03-11,66.38353367686749
2019-03-12,67.2485345892759
2019-03-13,66.90441469487068
2019-03-14,66.24400519610734
2019-03-15,66.09518255398297
2019-03-16,66.09518255398297
2019-03-17,66.09518255398297
2019-03-18,67.06253275406182
2019-03-19,67.25784491457252
2019-03-20,67.12763563369393
2019-03-21,66.49514747096642
2019-03-22,66.93230620461158
2019-03-23,66.93230620461158
2019-03-24,66.93230620461158
2019-03-25,65.79752805396707
2019-03-26,66.25331003956654
2019-03-27,66.16027250309303
2019-03-28,66.86719610204794
2019-03-29,66.98811205798735
2019-03-30,66.98811205798735
2019-03-31,66.98811205798735
2019-04-01,67.8996433451688
2019-04-02,68.69956401534776
2019-04-03,68.73674895635138
2019-04-04,69.10882988970972
2019-04-05,68.69026324670011
2019-04-06,68.69026324670011
2019-04-07,68.69026324670011
2019-04-08,69.07160701013424
2019-04-09,68.75537118467511
2019-04-10,69.24831906280596
2019-04-11,69.45295966184682
2019-04-12,69.21112859249996
2019-04-13,69.21112859249996
2019-04-14,69.21112859249996
2019-04-15,69.23903692657498
2019-04-16,67.89965468236305
2019-04-17,67.12761593362649
2019-04-18,67.22063675540998
2019-04-19,67.22063675540998
2019-04-20,67.22063675540998
2019-04-21,67.22063675540998
2019-04-22,65.99287148555138
2019-04-23,66.7555572548166
2019-04-24,67.88103525445804
2019-04-25,67.63916115927023
2019-04-26,67.96473202860145
2019-04-27,67.96473202860145
2019-04-28,67.96473202860145
2019-04-29,66.17889532674431
2019-04-30,67.36945795582388
2019-05-01,68.22516192090968
2019-05-02,67.14624347915888
2019-05-03,55.891632067485624
2019-05-04,55.891632067485624
2019-05-05,55.891632067485624
2019-05-06,54.468543943900166
2019-05-07,54.87779772454704
2019-05-08,54.39412961788392
2019-05-09,54.1987870344501
2019-05-10,54.46853185507857
2019-05-11,54.46853185507857
2019-05-12,54.46853185507857
2019-05-13,53.96627210451778
2019-05-14,53.12914185097201
2019-05-15,53.52909935117938
2019-05-16,54.375517996712354
2019-05-17,53.95696293381655
2019-05-18,53.95696293381655
2019-05-19,53.95696293381655
2019-05-20,54.71967285765968
2019-05-21,56.16258573026986
2019-05-22,56.563880382824074
2019-05-23,56.89051448944129
2019-05-24,57.394469915836815
2019-05-25,57.394469915836815
2019-05-26,57.394469915836815
2019-05-27,57.394469915836815
2019-05-28,57.99174123948799
2019-05-29,57.70244208737726
2019-05-30,57.80509933683588
2019-05-31,57.6091117258797
2019-06-01,57.6091117258797
2019-06-02,57.6091117258797
2019-06-03,57.64643535826242
2019-06-04,56.955841004864105
2019-06-05,57.60911916238809
2019-06-06,57.80509589086263
2019-06-07,58.08506347899215
