,price
2019-02-19,99.4000015258789
2019-02-20,99.20999908447266
2019-02-21,98.94999694824219
2019-02-22,98.29000091552734
2019-02-23,98.29000091552734
2019-02-24,98.29000091552734
2019-02-25,97.80000305175781
2019-02-26,97.29000091552734
2019-02-27,96.19000244140625
2019-02-28,95.55000305175781
2019-03-01,96.86000061035156
2019-03-02,96.86000061035156
2019-03-03,96.86000061035156
2019-03-04,96.41999816894531
2019-03-05,96.13999938964844
2019-03-06,97.66000366210938
2019-03-07,99.43000030517578
2019-03-08,102.41999816894531
2019-03-09,102.41999816894531
2019-03-10,102.41999816894531
2019-03-11,102.19000244140625
2019-03-12,104.2699966430664
2019-03-13,102.62000274658203
2019-03-14,101.75
2019-03-15,100.5199966430664
2019-03-16,100.5199966430664
2019-03-17,100.5199966430664
2019-03-18,100.41000366210938
2019-03-19,101.13999938964844
2019-03-20,101.30999755859375
2019-03-21,101.73999786376953
2019-03-22,101.04000091552734
2019-03-23,101.04000091552734
2019-03-24,101.04000091552734
2019-03-25,101.4000015258789
2019-03-26,102.69999694824219
2019-03-27,102.06999969482422
2019-03-28,104.27999877929688
2019-03-29,103.7300033569336
2019-03-30,103.7300033569336
2019-03-31,103.7300033569336
2019-04-01,105.5999984741211
2019-04-02,103.30999755859375
2019-04-03,104.0999984741211
2019-04-04,104.72000122070312
2019-04-05,105.62999725341797
2019-04-06,105.62999725341797
2019-04-07,105.62999725341797
2019-04-08,104.41999816894531
2019-04-09,102.0
2019-04-10,102.8499984741211
2019-04-11,103.55999755859375
2019-04-12,104.7699966430664
2019-04-13,104.7699966430664
2019-04-14,104.7699966430664
2019-04-15,104.69000244140625
2019-04-16,107.05000305175781
2019-04-17,106.47000122070312
2019-04-18,108.66000366210938
2019-04-19,108.66000366210938
2019-04-20,108.66000366210938
2019-04-21,108.66000366210938
2019-04-22,108.69999694824219
2019-04-23,108.20999908447266
2019-04-24,109.56999969482422
2019-04-25,110.05999755859375
2019-04-26,110.41999816894531
2019-04-27,110.41999816894531
2019-04-28,110.41999816894531
2019-04-29,110.16000366210938
2019-04-30,111.4000015258789
2019-05-01,111.29000091552734
2019-05-02,109.75
2019-05-03,109.69999694824219
2019-05-04,109.69999694824219
2019-05-05,109.69999694824219
2019-05-06,107.68000030517578
2019-05-07,107.98999786376953
2019-05-08,104.7300033569336
2019-05-09,105.43000030517578
2019-05-10,105.41999816894531
2019-05-11,105.41999816894531
2019-05-12,105.41999816894531
2019-05-13,102.62000274658203
2019-05-14,99.29000091552734
2019-05-15,98.16000366210938
2019-05-16,100.51000213623047
2019-05-17,100.47000122070312
2019-05-18,100.47000122070312
2019-05-19,100.47000122070312
2019-05-20,99.9000015258789
2019-05-21,99.6500015258789
2019-05-22,99.88999938964844
2019-05-23,99.16000366210938
2019-05-24,98.12999725341797
2019-05-25,98.12999725341797
2019-05-26,98.12999725341797
2019-05-27,98.12999725341797
2019-05-28,98.41999816894531
2019-05-29,96.26000213623047
2019-05-30,96.16999816894531
2019-05-31,97.56999969482422
2019-06-01,97.56999969482422
2019-06-02,97.56999969482422
2019-06-03,101.58999633789062
2019-06-04,101.18000030517578
2019-06-05,100.87000274658203
2019-06-06,100.18000030517578
2019-06-07,102.58000183105469
2019-06-08,102.58000183105469
2019-06-09,102.58000183105469
2019-06-10,102.69999694824219
2019-06-11,108.0
2019-06-12,106.1500015258789
2019-06-13,108.2699966430664
2019-06-14,108.9800033569336
2019-06-15,108.9800033569336
2019-06-16,108.9800033569336
2019-06-17,110.43000030517578
2019-06-18,109.25
2019-06-19,109.5
2019-06-20,110.5
2019-06-21,110.88999938964844
2019-06-22,110.88999938964844
2019-06-23,110.88999938964844
2019-06-24,112.30000305175781
2019-06-25,112.61000061035156
2019-06-26,109.0
2019-06-27,109.2300033569336
2019-06-28,107.9800033569336
2019-06-29,107.9800033569336
2019-06-30,107.9800033569336
2019-07-01,108.79000091552734
2019-07-02,110.08999633789062
2019-07-03,109.38999938964844
2019-07-04,109.38999938964844
2019-07-05,108.9800033569336
2019-07-06,108.9800033569336
2019-07-07,108.9800033569336
2019-07-08,109.31999969482422
2019-07-09,109.83000183105469
2019-07-10,111.62000274658203
2019-07-11,112.12000274658203
2019-07-12,111.13999938964844
2019-07-13,111.13999938964844
2019-07-14,111.13999938964844
2019-07-15,112.47000122070312
2019-07-16,111.83999633789062
2019-07-17,112.44000244140625
2019-07-18,111.94000244140625
2019-07-19,110.5
2019-07-20,110.5
2019-07-21,110.5
2019-07-22,108.08999633789062
2019-07-23,107.5999984741211
2019-07-24,105.31999969482422
2019-07-25,106.18000030517578
2019-07-26,106.55000305175781
2019-07-27,106.55000305175781
2019-07-28,106.55000305175781
2019-07-29,106.01000213623047
2019-07-30,103.47000122070312
2019-07-31,101.5
2019-08-01,101.44999694824219
2019-08-02,97.43000030517578
2019-08-03,97.43000030517578
2019-08-04,97.43000030517578
2019-08-05,94.5999984741211
2019-08-06,92.88999938964844
2019-08-07,92.12000274658203
2019-08-08,92.26000213623047
