,price
2019-02-19,103.85096749037601
2019-02-20,100.59058135588435
2019-02-21,96.99630990283197
2019-02-22,95.31703755637909
2019-02-23,95.31703755637909
2019-02-24,95.31703755637909
2019-02-25,94.5903035724172
2019-02-26,93.93232925308378
2019-02-27,97.04542019661439
2019-02-28,96.2008497823974
2019-03-01,95.09114979917929
2019-03-02,95.09114979917929
2019-03-03,95.09114979917929
2019-03-04,96.54457226545921
2019-03-05,94.53139474929209
2019-03-06,93.60826434184732
2019-03-07,93.29400949712186
2019-03-08,96.20084771979614
2019-03-09,96.20084771979614
2019-03-10,96.20084771979614
2019-03-11,96.82936598512643
2019-03-12,97.61499355722076
2019-03-13,96.9177505679532
2019-03-14,98.42027493679004
2019-03-15,97.8703418772754
2019-03-16,97.8703418772754
2019-03-17,97.8703418772754
2019-03-18,97.37930970270922
2019-03-19,98.52830048861033
2019-03-20,95.69019277152142
2019-03-21,94.75724866923562
2019-03-22,102.5546694028383
2019-03-23,102.5546694028383
2019-03-24,102.5546694028383
2019-03-25,100.56111891637781
2019-03-26,100.81646510820565
2019-03-27,100.8557270065965
2019-03-28,98.90147471245574
2019-03-29,100.80664185325385
2019-03-30,100.80664185325385
2019-03-31,100.80664185325385
2019-04-01,101.17982981759401
2019-04-02,101.16017402935232
2019-04-03,99.09788618381313
2019-04-04,98.19440313888413
2019-04-05,96.73115542242161
2019-04-06,96.73115542242161
2019-04-07,96.73115542242161
2019-04-08,97.23199454527382
2019-04-09,95.78840002459094
2019-04-10,96.80972622792692
2019-04-11,98.20420986614653
2019-04-12,99.3139391575094
2019-04-13,99.3139391575094
2019-04-14,99.3139391575094
2019-04-15,98.74435309299508
2019-04-16,95.66073233320016
2019-04-17,92.76372618182141
2019-04-18,90.41662240306955
2019-04-19,90.41662240306955
2019-04-20,90.41662240306955
2019-04-21,90.41662240306955
2019-04-22,91.08441640448524
2019-04-23,91.42811796092971
2019-04-24,93.1958213196525
2019-04-25,92.4592750567349
2019-04-26,91.7816643198231
2019-04-27,91.7816643198231
2019-04-28,91.7816643198231
2019-04-29,93.18598485732284
2019-04-30,92.79317176486596
2019-05-01,93.30382484675057
2019-05-02,93.5395149087176
2019-05-03,92.01736072968642
2019-05-04,92.01736072968642
2019-05-05,92.01736072968642
2019-05-06,89.46405025348798
2019-05-07,91.43794688625044
2019-05-08,97.33020649959174
2019-05-09,90.85853595553009
2019-05-10,91.35938791327199
2019-05-11,91.35938791327199
2019-05-12,91.35938791327199
2019-05-13,90.35771583103228
2019-05-14,89.2872862687099
2019-05-15,92.11556733288914
2019-05-16,95.00276563376909
2019-05-17,96.49546994737631
2019-05-18,96.49546994737631
2019-05-19,96.49546994737631
2019-05-20,93.72611359098603
2019-05-21,91.7227474710706
2019-05-22,93.1368884951973
2019-05-23,91.66380973586996
2019-05-24,91.00584785404753
2019-05-25,91.00584785404753
2019-05-26,91.00584785404753
2019-05-27,91.00584785404753
2019-05-28,91.3102870921755
2019-05-29,91.09424372618498
2019-05-30,91.07460182905439
2019-05-31,89.26764812047067
2019-06-01,89.26764812047067
2019-06-02,89.26764812047067
2019-06-03,91.61471972192547
2019-06-04,89.94524054063889
2019-06-05,92.00754432198823
2019-06-06,94.23677152903025
2019-06-07,95.25808301684468
2019-06-08,95.25808301684468
2019-06-09,95.25808301684468
