,price
2019-02-19,16.604000091552734
2019-02-20,16.826000213623047
2019-02-21,16.738000869750977
2019-02-22,16.996000289916992
2019-02-23,16.996000289916992
2019-02-24,16.996000289916992
2019-02-25,17.492000579833984
2019-02-26,17.351999282836914
2019-02-27,17.496000289916992
2019-02-28,17.56599998474121
2019-03-01,17.48200035095215
2019-03-02,17.48200035095215
2019-03-03,17.48200035095215
2019-03-04,17.440000534057617
2019-03-05,16.70199966430664
2019-03-06,16.746000289916992
2019-03-07,16.582000732421875
2019-03-08,16.327999114990234
2019-03-09,16.327999114990234
2019-03-10,16.327999114990234
2019-03-11,16.261999130249023
2019-03-12,16.530000686645508
2019-03-13,16.531999588012695
2019-03-14,16.724000930786133
2019-03-15,16.895999908447266
2019-03-16,16.895999908447266
2019-03-17,16.895999908447266
2019-03-18,16.68199920654297
2019-03-19,16.989999771118164
2019-03-20,17.197999954223633
2019-03-21,17.106000900268555
2019-03-22,17.600000381469727
2019-03-23,17.600000381469727
2019-03-24,17.600000381469727
2019-03-25,16.916000366210938
2019-03-26,17.17799949645996
2019-03-27,16.95400047302246
2019-03-28,16.43400001525879
2019-03-29,16.583999633789062
2019-03-30,16.583999633789062
2019-03-31,16.583999633789062
2019-04-01,16.917999267578125
2019-04-02,17.076000213623047
2019-04-03,17.222000122070312
2019-04-04,17.562000274658203
2019-04-05,16.785999298095703
2019-04-06,16.785999298095703
2019-04-07,16.785999298095703
2019-04-08,16.81800079345703
2019-04-09,17.0939998626709
2019-04-10,17.520000457763672
2019-04-11,18.0
2019-04-12,18.059999465942383
2019-04-13,18.059999465942383
2019-04-14,18.059999465942383
2019-04-15,18.56999969482422
2019-04-16,19.190000534057617
2019-04-17,18.874000549316406
2019-04-18,17.972000122070312
2019-04-19,17.972000122070312
2019-04-20,17.972000122070312
2019-04-21,17.972000122070312
2019-04-22,18.167999267578125
2019-04-23,18.360000610351562
2019-04-24,18.489999771118164
2019-04-25,18.56399917602539
2019-04-26,18.600000381469727
2019-04-27,18.600000381469727
2019-04-28,18.600000381469727
2019-04-29,18.700000762939453
2019-04-30,18.604000091552734
2019-05-01,18.72800064086914
2019-05-02,18.36400032043457
2019-05-03,17.209999084472656
2019-05-04,17.209999084472656
2019-05-05,17.209999084472656
2019-05-06,16.729999542236328
2019-05-07,16.799999237060547
2019-05-08,16.31800079345703
2019-05-09,16.049999237060547
2019-05-10,16.25200080871582
2019-05-11,16.25200080871582
2019-05-12,16.25200080871582
2019-05-13,16.149999618530273
2019-05-14,16.003999710083008
2019-05-15,16.15399932861328
2019-05-16,16.222000122070312
2019-05-17,16.472000122070312
2019-05-18,16.472000122070312
2019-05-19,16.472000122070312
2019-05-20,16.323999404907227
2019-05-21,16.488000869750977
2019-05-22,16.393999099731445
2019-05-23,16.1299991607666
2019-05-24,15.640000343322754
2019-05-25,15.640000343322754
2019-05-26,15.640000343322754
2019-05-27,15.640000343322754
2019-05-28,15.574000358581543
2019-05-29,15.321999549865723
2019-05-30,15.15999984741211
2019-05-31,15.0
