,price
2021-10-28,47.0099983215332
2021-10-29,46.0
2021-10-30,46.0
2021-10-31,46.0
2021-11-01,54.27000045776367
2021-11-02,57.507999420166016
2021-11-03,57.0
2021-11-04,60.349998474121094
2021-11-05,65.0
2021-11-06,65.0
2021-11-07,65.0
2021-11-08,62.810001373291016
2021-11-09,58.97700119018555
2021-11-10,59.0
2021-11-11,58.72999954223633
2021-11-12,55.630001068115234
2021-11-13,55.630001068115234
2021-11-14,55.630001068115234
2021-11-15,55.689998626708984
2021-11-16,59.130001068115234
2021-11-17,61.97999954223633
2021-11-18,67.38999938964844
2021-11-19,66.01000213623047
2021-11-20,66.01000213623047
2021-11-21,66.01000213623047
2021-11-22,66.13999938964844
2021-11-23,64.05999755859375
2021-11-24,63.869998931884766
2021-11-25,63.869998931884766
2021-11-26,65.56999969482422
2021-11-27,65.56999969482422
2021-11-28,65.56999969482422
2021-11-29,68.96299743652344
2021-11-30,71.0
2021-12-01,72.0
2021-12-02,65.44999694824219
2021-12-03,65.31999969482422
2021-12-04,65.31999969482422
2021-12-05,65.31999969482422
2021-12-06,67.80999755859375
2021-12-07,66.0199966430664
2021-12-08,68.02999877929688
2021-12-09,66.16000366210938
2021-12-10,65.0999984741211
2021-12-11,65.0999984741211
2021-12-12,65.0999984741211
2021-12-13,63.994998931884766
2021-12-14,60.54600143432617
2021-12-15,60.630001068115234
2021-12-16,61.63999938964844
2021-12-17,59.099998474121094
2021-12-18,59.099998474121094
2021-12-19,59.099998474121094
2021-12-20,58.50899887084961
2021-12-21,60.58000183105469
2021-12-22,62.152000427246094
2021-12-23,62.279998779296875
2021-12-24,62.279998779296875
2021-12-25,62.279998779296875
2021-12-26,62.279998779296875
2021-12-27,62.0
2021-12-28,64.7699966430664
2021-12-29,65.2699966430664
2021-12-30,64.0
2021-12-31,64.48999786376953
2022-01-01,64.48999786376953
2022-01-02,64.48999786376953
2022-01-03,65.08999633789062
2022-01-04,67.31999969482422
2022-01-05,64.62999725341797
2022-01-06,62.13999938964844
2022-01-07,61.11000061035156
2022-01-08,61.11000061035156
2022-01-09,61.11000061035156
2022-01-10,58.779998779296875
2022-01-11,59.7599983215332
2022-01-12,62.9640007019043
2022-01-13,63.099998474121094
2022-01-14,59.0
2022-01-15,59.0
2022-01-16,59.0
2022-01-17,59.0
2022-01-18,58.77000045776367
2022-01-19,58.029998779296875
2022-01-20,57.119998931884766
2022-01-21,52.09000015258789
2022-01-22,52.09000015258789
2022-01-23,52.09000015258789
2022-01-24,48.0
2022-01-25,48.560001373291016
2022-01-26,49.4900016784668
2022-01-27,49.0
2022-01-28,44.709999084472656
2022-01-29,44.709999084472656
2022-01-30,44.709999084472656
2022-01-31,46.34000015258789
2022-02-01,49.83000183105469
2022-02-02,51.880001068115234
2022-02-03,49.0
2022-02-04,49.40999984741211
2022-02-05,49.40999984741211
2022-02-06,49.40999984741211
2022-02-07,52.70000076293945
2022-02-08,53.79999923706055
2022-02-09,58.529998779296875
2022-02-10,56.029998779296875
2022-02-11,57.68000030517578
2022-02-12,57.68000030517578
2022-02-13,57.68000030517578
2022-02-14,53.14799880981445
2022-02-15,55.369998931884766
2022-02-16,54.959999084472656
2022-02-17,52.029998779296875
2022-02-18,49.0099983215332
2022-02-19,49.0099983215332
2022-02-20,49.0099983215332
2022-02-21,49.0099983215332
2022-02-22,49.709999084472656
2022-02-23,49.880001068115234
2022-02-24,45.939998626708984
2022-02-25,54.040000915527344
2022-02-26,54.040000915527344
2022-02-27,54.040000915527344
2022-02-28,55.779998779296875
2022-03-01,60.5
2022-03-02,58.310001373291016
2022-03-03,62.08000183105469
2022-03-04,61.38999938964844
2022-03-05,61.38999938964844
2022-03-06,61.38999938964844
2022-03-07,60.38999938964844
2022-03-08,55.29999923706055
2022-03-09,58.16999816894531
2022-03-10,56.939998626708984
2022-03-11,59.47999954223633
2022-03-12,59.47999954223633
2022-03-13,59.47999954223633
2022-03-14,58.349998474121094
2022-03-15,58.66999816894531
2022-03-16,65.30000305175781
2022-03-17,68.77999877929688
2022-03-18,72.05999755859375
2022-03-19,72.05999755859375
2022-03-20,72.05999755859375
2022-03-21,76.0
2022-03-22,73.0
2022-03-23,72.54000091552734
2022-03-24,71.62000274658203
2022-03-25,76.4000015258789
2022-03-26,76.4000015258789
2022-03-27,76.4000015258789
2022-03-28,78.69999694824219
2022-03-29,74.7699966430664
2022-03-30,74.44000244140625
2022-03-31,67.31999969482422
2022-04-01,62.79999923706055
2022-04-02,62.79999923706055
2022-04-03,62.79999923706055
2022-04-04,61.02000045776367
2022-04-05,61.369998931884766
2022-04-06,56.58000183105469
2022-04-07,56.5
2022-04-08,55.810001373291016
2022-04-09,55.810001373291016
2022-04-10,55.810001373291016
2022-04-11,53.599998474121094
2022-04-12,55.220001220703125
2022-04-13,53.560001373291016
2022-04-14,55.0
2022-04-15,55.0
2022-04-16,55.0
2022-04-17,55.0
2022-04-18,52.0
2022-04-19,52.77000045776367
2022-04-20,54.2599983215332
2022-04-21,53.84000015258789
2022-04-22,51.40999984741211
2022-04-23,51.40999984741211
2022-04-24,51.40999984741211
2022-04-25,50.2400016784668
2022-04-26,52.7400016784668
2022-04-27,49.4900016784668
2022-04-28,52.56999969482422
2022-04-29,53.43000030517578
2022-04-30,53.43000030517578
2022-05-01,53.43000030517578
2022-05-02,52.060001373291016
2022-05-03,53.77000045776367
2022-05-04,54.540000915527344
2022-05-05,55.70000076293945
2022-05-06,53.88999938964844
2022-05-07,53.88999938964844
2022-05-08,53.88999938964844
2022-05-09,54.75
2022-05-10,53.33000183105469
2022-05-11,51.599998474121094
2022-05-12,48.0099983215332
2022-05-13,50.52000045776367
2022-05-14,50.52000045776367
2022-05-15,50.52000045776367
2022-05-16,51.529998779296875
2022-05-17,53.7400016784668
2022-05-18,54.20000076293945
2022-05-19,53.0
2022-05-20,55.0
2022-05-21,55.0
2022-05-22,55.0
2022-05-23,53.77000045776367
2022-05-24,52.689998626708984
2022-05-25,54.400001525878906
2022-05-26,57.529998779296875
2022-05-27,59.709999084472656
2022-05-28,59.709999084472656
2022-05-29,59.709999084472656
2022-05-30,59.709999084472656
2022-05-31,58.95000076293945
2022-06-01,59.4900016784668
2022-06-02,57.11000061035156
2022-06-03,57.470001220703125
2022-06-04,57.470001220703125
2022-06-05,57.470001220703125
2022-06-06,59.470001220703125
2022-06-07,56.08000183105469
2022-06-08,55.439998626708984
2022-06-09,54.18000030517578
2022-06-10,51.65999984741211
2022-06-11,51.65999984741211
2022-06-12,51.65999984741211
2022-06-13,50.0
2022-06-14,48.630001068115234
2022-06-15,48.0
2022-06-16,47.630001068115234
2022-06-17,45.529998779296875
2022-06-18,45.529998779296875
2022-06-19,45.529998779296875
2022-06-20,45.529998779296875
2022-06-21,45.709999084472656
2022-06-22,44.43000030517578
2022-06-23,45.619998931884766
2022-06-24,43.790000915527344
2022-06-25,43.790000915527344
2022-06-26,43.790000915527344
2022-06-27,45.7599983215332
2022-06-28,45.61000061035156
2022-06-29,43.900001525878906
2022-06-30,42.459999084472656
2022-07-01,39.47999954223633
2022-07-02,39.47999954223633
2022-07-03,39.47999954223633
2022-07-04,39.47999954223633
2022-07-05,37.90999984741211
2022-07-06,40.18000030517578
2022-07-07,41.869998931884766
2022-07-08,42.369998931884766
2022-07-09,42.369998931884766
2022-07-10,42.369998931884766
2022-07-11,44.709999084472656
2022-07-12,42.349998474121094
2022-07-13,40.970001220703125
2022-07-14,41.97999954223633
2022-07-15,44.84000015258789
2022-07-16,44.84000015258789
2022-07-17,44.84000015258789
2022-07-18,46.939998626708984
2022-07-19,45.38999938964844
2022-07-20,46.59000015258789
2022-07-21,48.279998779296875
2022-07-22,48.38999938964844
2022-07-23,48.38999938964844
2022-07-24,48.38999938964844
2022-07-25,47.68000030517578
2022-07-26,46.09000015258789
2022-07-27,47.16999816894531
2022-07-28,47.439998626708984
2022-07-29,47.34000015258789
2022-07-30,47.34000015258789
2022-07-31,47.34000015258789
2022-08-01,51.18000030517578
2022-08-02,53.560001373291016
2022-08-03,52.619998931884766
2022-08-04,53.400001525878906
2022-08-05,52.93000030517578
2022-08-06,52.93000030517578
2022-08-07,52.93000030517578
2022-08-08,53.43000030517578
2022-08-09,61.900001525878906
2022-08-10,57.20000076293945
2022-08-11,57.70000076293945
2022-08-12,58.41999816894531
2022-08-13,58.41999816894531
2022-08-14,58.41999816894531
2022-08-15,63.5
2022-08-16,62.23500061035156
2022-08-17,62.06999969482422
2022-08-18,61.34000015258789
2022-08-19,61.97999954223633
2022-08-20,61.97999954223633
2022-08-21,61.97999954223633
2022-08-22,59.36000061035156
2022-08-23,59.0
2022-08-24,59.540000915527344
2022-08-25,60.63999938964844
2022-08-26,63.689998626708984
2022-08-27,63.689998626708984
2022-08-28,63.689998626708984
2022-08-29,59.650001525878906
2022-08-30,59.5099983215332
2022-08-31,60.9900016784668
2022-09-01,59.16999816894531
2022-09-02,58.099998474121094
2022-09-03,58.099998474121094
2022-09-04,58.099998474121094
2022-09-05,58.099998474121094
2022-09-06,58.15999984741211
2022-09-07,58.400001525878906
2022-09-08,59.38999938964844
2022-09-09,60.630001068115234
2022-09-10,60.630001068115234
2022-09-11,60.630001068115234
2022-09-12,59.91999816894531
2022-09-13,58.25
2022-09-14,57.13999938964844
2022-09-15,58.209999084472656
2022-09-16,58.38999938964844
2022-09-17,58.38999938964844
2022-09-18,58.38999938964844
2022-09-19,56.2599983215332
2022-09-20,57.119998931884766
2022-09-21,57.209999084472656
2022-09-22,55.70000076293945
2022-09-23,53.88999938964844
2022-09-24,53.88999938964844
2022-09-25,53.88999938964844
2022-09-26,52.91999816894531
2022-09-27,53.47999954223633
2022-09-28,52.08000183105469
2022-09-29,51.237998962402344
2022-09-30,49.709999084472656
2022-10-01,49.709999084472656
2022-10-02,49.709999084472656
2022-10-03,48.880001068115234
2022-10-04,51.2400016784668
2022-10-05,50.81999969482422
2022-10-06,52.939998626708984
2022-10-07,51.0
2022-10-08,51.0
2022-10-09,51.0
2022-10-10,50.599998474121094
2022-10-11,48.04999923706055
2022-10-12,50.09000015258789
2022-10-13,47.439998626708984
2022-10-14,51.0
2022-10-15,51.0
2022-10-16,51.0
2022-10-17,49.18000030517578
2022-10-18,51.59000015258789
2022-10-19,51.814998626708984
2022-10-20,53.08000183105469
2022-10-21,52.7400016784668
2022-10-22,52.7400016784668
2022-10-23,52.7400016784668
