,price
2019-02-19,55.5
2019-02-20,55.9995002746582
2019-02-21,55.54199981689453
2019-02-22,55.04499816894531
2019-02-23,55.04499816894531
2019-02-24,55.04499816894531
2019-02-25,55.79999923706055
2019-02-26,55.287498474121094
2019-02-27,55.34749984741211
2019-02-28,55.564998626708984
2019-03-01,56.244998931884766
2019-03-02,56.244998931884766
2019-03-03,56.244998931884766
2019-03-04,57.3494987487793
2019-03-05,57.50299835205078
2019-03-06,58.1245002746582
2019-03-07,57.7859992980957
2019-03-08,56.33649826049805
2019-03-09,56.33649826049805
2019-03-10,56.33649826049805
2019-03-11,57.22249984741211
2019-03-12,58.91299819946289
2019-03-13,60.032249450683594
2019-03-14,59.72549819946289
2019-03-15,59.66899871826172
2019-03-16,59.66899871826172
2019-03-17,59.66899871826172
2019-03-18,59.165000915527344
2019-03-19,59.44049835205078
2019-03-20,59.86750030517578
2019-03-21,60.79999923706055
2019-03-22,61.316001892089844
2019-03-23,61.316001892089844
2019-03-24,61.316001892089844
2019-03-25,59.846500396728516
2019-03-26,59.92649841308594
2019-03-27,59.275001525878906
2019-03-28,58.57699966430664
2019-03-29,58.744998931884766
2019-03-30,58.744998931884766
2019-03-31,58.744998931884766
2019-04-01,59.20500183105469
2019-04-02,59.76599884033203
2019-04-03,60.374000549316406
2019-04-04,60.297000885009766
2019-04-05,60.7495002746582
2019-04-06,60.7495002746582
2019-04-07,60.7495002746582
2019-04-08,60.394500732421875
2019-04-09,59.79999923706055
2019-04-10,60.034000396728516
2019-04-11,60.198001861572266
2019-04-12,60.5
2019-04-13,60.5
2019-04-14,60.5
2019-04-15,60.900001525878906
2019-04-16,61.25
2019-04-17,61.650001525878906
2019-04-18,61.95899963378906
2019-04-19,61.95899963378906
2019-04-20,61.95899963378906
2019-04-21,61.95899963378906
2019-04-22,61.79949951171875
2019-04-23,62.53450012207031
2019-04-24,63.20600128173828
2019-04-25,63.23849868774414
2019-04-26,63.45000076293945
2019-04-27,63.45000076293945
2019-04-28,63.45000076293945
2019-04-29,63.70000076293945
2019-04-30,59.25
2019-05-01,59.40250015258789
2019-05-02,58.38800048828125
2019-05-03,58.682498931884766
2019-05-04,58.682498931884766
2019-05-05,58.682498931884766
2019-05-06,58.3129997253418
2019-05-07,59.02349853515625
2019-05-08,58.60049819946289
2019-05-09,57.951499938964844
2019-05-10,58.179500579833984
2019-05-11,58.179500579833984
2019-05-12,58.179500579833984
2019-05-13,57.097999572753906
2019-05-14,56.86050033569336
2019-05-15,55.89350128173828
2019-05-16,58.22549819946289
2019-05-17,58.423500061035156
2019-05-18,58.423500061035156
2019-05-19,58.423500061035156
2019-05-20,57.224998474121094
2019-05-21,57.42449951171875
2019-05-22,57.337501525878906
2019-05-23,57.025001525878906
2019-05-24,57.36800003051758
2019-05-25,57.36800003051758
2019-05-26,57.36800003051758
2019-05-27,57.36800003051758
2019-05-28,56.70000076293945
2019-05-29,56.375999450683594
2019-05-30,55.777000427246094
2019-05-31,55.06449890136719
2019-06-01,55.06449890136719
2019-06-02,55.06449890136719
2019-06-03,53.275001525878906
2019-06-04,52.14500045776367
2019-06-05,52.57699966430664
2019-06-06,52.2495002746582
2019-06-07,52.53150177001953
2019-06-08,52.53150177001953
2019-06-09,52.53150177001953
2019-06-10,53.64899826049805
2019-06-11,54.69900131225586
2019-06-12,53.900001525878906
