,price
2019-02-19,137.7477443436162
2019-02-20,138.39761298202373
2019-02-21,139.326230148029
2019-02-22,139.06307427753566
2019-02-23,139.06307427753566
2019-02-24,139.06307427753566
2019-02-25,139.92511956056586
2019-02-26,139.6438293447532
2019-02-27,139.61664635631047
2019-02-28,139.8253437606115
2019-03-01,140.6420411363707
2019-03-02,140.6420411363707
2019-03-03,140.6420411363707
2019-03-04,142.27532625100108
2019-03-05,140.20645006344853
2019-03-06,139.8343796666353
2019-03-07,139.35345449115945
2019-03-08,137.26639345148337
2019-03-09,137.26639345148337
2019-03-10,137.26639345148337
2019-03-11,137.0213857119805
2019-03-12,139.35348926747295
2019-03-13,140.01589127930006
2019-03-14,140.96866258519032
2019-03-15,140.78719261792136
2019-03-16,140.78719261792136
2019-03-17,140.78719261792136
2019-03-18,141.1501658874874
2019-03-19,143.02849780615816
2019-03-20,142.63834727961375
2019-03-21,141.8942592235605
2019-03-22,143.01039963003095
2019-03-23,143.01039963003095
2019-03-24,143.01039963003095
2019-03-25,141.49497985839844
2019-03-26,142.3479434635619
2019-03-27,142.76541558108673
2019-03-28,143.0285118506562
2019-03-29,144.45321518909282
2019-03-30,144.45321518909282
2019-03-31,144.45321518909282
2019-04-01,145.18823771996819
2019-04-02,146.38603488196208
2019-04-03,146.66730135461657
2019-04-04,145.42416784067444
2019-04-05,146.65823919290656
2019-04-06,146.65823919290656
2019-04-07,146.65823919290656
2019-04-08,146.27713834790933
2019-04-09,146.2589722017245
2019-04-10,145.91417635945558
2019-04-11,145.35154997416237
2019-04-12,146.92137845864053
2019-04-13,146.92137845864053
2019-04-14,146.92137845864053
2019-04-15,147.68365210073966
2019-04-16,147.52936901019345
2019-04-17,148.19181692472102
2019-04-18,152.01206960255846
2019-04-19,152.01206960255846
2019-04-20,152.01206960255846
2019-04-21,152.01206960255846
2019-04-22,152.67447455177083
2019-04-23,152.67448682207583
2019-04-24,155.8686190257529
2019-04-25,154.89767874001546
2019-04-26,154.40768134377691
2019-04-27,154.40768134377691
2019-04-28,154.40768134377691
2019-04-29,155.98659579467846
2019-04-30,156.99379809727765
2019-05-01,157.6744138870535
2019-05-02,154.63452010704958
2019-05-03,155.69624425185947
2019-05-04,155.69624425185947
2019-05-05,155.69624425185947
2019-05-06,154.70715012895585
2019-05-07,154.88860811282606
2019-05-08,154.03562646437933
2019-05-09,153.5546764377582
2019-05-10,154.04468058633935
2019-05-11,154.04468058633935
2019-05-12,154.04468058633935
2019-05-13,152.88319411338176
2019-05-14,151.47665968050677
2019-05-15,151.5402108447845
2019-05-16,154.1354397436993
2019-05-17,153.60007399016064
2019-05-18,153.60007399016064
2019-05-19,153.60007399016064
2019-05-20,153.7089608684344
2019-05-21,154.12634690835856
2019-05-22,153.78155935083313
2019-05-23,152.24122129511457
2019-05-24,152.9615790302411
2019-05-25,152.9615790302411
2019-05-26,152.9615790302411
2019-05-27,152.9615790302411
2019-05-28,152.1500701868906
2019-05-29,149.28690065553917
2019-05-30,150.1439998619786
2019-05-31,149.3050861458011
2019-06-01,149.3050861458011
2019-06-02,149.3050861458011
2019-06-03,149.97987694869266
2019-06-04,153.2351790523698
2019-06-05,154.25640302251827
2019-06-06,154.5299405063168
2019-06-07,155.97978161029405
2019-06-08,155.97978161029405
2019-06-09,155.97978161029405
2019-06-10,158.19556754312114
2019-06-11,157.28376551337632
2019-06-12,156.70925218042743
2019-06-13,158.2685016557058
2019-06-14,157.69404446585497
2019-06-15,157.69404446585497
2019-06-16,157.69404446585497
2019-06-17,158.09527500150378
2019-06-18,158.25941000266232
2019-06-19,160.15600893224567
2019-06-20,160.86730805661742
2019-06-21,161.28670978290918
