,price
2019-02-19,210.08999633789062
2019-02-20,211.3800048828125
2019-02-21,210.77000427246094
2019-02-22,206.49000549316406
2019-02-23,206.49000549316406
2019-02-24,206.49000549316406
2019-02-25,210.44000244140625
2019-02-26,210.07000732421875
2019-02-27,207.0800018310547
2019-02-28,208.85000610351562
2019-03-01,213.25
2019-03-02,213.25
2019-03-03,213.25
2019-03-04,217.75
2019-03-05,213.10000610351562
2019-03-06,211.6699981689453
2019-03-07,207.35000610351562
2019-03-08,202.6300048828125
2019-03-09,202.6300048828125
2019-03-10,202.6300048828125
2019-03-11,202.92999267578125
2019-03-12,205.77000427246094
2019-03-13,206.6199951171875
2019-03-14,209.82000732421875
2019-03-15,211.3000030517578
2019-03-16,211.3000030517578
2019-03-17,211.3000030517578
2019-03-18,216.64999389648438
2019-03-19,216.99000549316406
2019-03-20,217.35000610351562
2019-03-21,219.0399932861328
2019-03-22,225.22999572753906
2019-03-23,225.22999572753906
2019-03-24,225.22999572753906
2019-03-25,219.30999755859375
2019-03-26,221.05999755859375
2019-03-27,220.7100067138672
2019-03-28,218.9199981689453
2019-03-29,221.92999267578125
2019-03-30,221.92999267578125
2019-03-31,221.92999267578125
2019-04-01,225.52000427246094
2019-04-02,225.49000549316406
2019-04-03,226.72000122070312
2019-04-04,227.77999877929688
2019-04-05,226.4499969482422
2019-04-06,226.4499969482422
2019-04-07,226.4499969482422
2019-04-08,226.8300018310547
2019-04-09,227.1300048828125
2019-04-10,224.67999267578125
2019-04-11,225.47999572753906
2019-04-12,225.22000122070312
2019-04-13,225.22000122070312
2019-04-14,225.22000122070312
2019-04-15,225.83999633789062
2019-04-16,227.10000610351562
2019-04-17,223.42999267578125
2019-04-18,216.88999938964844
2019-04-19,216.88999938964844
2019-04-20,216.88999938964844
2019-04-21,216.88999938964844
2019-04-22,216.82000732421875
2019-04-23,221.0
2019-04-24,225.00999450683594
2019-04-25,223.97999572753906
2019-04-26,227.7899932861328
2019-04-27,227.7899932861328
2019-04-28,227.7899932861328
2019-04-29,231.6699981689453
2019-04-30,230.99000549316406
2019-05-01,231.6300048828125
2019-05-02,234.6300048828125
2019-05-03,242.4199981689453
2019-05-04,242.4199981689453
2019-05-05,242.4199981689453
2019-05-06,245.3300018310547
2019-05-07,248.44000244140625
2019-05-08,243.92999267578125
2019-05-09,243.57000732421875
2019-05-10,245.41000366210938
2019-05-11,245.41000366210938
2019-05-12,245.41000366210938
2019-05-13,242.89999389648438
2019-05-14,243.24000549316406
2019-05-15,243.7899932861328
2019-05-16,250.5399932861328
2019-05-17,249.85000610351562
2019-05-18,249.85000610351562
2019-05-19,249.85000610351562
2019-05-20,247.9199981689453
2019-05-21,250.55999755859375
2019-05-22,249.1199951171875
2019-05-23,252.5800018310547
2019-05-24,254.47000122070312
2019-05-25,254.47000122070312
2019-05-26,254.47000122070312
2019-05-27,254.47000122070312
2019-05-28,256.1000061035156
2019-05-29,245.7899932861328
2019-05-30,248.07000732421875
2019-05-31,247.63999938964844
2019-06-01,247.63999938964844
2019-06-02,247.63999938964844
2019-06-03,250.0500030517578
2019-06-04,249.64999389648438
2019-06-05,253.63999938964844
2019-06-06,256.760009765625
2019-06-07,261.29998779296875
2019-06-08,261.29998779296875
2019-06-09,261.29998779296875
2019-06-10,266.0400085449219
2019-06-11,269.8599853515625
2019-06-12,264.4700012207031
2019-06-13,265.82000732421875
2019-06-14,267.1199951171875
2019-06-15,267.1199951171875
2019-06-16,267.1199951171875
2019-06-17,267.8500061035156
2019-06-18,271.45001220703125
2019-06-19,269.20001220703125
2019-06-20,277.57000732421875
2019-06-21,272.739990234375
2019-06-22,272.739990234375
2019-06-23,272.739990234375
2019-06-24,274.80999755859375
2019-06-25,275.5899963378906
2019-06-26,272.3299865722656
2019-06-27,270.4599914550781
2019-06-28,272.010009765625
2019-06-29,272.010009765625
2019-06-30,272.010009765625
2019-07-01,278.25
2019-07-02,279.9100036621094
2019-07-03,278.44000244140625
2019-07-04,278.44000244140625
2019-07-05,276.57000732421875
2019-07-06,276.57000732421875
2019-07-07,276.57000732421875
2019-07-08,277.5799865722656
2019-07-09,275.4100036621094
2019-07-10,280.510009765625
2019-07-11,283.07000732421875
2019-07-12,283.510009765625
2019-07-13,283.510009765625
2019-07-14,283.510009765625
2019-07-15,284.4700012207031
2019-07-16,284.0799865722656
2019-07-17,283.760009765625
2019-07-18,283.3599853515625
2019-07-19,291.1600036621094
2019-07-20,291.1600036621094
2019-07-21,291.1600036621094
2019-07-22,285.8800048828125
2019-07-23,288.05999755859375
2019-07-24,288.6400146484375
2019-07-25,284.2099914550781
2019-07-26,285.2200012207031
2019-07-27,285.2200012207031
2019-07-28,285.2200012207031
2019-07-29,284.3299865722656
2019-07-30,283.44000244140625
2019-07-31,286.489990234375
2019-08-01,268.510009765625
2019-08-02,268.8900146484375
2019-08-03,268.8900146484375
2019-08-04,268.8900146484375
2019-08-05,264.1300048828125
2019-08-06,262.2099914550781
2019-08-07,267.3399963378906
2019-08-08,269.8900146484375
2019-08-09,274.44000244140625
2019-08-10,274.44000244140625
2019-08-11,274.44000244140625
2019-08-12,278.1199951171875
2019-08-13,274.2900085449219
2019-08-14,276.9700012207031
2019-08-15,272.3599853515625
2019-08-16,276.2900085449219
2019-08-17,276.2900085449219
2019-08-18,276.2900085449219
2019-08-19,278.7699890136719
2019-08-20,279.9200134277344
2019-08-21,282.8800048828125
2019-08-22,282.260009765625
2019-08-23,279.25
2019-08-24,279.25
2019-08-25,279.25
2019-08-26,273.8399963378906
2019-08-27,279.0400085449219
2019-08-28,282.6199951171875
2019-08-29,288.1000061035156
2019-08-30,291.04998779296875
2019-08-31,291.04998779296875
2019-09-01,291.04998779296875
2019-09-02,291.04998779296875
2019-09-03,288.8900146484375
2019-09-04,288.2099914550781
2019-09-05,291.2099914550781
2019-09-06,289.95001220703125
2019-09-07,289.95001220703125
2019-09-08,289.95001220703125
2019-09-09,289.04998779296875
2019-09-10,265.0400085449219
2019-09-11,270.0400085449219
2019-09-12,272.6000061035156
2019-09-13,270.5899963378906
2019-09-14,270.5899963378906
2019-09-15,270.5899963378906
2019-09-16,262.9100036621094
2019-09-17,266.2699890136719
2019-09-18,271.5799865722656
2019-09-19,273.6300048828125
2019-09-20,272.4200134277344
2019-09-21,272.4200134277344
2019-09-22,272.4200134277344
2019-09-23,272.3999938964844
2019-09-24,277.760009765625
2019-09-25,272.5
2019-09-26,274.6300048828125
2019-09-27,276.3800048828125
2019-09-28,276.3800048828125
2019-09-29,276.3800048828125
2019-09-30,272.4800109863281
2019-10-01,273.3999938964844
2019-10-02,266.8399963378906
2019-10-03,267.5299987792969
2019-10-04,272.0899963378906
2019-10-05,272.0899963378906
2019-10-06,272.0899963378906
2019-10-07,274.9200134277344
2019-10-08,270.69000244140625
2019-10-09,268.9100036621094
2019-10-10,270.2799987792969
2019-10-11,276.3800048828125
2019-10-12,276.3800048828125
2019-10-13,276.3800048828125
2019-10-14,277.3500061035156
2019-10-15,277.5799865722656
