,price
2019-02-19,299.6199951171875
2019-02-20,303.1700134277344
2019-02-21,302.2200012207031
2019-02-22,297.55999755859375
2019-02-23,297.55999755859375
2019-02-24,297.55999755859375
2019-02-25,302.82000732421875
2019-02-26,304.6300048828125
2019-02-27,300.0
2019-02-28,309.2699890136719
2019-03-01,313.92999267578125
2019-03-02,313.92999267578125
2019-03-03,313.92999267578125
2019-03-04,321.239990234375
2019-03-05,308.5199890136719
2019-03-06,304.6000061035156
2019-03-07,298.4100036621094
2019-03-08,289.20001220703125
2019-03-09,289.20001220703125
2019-03-10,289.20001220703125
2019-03-11,295.3900146484375
2019-03-12,302.0
2019-03-13,306.5
2019-03-14,308.05999755859375
2019-03-15,310.010009765625
2019-03-16,310.010009765625
2019-03-17,310.010009765625
2019-03-18,309.7799987792969
2019-03-19,307.3599853515625
2019-03-20,310.9200134277344
2019-03-21,313.7300109863281
2019-03-22,319.0799865722656
2019-03-23,319.0799865722656
2019-03-24,319.0799865722656
2019-03-25,308.0
2019-03-26,305.9700012207031
2019-03-27,306.92999267578125
2019-03-28,303.0
2019-03-29,308.2699890136719
2019-03-30,308.2699890136719
2019-03-31,308.2699890136719
2019-04-01,314.45001220703125
2019-04-02,315.0
2019-04-03,318.8599853515625
2019-04-04,318.0299987792969
2019-04-05,317.3599853515625
2019-04-06,317.3599853515625
2019-04-07,317.3599853515625
2019-04-08,322.1300048828125
2019-04-09,320.9200134277344
2019-04-10,317.010009765625
2019-04-11,325.0
2019-04-12,331.8599853515625
2019-04-13,331.8599853515625
2019-04-14,331.8599853515625
2019-04-15,338.6199951171875
2019-04-16,336.1000061035156
2019-04-17,330.92999267578125
2019-04-18,321.7699890136719
2019-04-19,321.7699890136719
2019-04-20,321.7699890136719
2019-04-21,321.7699890136719
2019-04-22,318.5799865722656
2019-04-23,315.4200134277344
2019-04-24,321.9599914550781
2019-04-25,314.1199951171875
2019-04-26,315.0
2019-04-27,315.0
2019-04-28,315.0
2019-04-29,313.739990234375
2019-04-30,312.489990234375
2019-05-01,311.7699890136719
2019-05-02,309.2200012207031
2019-05-03,315.739990234375
2019-05-04,315.739990234375
2019-05-05,315.739990234375
2019-05-06,318.07000732421875
2019-05-07,321.45001220703125
2019-05-08,318.5899963378906
2019-05-09,318.32000732421875
2019-05-10,315.32000732421875
2019-05-11,315.32000732421875
2019-05-12,315.32000732421875
2019-05-13,307.95001220703125
2019-05-14,303.25
2019-05-15,301.95001220703125
2019-05-16,307.4100036621094
2019-05-17,307.1000061035156
2019-05-18,307.1000061035156
2019-05-19,307.1000061035156
2019-05-20,304.6199951171875
2019-05-21,304.1700134277344
2019-05-22,304.44000244140625
2019-05-23,310.0
2019-05-24,311.6400146484375
2019-05-25,311.6400146484375
2019-05-26,311.6400146484375
2019-05-27,311.6400146484375
2019-05-28,312.82000732421875
2019-05-29,310.4200134277344
2019-05-30,309.260009765625
2019-05-31,308.0299987792969
2019-06-01,308.0299987792969
2019-06-02,308.0299987792969
2019-06-03,306.8800048828125
2019-06-04,307.20001220703125
2019-06-05,315.55999755859375
2019-06-06,318.17999267578125
2019-06-07,321.0400085449219
2019-06-08,321.0400085449219
2019-06-09,321.0400085449219
2019-06-10,335.0299987792969
2019-06-11,340.25
2019-06-12,334.5299987792969
2019-06-13,340.0
2019-06-14,341.29998779296875
2019-06-15,341.29998779296875
2019-06-16,341.29998779296875
2019-06-17,344.9200134277344
2019-06-18,353.7200012207031
2019-06-19,346.4800109863281
2019-06-20,355.32000732421875
2019-06-21,356.8999938964844
2019-06-22,356.8999938964844
2019-06-23,356.8999938964844
2019-06-24,361.6000061035156
2019-06-25,358.2099914550781
2019-06-26,358.1499938964844
2019-06-27,358.94000244140625
2019-06-28,357.239990234375
2019-06-29,357.239990234375
2019-06-30,357.239990234375
2019-07-01,371.2900085449219
2019-07-02,372.0
2019-07-03,372.1499938964844
2019-07-04,372.1499938964844
2019-07-05,378.8299865722656
2019-07-06,378.8299865722656
2019-07-07,378.8299865722656
2019-07-08,377.5899963378906
2019-07-09,372.6499938964844
2019-07-10,376.5
2019-07-11,371.30999755859375
2019-07-12,310.25
2019-07-13,310.25
2019-07-14,310.25
2019-07-15,305.1700134277344
2019-07-16,303.1000061035156
2019-07-17,302.29998779296875
2019-07-18,303.0
2019-07-19,297.7900085449219
2019-07-20,297.7900085449219
2019-07-21,297.7900085449219
2019-07-22,294.55999755859375
