,price
2019-02-19,44.93691274316146
2019-02-20,45.181959462226466
2019-02-21,44.91066558942311
2019-02-22,46.118327471285376
2019-02-23,46.118327471285376
2019-02-24,46.118327471285376
2019-02-25,46.43336664562328
2019-02-26,46.38960885728287
2019-02-27,46.170821617984295
2019-02-28,46.31084667653795
2019-03-01,46.76590559578733
2019-03-02,46.76590559578733
2019-03-03,46.76590559578733
2019-03-04,47.037187093508244
2019-03-05,47.124700261274555
2019-03-06,46.932176381252745
2019-03-07,46.17958565886262
2019-03-08,45.47949542096443
2019-03-09,45.47949542096443
2019-03-10,45.47949542096443
2019-03-11,46.27584555590978
2019-03-12,46.678390376850125
2019-03-13,47.25596394637421
2019-03-14,47.5184951537725
2019-03-15,46.975938418555685
2019-03-16,46.975938418555685
2019-03-17,46.975938418555685
2019-03-18,47.62351042661374
2019-03-19,47.66728673676266
2019-03-20,47.30847387693884
2019-03-21,47.185959373215404
2019-03-22,47.60600804405164
2019-03-23,47.60600804405164
2019-03-24,47.60600804405164
2019-03-25,46.35460090881044
2019-03-26,46.660887342487804
2019-03-27,46.89716795976017
2019-03-28,46.59963055759941
2019-03-29,47.08094844321726
2019-03-30,47.08094844321726
2019-03-31,47.08094844321726
2019-04-01,47.55350332948627
2019-04-02,47.71977012921403
2019-04-03,48.157328009005035
2019-04-04,48.36736403334819
2019-04-05,48.7874111007419
2019-04-06,48.7874111007419
2019-04-07,48.7874111007419
2019-04-08,48.37610878187636
2019-04-09,48.43736980315093
2019-04-10,48.41111673651088
2019-04-11,48.796167716400085
2019-04-12,49.1899573135433
2019-04-13,49.1899573135433
2019-04-14,49.1899573135433
2019-04-15,49.40872938854968
2019-04-16,49.583759029713434
2019-04-17,51.14146335661351
2019-04-18,51.37774086679047
2019-04-19,51.37774086679047
2019-04-20,51.37774086679047
2019-04-21,51.37774086679047
2019-04-22,50.88768036569737
2019-04-23,51.53525423093686
2019-04-24,51.21146709969059
2019-04-25,51.0189403866966
2019-04-26,46.15332737698991
2019-04-27,46.15332737698991
2019-04-28,46.15332737698991
2019-04-29,45.65451318694695
2019-04-30,44.63062893923166
2019-05-01,44.71814623079991
2019-05-02,44.455616940141255
2019-05-03,44.70064203512904
2019-05-04,44.70064203512904
2019-05-05,44.70064203512904
2019-05-06,44.24360710525704
2019-05-07,44.55178048967852
2019-05-08,44.19959768044641
2019-05-09,42.174504223864986
2019-05-10,40.88902238938463
2019-05-11,40.88902238938463
2019-05-12,40.88902238938463
2019-05-13,39.911706806645824
2019-05-14,39.7796386434901
2019-05-15,39.55070457425223
2019-05-16,40.03496159145957
2019-05-17,39.77962138232111
2019-05-18,39.77962138232111
2019-05-19,39.77962138232111
2019-05-20,38.740677045690454
2019-05-21,39.04002786169031
2019-05-22,38.87275254043859
2019-05-23,38.1859799953217
2019-05-24,39.260155883894704
2019-05-25,39.260155883894704
2019-05-26,39.260155883894704
2019-05-27,39.260155883894704
2019-05-28,39.32178428421037
2019-05-29,38.16836195644807
2019-05-30,39.00480914730111
2019-05-31,38.89915941034617
2019-06-01,38.89915941034617
2019-06-02,38.89915941034617
2019-06-03,38.960800429886376
2019-06-04,38.88155178564707
2019-06-05,39.717997980564256
2019-06-06,39.40103103827266
2019-06-07,39.84125741475067
2019-06-08,39.84125741475067
2019-06-09,39.84125741475067
2019-06-10,40.70412227321736
2019-06-11,41.61100395100014
2019-06-12,41.09153029101757
2019-06-13,41.029897616044714
2019-06-14,40.35193322413711
2019-06-15,40.35193322413711
2019-06-16,40.35193322413711
2019-06-17,40.624876828731196
2019-06-18,41.16195733675338
2019-06-19,41.80471048147476
2019-06-20,42.14808182208011
2019-06-21,41.33806356264924
2019-06-22,41.33806356264924
2019-06-23,41.33806356264924
2019-06-24,41.73427136398303
2019-06-25,41.87514759499851
2019-06-26,41.954396474103405
2019-06-27,42.39462814214921
2019-06-28,42.060044721909264
2019-06-29,42.060044721909264
2019-06-30,42.060044721909264
2019-07-01,43.398359870970204
2019-07-02,42.18331956558995
2019-07-03,42.42103806289736
2019-07-04,42.42103806289736
2019-07-05,42.288970184384524
2019-07-06,42.288970184384524
2019-07-07,42.288970184384524
2019-07-08,41.92797031227883
2019-07-09,41.699055777088596
2019-07-10,42.19211167949584
2019-07-11,42.75562390197565
2019-07-12,43.14302562969253
2019-07-13,43.14302562969253
2019-07-14,43.14302562969253
2019-07-15,44.023494943204625
2019-07-16,43.94424702809641
2019-07-17,43.58326046095199
2019-07-18,43.389562515120325
2019-07-19,43.98827216656723
2019-07-20,43.98827216656723
2019-07-21,43.98827216656723
2019-07-22,44.0322904636627
2019-07-23,45.78442559725997
2019-07-24,45.76682288967396
2019-07-25,46.233475178458335
2019-07-26,46.39196229517144
2019-07-27,46.39196229517144
2019-07-28,46.39196229517144
2019-07-29,45.37061085613689
2019-07-30,45.52910504142323
2019-07-31,45.35300173790134
2019-08-01,44.481343167236915
2019-08-02,43.222267241518686
2019-08-03,43.222267241518686
2019-08-04,43.222267241518686
2019-08-05,42.051243453494244
2019-08-06,41.794443250805216
2019-08-07,41.04099492787866
2019-08-08,40.91690594377188
2019-08-09,41.608296610499394
2019-08-10,41.608296610499394
2019-08-11,41.608296610499394
2019-08-12,40.5623355564243
2019-08-13,40.32300256487496
2019-08-14,40.82825291913661
2019-08-15,40.8637114529932
2019-08-16,41.07645078341011
2019-08-17,41.07645078341011
2019-08-18,41.07645078341011
2019-08-19,42.06923520789644
2019-08-20,41.68808534704197
2019-08-21,41.7589838348354
2019-08-22,41.90967220110902
2019-08-23,41.08531867220693
2019-08-24,41.08531867220693
2019-08-25,41.08531867220693
2019-08-26,40.61551420662347
2019-08-27,40.65983581599123
2019-08-28,40.50914696054566
2019-08-29,41.18281577477065
2019-08-30,41.874228738048394
2019-08-31,41.874228738048394
2019-09-01,41.874228738048394
2019-09-02,41.874228738048394
2019-09-03,41.76785436753594
2019-09-04,42.15787852066657
2019-09-05,44.25867776061497
2019-09-06,44.54232300762969
2019-09-07,44.54232300762969
2019-09-08,44.54232300762969
2019-09-09,45.2603268115871
2019-09-10,45.499660684687434
2019-09-11,45.738991529801915
2019-09-12,46.97997553729052
2019-09-13,46.7672325750035
2019-09-14,46.7672325750035
2019-09-15,46.7672325750035
2019-09-16,46.004923590835794
2019-09-17,46.1378725775225
2019-09-18,46.20879549364875
2019-09-19,45.82762189555447
2019-09-20,45.73898858301611
2019-09-21,45.73898858301611
2019-09-22,45.73898858301611
2019-09-23,45.05645482033689
2019-09-24,45.295788284417505
2019-09-25,44.09912565898297
2019-09-26,45.18940510525581
2019-09-27,44.87916677735115
2019-09-28,44.87916677735115
2019-09-29,44.87916677735115
2019-09-30,45.37555983413886
2019-10-01,46.06696026922075
2019-10-02,44.595521067324846
2019-10-03,43.8775256834431
2019-10-04,44.63096309388983
2019-10-05,44.63096309388983
2019-10-06,44.63096309388983
2019-10-07,44.94121889558264
2019-10-08,44.462552714180084
2019-10-09,44.73734934675862
2019-10-10,44.68415847583881
2019-10-11,46.09356238897448
2019-10-12,46.09356238897448
2019-10-13,46.09356238897448
2019-10-14,46.00492191318896
2019-10-15,46.031511531078046
2019-10-16,46.4038034097081
2019-10-17,46.66086180710479
2019-10-18,45.87195388702495
2019-10-19,45.87195388702495
2019-10-20,45.87195388702495
2019-10-21,45.66808019784728
2019-10-22,46.00491804348699
2019-10-23,45.535112693124525
2019-10-24,46.173334448739524
2019-10-25,48.034801381905076
2019-10-26,48.034801381905076
2019-10-27,48.034801381905076
2019-10-28,49.97605021069267
2019-10-29,49.96718125605338
2019-10-30,49.9228674760867
2019-10-31,49.9317324018035
2019-11-01,49.58602589654593
2019-11-02,49.58602589654593
2019-11-03,49.58602589654593
