,price
2019-02-19,225.67776448672763
2019-02-20,227.97940377448637
2019-02-21,227.2927703857422
2019-02-22,228.92715407560112
2019-02-23,228.92715407560112
2019-02-24,228.92715407560112
2019-02-25,238.96546336628023
2019-02-26,238.1917265158137
2019-02-27,239.4006218223569
2019-02-28,241.14139501979207
2019-03-01,241.76996710107386
2019-03-02,241.76996710107386
2019-03-03,241.76996710107386
2019-03-04,242.42758941862462
2019-03-05,240.0195432177723
2019-03-06,239.1974839067644
2019-03-07,238.06607784997655
2019-03-08,234.82632169961857
2019-03-09,234.82632169961857
2019-03-10,234.82632169961857
2019-03-11,239.31359745898973
2019-03-12,241.5379034069499
2019-03-13,242.8241127751193
2019-03-14,244.63253562966446
2019-03-15,248.0560248422752
2019-03-16,248.0560248422752
2019-03-17,248.0560248422752
2019-03-18,249.74839102428913
2019-03-19,250.10616927627697
2019-03-20,247.74650743319017
2019-03-21,246.2475752326418
2019-03-22,249.85476241945867
2019-03-23,249.85476241945867
2019-03-24,249.85476241945867
2019-03-25,244.05225324088937
2019-03-26,247.24363653880351
2019-03-27,249.2358025029377
2019-03-28,248.10436108696933
2019-03-29,251.6728401850238
2019-03-30,251.6728401850238
2019-03-31,251.6728401850238
2019-04-01,255.8120371570823
2019-04-02,260.2702183166686
2019-04-03,261.33402835792566
2019-04-04,260.4829854740655
2019-04-05,254.74827902526556
2019-04-06,254.74827902526556
2019-04-07,254.74827902526556
2019-04-08,253.18152316481266
2019-04-09,250.36405343992183
2019-04-10,251.81731061153934
2019-04-11,252.61168734627162
2019-04-12,252.79581596692634
2019-04-13,252.79581596692634
2019-04-14,252.79581596692634
2019-04-15,252.3695495628516
2019-04-16,253.6387049612871
2019-04-17,251.62354440377987
2019-04-18,250.17023643095624
2019-04-19,250.17023643095624
2019-04-20,250.17023643095624
2019-04-21,250.17023643095624
2019-04-22,248.12609336625252
2019-04-23,253.85179808785293
2019-04-24,258.1049662886253
2019-04-25,255.77979523783114
2019-04-26,238.73814308992863
2019-04-27,238.73814308992863
2019-04-28,238.73814308992863
2019-04-29,244.8902168267034
2019-04-30,240.63702791744038
2019-05-01,244.61893356800724
2019-05-02,236.00604341816424
2019-05-03,238.43780933087172
2019-05-04,238.43780933087172
2019-05-05,238.43780933087172
2019-05-06,236.4032781542431
2019-05-07,237.3624211760349
2019-05-08,235.83168176578528
2019-05-09,234.25248638504246
2019-05-10,233.06082239646676
2019-05-11,233.06082239646676
2019-05-12,233.06082239646676
2019-05-13,230.52246906876826
2019-05-14,230.9778286795311
2019-05-15,232.09197979182173
2019-05-16,236.39359551246756
2019-05-17,237.9437031505187
2019-05-18,237.9437031505187
2019-05-19,237.9437031505187
2019-05-20,235.10502445443754
2019-05-21,238.09872096232863
2019-05-22,237.18804208095202
2019-05-23,237.43990843932843
2019-05-24,243.4079332758825
2019-05-25,243.4079332758825
2019-05-26,243.4079332758825
2019-05-27,243.4079332758825
2019-05-28,248.40699608674842
2019-05-29,246.04309563370046
2019-05-30,242.2065188021457
2019-05-31,237.5561823524384
2019-06-01,237.5561823524384
2019-06-02,237.5561823524384
2019-06-03,237.55615756375676
2019-06-04,233.53555599292423
2019-06-05,241.63495669065787
2019-06-06,244.95799994915987
2019-06-07,246.11090030259817
2019-06-08,246.11090030259817
2019-06-09,246.11090030259817
2019-06-10,251.7591612502036
2019-06-11,254.607482186309
2019-06-12,248.71705388122382
2019-06-13,250.74191810270656
2019-06-14,248.37797069718735
2019-06-15,248.37797069718735
2019-06-16,248.37797069718735
2019-06-17,246.11090926759655
2019-06-18,249.28868315698145
2019-06-19,251.20694696743257
2019-06-20,257.5139925784493
2019-06-21,259.49038335578666
2019-06-22,259.49038335578666
2019-06-23,259.49038335578666
2019-06-24,254.8691190138855
2019-06-25,254.51061775492886
2019-06-26,251.2069240489568
2019-06-27,249.62777958896874
2019-06-28,250.05401454967455
2019-06-29,250.05401454967455
2019-06-30,250.05401454967455
2019-07-01,257.7368213040459
2019-07-02,256.89389496962264
2019-07-03,259.5485179485128
2019-07-04,259.5485179485128
2019-07-05,260.6142615020437
2019-07-06,260.6142615020437
2019-07-07,260.6142615020437
2019-07-08,261.0598429976513
2019-07-09,261.95963835144306
2019-07-10,265.00708474711445
2019-07-11,267.8118185420496
2019-07-12,270.1992210136083
2019-07-13,270.1992210136083
2019-07-14,270.1992210136083
2019-07-15,273.6833648031808
2019-07-16,273.1981155004696
2019-07-17,272.6157863546907
2019-07-18,271.7230367938659
2019-07-19,276.15813713932357
2019-07-20,276.15813713932357
2019-07-21,276.15813713932357
2019-07-22,272.1402926586434
2019-07-23,273.97450113561104
2019-07-24,272.8779474874864
2019-07-25,271.72294717720104
2019-07-26,273.8386796265172
2019-07-27,273.8386796265172
2019-07-28,273.8386796265172
2019-07-29,275.9058175716714
2019-07-30,271.23774039545316
2019-07-31,270.5486480058624
2019-08-01,270.39342852352274
2019-08-02,269.84984330449277
2019-08-03,269.84984330449277
2019-08-04,269.84984330449277
2019-08-05,261.0473855599983
2019-08-06,258.87345457205026
2019-08-07,258.02902987762445
2019-08-08,262.87193775924527
2019-08-09,267.93788300437654
2019-08-10,267.93788300437654
2019-08-11,267.93788300437654
2019-08-12,266.6278050814077
2019-08-13,264.3471476495229
2019-08-14,266.8024913785191
2019-08-15,261.64910889271385
2019-08-16,263.2698188757774
2019-08-17,263.2698188757774
2019-08-18,263.2698188757774
2019-08-19,266.87039835673886
2019-08-20,265.1623465708988
2019-08-21,267.24892405262034
2019-08-22,268.83085218659875
2019-08-23,281.80654990379367
2019-08-24,281.80654990379367
2019-08-25,281.80654990379367
2019-08-26,271.74236631520597
2019-08-27,274.7509548175329
2019-08-28,272.7905303508774
2019-08-29,276.3717358962833
2019-08-30,278.77852387241796
2019-08-31,278.77852387241796
2019-09-01,278.77852387241796
2019-09-02,278.77852387241796
2019-09-03,276.89576212059137
2019-09-04,277.19661877269647
2019-09-05,280.81663425049976
2019-09-06,284.73751624227936
2019-09-07,284.73751624227936
2019-09-08,284.73751624227936
2019-09-09,280.26346065023876
2019-09-10,265.7252764765628
2019-09-11,259.80516926374185
2019-09-12,260.5814942771435
2019-09-13,259.42664427554206
2019-09-14,259.42664427554206
2019-09-15,259.42664427554206
2019-09-16,255.05932042440753
2019-09-17,257.9902317543782
2019-09-18,261.4452706479372
2019-09-19,260.83382030637665
2019-09-20,262.0179102098562
2019-09-21,262.0179102098562
2019-09-22,262.0179102098562
2019-09-23,260.4747765242056
2019-09-24,262.7748622148985
2019-09-25,256.5344062099154
2019-09-26,259.20337699009076
2019-09-27,263.3183383826164
2019-09-28,263.3183383826164
2019-09-29,263.3183383826164
2019-09-30,255.72900266939874
2019-10-01,259.79543985963437
2019-10-02,255.44750390298094
2019-10-03,251.779081535947
2019-10-04,256.26278037029755
2019-10-05,256.26278037029755
2019-10-06,256.26278037029755
2019-10-07,257.0877522106158
2019-10-08,257.50497150076166
2019-10-09,255.63668480639654
2019-10-10,255.14070529326963
2019-10-11,262.9595173181096
2019-10-12,262.9595173181096
2019-10-13,262.9595173181096
2019-10-14,262.56077447797213
2019-10-15,262.62877694050184
2019-10-16,264.0486465663226
2019-10-17,262.4246666016923
2019-10-18,260.30465213530607
2019-10-19,260.30465213530607
2019-10-20,260.30465213530607
2019-10-21,257.2024756755217
2019-10-22,253.5653288602461
2019-10-23,246.35920404770047
2019-10-24,250.05467020553724
2019-10-25,251.99962087981257
2019-10-26,251.99962087981257
2019-10-27,251.99962087981257
2019-10-28,252.07736182203882
2019-10-29,251.37721252441406
2019-10-30,252.61231627001953
2019-10-31,252.98182948305478
2019-11-01,252.75817269889433
2019-11-02,252.75817269889433
2019-11-03,252.75817269889433
2019-11-04,251.06602888724439
2019-11-05,247.39979398118234
2019-11-06,246.28141117668073
2019-11-07,246.03828682192528
2019-11-08,251.4063638123387
2019-11-09,251.4063638123387
2019-11-10,251.4063638123387
2019-11-11,248.61532531256267
2019-11-12,251.53282861122608
2019-11-13,252.63170734605615
2019-11-14,254.24598952706125
2019-11-15,259.02091927550555
2019-11-16,259.02091927550555
2019-11-17,259.02091927550555
2019-11-18,259.6140872550279
2019-11-19,262.4246524995212
2019-11-20,263.94172517314803
2019-11-21,267.53989932286663
2019-11-22,260.54771234927415
2019-11-23,260.54771234927415
2019-11-24,260.54771234927415
2019-11-25,253.68198249833858
2019-11-26,250.32699736531336
2019-11-27,259.92536814660207
2019-11-28,259.92536814660207
2019-11-29,254.14884802462038
2019-11-30,254.14884802462038
2019-12-01,254.14884802462038
2019-12-02,251.98017108871264
2019-12-03,246.2230928150359
2019-12-04,248.34305226546414
2019-12-05,247.7692972777603
2019-12-06,247.75956245469422
2019-12-07,247.75956245469422
2019-12-08,247.75956245469422
2019-12-09,248.95570739373838
2019-12-10,249.0238268440122
2019-12-11,247.1469504858799
2019-12-12,244.45314942345274
2019-12-13,245.61039150044274
2019-12-14,245.61039150044274
2019-12-15,245.61039150044274
2019-12-16,253.60420326884673
2019-12-17,257.70807884926694
2019-12-18,254.0806957990399
2019-12-19,255.8020222273359
2019-12-20,258.5249666745956
2019-12-21,258.5249666745956
2019-12-22,258.5249666745956
2019-12-23,260.65472682445443
2019-12-24,259.2640440395353
2019-12-25,259.2640440395353
2019-12-26,257.1635142914862
2019-12-27,260.1003520961115
2019-12-28,260.1003520961115
2019-12-29,260.1003520961115
2019-12-30,259.8086640214658
2019-12-31,255.47139589396545
2020-01-01,255.47139589396545
2020-01-02,253.89588954876237
2020-01-03,254.41130519257663
2020-01-04,254.41130519257663
2020-01-05,254.41130519257663
2020-01-06,254.68361074893525
2020-01-07,259.46830560490497
2020-01-08,260.62555308076776
2020-01-09,266.97899415880886
2020-01-10,269.4051770226832
2020-01-11,269.4051770226832
2020-01-12,269.4051770226832
2020-01-13,269.24922234622755
2020-01-14,268.5671999752937
2020-01-15,266.8036034911557
2020-01-16,267.6025518824395
2020-01-17,271.3538192402752
2020-01-18,271.3538192402752
2020-01-19,271.3538192402752
2020-01-20,271.3538192402752
2020-01-21,274.58886395649927
2020-01-22,278.79817346435095
2020-01-23,282.3059197618333
2020-01-24,282.5689958637917
2020-01-25,282.5689958637917
2020-01-26,282.5689958637917
2020-01-27,274.267346198554
2020-01-28,277.1221536997985
2020-01-29,281.9259157785298
2020-01-30,276.9078600327617
2020-01-31,278.4766269752169
2020-02-01,278.4766269752169
2020-02-02,278.4766269752169
2020-02-03,276.30369399898103
2020-02-04,279.8017309017158
2020-02-05,291.16301709579676
2020-02-06,284.3715387695662
2020-02-07,285.65777729795417
2020-02-08,285.65777729795417
2020-02-09,285.65777729795417
2020-02-10,287.4895833168385
2020-02-11,292.21532770654727
2020-02-12,289.38963074700473
2020-02-13,289.6722350036212
2020-02-14,290.90961423938745
2020-02-15,290.90961423938745
2020-02-16,290.90961423938745
2020-02-17,290.90961423938745
2020-02-18,296.16152731608213
2020-02-19,297.67188564110984
2020-02-20,296.59021155640403
2020-02-21,292.8973339130817
2020-02-22,292.8973339130817
2020-02-23,292.8973339130817
2020-02-24,281.04895898087466
2020-02-25,289.92548787934766
2020-02-26,278.94429116045836
2020-02-27,267.2323394281696
2020-02-28,252.96746916863108
2020-02-29,252.96746916863108
2020-03-01,252.96746916863108
2020-03-02,259.88551008671203
2020-03-03,273.7605756310549
2020-03-04,267.1932782099586
2020-03-05,269.0641702215467
2020-03-06,269.36615831562847
2020-03-07,269.36615831562847
2020-03-08,269.36615831562847
2020-03-09,251.64230597480292
2020-03-10,263.18866494480244
2020-03-11,257.1572554782225
2020-03-12,238.80976828865846
2020-03-13,243.59396610533793
2020-03-14,243.59396610533793
2020-03-15,243.59396610533793
2020-03-16,226.05519634756084
2020-03-17,222.6546231199697
2020-03-18,220.2478957249076
2020-03-19,218.61095049232333
2020-03-20,212.15084591502736
2020-03-21,212.15084591502736
2020-03-22,212.15084591502736
2020-03-23,197.1551921935599
2020-03-24,200.87730112208735
2020-03-25,223.89209060631688
2020-03-26,228.53982102298792
2020-03-27,233.85017860934232
2020-03-28,233.85017860934232
2020-03-29,233.85017860934232
2020-03-30,230.9173440048962
2020-03-31,230.23527853812556
2020-04-01,218.3089097287284
2020-04-02,210.56262589107763
2020-04-03,218.11404409597756
2020-04-04,218.11404409597756
2020-04-05,218.11404409597756
2020-04-06,225.79211949421568
2020-04-07,241.27491151848173
2020-04-08,235.27278868828287
2020-04-09,241.005050967907
