,price
2019-02-19,181.02333068847656
2019-02-20,182.55667114257812
2019-02-21,182.56666564941406
2019-02-22,183.8733367919922
2019-02-23,183.8733367919922
2019-02-24,183.8733367919922
2019-02-25,185.0
2019-02-26,183.7433319091797
2019-02-27,181.93666076660156
2019-02-28,182.4499969482422
2019-03-01,183.92999267578125
2019-03-02,183.92999267578125
2019-03-03,183.92999267578125
2019-03-04,186.336669921875
2019-03-05,183.3733367919922
2019-03-06,182.3333282470703
2019-03-07,178.7899932861328
2019-03-08,175.36666870117188
2019-03-09,175.36666870117188
2019-03-10,175.36666870117188
2019-03-11,178.89666748046875
2019-03-12,181.89999389648438
2019-03-13,183.71665954589844
2019-03-14,185.6666717529297
2019-03-15,186.79666137695312
2019-03-16,186.79666137695312
2019-03-17,186.79666137695312
2019-03-18,186.1566619873047
2019-03-19,186.6666717529297
2019-03-20,187.6666717529297
2019-03-21,189.26333618164062
2019-03-22,191.22000122070312
2019-03-23,191.22000122070312
2019-03-24,191.22000122070312
2019-03-25,187.0
2019-03-26,189.48666381835938
2019-03-27,188.52333068847656
2019-03-28,186.19332885742188
2019-03-29,188.56666564941406
2019-03-30,188.56666564941406
2019-03-31,188.56666564941406
2019-04-01,191.6666717529297
2019-04-02,193.0
2019-04-03,192.99000549316406
2019-04-04,192.3866729736328
2019-04-05,191.5066680908203
2019-04-06,191.5066680908203
2019-04-07,191.5066680908203
2019-04-08,191.48666381835938
2019-04-09,192.4566650390625
2019-04-10,193.19667053222656
2019-04-11,195.29666137695312
2019-04-12,195.9933319091797
2019-04-13,195.9933319091797
2019-04-14,195.9933319091797
2019-04-15,195.14666748046875
2019-04-16,194.02999877929688
2019-04-17,188.3333282470703
2019-04-18,176.6666717529297
2019-04-19,176.6666717529297
2019-04-20,176.6666717529297
2019-04-21,176.6666717529297
2019-04-22,166.63333129882812
2019-04-23,165.32666015625
2019-04-24,168.3333282470703
2019-04-25,171.0433349609375
2019-04-26,173.8300018310547
2019-04-27,173.8300018310547
2019-04-28,173.8300018310547
2019-04-29,173.3333282470703
2019-04-30,170.58999633789062
2019-05-01,170.5366668701172
2019-05-02,165.48666381835938
2019-05-03,168.82333374023438
2019-05-04,168.82333374023438
2019-05-05,168.82333374023438
2019-05-06,165.7133331298828
2019-05-07,167.60000610351562
2019-05-08,163.77000427246094
2019-05-09,163.50999450683594
2019-05-10,164.49667358398438
2019-05-11,164.49667358398438
2019-05-12,164.49667358398438
2019-05-13,160.836669921875
2019-05-14,160.60333251953125
2019-05-15,161.8000030517578
2019-05-16,163.3000030517578
2019-05-17,163.0399932861328
2019-05-18,163.0399932861328
2019-05-19,163.0399932861328
2019-05-20,162.21665954589844
2019-05-21,162.5433349609375
2019-05-22,161.0066680908203
2019-05-23,160.836669921875
2019-05-24,158.4633331298828
2019-05-25,158.4633331298828
2019-05-26,158.4633331298828
2019-05-27,158.4633331298828
2019-05-28,158.4499969482422
2019-05-29,156.43333435058594
2019-05-30,157.56666564941406
2019-05-31,156.18666076660156
2019-06-01,156.18666076660156
2019-06-02,156.18666076660156
2019-06-03,154.27999877929688
2019-06-04,154.60000610351562
2019-06-05,159.7899932861328
2019-06-06,161.68666076660156
2019-06-07,162.15333557128906
2019-06-08,162.15333557128906
2019-06-09,162.15333557128906
2019-06-10,166.86666870117188
2019-06-11,170.9066619873047
2019-06-12,168.5933380126953
2019-06-13,167.9633331298828
