,price
2019-02-19,25.311383563590297
2019-02-20,25.185991552926453
2019-02-21,25.275556298636044
2019-02-22,25.087471145349852
2019-02-23,25.087471145349852
2019-02-24,25.087471145349852
2019-02-25,24.621725563335968
2019-02-26,24.120154508517434
2019-02-27,23.73501897684412
2019-02-28,22.97371145286834
2019-03-01,22.839358916649452
2019-03-02,22.839358916649452
2019-03-03,22.839358916649452
2019-03-04,23.170756445415822
2019-03-05,23.287189483642578
2019-03-06,23.654410138984765
2019-03-07,23.73502195966195
2019-03-08,23.645450592041016
2019-03-09,23.645450592041016
2019-03-10,23.645450592041016
2019-03-11,23.717108551763232
2019-03-12,24.308245332779208
2019-03-13,24.388850089446585
2019-03-14,24.505292983902237
2019-03-15,24.585900874015007
2019-03-16,24.585900874015007
2019-03-17,24.585900874015007
2019-03-18,24.94416027384464
2019-03-19,24.953122489361768
2019-03-20,24.576942703054826
2019-03-21,24.818770004720545
2019-03-22,25.06059644765741
2019-03-23,25.06059644765741
2019-03-24,25.06059644765741
2019-03-25,24.720246720911472
2019-03-26,25.015815276640264
2019-03-27,25.159121286164304
2019-03-28,25.024772723376792
2019-03-29,25.078511913428056
2019-03-30,25.078511913428056
2019-03-31,25.078511913428056
2019-04-01,25.060598480927307
2019-04-02,24.836686698350352
2019-04-03,24.415720467172523
2019-04-04,24.774283634626826
2019-04-05,24.657210137552212
2019-04-06,24.657210137552212
2019-04-07,24.657210137552212
2019-04-08,24.549143152398916
2019-04-09,24.783287055040663
2019-04-10,24.927376232758927
2019-04-11,24.405054831450617
2019-04-12,24.125882042927103
2019-04-13,24.125882042927103
2019-04-14,24.125882042927103
2019-04-15,23.864722892767638
2019-04-16,23.94576951326398
2019-04-17,23.801677356921513
2019-04-18,23.747652032674903
2019-04-19,23.747652032674903
2019-04-20,23.747652032674903
2019-04-21,23.747652032674903
2019-04-22,23.900746533144268
2019-04-23,24.26996620904075
2019-04-24,24.666214301723944
2019-04-25,24.63019297954151
2019-04-26,24.945385381496024
2019-04-27,24.945385381496024
2019-04-28,24.945385381496024
2019-04-29,25.665832826662612
2019-04-30,25.755891013023923
2019-05-01,26.16113705680181
2019-05-02,25.530749411701
2019-05-03,26.17014620434202
2019-05-04,26.17014620434202
2019-05-05,26.17014620434202
2019-05-06,25.945004847512234
2019-05-07,26.33224915457933
2019-05-08,26.26920466437524
2019-05-09,26.575395352701026
2019-05-10,25.260580311691346
2019-05-11,25.260580311691346
2019-05-12,25.260580311691346
2019-05-13,26.287213857055754
2019-05-14,26.39527999534333
2019-05-15,26.566388224337253
2019-05-16,26.431304619190023
2019-05-17,25.800914655793598
2019-05-18,25.800914655793598
2019-05-19,25.800914655793598
2019-05-20,26.44931155578621
2019-05-21,26.350257583367487
2019-05-22,26.116108993181296
2019-05-23,26.206166053715982
2019-05-24,26.116109541497142
2019-05-25,26.116109541497142
2019-05-26,26.116109541497142
2019-05-27,26.116109541497142
2019-05-28,26.3142275767211
2019-05-29,25.79191241030531
2019-05-30,25.638815547455494
2019-05-31,25.3056056885492
2019-06-01,25.3056056885492
2019-06-02,25.3056056885492
2019-06-03,25.467705926441035
2019-06-04,25.494728104764974
2019-06-05,25.39566612306124
2019-06-06,25.557764672360275
2019-06-07,25.656824842495066
2019-06-08,25.656824842495066
2019-06-09,25.656824842495066
2019-06-10,25.64782014077887
2019-06-11,25.80091668855004
2019-06-12,25.539755723238272
2019-06-13,25.68384318513989
2019-06-14,25.764891960357296
2019-06-15,25.764891960357296
2019-06-16,25.764891960357296
2019-06-17,26.467324271425877
2019-06-18,27.12473309139352
2019-06-19,26.96263197517909
2019-06-20,27.57500621742054
2019-06-21,27.81816102387167
2019-06-22,27.81816102387167
2019-06-23,27.81816102387167
2019-06-24,27.620032526091805
2019-06-25,26.98965076061772
2019-06-26,26.692466790812787
2019-06-27,25.954009579806765
2019-06-28,25.890967601934094
2019-06-29,25.890967601934094
2019-06-30,25.890967601934094
2019-07-01,26.22417726704922
2019-07-02,26.611415736548157
2019-07-03,26.90914825705014
2019-07-04,26.90914825705014
2019-07-05,27.22593879699707
2019-07-06,27.22593879699707
2019-07-07,27.22593879699707
2019-07-08,27.13542802289933
2019-07-09,26.990603076767936
2019-07-10,26.682865880661012
2019-07-11,26.438486726678736
2019-07-12,26.26651325384698
2019-07-13,26.26651325384698
2019-07-14,26.26651325384698
2019-07-15,26.085486171298392
2019-07-16,25.841106797340537
2019-07-17,25.53336429745354
2019-07-18,25.36139804879484
2019-07-19,25.243730760047185
2019-07-20,25.243730760047185
2019-07-21,25.243730760047185
2019-07-22,25.026497303318667
2019-07-23,25.37044863375485
2019-07-24,24.999348391411043
2019-07-25,25.02650162026106
2019-07-26,25.470009272781073
2019-07-27,25.470009272781073
2019-07-28,25.470009272781073
2019-07-29,25.415701573662645
2019-07-30,25.225629936410908
2019-07-31,25.524315237967354
2019-08-01,25.51526284071742
2019-08-02,25.488112039509915
2019-08-03,25.488112039509915
2019-08-04,25.488112039509915
2019-08-05,25.261831044139054
2019-08-06,25.388545814615625
2019-08-07,25.07175421192566
2019-08-08,25.56957185378974
2019-08-09,26.23030673895519
2019-08-10,26.23030673895519
2019-08-11,26.23030673895519
2019-08-12,26.30271906913051
2019-08-13,25.84110707840214
2019-08-14,25.877312720065287
2019-08-15,24.94503943870975
2019-08-16,25.334241746374023
2019-08-17,25.334241746374023
2019-08-18,25.334241746374023
2019-08-19,25.415701098897458
2019-08-20,25.243730545043945
2019-08-21,25.361394297580386
2019-08-22,25.135118833344038
2019-08-23,24.863580182953633
2019-08-24,24.863580182953633
2019-08-25,24.863580182953633
2019-08-26,24.211896002991843
2019-08-27,24.266197736556187
2019-08-28,24.175690698965667
2019-08-29,24.456277887345067
2019-08-30,24.691608428955078
2019-08-31,24.691608428955078
2019-09-01,24.691608428955078
2019-09-02,24.691608428955078
2019-09-03,24.5377381795735
2019-09-04,23.985618273417153
