,price
2019-02-19,37.819221050933976
2019-02-20,37.88249648048575
2019-02-21,38.270016426109315
2019-02-22,28.352549573184092
2019-02-23,28.352549573184092
2019-02-24,28.352549573184092
2019-02-25,27.680311592679036
2019-02-26,27.079261437398614
2019-02-27,26.217212374066786
2019-02-28,25.63988249152176
2019-03-01,26.42284087909898
2019-03-02,26.42284087909898
2019-03-03,26.42284087909898
2019-03-04,26.01949519399702
2019-03-05,26.3991169734006
2019-03-06,26.201397774427388
2019-03-07,26.123967368825813
2019-03-08,25.3713910505712
2019-03-09,25.3713910505712
2019-03-10,25.3713910505712
2019-03-11,25.611575036612436
2019-03-12,25.77970154403593
2019-03-13,25.675625619958442
2019-03-14,25.89178805229188
2019-03-15,25.57955375630323
2019-03-16,25.57955375630323
2019-03-17,25.57955375630323
2019-03-18,25.45946007695612
2019-03-19,25.59555831704795
2019-03-20,25.6996388660894
2019-03-21,25.651601927407363
2019-03-22,26.284092054684635
2019-03-23,26.284092054684635
2019-03-24,26.284092054684635
2019-03-25,25.835749439226213
2019-03-26,26.051910997624642
2019-03-27,26.34013215901918
2019-03-28,26.180005757006235
2019-03-29,26.155991775420606
2019-03-30,26.155991775420606
2019-03-31,26.155991775420606
2019-04-01,26.260072819169505
2019-04-02,26.06792331675384
2019-04-03,25.811729797917234
2019-04-04,25.85976651409811
2019-04-05,26.172003927141116
2019-04-06,26.172003927141116
2019-04-07,26.172003927141116
2019-04-08,26.604336614615526
2019-04-09,26.548290961806543
2019-04-10,26.4041805267334
2019-04-11,26.484248506163098
2019-04-12,26.51626441892763
2019-04-13,26.51626441892763
2019-04-14,26.51626441892763
2019-04-15,26.492253789867423
2019-04-16,26.476236390089095
2019-04-17,26.46021865772942
2019-04-18,26.436208060791234
2019-04-19,26.436208060791234
2019-04-20,26.436208060791234
2019-04-21,26.436208060791234
2019-04-22,26.844515039084744
2019-04-23,26.364151115150193
2019-04-24,26.30810561920153
2019-04-25,26.15599007202387
2019-04-26,26.180010421028587
2019-04-27,26.180010421028587
2019-04-28,26.180010421028587
2019-04-29,26.548290463514455
2019-04-30,26.668389249950085
2019-05-01,26.580321098563225
2019-05-02,26.180007560964363
2019-05-03,25.899793270048388
2019-05-04,25.899793270048388
2019-05-05,25.899793270048388
2019-05-06,25.899794866092556
2019-05-07,26.12397024601501
2019-05-08,26.019888799752508
2019-05-09,25.859763286598337
2019-05-10,26.06792702354709
2019-05-11,26.06792702354709
2019-05-12,26.06792702354709
2019-05-13,25.851757146359915
2019-05-14,25.68363160133925
2019-05-15,25.77970586895453
2019-05-16,25.915810244001683
2019-05-17,25.947832681161632
2019-05-18,25.947832681161632
2019-05-19,25.947832681161632
2019-05-20,25.875773632808936
2019-05-21,25.55553274276754
2019-05-22,25.603573398274754
2019-05-23,25.38740082326886
2019-05-24,25.3153500042363
2019-05-25,25.3153500042363
2019-05-26,25.3153500042363
2019-05-27,25.3153500042363
2019-05-28,24.89903041270446
2019-05-29,23.12967944787335
2019-05-30,22.961550045796304
2019-05-31,22.141498146699185
2019-06-01,22.141498146699185
2019-06-02,22.141498146699185
2019-06-03,22.474389539517283
2019-06-04,23.13205713946905
2019-06-05,23.42434878132763
2019-06-06,23.091457339372006
2019-06-07,23.302564410614096
2019-06-08,23.302564410614096
2019-06-09,23.302564410614096
2019-06-10,24.43927354381266
2019-06-11,24.601661820324704
2019-06-12,24.528583581054956
2019-06-13,24.439275446997286
2019-06-14,24.755928083505154
2019-06-15,24.755928083505154
2019-06-16,24.755928083505154
