,price
2019-02-19,100.76552255114657
2019-02-20,100.99766954346724
2019-02-21,106.54211137739097
2019-02-22,105.77127167420267
2019-02-23,105.77127167420267
2019-02-24,105.77127167420267
2019-02-25,108.22307195289531
2019-02-26,107.57298765506935
2019-02-27,107.29436174913236
2019-02-28,106.04059634333983
2019-03-01,108.32525291646593
2019-03-02,108.32525291646593
2019-03-03,108.32525291646593
2019-03-04,108.60385857823675
2019-03-05,107.62869774481987
2019-03-06,107.2015191326233
2019-03-07,106.84858437778486
2019-03-08,104.97258036023602
2019-03-09,104.97258036023602
2019-03-10,104.97258036023602
2019-03-11,106.63497106018686
2019-03-12,109.05892086238407
2019-03-13,109.02176484102004
2019-03-14,108.48312829989476
2019-03-15,109.67188022829548
2019-03-16,109.67188022829548
2019-03-17,109.67188022829548
2019-03-18,111.3435557894561
2019-03-19,111.43643537654069
2019-03-20,111.75218627105744
2019-03-21,111.56646604661009
2019-03-22,114.18541402709926
2019-03-23,114.18541402709926
2019-03-24,114.18541402709926
2019-03-25,111.67789450694464
2019-03-26,112.01223890813411
2019-03-27,111.60360609871712
2019-03-28,110.10836451614284
2019-03-29,110.28481133972957
2019-03-30,110.28481133972957
2019-03-31,110.28481133972957
2019-04-01,111.33426200332899
2019-04-02,113.97182789543658
2019-04-03,114.51047902539015
2019-04-04,115.16986914855066
2019-04-05,115.68994102656694
2019-04-06,115.68994102656694
2019-04-07,115.68994102656694
2019-04-08,115.16057110348498
2019-04-09,113.56319010100118
2019-04-10,113.2009972687948
2019-04-11,115.29988102338882
2019-04-12,115.31844159888036
2019-04-13,115.31844159888036
2019-04-14,115.31844159888036
2019-04-15,114.71477273231704
2019-04-16,114.04612325176582
2019-04-17,116.5536381826896
2019-04-18,115.5227791023811
2019-04-19,115.5227791023811
2019-04-20,115.5227791023811
2019-04-21,115.5227791023811
2019-04-22,114.9376824979831
2019-04-23,114.49188092316473
2019-04-24,114.71479307660893
2019-04-25,118.05816283803141
2019-04-26,115.42990367874354
2019-04-27,115.42990367874354
2019-04-28,115.42990367874354
2019-04-29,116.6558165210347
2019-04-30,117.06445518906881
2019-05-01,119.27476076756405
2019-05-02,117.07372219987411
2019-05-03,119.35836634483174
2019-05-04,119.35836634483174
2019-05-05,119.35836634483174
2019-05-06,116.17287548094657
2019-05-07,111.02780273102917
2019-05-08,107.96303538467133
2019-05-09,105.24189960097816
2019-05-10,105.95701564078365
2019-05-11,105.95701564078365
2019-05-12,105.95701564078365
2019-05-13,102.35360657599833
2019-05-14,102.19415799674277
2019-05-15,101.73594795165275
2019-05-16,102.61498294009672
2019-05-17,100.73531320170638
2019-05-18,100.73531320170638
2019-05-19,100.73531320170638
2019-05-20,98.77149958413425
2019-05-21,100.09005168430978
2019-05-22,98.87435746725649
2019-05-23,97.50900819541741
2019-05-24,98.34132010193358
2019-05-25,98.34132010193358
2019-05-26,98.34132010193358
2019-05-27,98.34132010193358
2019-05-28,98.41612145144572
2019-05-29,95.31141120963404
2019-05-30,97.12560470492922
2019-05-31,96.22785026410979
2019-06-01,96.22785026410979
2019-06-02,96.22785026410979
2019-06-03,97.03207556492814
2019-06-04,96.40552129941615
2019-06-05,99.58507694725107
2019-06-06,99.62247084663096
2019-06-07,101.60503441490246
2019-06-08,101.60503441490246
2019-06-09,101.60503441490246
2019-06-10,103.6623538046933
2019-06-11,107.67419492752768
2019-06-12,105.09315979064003
2019-06-13,103.61562981211779
2019-06-14,101.80140683444623
2019-06-15,101.80140683444623
2019-06-16,101.80140683444623
2019-06-17,102.6243214931366
2019-06-18,102.43729890347323
2019-06-19,104.6910452656074
2019-06-20,106.85126903436621
2019-06-21,106.77645332074914
2019-06-22,106.77645332074914
2019-06-23,106.77645332074914
2019-06-24,106.91671188064805
2019-06-25,106.35564223752867
2019-06-26,107.51521927596623
2019-06-27,109.71285626067356
2019-06-28,111.22778924613223
2019-06-29,111.22778924613223
2019-06-30,111.22778924613223
2019-07-01,113.93975967048803
2019-07-02,113.49089798924956
2019-07-03,112.1629867028874
2019-07-04,112.1629867028874
2019-07-05,109.94662962084179
2019-07-06,109.94662962084179
2019-07-07,109.94662962084179
2019-07-08,109.30138749485796
2019-07-09,108.60000692647154
2019-07-10,111.04077920737578
2019-07-11,111.77019033191375
2019-07-12,112.53701078332465
2019-07-13,112.53701078332465
2019-07-14,112.53701078332465
2019-07-15,115.07130751491734
2019-07-16,115.12740853847936
2019-07-17,115.90360389969074
2019-07-18,117.36246322553018
2019-07-19,124.87177182419111
2019-07-20,124.87177182419111
2019-07-21,124.87177182419111
2019-07-22,125.04012950257886
2019-07-23,128.5469498821913
2019-07-24,130.8100410739166
2019-07-25,131.9041941276647
2019-07-26,131.24953411323162
2019-07-27,131.24953411323162
2019-07-28,131.24953411323162
2019-07-29,130.02447872063706
2019-07-30,129.17349869811108
2019-07-31,130.52946266921583
2019-08-01,127.65853717399833
2019-08-02,126.35867509280072
2019-08-03,126.35867509280072
2019-08-04,126.35867509280072
2019-08-05,121.66417780894443
2019-08-06,123.31942456957616
2019-08-07,125.46094503095007
2019-08-08,127.12552921353782
2019-08-09,127.50893569033146
2019-08-10,127.50893569033146
2019-08-11,127.50893569033146
2019-08-12,126.24649755637651
2019-08-13,123.9553290113384
2019-08-14,124.03543128778935
2019-08-15,123.49001948953276
2019-08-16,125.01342968543155
2019-08-17,125.01342968543155
2019-08-18,125.01342968543155
2019-08-19,129.77174238824398
2019-08-20,131.89697018071962
2019-08-21,133.17587467054486
2019-08-22,134.14447077991983
2019-08-23,133.77770183623912
2019-08-24,133.77770183623912
2019-08-25,133.77770183623912
2019-08-26,132.59283719209324
2019-08-27,133.96576938104454
2019-08-28,132.74327467054155
2019-08-29,136.97495079431044
2019-08-30,139.15666786795998
2019-08-31,139.15666786795998
2019-09-01,139.15666786795998
2019-09-02,139.15666786795998
2019-09-03,140.54840879672474
2019-09-04,142.54202128067845
2019-09-05,144.5167793811157
2019-09-06,141.8555289908518
2019-09-07,141.8555289908518
2019-09-08,141.8555289908518
2019-09-09,142.92757747608533
2019-09-10,140.8399235210624
2019-09-11,141.05622729792915
2019-09-12,143.34131774488287
2019-09-13,140.66124951355565
2019-09-14,140.66124951355565
2019-09-15,140.66124951355565
2019-09-16,139.89015933337492
2019-09-17,144.0748193473962
2019-09-18,143.49177511893032
2019-09-19,149.1528694912375
2019-09-20,148.58860690668945
2019-09-21,148.58860690668945
2019-09-22,148.58860690668945
2019-09-23,145.9461233993456
2019-09-24,149.81112180599058
2019-09-25,147.02762065179806
2019-09-26,151.2874924051347
2019-09-27,150.61041557260552
2019-09-28,150.61041557260552
2019-09-29,150.61041557260552
2019-09-30,149.95217721390645
2019-10-01,151.20286583622163
2019-10-02,146.96177172552748
2019-10-03,146.2000783799805
2019-10-04,148.24066755472003
2019-10-05,148.24066755472003
2019-10-06,148.24066755472003
2019-10-07,151.11822027385935
2019-10-08,149.29389685481348
2019-10-09,147.79869608752495
2019-10-10,148.59804156868498
2019-10-11,151.3720899829836
2019-10-12,151.3720899829836
2019-10-13,151.3720899829836
2019-10-14,150.10260474762686
2019-10-15,150.53518432235217
2019-10-16,151.2122830025834
2019-10-17,153.00835908229166
2019-10-18,151.05239630768665
2019-10-19,151.05239630768665
2019-10-20,151.05239630768665
2019-10-21,150.75148078216603
2019-10-22,154.10862665617046
2019-10-23,151.53199187278645
2019-10-24,154.2214517370956
2019-10-25,157.6914383836535
2019-10-26,157.6914383836535
2019-10-27,157.6914383836535
2019-10-28,160.82289959077994
2019-10-29,163.71925265723243
2019-10-30,161.5751901972045
2019-10-31,157.67262871599573
2019-11-01,159.98593748804547
2019-11-02,159.98593748804547
2019-11-03,159.98593748804547
2019-11-04,164.35867674582175
2019-11-05,163.7850854430031
2019-11-06,161.01098454465472
2019-11-07,163.23024888764286
2019-11-08,160.17401930018394
2019-11-09,160.17401930018394
2019-11-10,160.17401930018394
2019-11-11,163.277283162955
2019-11-12,164.6878292247762
2019-11-13,163.81326880655277
2019-11-14,165.4777649361694
2019-11-15,168.9805410862734
2019-11-16,168.9805410862734
2019-11-17,168.9805410862734
2019-11-18,167.8088284792868
2019-11-19,167.28913929467342
2019-11-20,166.42925269480267
2019-11-21,156.72488764998425
2019-11-22,151.63174612287887
2019-11-23,151.63174612287887
2019-11-24,151.63174612287887
2019-11-25,151.50887754682165
2019-11-26,154.82558553167246
2019-11-27,154.3059138154541
2019-11-28,154.3059138154541
2019-11-29,155.99728813806468
2019-11-30,155.99728813806468
2019-12-01,155.99728813806468
2019-12-02,154.92011197788838
2019-12-03,149.297783679985
2019-12-04,150.73410065272444
2019-12-05,151.65065944497402
2019-12-06,154.4854317299302
2019-12-07,154.4854317299302
2019-12-08,154.4854317299302
2019-12-09,154.33426918979563
2019-12-10,153.3514979599889
2019-12-11,153.81452039144395
2019-12-12,157.7831849891285
2019-12-13,161.53455804967317
2019-12-14,161.53455804967317
2019-12-15,161.53455804967317
2019-12-16,165.11580498494212
2019-12-17,162.59288167275577
2019-12-18,166.21192779710117
2019-12-19,166.02297591603468
2019-12-20,167.08124057589515
2019-12-21,167.08124057589515
2019-12-22,167.08124057589515
2019-12-23,169.00888521362182
2019-12-24,167.99781919752112
2019-12-25,167.99781919752112
2019-12-26,168.744333099032
2019-12-27,169.37741167625555
2019-12-28,169.37741167625555
2019-12-29,169.37741167625555
2019-12-30,168.2151840629743
2019-12-31,167.61983401994246
2020-01-01,167.61983401994246
2020-01-02,170.823167272062
2020-01-03,169.45301232299843
2020-01-04,169.45301232299843
2020-01-05,169.45301232299843
2020-01-06,166.6087931624059
2020-01-07,166.43870350031224
2020-01-08,166.77887900972902
2020-01-09,168.58368153449052
2020-01-10,166.69385620643317
2020-01-11,166.69385620643317
2020-01-12,166.69385620643317
2020-01-13,164.38822623829117
2020-01-14,166.2213737165525
2020-01-15,167.33636364502937
2020-01-16,169.61363930419722
2020-01-17,170.90819701232851
2020-01-18,170.90819701232851
2020-01-19,170.90819701232851
2020-01-20,170.90819701232851
2020-01-21,167.86555584245244
2020-01-22,170.08610927573062
2020-01-23,169.91603120014156
2020-01-24,173.7524300758851
2020-01-25,173.7524300758851
2020-01-26,173.7524300758851
2020-01-27,165.14417185927928
2020-01-28,162.7156918739204
2020-01-29,166.63712754762793
2020-01-30,163.94411411089447
2020-01-31,161.94084372940793
2020-02-01,161.94084372940793
2020-02-02,161.94084372940793
2020-02-03,158.05722577727056
2020-02-04,164.72838827714222
2020-02-05,166.36311998448622
2020-02-06,161.9881286789338
2020-02-07,161.30777711456903
2020-02-08,161.30777711456903
2020-02-09,161.30777711456903
2020-02-10,155.0618133123933
2020-02-11,159.89037348622537
2020-02-12,164.41654681561553
2020-02-13,166.00405881559766
2020-02-14,169.25459208856498
2020-02-15,169.25459208856498
2020-02-16,169.25459208856498
2020-02-17,169.25459208856498
2020-02-18,157.80212768278741
2020-02-19,162.7251481574117
2020-02-20,163.08243456682527
2020-02-21,157.3183892951967
2020-02-22,157.3183892951967
2020-02-23,157.3183892951967
2020-02-24,146.9489010207498
2020-02-25,147.45214070026356
2020-02-26,141.48877815408133
2020-02-27,135.61081461920088
2020-02-28,134.92709999428004
2020-02-29,134.92709999428004
2020-03-01,134.92709999428004
2020-03-02,146.71148504039868
2020-03-03,148.90502571415007
2020-03-04,149.1709224141237
2020-03-05,148.75308499264855
2020-03-06,144.38498779496737
2020-03-07,144.38498779496737
2020-03-08,144.38498779496737
2020-03-09,137.67138341140128
2020-03-10,141.02344821468435
2020-03-11,142.56177454039755
2020-03-12,128.4224011431147
2020-03-13,126.1244037683376
2020-03-14,126.1244037683376
2020-03-15,126.1244037683376
2020-03-16,122.20259891353678
2020-03-17,125.2223092791294
2020-03-18,125.5831475105995
2020-03-19,125.23179767975455
2020-03-20,123.17118493088614
2020-03-21,123.17118493088614
2020-03-22,123.17118493088614
2020-03-23,108.55700131358775
2020-03-24,115.56498312735657
2020-03-25,128.8782126341928
2020-03-26,133.67366737702466
2020-03-27,137.72840282615755
2020-03-28,137.72840282615755
2020-03-29,137.72840282615755
2020-03-30,134.9081236600344
2020-03-31,143.23596813015774
2020-04-01,131.70797699888234
2020-04-02,123.03824190174782
2020-04-03,124.22522280114259
2020-04-04,124.22522280114259
2020-04-05,124.22522280114259
2020-04-06,128.39391688554412
2020-04-07,146.33168843706645
2020-04-08,142.04901699373409
2020-04-09,144.4799408593924
2020-04-10,144.4799408593924
2020-04-11,144.4799408593924
2020-04-12,144.4799408593924
2020-04-13,141.96355683595573
2020-04-14,147.2812464572167
2020-04-15,150.20595469626716
2020-04-16,150.2344684107854
2020-04-17,152.81733846541192
2020-04-18,152.81733846541192
2020-04-19,152.81733846541192
2020-04-20,150.78521290353387
2020-04-21,145.70493872309925
2020-04-22,146.5310420327425
2020-04-23,150.45286199153858
2020-04-24,152.86480365691594
2020-04-25,152.86480365691594
2020-04-26,152.86480365691594
2020-04-27,158.6193290595635
2020-04-28,159.9012769408633
2020-04-29,161.36363706141756
2020-04-30,165.1810022386863
2020-05-01,150.3199306199774
2020-05-02,150.3199306199774
2020-05-03,150.3199306199774
2020-05-04,142.1344560079068
2020-05-05,148.57269119470868
2020-05-06,155.1723095573911
2020-05-07,158.93272155039364
2020-05-08,158.41992871988288
2020-05-09,158.41992871988288
2020-05-10,158.41992871988288
2020-05-11,160.66094135495814
2020-05-12,161.63903253714068
2020-05-13,157.03351097906437
2020-05-14,154.35566977908258
2020-05-15,160.33046221741793
2020-05-16,160.33046221741793
2020-05-17,160.33046221741793
2020-05-18,163.93730922428358
2020-05-19,164.31895332691815
2020-05-20,167.45816495735696
2020-05-21,168.05930793333428
2020-05-22,165.80749019118957
2020-05-23,165.80749019118957
2020-05-24,165.80749019118957
2020-05-25,165.80749019118957
2020-05-26,168.8035915453515
2020-05-27,169.9581424768256
2020-05-28,169.51920780888483
2020-05-29,167.9352706861035
2020-05-30,167.9352706861035
2020-05-31,167.9352706861035
2020-06-01,166.98109301175066
2020-06-02,167.2673487061814
2020-06-03,170.64510801705734
2020-06-04,176.34158990947495
2020-06-05,181.5037043797285
2020-06-06,181.5037043797285
2020-06-07,181.5037043797285
2020-06-08,184.7478902769227
2020-06-09,181.80902845519392
2020-06-10,183.61236668509696
2020-06-11,182.5532780367651
2020-06-12,177.63927559564948
2020-06-13,177.63927559564948
2020-06-14,177.63927559564948
2020-06-15,170.0726265380588
2020-06-16,184.97690429831283
2020-06-17,184.31849933357117
2020-06-18,185.38715173300025
2020-06-19,187.42910772824686
2020-06-20,187.42910772824686
2020-06-21,187.42910772824686
2020-06-22,180.67353146700975
2020-06-23,186.2173177406064
2020-06-24,183.40248314105753
2020-06-25,182.1620688139761
2020-06-26,183.8032499804977
2020-06-27,183.8032499804977
2020-06-28,183.8032499804977
2020-06-29,181.80901471931801
2020-06-30,182.2765711782371
2020-07-01,185.56843525763728
2020-07-02,185.64480385603986
2020-07-03,185.64480385603986
2020-07-04,185.64480385603986
2020-07-05,185.64480385603986
2020-07-06,190.25345883676144
2020-07-07,194.15607670086757
2020-07-08,194.01294757617322
2020-07-09,193.6980403334494
2020-07-10,194.2705984036735
2020-07-11,194.2705984036735
2020-07-12,194.2705984036735
2020-07-13,195.56826432157064
2020-07-14,188.74585588150578
2020-07-15,192.61028140591318
2020-07-16,185.091357630181
2020-07-17,188.94625097395638
2020-07-18,188.94625097395638
2020-07-19,188.94625097395638
2020-07-20,188.27833732933422
2020-07-21,194.52819692640088
2020-07-22,195.59689103482125
2020-07-23,196.3506835584322
2020-07-24,187.39096715283037
2020-07-25,187.39096715283037
2020-07-26,187.39096715283037
2020-07-27,183.45973932776334
2020-07-28,186.35089823109314
2020-07-29,182.7250356192192
2020-07-30,185.88335106202555
2020-07-31,190.8355330408942
2020-08-01,190.8355330408942
2020-08-02,190.8355330408942
2020-08-03,193.3068427648504
2020-08-04,191.0645297339337
2020-08-05,196.57966421089995
2020-08-06,193.9365847180965
2020-08-07,192.61027539252711
2020-08-08,192.61027539252711
2020-08-09,192.61027539252711
2020-08-10,192.1713729879853
2020-08-11,194.23238946480612
2020-08-12,192.3240420565215
2020-08-13,198.26856357363047
2020-08-14,201.3166095059592
2020-08-15,201.3166095059592
2020-08-16,201.3166095059592
2020-08-17,204.29684943555486
2020-08-18,208.6282921985874
2020-08-19,203.8368618541236
2020-08-20,197.98175739998
2020-08-21,198.12551923047286
2020-08-22,198.12551923047286
2020-08-23,198.12551923047286
2020-08-24,198.84422417560174
2020-08-25,199.35209773515254
2020-08-26,201.01954852342746
2020-08-27,204.86225232016696
2020-08-28,196.24727102622225
2020-08-29,196.24727102622225
2020-08-30,196.24727102622225
2020-08-31,199.11254506422253
2020-09-01,197.3013860197044
2020-09-02,201.8915455939392
2020-09-03,204.6993332990644
2020-09-04,191.50375783709512
2020-09-05,191.50375783709512
2020-09-06,191.50375783709512
2020-09-07,191.50375783709512
2020-09-08,173.63171003042356
2020-09-09,171.45640897000067
2020-09-10,168.68694981701137
2020-09-11,167.57537809514204
2020-09-12,167.57537809514204
2020-09-13,167.57537809514204
2020-09-14,169.19489115523734
2020-09-15,172.4722192699273
2020-09-16,174.7912329848571
2020-09-17,168.0545211237292
2020-09-18,173.670079076221
2020-09-19,173.670079076221
2020-09-20,173.670079076221
2020-09-21,170.91976424302328
2020-09-22,175.1841519302039
2020-09-23,176.68865326385986
2020-09-24,170.6514645305109
2020-09-25,176.046615419523
2020-09-26,176.046615419523
2020-09-27,176.046615419523
2020-09-28,180.29179081668474
2020-09-29,186.73149532979187
2020-09-30,184.63284598862276
2020-10-01,189.37634257006115
2020-10-02,184.07705129805058
2020-10-03,184.07705129805058
2020-10-04,184.07705129805058
2020-10-05,185.21739956128155
2020-10-06,191.55168118975584
2020-10-07,194.53194584385616
2020-10-08,196.91809922653275
2020-10-09,201.22076157684148
2020-10-10,201.22076157684148
2020-10-11,201.22076157684148
2020-10-12,205.0347281004767
2020-10-13,206.89379319546336
2020-10-14,210.90900737638756
2020-10-15,200.65538145268764
2020-10-16,205.4851560446103
2020-10-17,205.4851560446103
2020-10-18,205.4851560446103
2020-10-19,203.48231568053123
2020-10-20,200.1283502577987
2020-10-21,197.1767773948378
2020-10-22,196.7359878867683
2020-10-23,196.59225584882512
2020-10-24,196.59225584882512
2020-10-25,196.59225584882512
2020-10-26,192.279940812826
2020-10-27,191.66662571377537
2020-10-28,186.40565093675607
2020-10-29,182.45754182677842
2020-10-30,190.21964032499255
2020-10-31,190.21964032499255
2020-11-01,190.21964032499255
2020-11-02,191.46541054796413
2020-11-03,196.50602329589543
2020-11-04,205.3701518258923
2020-11-05,213.56347927295892
2020-11-06,219.33236135333343
2020-11-07,219.33236135333343
2020-11-08,219.33236135333343
2020-11-09,227.79403355992326
2020-11-10,220.40562408434818
2020-11-11,217.732009853191
2020-11-12,225.3216514738042
2020-11-13,228.13757224328785
2020-11-14,228.13757224328785
2020-11-15,228.13757224328785
2020-11-16,228.60899210682578
2020-11-17,233.23620238427563
2020-11-18,234.3521251561182
2020-11-19,227.1467583260857
2020-11-20,235.02548895077635
2020-11-21,235.02548895077635
2020-11-22,235.02548895077635
2020-11-23,234.03464235424795
2020-11-24,241.22078664953233
2020-11-25,240.49926611322323
2020-11-26,240.49926611322323
2020-11-27,241.567100367134
2020-11-28,241.567100367134
2020-11-29,241.567100367134
2020-11-30,247.2236084645486
2020-12-01,244.7897830690056
2020-12-02,245.09763298837174
2020-12-03,248.82055591315932
2020-12-04,248.33951844655883
2020-12-05,248.33951844655883
2020-12-06,248.33951844655883
2020-12-07,255.15046898126425
2020-12-08,256.93016603350134
2020-12-09,256.478036086694
2020-12-10,245.45353959438853
2020-12-11,243.9624476568237
2020-12-12,243.9624476568237
2020-12-13,243.9624476568237
2020-12-14,247.68539268164398
2020-12-15,253.95758315205822
2020-12-16,251.4371600433313
2020-12-17,252.88983474225984
2020-12-18,248.91674629292615
2020-12-19,248.91674629292615
2020-12-20,248.91674629292615
2020-12-21,248.8878726664793
2020-12-22,250.06151066267833
2020-12-23,248.6281646382636
2020-12-24,245.17457769993752
2020-12-25,245.17457769993752
2020-12-26,245.17457769993752
2020-12-27,245.17457769993752
2020-12-28,250.87923054202597
2020-12-29,248.2337143356486
2020-12-30,246.88697486349923
2020-12-31,248.26258944103827
2021-01-01,248.26258944103827
2021-01-02,248.26258944103827
2021-01-03,248.26258944103827
2021-01-04,252.10092611002284
2021-01-05,250.30203446803415
2021-01-06,252.47610353106583
2021-01-07,258.47897884858764
2021-01-08,271.49479554005944
2021-01-09,271.49479554005944
2021-01-10,271.49479554005944
2021-01-11,270.6579375130736
2021-01-12,278.0171537761296
2021-01-13,277.77664602145364
2021-01-14,291.3120113481457
2021-01-15,291.95651230806675
2021-01-16,291.95651230806675
2021-01-17,291.95651230806675
2021-01-18,291.95651230806675
2021-01-19,296.14116041450956
2021-01-20,304.87606233239205
2021-01-21,296.25659326965234
2021-01-22,293.69765915170314
2021-01-23,293.69765915170314
2021-01-24,293.69765915170314
2021-01-25,297.6418872062606
2021-01-26,298.21908334461006
2021-01-27,286.00169959732193
2021-01-28,279.68138881746603
2021-01-29,276.150863477986
2021-01-30,276.150863477986
2021-01-31,276.150863477986
2021-02-01,275.15041616625945
2021-02-02,284.75118592935155
2021-02-03,290.1383431356929
2021-02-04,277.47839985585694
2021-02-05,284.7799600872331
2021-02-06,284.7799600872331
2021-02-07,284.7799600872331
2021-02-08,278.9213844659268
2021-02-09,288.87809229815866
2021-02-10,290.64820317564875
2021-02-11,288.0315595262383
2021-02-12,309.31089773258753
2021-02-13,309.31089773258753
2021-02-14,309.31089773258753
2021-02-15,309.31089773258753
2021-02-16,319.86404096440543
2021-02-17,320.5951520861291
2021-02-18,314.56434298764594
2021-02-19,318.92446834881105
2021-02-20,318.92446834881105
2021-02-21,318.92446834881105
2021-02-22,313.5032680236963
2021-02-23,296.85379336129756
