,price
2019-02-19,168.21734414312155
2019-02-20,168.4311748532078
2019-02-21,169.37948174469946
2019-02-22,164.03379085114028
2019-02-23,164.03379085114028
2019-02-24,164.03379085114028
2019-02-25,169.4816906851815
2019-02-26,166.31146715957615
2019-02-27,165.14940525858063
2019-02-28,163.77341304604383
2019-03-01,165.17725432023295
2019-03-02,165.17725432023295
2019-03-03,165.17725432023295
2019-03-04,164.87975163444546
2019-03-05,164.5171684304802
2019-03-06,161.30046096531433
2019-03-07,156.6613324442181
2019-03-08,153.11924035473186
2019-03-09,153.11924035473186
2019-03-10,153.11924035473186
2019-03-11,157.70257998648177
2019-03-12,160.7054824085359
2019-03-13,160.93792928424105
2019-03-14,158.97627034843768
2019-03-15,168.58922620431653
2019-03-16,168.58922620431653
2019-03-17,168.58922620431653
2019-03-18,169.03548916097628
2019-03-19,168.63310986948346
2019-03-20,167.594891134927
2019-03-21,164.4332066529545
2019-03-22,170.53201368511583
2019-03-23,170.53201368511583
2019-03-24,170.53201368511583
2019-03-25,167.46391332424832
2019-03-26,168.12804411569536
2019-03-27,168.5302308592224
2019-03-28,166.28527939466534
2019-03-29,166.2852785118759
2019-03-30,166.2852785118759
2019-03-31,166.2852785118759
2019-04-01,170.24202769565267
2019-04-02,173.11374660098667
2019-04-03,175.50830866530382
2019-04-04,177.3417025674926
2019-04-05,180.72780954064785
2019-04-06,180.72780954064785
2019-04-07,180.72780954064785
2019-04-08,181.09261022556092
2019-04-09,179.42761052824574
2019-04-10,177.538119972446
2019-04-11,178.95054626464844
2019-04-12,181.5696714487181
2019-04-13,181.5696714487181
2019-04-14,181.5696714487181
2019-04-15,180.88680477685804
2019-04-16,181.9344642363204
2019-04-17,184.59099407674464
2019-04-18,184.02042540641392
2019-04-19,184.02042540641392
2019-04-20,184.02042540641392
2019-04-21,184.02042540641392
2019-04-22,183.60879125899413
2019-04-23,182.4021688193326
2019-04-24,182.5424479827475
2019-04-25,189.8853080436838
2019-04-26,189.88534430974477
2019-04-27,189.88534430974477
2019-04-28,189.88534430974477
2019-04-29,193.37433335664883
2019-04-30,192.90667217971986
2019-05-01,194.59969620193
2019-05-02,190.78331915184543
2019-05-03,193.9917178464779
2019-05-04,193.9917178464779
2019-05-05,193.9917178464779
2019-05-06,187.3878132096401
2019-05-07,187.91166393750615
2019-05-08,185.6760567060622
2019-05-09,183.33757298683548
2019-05-10,184.3571388800007
2019-05-11,184.3571388800007
2019-05-12,184.3571388800007
2019-05-13,178.94119681147242
2019-05-14,178.15547358727144
2019-05-15,178.81024844274376
2019-05-16,179.63337886006497
2019-05-17,180.61555952916345
2019-05-18,180.61555952916345
2019-05-19,180.61555952916345
2019-05-20,176.45307194209934
2019-05-21,174.55418679361608
2019-05-22,173.40364064938544
2019-05-23,171.92571913524776
2019-05-24,174.71321915901012
2019-05-25,174.71321915901012
2019-05-26,174.71321915901012
2019-05-27,174.71321915901012
2019-05-28,171.682547187682
2019-05-29,165.68662939980254
2019-05-30,166.453685066335
2019-05-31,164.91960702805176
2019-06-01,164.91960702805176
2019-06-02,164.91960702805176
2019-06-03,164.1432275821296
2019-06-04,163.26396755615346
2019-06-05,169.45630403972308
2019-06-06,170.56940649017378
2019-06-07,173.6375205470781
2019-06-08,173.6375205470781
2019-06-09,173.6375205470781
2019-06-10,175.93860487664182
2019-06-11,183.37310948549487
2019-06-12,172.51617237388322
2019-06-13,170.13596493519765
2019-06-14,165.88346813979788
2019-06-15,165.88346813979788
2019-06-16,165.88346813979788
2019-06-17,166.32568962399907
2019-06-18,164.62278852821424
2019-06-19,170.9073942134169
2019-06-20,174.12496020518168
2019-06-21,171.87644787354947
2019-06-22,171.87644787354947
2019-06-23,171.87644787354947
2019-06-24,171.3119529465221
2019-06-25,170.50283724025607
2019-06-26,168.7529320657325
2019-06-27,172.06461146002715
2019-06-28,178.46212163096337
2019-06-29,178.46212163096337
2019-06-30,178.46212163096337
2019-07-01,183.0532434502537
2019-07-02,179.66636567495613
2019-07-03,176.29823006411323
2019-07-04,176.29823006411323
2019-07-05,172.33742408393485
2019-07-06,172.33742408393485
2019-07-07,172.33742408393485
2019-07-08,168.59298834792455
2019-07-09,169.43032253915953
2019-07-10,174.3789911835268
2019-07-11,174.74590633242937
2019-07-12,175.43270028166435
2019-07-13,175.43270028166435
2019-07-14,175.43270028166435
2019-07-15,180.97404265950826
2019-07-16,179.76041040089683
2019-07-17,179.1771013327495
2019-07-18,181.65142095635267
2019-07-19,188.43464667390015
2019-07-20,188.43464667390015
2019-07-21,188.43464667390015
2019-07-22,190.87137799743417
2019-07-23,195.31197941821256
2019-07-24,197.5699650091445
2019-07-25,201.03207639630438
2019-07-26,198.93407617715295
2019-07-27,198.93407617715295
2019-07-28,198.93407617715295
2019-07-29,197.86159349430554
2019-07-30,196.28100410004274
2019-07-31,198.22849480633997
2019-08-01,195.5848303543689
2019-08-02,192.2261773749361
2019-08-03,192.2261773749361
2019-08-04,192.2261773749361
2019-08-05,186.05438619213092
2019-08-06,185.55579523008797
2019-08-07,181.05871477376581
2019-08-08,189.11206349607824
2019-08-09,187.5408769723757
2019-08-10,187.5408769723757
2019-08-11,187.5408769723757
2019-08-12,182.8838795817479
2019-08-13,184.6902503436616
2019-08-14,187.55031917007025
2019-08-15,187.90781685452728
2019-08-16,187.15516728870784
2019-08-17,187.15516728870784
2019-08-18,187.15516728870784
2019-08-19,197.56994198286512
2019-08-20,195.88588277326116
2019-08-21,196.73262634551807
2019-08-22,195.8576578215354
2019-08-23,195.35901691247827
2019-08-24,195.35901691247827
2019-08-25,195.35901691247827
2019-08-26,192.22616851624016
2019-08-27,191.3888159812517
2019-08-28,187.84194118696382
2019-08-29,194.74753163410122
2019-08-30,198.86825743521996
2019-08-31,198.86825743521996
2019-09-01,198.86825743521996
2019-09-02,198.86825743521996
2019-09-03,198.51073489549012
2019-09-04,202.53738635138095
2019-09-05,213.72361759080528
2019-09-06,213.66717658621874
2019-09-07,213.66717658621874
2019-09-08,213.66717658621874
2019-09-09,216.12268130835264
2019-09-10,216.05678201756945
2019-09-11,218.43708504786596
2019-09-12,221.0901595198682
2019-09-13,222.62370774699346
2019-09-14,222.62370774699346
2019-09-15,222.62370774699346
2019-09-16,219.01100371221958
2019-09-17,220.32809355306594
2019-09-18,221.09955042905887
2019-09-19,224.66522943347422
2019-09-20,223.1693360898273
2019-09-21,223.1693360898273
2019-09-22,223.1693360898273
2019-09-23,221.09017012870504
2019-09-24,225.0415453247138
2019-09-25,219.19911732946278
2019-09-26,227.53470657716943
2019-09-27,224.67467188372325
2019-09-28,224.67467188372325
