,price
2019-02-19,149.17999267578125
2019-02-20,147.4499969482422
2019-02-21,147.47000122070312
2019-02-22,148.6999969482422
2019-02-23,148.6999969482422
2019-02-24,148.6999969482422
2019-02-25,150.1199951171875
2019-02-26,148.1999969482422
2019-02-27,150.0
2019-02-28,150.17999267578125
2019-03-01,152.55999755859375
2019-03-02,152.55999755859375
2019-03-03,152.55999755859375
2019-03-04,152.10000610351562
2019-03-05,148.07000732421875
2019-03-06,149.60000610351562
2019-03-07,148.3699951171875
2019-03-08,146.00999450683594
2019-03-09,146.00999450683594
2019-03-10,146.00999450683594
2019-03-11,143.0
2019-03-12,145.27999877929688
2019-03-13,146.14999389648438
2019-03-14,145.08999633789062
2019-03-15,145.22999572753906
2019-03-16,145.22999572753906
2019-03-17,145.22999572753906
2019-03-18,141.64999389648438
2019-03-19,144.66000366210938
2019-03-20,145.4199981689453
2019-03-21,144.63999938964844
2019-03-22,145.72999572753906
2019-03-23,145.72999572753906
2019-03-24,145.72999572753906
2019-03-25,142.91000366210938
2019-03-26,148.00999450683594
2019-03-27,144.32000732421875
2019-03-28,169.14999389648438
2019-03-29,165.91000366210938
2019-03-30,165.91000366210938
2019-03-31,165.91000366210938
2019-04-01,164.75999450683594
2019-04-02,165.61000061035156
2019-04-03,165.60000610351562
2019-04-04,166.27000427246094
2019-04-05,172.0399932861328
2019-04-06,172.0399932861328
2019-04-07,172.0399932861328
2019-04-08,168.77999877929688
2019-04-09,169.41000366210938
2019-04-10,168.3000030517578
2019-04-11,167.69000244140625
2019-04-12,168.5
2019-04-13,168.5
2019-04-14,168.5
2019-04-15,170.02000427246094
2019-04-16,173.0
2019-04-17,169.88999938964844
2019-04-18,171.74000549316406
2019-04-19,171.74000549316406
2019-04-20,171.74000549316406
2019-04-21,171.74000549316406
2019-04-22,173.1999969482422
2019-04-23,174.50999450683594
2019-04-24,177.7899932861328
2019-04-25,178.33999633789062
2019-04-26,177.75
2019-04-27,177.75
2019-04-28,177.75
2019-04-29,176.61000061035156
