,price
2019-02-19,116.16943682601051
2019-02-20,118.34235616241835
2019-02-21,122.68819947435992
2019-02-22,123.54771276424634
2019-02-23,123.54771276424634
2019-02-24,123.54771276424634
2019-02-25,125.24742252911568
2019-02-26,123.79880669695801
2019-02-27,123.27731522288678
2019-02-28,122.81451587411983
2019-03-01,121.58401550515005
2019-03-02,121.58401550515005
2019-03-03,121.58401550515005
2019-03-04,122.55290026170182
2019-03-05,120.14042082672367
2019-03-06,121.28367787961751
2019-03-07,121.23522979822921
2019-03-08,117.4178689236989
2019-03-09,117.4178689236989
2019-03-10,117.4178689236989
2019-03-11,117.09814739270568
2019-03-12,116.749352680434
2019-03-13,117.36943276027792
2019-03-14,116.26490568526368
2019-03-15,116.2842816305931
2019-03-16,116.2842816305931
2019-03-17,116.2842816305931
2019-03-18,121.09959116801431
2019-03-19,121.08022434628988
2019-03-20,121.48715136679154
2019-03-21,119.53001934192892
2019-03-22,120.49889641726973
2019-03-23,120.49889641726973
2019-03-24,120.49889641726973
2019-03-25,120.15010917987043
2019-03-26,119.06495211701947
2019-03-27,119.86912871643565
2019-03-28,118.47393427512418
2019-03-29,120.15010119575861
2019-03-30,120.15010119575861
2019-03-31,120.15010119575861
2019-04-01,122.31068760000691
2019-04-02,123.2698762559795
2019-04-03,125.42078064161427
2019-04-04,127.45542738715369
2019-04-05,128.44367011283902
2019-04-06,128.44367011283902
2019-04-07,128.44367011283902
2019-04-08,129.7128610932735
2019-04-09,129.95512391043468
2019-04-10,128.8505771078043
2019-04-11,129.26720013389954
2019-04-12,129.33502521923893
2019-04-13,129.33502521923893
2019-04-14,129.33502521923893
2019-04-15,130.31359572122508
2019-04-16,130.2166873586275
2019-04-17,132.02849463396848
2019-04-18,132.48390453130884
2019-04-19,132.48390453130884
2019-04-20,132.48390453130884
2019-04-21,132.48390453130884
2019-04-22,129.4900224970553
2019-04-23,132.03819274902344
2019-04-24,130.4686227662021
2019-04-25,130.72049388019735
2019-04-26,132.00913945012667
2019-04-27,132.00913945012667
2019-04-28,132.00913945012667
2019-04-29,132.2029095787341
2019-04-30,132.1059993617219
2019-05-01,133.51086802549386
2019-05-02,134.2375155344858
2019-05-03,133.5011701019267
2019-05-04,133.5011701019267
2019-05-05,133.5011701019267
2019-05-06,133.18145059668942
2019-05-07,131.92191653407033
2019-05-08,130.23608338938448
2019-05-09,129.76132800779786
2019-05-10,126.80627565605685
2019-05-11,126.80627565605685
2019-05-12,126.80627565605685
2019-05-13,125.44014098753063
2019-05-14,122.7369938335731
2019-05-15,124.78129879230197
2019-05-16,127.95922108145521
2019-05-17,128.0367371177829
2019-05-18,128.0367371177829
2019-05-19,128.0367371177829
2019-05-20,124.74255410539114
2019-05-21,124.70380661321217
2019-05-22,124.82006434680198
2019-05-23,122.51906036861276
2019-05-24,121.20612582130451
2019-05-25,121.20612582130451
2019-05-26,121.20612582130451
2019-05-27,121.20612582130451
2019-05-28,121.7118589479933
2019-05-29,119.90296116356238
