,price
2019-02-19,100.4000015258789
2019-02-20,100.0
2019-02-21,100.6500015258789
2019-02-22,103.72000122070312
2019-02-23,103.72000122070312
2019-02-24,103.72000122070312
2019-02-25,107.26000213623047
2019-02-26,107.23999786376953
2019-02-27,97.19000244140625
2019-02-28,100.47000122070312
2019-03-01,100.94000244140625
2019-03-02,100.94000244140625
2019-03-03,100.94000244140625
2019-03-04,105.69999694824219
2019-03-05,96.79000091552734
2019-03-06,101.3499984741211
2019-03-07,96.80000305175781
2019-03-08,96.98999786376953
2019-03-09,96.98999786376953
2019-03-10,96.98999786376953
2019-03-11,100.75
2019-03-12,104.58000183105469
2019-03-13,105.06999969482422
2019-03-14,126.94000244140625
2019-03-15,130.9199981689453
2019-03-16,130.9199981689453
2019-03-17,130.9199981689453
2019-03-18,132.32000732421875
2019-03-19,137.0
2019-03-20,138.4499969482422
2019-03-21,143.33999633789062
2019-03-22,153.25
2019-03-23,153.25
2019-03-24,153.25
2019-03-25,151.0
2019-03-26,152.6300048828125
2019-03-27,150.63999938964844
2019-03-28,146.3300018310547
2019-03-29,147.75
2019-03-30,147.75
2019-03-31,147.75
2019-04-01,148.75
2019-04-02,146.47000122070312
2019-04-03,145.6300048828125
2019-04-04,146.2899932861328
2019-04-05,140.6999969482422
2019-04-06,140.6999969482422
2019-04-07,140.6999969482422
2019-04-08,134.8300018310547
2019-04-09,131.72999572753906
2019-04-10,137.00999450683594
2019-04-11,143.9499969482422
2019-04-12,144.8300018310547
2019-04-13,144.8300018310547
2019-04-14,144.8300018310547
2019-04-15,142.8800048828125
2019-04-16,145.1300048828125
2019-04-17,139.14999389648438
2019-04-18,131.60000610351562
2019-04-19,131.60000610351562
2019-04-20,131.60000610351562
2019-04-21,131.60000610351562
2019-04-22,124.69000244140625
2019-04-23,131.39999389648438
2019-04-24,138.24000549316406
2019-04-25,136.8800048828125
2019-04-26,137.44000244140625
2019-04-27,137.44000244140625
2019-04-28,137.44000244140625
2019-04-29,139.75999450683594
2019-04-30,137.47000122070312
2019-05-01,141.27999877929688
2019-05-02,133.1199951171875
2019-05-03,133.10000610351562
2019-05-04,133.10000610351562
2019-05-05,133.10000610351562
2019-05-06,129.80999755859375
2019-05-07,134.8699951171875
2019-05-08,132.58999633789062
2019-05-09,131.0
2019-05-10,134.25
2019-05-11,134.25
2019-05-12,134.25
2019-05-13,131.8000030517578
2019-05-14,129.39999389648438
2019-05-15,134.3699951171875
2019-05-16,139.25
2019-05-17,144.4199981689453
2019-05-18,144.4199981689453
2019-05-19,144.4199981689453
2019-05-20,143.64999389648438
2019-05-21,147.2100067138672
2019-05-22,143.66000366210938
2019-05-23,141.0
2019-05-24,140.0
2019-05-25,140.0
2019-05-26,140.0
2019-05-27,140.0
2019-05-28,140.52999877929688
2019-05-29,139.89999389648438
2019-05-30,137.8300018310547
2019-05-31,137.75
2019-06-01,137.75
2019-06-02,137.75
2019-06-03,140.3000030517578
2019-06-04,134.57000732421875
2019-06-05,140.89999389648438
2019-06-06,145.9499969482422
2019-06-07,147.3300018310547
2019-06-08,147.3300018310547
2019-06-09,147.3300018310547
2019-06-10,172.26499938964844
2019-06-11,172.0
2019-06-12,163.6999969482422
2019-06-13,166.75
2019-06-14,166.75
2019-06-15,166.75
2019-06-16,166.75
2019-06-17,165.25
2019-06-18,169.0
2019-06-19,170.50999450683594
2019-06-20,176.8300018310547
2019-06-21,171.82000732421875
2019-06-22,171.82000732421875
2019-06-23,171.82000732421875
2019-06-24,170.22999572753906
2019-06-25,165.94000244140625
2019-06-26,160.5
2019-06-27,150.8800048828125
2019-06-28,151.91000366210938
2019-06-29,151.91000366210938
2019-06-30,151.91000366210938
2019-07-01,155.32000732421875
2019-07-02,145.6199951171875
2019-07-03,155.44000244140625
2019-07-04,155.44000244140625
2019-07-05,152.4199981689453
2019-07-06,152.4199981689453
2019-07-07,152.4199981689453
2019-07-08,154.94000244140625
2019-07-09,156.55999755859375
2019-07-10,159.0
2019-07-11,157.25999450683594
2019-07-12,157.24000549316406
2019-07-13,157.24000549316406
2019-07-14,157.24000549316406
2019-07-15,153.2899932861328
2019-07-16,153.0500030517578
2019-07-17,152.39999389648438
2019-07-18,159.77000427246094
2019-07-19,164.8800048828125
2019-07-20,164.8800048828125
2019-07-21,164.8800048828125
2019-07-22,164.38999938964844
2019-07-23,162.55999755859375
2019-07-24,155.1199951171875
2019-07-25,156.0
2019-07-26,156.72999572753906
2019-07-27,156.72999572753906
2019-07-28,156.72999572753906
2019-07-29,157.89999389648438
2019-07-30,144.00999450683594
2019-07-31,143.0
2019-08-01,142.92999267578125
2019-08-02,142.22999572753906
2019-08-03,142.22999572753906
2019-08-04,142.22999572753906
2019-08-05,135.8699951171875
2019-08-06,137.97999572753906
2019-08-07,135.77999877929688
2019-08-08,144.05999755859375
2019-08-09,148.77999877929688
2019-08-10,148.77999877929688
2019-08-11,148.77999877929688
2019-08-12,148.47000122070312
2019-08-13,142.02000427246094
2019-08-14,142.9199981689453
2019-08-15,142.6999969482422
2019-08-16,143.22999572753906
2019-08-17,143.22999572753906
2019-08-18,143.22999572753906
2019-08-19,146.6699981689453
2019-08-20,140.0
2019-08-21,141.9499969482422
2019-08-22,148.11000061035156
2019-08-23,141.97000122070312
2019-08-24,141.97000122070312
2019-08-25,141.97000122070312
2019-08-26,142.36000061035156
2019-08-27,153.0500030517578
2019-08-28,154.25999450683594
2019-08-29,150.5
2019-08-30,155.58999633789062
2019-08-31,155.58999633789062
2019-09-01,155.58999633789062
2019-09-02,155.58999633789062
2019-09-03,150.6999969482422
2019-09-04,152.97999572753906
2019-09-05,156.66000366210938
2019-09-06,149.66000366210938
2019-09-07,149.66000366210938
2019-09-08,149.66000366210938
2019-09-09,140.6199951171875
2019-09-10,127.43000030517578
2019-09-11,128.5800018310547
2019-09-12,133.0
2019-09-13,127.73999786376953
2019-09-14,127.73999786376953
2019-09-15,127.73999786376953
2019-09-16,121.29000091552734
2019-09-17,131.55999755859375
2019-09-18,136.05999755859375
2019-09-19,134.2100067138672
2019-09-20,133.00999450683594
2019-09-21,133.00999450683594
2019-09-22,133.00999450683594
2019-09-23,131.47000122070312
2019-09-24,132.05999755859375
2019-09-25,123.23999786376953
2019-09-26,124.88999938964844
2019-09-27,128.00999450683594
2019-09-28,128.00999450683594
2019-09-29,128.00999450683594
2019-09-30,117.56999969482422
2019-10-01,119.83000183105469
2019-10-02,116.52999877929688
2019-10-03,120.9800033569336
2019-10-04,130.1699981689453
2019-10-05,130.1699981689453
2019-10-06,130.1699981689453
2019-10-07,130.44000244140625
2019-10-08,135.38999938964844
2019-10-09,129.08999633789062
2019-10-10,132.64999389648438
2019-10-11,134.0
2019-10-12,134.0
2019-10-13,134.0
2019-10-14,136.1300048828125
2019-10-15,138.33999633789062
2019-10-16,130.6999969482422
2019-10-17,122.58999633789062
2019-10-18,120.44000244140625
2019-10-19,120.44000244140625
2019-10-20,120.44000244140625
2019-10-21,117.5
2019-10-22,119.05999755859375
2019-10-23,113.61000061035156
2019-10-24,118.3499984741211
2019-10-25,121.6500015258789
2019-10-26,121.6500015258789
2019-10-27,121.6500015258789
2019-10-28,126.16000366210938
2019-10-29,128.07000732421875
2019-10-30,134.0
2019-10-31,133.5399932861328
2019-11-01,127.01000213623047
2019-11-02,127.01000213623047
2019-11-03,127.01000213623047
2019-11-04,129.47999572753906
2019-11-05,127.58999633789062
2019-11-06,125.0
2019-11-07,125.51000213623047
2019-11-08,123.4800033569336
2019-11-09,123.4800033569336
2019-11-10,123.4800033569336
2019-11-11,125.75
2019-11-12,126.55999755859375
2019-11-13,128.75
2019-11-14,131.0
2019-11-15,132.6300048828125
2019-11-16,132.6300048828125
2019-11-17,132.6300048828125
2019-11-18,134.75
2019-11-19,137.9199981689453
2019-11-20,141.38999938964844
2019-11-21,147.75999450683594
2019-11-22,148.11000061035156
2019-11-23,148.11000061035156
2019-11-24,148.11000061035156
2019-11-25,148.22999572753906
2019-11-26,146.7100067138672
2019-11-27,149.0800018310547
2019-11-28,149.0800018310547
2019-11-29,149.57000732421875
2019-11-30,149.57000732421875
2019-12-01,149.57000732421875
2019-12-02,147.17999267578125
2019-12-03,132.5399932861328
2019-12-04,142.41000366210938
2019-12-05,136.63999938964844
2019-12-06,132.3000030517578
2019-12-07,132.3000030517578
2019-12-08,132.3000030517578
2019-12-09,130.5
2019-12-10,144.77000427246094
2019-12-11,128.55999755859375
2019-12-12,127.12999725341797
2019-12-13,124.97000122070312
2019-12-14,124.97000122070312
2019-12-15,124.97000122070312
2019-12-16,128.9199981689453
2019-12-17,133.22000122070312
2019-12-18,129.2899932861328
2019-12-19,130.60000610351562
2019-12-20,131.25
2019-12-21,131.25
2019-12-22,131.25
2019-12-23,130.75
2019-12-24,132.38999938964844
2019-12-25,132.38999938964844
2019-12-26,132.9199981689453
2019-12-27,135.52000427246094
2019-12-28,135.52000427246094
2019-12-29,135.52000427246094
2019-12-30,133.8800048828125
2019-12-31,127.91000366210938
2020-01-01,127.91000366210938
2020-01-02,130.17999267578125
2020-01-03,132.42999267578125
2020-01-04,132.42999267578125
2020-01-05,132.42999267578125
2020-01-06,132.8800048828125
2020-01-07,140.5
2020-01-08,138.89999389648438
2020-01-09,142.66000366210938
2020-01-10,149.3000030517578
2020-01-11,149.3000030517578
2020-01-12,149.3000030517578
2020-01-13,150.57000732421875
2020-01-14,154.5
2020-01-15,153.2899932861328
2020-01-16,153.25999450683594
2020-01-17,152.91000366210938
2020-01-18,152.91000366210938
2020-01-19,152.91000366210938
2020-01-20,152.91000366210938
2020-01-21,148.72999572753906
2020-01-22,149.7100067138672
2020-01-23,150.00999450683594
2020-01-24,150.0
2020-01-25,150.0
2020-01-26,150.0
2020-01-27,146.52000427246094
2020-01-28,150.22999572753906
2020-01-29,154.0
2020-01-30,157.27999877929688
2020-01-31,168.97000122070312
2020-02-01,168.97000122070312
2020-02-02,168.97000122070312
2020-02-03,163.4199981689453
2020-02-04,166.72999572753906
2020-02-05,173.8000030517578
2020-02-06,164.5399932861328
2020-02-07,164.39999389648438
2020-02-08,164.39999389648438
2020-02-09,164.39999389648438
2020-02-10,163.64999389648438
2020-02-11,166.83999633789062
2020-02-12,168.44000244140625
