,price
2019-02-19,42.65714839695959
2019-02-20,42.86300193752266
2019-02-21,42.880903560565095
2019-02-22,42.460231355475486
2019-02-23,42.460231355475486
2019-02-24,42.460231355475486
2019-02-25,42.71979929080034
2019-02-26,42.308085409981814
2019-02-27,42.388637789625804
2019-02-28,42.146981019647335
2019-03-01,42.23647580300105
2019-03-02,42.23647580300105
2019-03-03,42.23647580300105
2019-03-04,42.37968024549562
2019-03-05,42.08431413405489
2019-03-06,41.94111218006171
2019-03-07,42.030618604759
2019-03-08,41.60996455344029
2019-03-09,41.60996455344029
2019-03-10,41.60996455344029
2019-03-11,41.71736793313052
2019-03-12,42.1917334753152
2019-03-13,42.173823345885914
2019-03-14,42.37072801950314
2019-03-15,42.45128755871548
2019-03-16,42.45128755871548
2019-03-17,42.45128755871548
2019-03-18,42.80035326765811
2019-03-19,43.131503846015534
2019-03-20,43.158364441766004
2019-03-21,42.98829912972112
2019-03-22,43.66853649515152
2019-03-23,43.66853649515152
2019-03-24,43.66853649515152
2019-03-25,43.90124201982927
2019-03-26,44.35769632764556
2019-03-27,44.48300478109769
2019-03-28,44.141432100384584
2019-03-29,44.53732374218147
2019-03-30,44.53732374218147
2019-03-31,44.53732374218147
2019-04-01,44.969193731966875
2019-04-02,44.654292187349334
2019-04-03,44.51932672553982
2019-04-04,44.67228698730469
2019-04-05,44.681276867933086
2019-04-06,44.681276867933086
2019-04-07,44.681276867933086
2019-04-08,44.60030092733027
2019-04-09,44.50133393454604
2019-04-10,44.780255512262244
2019-04-11,44.843231517004696
2019-04-12,44.72625951651048
2019-04-13,44.72625951651048
2019-04-14,44.72625951651048
2019-04-15,44.906220000639955
2019-04-16,45.31109764226475
2019-04-17,45.33809263911806
2019-04-18,45.49105704008459
2019-04-19,45.49105704008459
2019-04-20,45.49105704008459
2019-04-21,45.49105704008459
2019-04-22,45.1041605272767
2019-04-23,45.140150281396046
2019-04-24,45.3110986451052
2019-04-25,44.91520822456928
2019-04-26,45.10415286941775
2019-04-27,45.10415286941775
2019-04-28,45.10415286941775
2019-04-29,44.915206059884625
2019-04-30,45.491049097346576
2019-05-01,46.78668454935305
2019-05-02,46.3368009806173
2019-05-03,46.46276764024354
2019-05-04,46.46276764024354
2019-05-05,46.46276764024354
2019-05-06,46.30982027796806
2019-05-07,46.192852194560594
2019-05-08,45.76097553226842
2019-05-09,45.76996286583282
2019-05-10,45.89594306866269
2019-05-11,45.89594306866269
2019-05-12,45.89594306866269
2019-05-13,46.16586359158199
2019-05-14,46.156860673392686
2019-05-15,46.354802390596056
2019-05-16,46.786682920552494
2019-05-17,47.30853807966548
2019-05-18,47.30853807966548
2019-05-19,47.30853807966548
2019-05-20,46.92163622124222
2019-05-21,47.119585199879914
2019-05-22,46.948629969270215
2019-05-23,46.64272432955135
2019-05-24,46.98462928242705
2019-05-25,46.98462928242705
2019-05-26,46.98462928242705
2019-05-27,46.98462928242705
2019-05-28,46.92163746411145
2019-05-29,45.859948937778135
2019-05-30,46.14786038780017
2019-05-31,45.967912227007496
2019-06-01,45.967912227007496
2019-06-02,45.967912227007496
2019-06-03,45.868939780766254
2019-06-04,46.57973159642787
2019-06-05,47.01160910261442
2019-06-06,47.70441382259331
