,price
2019-02-19,362.6099853515625
2019-02-20,367.3500061035156
2019-02-21,367.0
2019-02-22,367.1700134277344
2019-02-23,367.1700134277344
2019-02-24,367.1700134277344
2019-02-25,375.2300109863281
2019-02-26,372.0
2019-02-27,408.0
2019-02-28,444.17999267578125
2019-03-01,461.75
2019-03-02,461.75
2019-03-03,461.75
2019-03-04,455.8800048828125
2019-03-05,469.7099914550781
2019-03-06,466.6000061035156
2019-03-07,460.0
2019-03-08,436.45001220703125
2019-03-09,436.45001220703125
2019-03-10,436.45001220703125
2019-03-11,455.2300109863281
2019-03-12,481.489990234375
2019-03-13,489.6000061035156
2019-03-14,503.3599853515625
2019-03-15,486.30999755859375
2019-03-16,486.30999755859375
2019-03-17,486.30999755859375
2019-03-18,490.0
2019-03-19,483.29998779296875
2019-03-20,484.8599853515625
2019-03-21,496.25
2019-03-22,499.2799987792969
2019-03-23,499.2799987792969
2019-03-24,499.2799987792969
2019-03-25,497.20001220703125
2019-03-26,497.32000732421875
2019-03-27,490.010009765625
2019-03-28,497.1600036621094
2019-03-29,503.1099853515625
2019-03-30,503.1099853515625
2019-03-31,503.1099853515625
2019-04-01,516.280029296875
2019-04-02,517.02001953125
2019-04-03,522.5499877929688
2019-04-04,508.54998779296875
2019-04-05,511.70001220703125
2019-04-06,511.70001220703125
2019-04-07,511.70001220703125
2019-04-08,503.8399963378906
2019-04-09,500.739990234375
2019-04-10,507.1199951171875
2019-04-11,507.0
2019-04-12,505.4599914550781
2019-04-13,505.4599914550781
2019-04-14,505.4599914550781
2019-04-15,503.0299987792969
2019-04-16,515.0499877929688
2019-04-17,499.32000732421875
2019-04-18,490.239990234375
2019-04-19,490.239990234375
2019-04-20,490.239990234375
2019-04-21,490.239990234375
2019-04-22,490.79998779296875
2019-04-23,480.54998779296875
2019-04-24,503.3399963378906
2019-04-25,486.0299987792969
2019-04-26,491.19000244140625
2019-04-27,491.19000244140625
2019-04-28,491.19000244140625
2019-04-29,489.6700134277344
2019-04-30,491.57000732421875
2019-05-01,487.7799987792969
2019-05-02,484.3500061035156
2019-05-03,541.8499755859375
2019-05-04,541.8499755859375
2019-05-05,541.8499755859375
2019-05-06,565.5800170898438
2019-05-07,557.9099731445312
2019-05-08,536.2899780273438
2019-05-09,529.47998046875
2019-05-10,542.7000122070312
2019-05-11,542.7000122070312
2019-05-12,542.7000122070312
2019-05-13,540.02001953125
2019-05-14,551.239990234375
2019-05-15,558.239990234375
2019-05-16,573.5700073242188
2019-05-17,585.010009765625
2019-05-18,585.010009765625
2019-05-19,585.010009765625
2019-05-20,572.989990234375
2019-05-21,578.3400268554688
2019-05-22,565.8499755859375
2019-05-23,563.1099853515625
2019-05-24,584.4400024414062
2019-05-25,584.4400024414062
2019-05-26,584.4400024414062
2019-05-27,584.4400024414062
2019-05-28,596.0
2019-05-29,595.0
2019-05-30,576.6199951171875
2019-05-31,566.5599975585938
2019-06-01,566.5599975585938
2019-06-02,566.5599975585938
2019-06-03,567.5900268554688
2019-06-04,568.0
2019-06-05,564.219970703125
2019-06-06,569.1400146484375
2019-06-07,582.0
2019-06-08,582.0
2019-06-09,582.0
2019-06-10,625.8900146484375
2019-06-11,628.0599975585938
2019-06-12,608.3300170898438
2019-06-13,630.0
2019-06-14,632.8699951171875
2019-06-15,632.8699951171875
2019-06-16,632.8699951171875
2019-06-17,620.9299926757812
2019-06-18,626.719970703125
2019-06-19,623.4199829101562
2019-06-20,659.3599853515625
2019-06-21,635.9199829101562
2019-06-22,635.9199829101562
2019-06-23,635.9199829101562
2019-06-24,633.8800048828125
2019-06-25,623.4299926757812
2019-06-26,625.3200073242188
2019-06-27,608.8300170898438
2019-06-28,613.1199951171875
2019-06-29,613.1199951171875
2019-06-30,613.1199951171875
2019-07-01,627.1900024414062
2019-07-02,616.0
2019-07-03,630.97998046875
2019-07-04,630.97998046875
2019-07-05,628.0
2019-07-06,628.0
2019-07-07,628.0
2019-07-08,635.7100219726562
2019-07-09,626.8300170898438
2019-07-10,646.0
2019-07-11,632.2100219726562
2019-07-12,633.8499755859375
2019-07-13,633.8499755859375
2019-07-14,633.8499755859375
2019-07-15,649.25
2019-07-16,649.780029296875
2019-07-17,632.9500122070312
2019-07-18,630.1300048828125
2019-07-19,652.989990234375
2019-07-20,652.989990234375
2019-07-21,652.989990234375
2019-07-22,631.4000244140625
2019-07-23,638.5900268554688
2019-07-24,631.3400268554688
2019-07-25,662.4600219726562
2019-07-26,650.0
2019-07-27,650.0
2019-07-28,650.0
2019-07-29,656.1300048828125
2019-07-30,646.72998046875
2019-07-31,636.9000244140625
2019-08-01,624.530029296875
2019-08-02,622.6300048828125
2019-08-03,622.6300048828125
2019-08-04,622.6300048828125
2019-08-05,598.52001953125
2019-08-06,588.530029296875
2019-08-07,596.97998046875
2019-08-08,645.0
2019-08-09,682.6900024414062
2019-08-10,682.6900024414062
2019-08-11,682.6900024414062
2019-08-12,612.5599975585938
2019-08-13,644.8900146484375
2019-08-14,620.989990234375
2019-08-15,620.989990234375
2019-08-16,623.0
2019-08-17,623.0
2019-08-18,623.0
2019-08-19,637.4400024414062
2019-08-20,603.3599853515625
2019-08-21,622.52001953125
2019-08-22,626.0599975585938
2019-08-23,613.8900146484375
2019-08-24,613.8900146484375
2019-08-25,613.8900146484375
2019-08-26,605.969970703125
2019-08-27,609.75
2019-08-28,593.4099731445312
2019-08-29,590.7899780273438
2019-08-30,602.4000244140625
2019-08-31,602.4000244140625
2019-09-01,602.4000244140625
2019-09-02,602.4000244140625
2019-09-03,587.1900024414062
2019-09-04,586.0
2019-09-05,602.02001953125
2019-09-06,605.3599853515625
2019-09-07,605.3599853515625
2019-09-08,605.3599853515625
2019-09-09,608.4000244140625
2019-09-10,550.0
2019-09-11,551.0499877929688
2019-09-12,568.4400024414062
2019-09-13,571.010009765625
2019-09-14,571.010009765625
2019-09-15,571.010009765625
2019-09-16,557.5499877929688
2019-09-17,553.1199951171875
2019-09-18,548.280029296875
2019-09-19,542.5
2019-09-20,549.0
2019-09-21,549.0
2019-09-22,549.0
2019-09-23,544.3099975585938
2019-09-24,542.5399780273438
2019-09-25,534.530029296875
2019-09-26,552.239990234375
2019-09-27,554.8300170898438
2019-09-28,554.8300170898438
2019-09-29,554.8300170898438
2019-09-30,545.8400268554688
2019-10-01,550.5499877929688
2019-10-02,551.4500122070312
2019-10-03,542.8800048828125
2019-10-04,560.5599975585938
2019-10-05,560.5599975585938
2019-10-06,560.5599975585938
2019-10-07,556.1199951171875
2019-10-08,544.2999877929688
2019-10-09,530.0
2019-10-10,530.0
2019-10-11,552.4500122070312
2019-10-12,552.4500122070312
2019-10-13,552.4500122070312
2019-10-14,552.97998046875
2019-10-15,559.77001953125
2019-10-16,567.0599975585938
2019-10-17,555.4500122070312
2019-10-18,549.9099731445312
2019-10-19,549.9099731445312
2019-10-20,549.9099731445312
2019-10-21,537.0999755859375
2019-10-22,545.489990234375
2019-10-23,533.9600219726562
2019-10-24,545.47998046875
2019-10-25,550.0
2019-10-26,550.0
2019-10-27,550.0
2019-10-28,554.0
2019-10-29,536.9000244140625
2019-10-30,542.010009765625
2019-10-31,551.3800048828125
2019-11-01,520.0999755859375
2019-11-02,520.0999755859375
2019-11-03,520.0999755859375
2019-11-04,498.8399963378906
2019-11-05,485.4100036621094
2019-11-06,485.1000061035156
2019-11-07,487.45001220703125
2019-11-08,490.5199890136719
2019-11-09,490.5199890136719
2019-11-10,490.5199890136719
2019-11-11,491.4200134277344
2019-11-12,498.1300048828125
2019-11-13,499.0
2019-11-14,512.8599853515625
2019-11-15,541.0999755859375
2019-11-16,541.0999755859375
2019-11-17,541.0999755859375
2019-11-18,550.1099853515625
2019-11-19,533.2999877929688
2019-11-20,535.0
2019-11-21,548.6199951171875
2019-11-22,564.6300048828125
2019-11-23,564.6300048828125
2019-11-24,564.6300048828125
2019-11-25,567.22998046875
2019-11-26,582.0499877929688
2019-11-27,586.25
2019-11-28,586.25
2019-11-29,590.7899780273438
2019-11-30,590.7899780273438
2019-12-01,590.7899780273438
2019-12-02,579.8699951171875
2019-12-03,570.4299926757812
2019-12-04,580.77001953125
2019-12-05,575.0
2019-12-06,584.4299926757812
2019-12-07,584.4299926757812
2019-12-08,584.4299926757812
2019-12-09,584.75
2019-12-10,583.4400024414062
2019-12-11,589.0
2019-12-12,582.9600219726562
2019-12-13,583.0499877929688
2019-12-14,583.0499877929688
2019-12-15,583.0499877929688
2019-12-16,571.0
2019-12-17,584.8499755859375
2019-12-18,586.6599731445312
2019-12-19,581.9299926757812
2019-12-20,582.8699951171875
2019-12-21,582.8699951171875
2019-12-22,582.8699951171875
2019-12-23,595.0700073242188
2019-12-24,594.1500244140625
2019-12-25,594.1500244140625
2019-12-26,595.0
2019-12-27,598.9000244140625
2019-12-28,598.9000244140625
2019-12-29,598.9000244140625
2019-12-30,603.0900268554688
2019-12-31,582.7899780273438
2020-01-01,582.7899780273438
2020-01-02,576.9400024414062
2020-01-03,602.6199951171875
2020-01-04,602.6199951171875
2020-01-05,602.6199951171875
2020-01-06,601.0399780273438
2020-01-07,606.6400146484375
2020-01-08,625.0
2020-01-09,643.4299926757812
2020-01-10,653.7899780273438
2020-01-11,653.7899780273438
2020-01-12,653.7899780273438
2020-01-13,670.4400024414062
2020-01-14,690.0
2020-01-15,653.4000244140625
2020-01-16,665.8300170898438
2020-01-17,671.489990234375
2020-01-18,671.489990234375
2020-01-19,671.489990234375
2020-01-20,671.489990234375
2020-01-21,665.0
2020-01-22,667.4600219726562
2020-01-23,660.9299926757812
2020-01-24,666.4000244140625
2020-01-25,666.4000244140625
2020-01-26,666.4000244140625
2020-01-27,647.0
2020-01-28,661.219970703125
2020-01-29,678.989990234375
2020-01-30,663.2999877929688
2020-01-31,670.989990234375
2020-02-01,670.989990234375
2020-02-02,670.989990234375
2020-02-03,667.0
2020-02-04,691.4400024414062
2020-02-05,725.1900024414062
2020-02-06,689.4000244140625
2020-02-07,671.0
2020-02-08,671.0
2020-02-09,671.0
2020-02-10,647.0999755859375
2020-02-11,633.3099975585938
2020-02-12,656.8800048828125
2020-02-13,697.8699951171875
2020-02-14,720.8699951171875
2020-02-15,720.8699951171875
2020-02-16,720.8699951171875
2020-02-17,720.8699951171875
2020-02-18,734.3800048828125
2020-02-19,733.760009765625
2020-02-20,742.7899780273438
2020-02-21,739.8800048828125
2020-02-22,739.8800048828125
2020-02-23,739.8800048828125
2020-02-24,701.010009765625
2020-02-25,698.6400146484375
2020-02-26,635.9400024414062
2020-02-27,614.8599853515625
2020-02-28,577.030029296875
2020-02-29,577.030029296875
2020-03-01,577.030029296875
2020-03-02,621.239990234375
2020-03-03,649.989990234375
2020-03-04,647.5999755859375
2020-03-05,629.25
2020-03-06,600.0
2020-03-07,600.0
2020-03-08,600.0
2020-03-09,547.3599853515625
2020-03-10,566.3499755859375
2020-03-11,578.010009765625
2020-03-12,496.2200012207031
2020-03-13,534.4299926757812
2020-03-14,534.4299926757812
2020-03-15,534.4299926757812
2020-03-16,455.0
2020-03-17,472.0799865722656
2020-03-18,455.0
2020-03-19,450.0
2020-03-20,472.8800048828125
2020-03-21,472.8800048828125
