,price
2019-02-19,160.5
2019-02-20,162.25
2019-02-21,161.92999267578125
2019-02-22,160.5800018310547
2019-02-23,160.5800018310547
2019-02-24,160.5800018310547
2019-02-25,163.07000732421875
2019-02-26,164.33999633789062
2019-02-27,162.89999389648438
2019-02-28,162.3699951171875
2019-03-01,162.60000610351562
2019-03-02,162.60000610351562
2019-03-03,162.60000610351562
2019-03-04,163.89999389648438
2019-03-05,167.3699951171875
2019-03-06,172.89999389648438
2019-03-07,171.5
2019-03-08,166.1999969482422
2019-03-09,166.1999969482422
2019-03-10,166.1999969482422
2019-03-11,171.60000610351562
2019-03-12,172.08999633789062
2019-03-13,172.32000732421875
2019-03-14,169.75999450683594
2019-03-15,167.16000366210938
2019-03-16,167.16000366210938
2019-03-17,167.16000366210938
2019-03-18,163.57000732421875
2019-03-19,161.47999572753906
2019-03-20,161.5
2019-03-21,164.88999938964844
2019-03-22,165.64999389648438
2019-03-23,165.64999389648438
2019-03-24,165.64999389648438
2019-03-25,163.0
2019-03-26,167.35000610351562
2019-03-27,167.85000610351562
2019-03-28,164.57000732421875
2019-03-29,166.38999938964844
2019-03-30,166.38999938964844
2019-03-31,166.38999938964844
2019-04-01,167.8300018310547
2019-04-02,170.13999938964844
2019-04-03,174.5
2019-04-04,176.02000427246094
2019-04-05,176.8800048828125
2019-04-06,176.8800048828125
2019-04-07,176.8800048828125
2019-04-08,175.2100067138672
2019-04-09,175.6199951171875
2019-04-10,178.17999267578125
2019-04-11,178.24000549316406
2019-04-12,178.0
2019-04-13,178.0
2019-04-14,178.0
2019-04-15,178.5
2019-04-16,179.0
2019-04-17,179.60000610351562
2019-04-18,178.8000030517578
2019-04-19,178.8000030517578
2019-04-20,178.8000030517578
2019-04-21,178.8000030517578
2019-04-22,178.25
2019-04-23,182.74000549316406
2019-04-24,184.49000549316406
2019-04-25,196.97999572753906
2019-04-26,192.5
2019-04-27,192.5
2019-04-28,192.5
2019-04-29,190.9499969482422
2019-04-30,194.19000244140625
2019-05-01,194.77999877929688
2019-05-02,193.0
2019-05-03,194.3800048828125
2019-05-04,194.3800048828125
2019-05-05,194.3800048828125
2019-05-06,191.24000549316406
2019-05-07,192.5399932861328
2019-05-08,189.38999938964844
2019-05-09,187.1999969482422
2019-05-10,188.25
2019-05-11,188.25
2019-05-12,188.25
2019-05-13,183.5
2019-05-14,182.52000427246094
2019-05-15,180.4199981689453
2019-05-16,185.0500030517578
2019-05-17,184.83999633789062
2019-05-18,184.83999633789062
2019-05-19,184.83999633789062
2019-05-20,181.8800048828125
2019-05-21,184.57000732421875
2019-05-22,184.72999572753906
2019-05-23,182.4199981689453
2019-05-24,182.3300018310547
2019-05-25,182.3300018310547
2019-05-26,182.3300018310547
2019-05-27,182.3300018310547
2019-05-28,181.5399932861328
2019-05-29,183.5
2019-05-30,183.0800018310547
2019-05-31,180.27999877929688
2019-06-01,180.27999877929688
2019-06-02,180.27999877929688
2019-06-03,175.0
2019-06-04,163.7100067138672
2019-06-05,167.47999572753906
2019-06-06,168.3000030517578
2019-06-07,170.1699981689453
2019-06-08,170.1699981689453
2019-06-09,170.1699981689453
2019-06-10,174.75
2019-06-11,178.47999572753906
2019-06-12,178.3800048828125
2019-06-13,175.52999877929688
2019-06-14,180.50999450683594
2019-06-15,180.50999450683594
2019-06-16,180.50999450683594
2019-06-17,185.00999450683594
2019-06-18,194.0
2019-06-19,187.0
2019-06-20,190.9499969482422
2019-06-21,188.75
2019-06-22,188.75
2019-06-23,188.75
2019-06-24,192.4199981689453
2019-06-25,192.8800048828125
2019-06-26,189.5399932861328
2019-06-27,189.8800048828125
2019-06-28,190.5500030517578
2019-06-29,190.5500030517578
2019-06-30,190.5500030517578
2019-07-01,195.2100067138672
2019-07-02,193.0
2019-07-03,194.16000366210938
2019-07-04,194.16000366210938
2019-07-05,196.17999267578125
2019-07-06,196.17999267578125
2019-07-07,196.17999267578125
2019-07-08,195.19000244140625
2019-07-09,194.97000122070312
2019-07-10,200.0
2019-07-11,203.25999450683594
2019-07-12,199.67999267578125
2019-07-13,199.67999267578125
2019-07-14,199.67999267578125
2019-07-15,204.25
2019-07-16,203.88999938964844
2019-07-17,204.17999267578125
2019-07-18,200.14999389648438
2019-07-19,202.17999267578125
2019-07-20,202.17999267578125
2019-07-21,202.17999267578125
2019-07-22,199.91000366210938
2019-07-23,202.83999633789062
2019-07-24,197.6300048828125
2019-07-25,206.6999969482422
2019-07-26,200.19000244140625
2019-07-27,200.19000244140625
2019-07-28,200.19000244140625
2019-07-29,199.0
2019-07-30,195.38999938964844
2019-07-31,196.9499969482422
2019-08-01,194.1699981689453
2019-08-02,191.10000610351562
2019-08-03,191.10000610351562
2019-08-04,191.10000610351562
2019-08-05,184.69000244140625
2019-08-06,183.69000244140625
2019-08-07,183.60000610351562
2019-08-08,186.6199951171875
2019-08-09,190.0
2019-08-10,190.0
2019-08-11,190.0
2019-08-12,186.85000610351562
2019-08-13,185.52000427246094
2019-08-14,185.8000030517578
2019-08-15,180.9499969482422
2019-08-16,183.75
2019-08-17,183.75
2019-08-18,183.75
2019-08-19,186.00999450683594
2019-08-20,185.4499969482422
2019-08-21,185.0
2019-08-22,183.42999267578125
2019-08-23,180.83999633789062
2019-08-24,180.83999633789062
2019-08-25,180.83999633789062
2019-08-26,179.39999389648438
2019-08-27,181.92999267578125
2019-08-28,180.52999877929688
2019-08-29,183.77000427246094
2019-08-30,186.77999877929688
2019-08-31,186.77999877929688
2019-09-01,186.77999877929688
2019-09-02,186.77999877929688
2019-09-03,184.0
2019-09-04,184.64999389648438
2019-09-05,188.52999877929688
2019-09-06,190.2100067138672
2019-09-07,190.2100067138672
2019-09-08,190.2100067138672
2019-09-09,187.72999572753906
2019-09-10,187.44000244140625
2019-09-11,186.4600067138672
2019-09-12,189.86000061035156
2019-09-13,187.3300018310547
2019-09-14,187.3300018310547
2019-09-15,187.3300018310547
2019-09-16,186.92999267578125
2019-09-17,186.66000366210938
2019-09-18,188.08999633789062
2019-09-19,188.66000366210938
2019-09-20,190.66000366210938
2019-09-21,190.66000366210938
2019-09-22,190.66000366210938
2019-09-23,189.33999633789062
2019-09-24,187.97999572753906
2019-09-25,181.4499969482422
2019-09-26,181.3300018310547
2019-09-27,180.49000549316406
2019-09-28,180.49000549316406
2019-09-29,180.49000549316406
2019-09-30,177.8699951171875
2019-10-01,179.14999389648438
