,price
2019-02-19,29.25
2019-02-20,29.190000534057617
2019-02-21,29.229999542236328
2019-02-22,29.399999618530273
2019-02-23,29.399999618530273
2019-02-24,29.399999618530273
2019-02-25,29.540000915527344
2019-02-26,29.30500030517578
2019-02-27,29.165000915527344
2019-02-28,31.610000610351562
2019-03-01,32.185001373291016
2019-03-02,32.185001373291016
2019-03-03,32.185001373291016
2019-03-04,32.3849983215332
2019-03-05,32.25
2019-03-06,31.364999771118164
2019-03-07,31.0
2019-03-08,30.614999771118164
2019-03-09,30.614999771118164
2019-03-10,30.614999771118164
2019-03-11,30.25
2019-03-12,30.3700008392334
2019-03-13,30.05500030517578
2019-03-14,29.850000381469727
2019-03-15,30.0
2019-03-16,30.0
2019-03-17,30.0
2019-03-18,30.165000915527344
2019-03-19,29.440000534057617
2019-03-20,28.415000915527344
2019-03-21,28.325000762939453
2019-03-22,27.104999542236328
2019-03-23,27.104999542236328
2019-03-24,27.104999542236328
2019-03-25,26.760000228881836
2019-03-26,27.364999771118164
2019-03-27,27.71500015258789
2019-03-28,27.395000457763672
2019-03-29,27.274999618530273
2019-03-30,27.274999618530273
2019-03-31,27.274999618530273
2019-04-01,27.190000534057617
2019-04-02,26.4950008392334
2019-04-03,26.75
2019-04-04,26.3799991607666
2019-04-05,26.614999771118164
2019-04-06,26.614999771118164
2019-04-07,26.614999771118164
2019-04-08,26.53499984741211
2019-04-09,26.514999389648438
2019-04-10,27.350000381469727
2019-04-11,27.584999084472656
2019-04-12,27.375
2019-04-13,27.375
2019-04-14,27.375
2019-04-15,26.5
2019-04-16,27.045000076293945
2019-04-17,27.18000030517578
2019-04-18,27.614999771118164
2019-04-19,27.614999771118164
2019-04-20,27.614999771118164
2019-04-21,27.614999771118164
2019-04-22,27.520000457763672
2019-04-23,27.4950008392334
2019-04-24,28.19499969482422
2019-04-25,28.1299991607666
2019-04-26,29.165000915527344
2019-04-27,29.165000915527344
2019-04-28,29.165000915527344
2019-04-29,29.729999542236328
2019-04-30,29.59000015258789
2019-05-01,29.739999771118164
2019-05-02,28.9950008392334
