,price
2019-02-19,102.1681496699618
2019-02-20,102.67108945257544
2019-02-21,101.75729358024294
2019-02-22,104.75576854977588
2019-02-23,104.75576854977588
2019-02-24,104.75576854977588
2019-02-25,106.38347636645146
2019-02-26,105.90754782918033
2019-02-27,106.31686129258588
2019-02-28,106.6500162569412
2019-03-01,107.45913693740816
2019-03-02,107.45913693740816
2019-03-03,107.45913693740816
2019-03-04,107.58286130302332
2019-03-05,106.84989859120529
2019-03-06,106.48818445292727
2019-03-07,106.04081244488265
2019-03-08,103.90857317435211
2019-03-09,103.90857317435211
2019-03-10,103.90857317435211
2019-03-11,105.65051497414471
2019-03-12,107.39249020449017
2019-03-13,108.6394735393272
2019-03-14,109.02976416516636
2019-03-15,109.79126902015368
2019-03-16,109.79126902015368
2019-03-17,109.79126902015368
2019-03-18,110.58134296751076
2019-03-19,112.40896288383814
2019-03-20,111.74263540086488
2019-03-21,111.5046703409277
2019-03-22,113.75115535949797
2019-03-23,113.75115535949797
2019-03-24,113.75115535949797
2019-03-25,110.95255417285686
2019-03-26,112.9134677868574
2019-03-27,112.2090669032068
2019-03-28,111.79023088673063
2019-03-29,112.38993297009415
2019-03-30,112.38993297009415
2019-03-31,112.38993297009415
2019-04-01,113.22759542415217
2019-04-02,113.33231165170659
2019-04-03,114.09382335976494
2019-04-04,114.32226479089583
2019-04-05,113.64645209671902
2019-04-06,113.64645209671902
2019-04-07,113.64645209671902
2019-04-08,114.04620885244248
2019-04-09,112.92296329031778
2019-04-10,113.99862972510975
2019-04-11,114.74110287863618
2019-04-12,114.83629386583354
2019-04-13,114.83629386583354
2019-04-14,114.83629386583354
2019-04-15,115.1218613914895
2019-04-16,115.78817851553076
2019-04-17,115.40742449469032
2019-04-18,116.31172617129552
2019-04-19,116.31172617129552
2019-04-20,116.31172617129552
2019-04-21,116.31172617129552
2019-04-22,116.72103387357586
2019-04-23,118.12984070713271
2019-04-24,119.73850738625126
2019-04-25,123.80311516199102
2019-04-26,123.46041166210672
2019-04-27,123.46041166210672
2019-04-28,123.46041166210672
2019-04-29,123.65080521524067
2019-04-30,123.56513563021224
2019-05-01,124.25049754974144
2019-05-02,121.82320523076726
2019-05-03,121.23299826198433
2019-05-04,121.23299826198433
2019-05-05,121.23299826198433
2019-05-06,120.30968280358796
2019-05-07,120.3762950306284
2019-05-08,119.40539082948418
2019-05-09,118.31068231866823
2019-05-10,118.9008812396021
2019-05-11,118.9008812396021
2019-05-12,118.9008812396021
2019-05-13,118.13936431731044
2019-05-14,117.91090237162233
2019-05-15,118.71997783663986
2019-05-16,121.09896306977551
2019-05-17,122.58939023792415
2019-05-18,122.58939023792415
2019-05-19,122.58939023792415
