,price
2019-02-19,40.99427975859181
2019-02-20,41.5939534813367
2019-02-21,41.751246254623815
2019-02-22,41.36784316170779
2019-02-23,41.36784316170779
2019-02-24,41.36784316170779
2019-02-25,43.06856656343709
2019-02-26,41.63327880401226
2019-02-27,41.8987067812616
2019-02-28,39.519660260311134
2019-03-01,40.93529825094481
2019-03-02,40.93529825094481
2019-03-03,40.93529825094481
2019-03-04,41.171226750506015
2019-03-05,39.56881915330895
2019-03-06,38.71353946181711
2019-03-07,36.90468435378715
2019-03-08,36.26568287131474
2019-03-09,36.26568287131474
2019-03-10,36.26568287131474
2019-03-11,38.251496774193114
2019-03-12,38.50709124317001
2019-03-13,38.73320858063621
2019-03-14,38.08436945560457
2019-03-15,37.927085808497026
2019-03-16,37.927085808497026
2019-03-17,37.927085808497026
2019-03-18,38.92981862652211
2019-03-19,39.254226910988315
2019-03-20,39.81458475742832
2019-03-21,40.994279875032035
2019-03-22,42.734323558286064
2019-03-23,42.734323558286064
2019-03-24,42.734323558286064
2019-03-25,40.64037399787051
2019-03-26,40.473247593527304
2019-03-27,39.69662122238761
2019-03-28,38.73320314520401
2019-03-29,39.56881861701401
2019-03-30,39.56881861701401
2019-03-31,39.56881861701401
2019-04-01,41.55463130379367
2019-04-02,41.36784788835207
2019-04-03,42.812968346928415
2019-04-04,41.643113361016304
2019-04-05,42.567194869798236
2019-04-06,42.567194869798236
2019-04-07,42.567194869798236
2019-04-08,41.46615697575772
2019-04-09,41.82006495073685
2019-04-10,40.98444181720042
2019-04-11,41.48581660805303
2019-04-12,42.12481058682409
2019-04-13,42.12481058682409
2019-04-14,42.12481058682409
2019-04-15,41.45632264605002
2019-04-16,41.54480068107969
2019-04-17,42.62618770105919
2019-04-18,42.46888848454572
2019-04-19,42.46888848454572
2019-04-20,42.46888848454572
2019-04-21,42.46888848454572
2019-04-22,42.4099025681982
2019-04-23,42.63601349754155
2019-04-24,42.095324146959776
2019-04-25,42.881779698830655
2019-04-26,40.78783127389527
2019-04-27,40.78783127389527
2019-04-28,40.78783127389527
2019-04-29,41.41700847397772
2019-04-30,41.15157050207979
2019-05-01,41.71192427664799
2019-05-02,41.28920145822535
2019-05-03,41.770914501883794
2019-05-04,41.770914501883794
2019-05-05,41.770914501883794
2019-05-06,40.69936216477798
2019-05-07,40.974613869551135
2019-05-08,39.18541329172616
2019-05-09,38.438278991416055
2019-05-10,38.349797999955086
2019-05-11,38.349797999955086
2019-05-12,38.349797999955086
2019-05-13,36.72772495968003
2019-05-14,37.37655965831087
2019-05-15,37.25858538828732
2019-05-16,37.04231074478673
2019-05-17,35.99042109156794
2019-05-18,35.99042109156794
2019-05-19,35.99042109156794
2019-05-20,34.161896715580816
2019-05-21,34.69276332851836
2019-05-22,34.60428566672767
2019-05-23,33.31645374035219
2019-05-24,33.581883107692086
2019-05-25,33.581883107692086
2019-05-26,33.581883107692086
2019-05-27,33.581883107692086
2019-05-28,33.572055320873154
2019-05-29,31.773023142557758
2019-05-30,32.86423868630709
2019-05-31,32.048280236798384
2019-06-01,32.048280236798384
2019-06-02,32.048280236798384
2019-06-03,32.39235878732897
2019-06-04,32.79541875176424
2019-06-05,34.60428700976053
2019-06-06,32.697111792444154
2019-06-07,32.98220844104667
2019-06-08,32.98220844104667
2019-06-09,32.98220844104667
2019-06-10,34.01443255508286
2019-06-11,35.19413390112069
2019-06-12,33.434420438333255
2019-06-13,32.52016045855444
2019-06-14,31.90081660001291
2019-06-15,31.90081660001291
2019-06-16,31.90081660001291
2019-06-17,31.98929971563021
2019-06-18,32.34320720067454
2019-06-19,34.102911540087135
2019-06-20,34.250369303214235
2019-06-21,33.12967145388694
2019-06-22,33.12967145388694
2019-06-23,33.12967145388694
2019-06-24,32.63813257581035
2019-06-25,32.78558559212079
2019-06-26,35.26294575409157
2019-06-27,36.22635466641755
2019-06-28,38.693877806311384
2019-06-29,38.693877806311384
2019-06-30,38.693877806311384
2019-07-01,40.4634159279874
2019-07-02,38.94947917431946
2019-07-03,38.949477810670544
2019-07-04,38.949477810670544
2019-07-05,38.29081777073922
2019-07-06,38.29081777073922
2019-07-07,38.29081777073922
2019-07-08,38.36945867903542
