,price
2019-02-19,355.79998779296875
2019-02-20,364.8500061035156
2019-02-21,360.0299987792969
2019-02-22,360.3399963378906
2019-02-23,360.3399963378906
2019-02-24,360.3399963378906
2019-02-25,367.010009765625
2019-02-26,362.9800109863281
2019-02-27,363.5
2019-02-28,362.4700012207031
2019-03-01,362.260009765625
2019-03-02,362.260009765625
2019-03-03,362.260009765625
2019-03-04,359.7200012207031
2019-03-05,351.4599914550781
2019-03-06,353.6000061035156
2019-03-07,360.1600036621094
2019-03-08,345.75
2019-03-09,345.75
2019-03-10,345.75
2019-03-11,352.0
2019-03-12,359.3699951171875
2019-03-13,355.80999755859375
2019-03-14,360.5
2019-03-15,361.0199890136719
2019-03-16,361.0199890136719
2019-03-17,361.0199890136719
2019-03-18,362.4700012207031
2019-03-19,366.3999938964844
2019-03-20,358.9100036621094
2019-03-21,374.0
2019-03-22,375.95001220703125
2019-03-23,375.95001220703125
2019-03-24,375.95001220703125
2019-03-25,359.0
2019-03-26,367.8699951171875
2019-03-27,361.0
2019-03-28,354.489990234375
2019-03-29,357.1600036621094
2019-03-30,357.1600036621094
2019-03-31,357.1600036621094
2019-04-01,359.0
2019-04-02,366.25
2019-04-03,369.260009765625
2019-04-04,370.07000732421875
2019-04-05,369.0
2019-04-06,369.0
2019-04-07,369.0
2019-04-08,365.1099853515625
2019-04-09,360.5400085449219
2019-04-10,365.7900085449219
2019-04-11,365.0
2019-04-12,360.69000244140625
2019-04-13,360.69000244140625
2019-04-14,360.69000244140625
2019-04-15,350.7099914550781
2019-04-16,355.0
2019-04-17,365.04998779296875
2019-04-18,355.0
2019-04-19,355.0
2019-04-20,355.0
2019-04-21,355.0
2019-04-22,359.70001220703125
2019-04-23,375.45001220703125
2019-04-24,381.07000732421875
2019-04-25,374.489990234375
2019-04-26,368.3500061035156
2019-04-27,368.3500061035156
2019-04-28,368.3500061035156
2019-04-29,373.67999267578125
2019-04-30,369.55999755859375
2019-05-01,374.0
2019-05-02,378.0
2019-05-03,381.5299987792969
2019-05-04,381.5299987792969
2019-05-05,381.5299987792969
2019-05-06,377.69000244140625
2019-05-07,377.0
2019-05-08,367.9200134277344
2019-05-09,360.8999938964844
2019-05-10,361.6199951171875
2019-05-11,361.6199951171875
2019-05-12,361.6199951171875
2019-05-13,352.2900085449219
2019-05-14,348.7099914550781
2019-05-15,343.3399963378906
2019-05-16,356.3699951171875
2019-05-17,356.3900146484375
2019-05-18,356.3900146484375
2019-05-19,356.3900146484375
2019-05-20,351.2300109863281
2019-05-21,350.95001220703125
2019-05-22,358.010009765625
2019-05-23,355.5
2019-05-24,355.4100036621094
2019-05-25,355.4100036621094
2019-05-26,355.4100036621094
2019-05-27,355.4100036621094
2019-05-28,354.3900146484375
2019-05-29,353.6000061035156
2019-05-30,350.54998779296875
2019-05-31,347.2200012207031
2019-06-01,347.2200012207031
2019-06-02,347.2200012207031
2019-06-03,343.55999755859375
2019-06-04,345.0
2019-06-05,354.3800048828125
2019-06-06,354.8399963378906
2019-06-07,357.3900146484375
2019-06-08,357.3900146484375
2019-06-09,357.3900146484375
2019-06-10,363.6499938964844
2019-06-11,355.0
2019-06-12,351.82000732421875
2019-06-13,347.2300109863281
2019-06-14,341.6300048828125
2019-06-15,341.6300048828125
2019-06-16,341.6300048828125
2019-06-17,342.69000244140625
2019-06-18,355.57000732421875
2019-06-19,361.7200012207031
2019-06-20,365.9100036621094
2019-06-21,365.0
2019-06-22,365.0
2019-06-23,365.0
2019-06-24,370.2699890136719
2019-06-25,370.75
2019-06-26,361.6000061035156
2019-06-27,363.20001220703125
2019-06-28,370.260009765625
2019-06-29,370.260009765625
2019-06-30,370.260009765625
2019-07-01,373.5
2019-07-02,374.8900146484375
2019-07-03,376.69000244140625
2019-07-04,376.69000244140625
2019-07-05,378.2900085449219
2019-07-06,378.2900085449219
2019-07-07,378.2900085449219
2019-07-08,378.19000244140625
2019-07-09,379.05999755859375
2019-07-10,382.7699890136719
2019-07-11,381.1000061035156
2019-07-12,378.67999267578125
2019-07-13,378.67999267578125
2019-07-14,378.67999267578125
2019-07-15,372.94000244140625
2019-07-16,370.0899963378906
2019-07-17,366.25
2019-07-18,323.760009765625
2019-07-19,323.3999938964844
2019-07-20,323.3999938964844
2019-07-21,323.3999938964844
2019-07-22,312.0
2019-07-23,311.44000244140625
2019-07-24,310.510009765625
2019-07-25,318.8599853515625
2019-07-26,328.7900085449219
2019-07-27,328.7900085449219
2019-07-28,328.7900085449219
2019-07-29,335.9800109863281
2019-07-30,329.20001220703125
2019-07-31,325.1600036621094
2019-08-01,324.25
2019-08-02,317.489990234375
2019-08-03,317.489990234375
2019-08-04,317.489990234375
2019-08-05,310.9599914550781
2019-08-06,310.5799865722656
2019-08-07,302.55999755859375
2019-08-08,311.0299987792969
2019-08-09,313.739990234375
2019-08-10,313.739990234375
2019-08-11,313.739990234375
2019-08-12,305.4599914550781
2019-08-13,309.7699890136719
2019-08-14,308.010009765625
2019-08-15,299.5
2019-08-16,298.8599853515625
2019-08-17,298.8599853515625
2019-08-18,298.8599853515625
2019-08-19,306.25
2019-08-20,304.57000732421875
2019-08-21,301.6099853515625
2019-08-22,298.6499938964844
2019-08-23,295.0
2019-08-24,295.0
2019-08-25,295.0
2019-08-26,295.239990234375
2019-08-27,294.5400085449219
2019-08-28,289.4700012207031
2019-08-29,295.0
2019-08-30,298.7799987792969
2019-08-31,298.7799987792969
2019-09-01,298.7799987792969
2019-09-02,298.7799987792969
2019-09-03,290.82000732421875
2019-09-04,291.25
2019-09-05,285.32000732421875
2019-09-06,293.3500061035156
2019-09-07,293.3500061035156
2019-09-08,293.3500061035156
2019-09-09,294.80999755859375
2019-09-10,291.1600036621094
2019-09-11,285.70001220703125
2019-09-12,288.1000061035156
2019-09-13,290.6099853515625
2019-09-14,290.6099853515625
2019-09-15,290.6099853515625
2019-09-16,294.2300109863281
2019-09-17,294.5
2019-09-18,294.989990234375
2019-09-19,291.55999755859375
2019-09-20,280.260009765625
2019-09-21,280.260009765625
2019-09-22,280.260009765625
2019-09-23,268.3500061035156
2019-09-24,262.5
2019-09-25,255.7100067138672
2019-09-26,266.4200134277344
2019-09-27,266.17999267578125
2019-09-28,266.17999267578125
2019-09-29,266.17999267578125
2019-09-30,264.0
2019-10-01,267.3500061035156
2019-10-02,263.6099853515625
2019-10-03,267.7799987792969
2019-10-04,268.20001220703125
2019-10-05,268.20001220703125
2019-10-06,268.20001220703125
2019-10-07,271.989990234375
2019-10-08,273.0299987792969
2019-10-09,270.0199890136719
2019-10-10,265.9700012207031
2019-10-11,284.79998779296875
2019-10-12,284.79998779296875
2019-10-13,284.79998779296875
2019-10-14,283.92999267578125
2019-10-15,283.82000732421875
2019-10-16,283.1199951171875
2019-10-17,304.489990234375
2019-10-18,289.3599853515625
2019-10-19,289.3599853515625
2019-10-20,289.3599853515625
2019-10-21,272.8900146484375
2019-10-22,271.1600036621094
2019-10-23,268.05999755859375
2019-10-24,271.80999755859375
2019-10-25,270.67999267578125
2019-10-26,270.67999267578125
2019-10-27,270.67999267578125
2019-10-28,278.04998779296875
2019-10-29,281.8699951171875
2019-10-30,284.3399963378906
2019-10-31,291.0
2019-11-01,288.70001220703125
2019-11-02,288.70001220703125
2019-11-03,288.70001220703125
2019-11-04,288.0
2019-11-05,289.989990234375
2019-11-06,288.19000244140625
2019-11-07,290.70001220703125
2019-11-08,288.7300109863281
2019-11-09,288.7300109863281
2019-11-10,288.7300109863281
2019-11-11,289.1600036621094
2019-11-12,295.32000732421875
2019-11-13,291.0299987792969
2019-11-14,283.25
2019-11-15,290.5899963378906
2019-11-16,290.5899963378906
2019-11-17,290.5899963378906
2019-11-18,296.0
2019-11-19,304.010009765625
2019-11-20,301.010009765625
2019-11-21,306.0
2019-11-22,309.1000061035156
2019-11-23,309.1000061035156
2019-11-24,309.1000061035156
2019-11-25,308.8299865722656
2019-11-26,315.0
2019-11-27,313.92999267578125
2019-11-28,313.92999267578125
2019-11-29,315.7799987792969
2019-11-30,315.7799987792969
2019-12-01,315.7799987792969
2019-12-02,314.3900146484375
2019-12-03,302.2200012207031
2019-12-04,308.42999267578125
2019-12-05,305.2699890136719
2019-12-06,304.70001220703125
2019-12-07,304.70001220703125
2019-12-08,304.70001220703125
2019-12-09,307.3500061035156
2019-12-10,296.1199951171875
2019-12-11,294.489990234375
2019-12-12,295.6700134277344
2019-12-13,298.5
2019-12-14,298.5
2019-12-15,298.5
2019-12-16,300.8500061035156
2019-12-17,307.3599853515625
2019-12-18,316.260009765625
2019-12-19,324.5
2019-12-20,335.0
2019-12-21,335.0
2019-12-22,335.0
2019-12-23,337.760009765625
2019-12-24,334.010009765625
2019-12-25,334.010009765625
2019-12-26,334.6000061035156
2019-12-27,332.9599914550781
2019-12-28,332.9599914550781
2019-12-29,332.9599914550781
2019-12-30,329.0799865722656
2019-12-31,322.0
2020-01-01,322.0
2020-01-02,326.1000061035156
2020-01-03,326.7799987792969
2020-01-04,326.7799987792969
2020-01-05,326.7799987792969
2020-01-06,323.1199951171875
2020-01-07,336.4700012207031
2020-01-08,331.489990234375
2020-01-09,342.0
2020-01-10,337.1300048828125
2020-01-11,337.1300048828125
2020-01-12,337.1300048828125
2020-01-13,331.79998779296875
2020-01-14,344.3999938964844
2020-01-15,338.67999267578125
2020-01-16,343.5
2020-01-17,341.0
2020-01-18,341.0
2020-01-19,341.0
2020-01-20,341.0
2020-01-21,340.0
2020-01-22,332.54998779296875
2020-01-23,326.0400085449219
2020-01-24,348.4599914550781
2020-01-25,348.4599914550781
2020-01-26,348.4599914550781
2020-01-27,345.95001220703125
2020-01-28,345.8800048828125
2020-01-29,349.0
2020-01-30,341.1000061035156
2020-01-31,347.3900146484375
2020-02-01,347.3900146484375
2020-02-02,347.3900146484375
2020-02-03,347.239990234375
2020-02-04,361.0
2020-02-05,375.1300048828125
2020-02-06,369.6000061035156
2020-02-07,365.0400085449219
2020-02-08,365.0400085449219
2020-02-09,365.0400085449219
2020-02-10,365.0
2020-02-11,373.75
2020-02-12,377.17999267578125
2020-02-13,376.9599914550781
2020-02-14,381.4700012207031
2020-02-15,381.4700012207031
2020-02-16,381.4700012207031
2020-02-17,381.4700012207031
2020-02-18,379.29998779296875
2020-02-19,388.1199951171875
2020-02-20,386.55999755859375
2020-02-21,385.3299865722656
2020-02-22,385.3299865722656
2020-02-23,385.3299865722656
2020-02-24,364.760009765625
2020-02-25,372.0
2020-02-26,366.30999755859375
2020-02-27,371.4599914550781
2020-02-28,364.2099914550781
2020-02-29,364.2099914550781
2020-03-01,364.2099914550781
2020-03-02,373.1099853515625
2020-03-03,381.0299987792969
2020-03-04,377.7699890136719
2020-03-05,381.0
2020-03-06,367.70001220703125
2020-03-07,367.70001220703125
2020-03-08,367.70001220703125
2020-03-09,343.8599853515625
2020-03-10,356.42999267578125
2020-03-11,358.9200134277344
2020-03-12,326.5
2020-03-13,330.510009765625
2020-03-14,330.510009765625
2020-03-15,330.510009765625
2020-03-16,306.6300048828125
2020-03-17,306.19000244140625
2020-03-18,302.3999938964844
2020-03-19,324.3299865722656
2020-03-20,342.30999755859375
2020-03-21,342.30999755859375
2020-03-22,342.30999755859375
2020-03-23,347.8900146484375
2020-03-24,369.989990234375
2020-03-25,361.0199890136719
2020-03-26,344.0
2020-03-27,359.0899963378906
2020-03-28,359.0899963378906
2020-03-29,359.0899963378906
2020-03-30,363.0
2020-03-31,367.92999267578125
2020-04-01,376.04998779296875
2020-04-02,364.0799865722656
2020-04-03,367.4700012207031
2020-04-04,367.4700012207031
2020-04-05,367.4700012207031
2020-04-06,365.2200012207031
2020-04-07,380.0
2020-04-08,374.010009765625
2020-04-09,371.05999755859375
2020-04-10,371.05999755859375
