,price
2019-02-19,38.922800268635896
2019-02-20,39.14853137773958
2019-02-21,39.45612420279737
2019-02-22,39.15845126547923
2019-02-23,39.15845126547923
2019-02-24,39.15845126547923
2019-02-25,40.3243293096155
2019-02-26,39.31720856491046
2019-02-27,38.8260572446796
2019-02-28,38.48862411041088
2019-03-01,38.80400299198432
2019-03-02,38.80400299198432
2019-03-03,38.80400299198432
2019-03-04,39.23357665512314
2019-03-05,38.77419112832582
2019-03-06,38.776680936114566
2019-03-07,37.520212754136395
2019-03-08,36.169385251549386
2019-03-09,36.169385251549386
2019-03-10,36.169385251549386
2019-03-11,37.64188898291669
2019-03-12,40.291400639987764
2019-03-13,40.7309035030285
2019-03-14,41.96254662680834
2019-03-15,41.54289438621335
2019-03-16,41.54289438621335
2019-03-17,41.54289438621335
2019-03-18,42.48152341280942
2019-03-19,42.898685490044784
2019-03-20,43.921744389192185
2019-03-21,43.536857141889705
2019-03-22,45.401689686247764
2019-03-23,45.401689686247764
2019-03-24,45.401689686247764
2019-03-25,43.66845918463369
2019-03-26,44.56984668470376
2019-03-27,44.175018902228906
2019-03-28,44.08811336266381
2019-03-29,44.68158732741714
2019-03-30,44.68158732741714
2019-03-31,44.68158732741714
2019-04-01,45.50598454938357
2019-04-02,45.5034999534732
2019-04-03,45.93804615577524
2019-04-04,46.682986936008966
2019-04-05,47.17962236034732
2019-04-06,47.17962236034732
2019-04-07,47.17962236034732
2019-04-08,47.11009216056934
2019-04-09,47.28887710025744
2019-04-10,46.98841717223729
2019-04-11,47.725907350898076
2019-04-12,47.949386945976514
2019-04-13,47.949386945976514
2019-04-14,47.949386945976514
2019-04-15,47.10512093084477
2019-04-16,46.25589415205075
2019-04-17,47.085262600669914
2019-04-18,46.57373829909812
2019-04-19,46.57373829909812
2019-04-20,46.57373829909812
2019-04-21,46.57373829909812
2019-04-22,46.02496385539496
2019-04-23,46.931305658428315
2019-04-24,47.45027299537262
2019-04-25,47.06787887059542
2019-04-26,44.872775400007846
2019-04-27,44.872775400007846
2019-04-28,44.872775400007846
2019-04-29,44.30166498396199
2019-04-30,44.20730147931148
2019-05-01,45.46873485070598
2019-05-02,44.91001882751993
2019-05-03,45.57302528155622
2019-05-04,45.57302528155622
2019-05-05,45.57302528155622
2019-05-06,43.579066677130484
2019-05-07,44.17501696181845
2019-05-08,42.70997123097071
2019-05-09,42.49642209370944
2019-05-10,41.95260825934427
2019-05-11,41.95260825934427
2019-05-12,41.95260825934427
2019-05-13,40.599307128661785
2019-05-14,39.74262100621874
2019-05-15,39.680548684857804
2019-05-16,39.571277226169094
2019-05-17,39.35773157964
2019-05-18,39.35773157964
2019-05-19,39.35773157964
2019-05-20,37.880265692352125
2019-05-21,38.28998621033834
2019-05-22,38.11616653194085
2019-05-23,37.170098957163056
2019-05-24,36.770305029159296
2019-05-25,36.770305029159296
2019-05-26,36.770305029159296
2019-05-27,36.770305029159296
2019-05-28,36.21904621057432
2019-05-29,35.11405189805304
2019-05-30,34.8806713707367
2019-05-31,34.09262166090106
2019-06-01,34.09262166090106
2019-06-02,34.09262166090106
2019-06-03,33.786848953300506
2019-06-04,33.898725952145924
2019-06-05,36.28773628952701
2019-06-06,35.16406952070546
2019-06-07,35.802968032454075
2019-06-08,35.802968032454075
2019-06-09,35.802968032454075
2019-06-10,36.73272467689131
2019-06-11,37.49839746334187
2019-06-12,37.040982582540714
2019-06-13,36.566170617764136
2019-06-14,35.924784875014616
2019-06-15,35.924784875014616
2019-06-16,35.924784875014616
2019-06-17,35.93970166409979
2019-06-18,36.66808118787393
2019-06-19,38.35855515277541
2019-06-20,38.972584333915016
2019-06-21,38.159672334183576
2019-06-22,38.159672334183576
2019-06-23,38.159672334183576
2019-06-24,37.94090542766764
2019-06-25,38.0005704056745
2019-06-26,38.932802280029094
2019-06-27,40.449257712386654
2019-06-28,41.018538829916665
2019-06-29,41.018538829916665
2019-06-30,41.018538829916665
2019-07-01,42.900427060472644
2019-07-02,41.14283560895249
2019-07-03,40.56360455185351
2019-07-04,40.56360455185351
2019-07-05,39.874978953280454
2019-07-06,39.874978953280454
2019-07-07,39.874978953280454
2019-07-08,39.23609927577161
2019-07-09,38.65934727126984
2019-07-10,39.54187290518394
2019-07-11,40.52134014344436
2019-07-12,41.6151742000058
2019-07-13,41.6151742000058
2019-07-14,41.6151742000058
2019-07-15,41.87868266138877
2019-07-16,41.43369968352945
2019-07-17,41.55302200945831
2019-07-18,42.29384377372757
2019-07-19,42.68911687720402
2019-07-20,42.68911687720402
2019-07-21,42.68911687720402
2019-07-22,42.08750847622803
2019-07-23,42.98244849551334
2019-07-24,44.10114041504058
2019-07-25,43.999215902102684
2019-07-26,43.37275939389076
2019-07-27,43.37275939389076
2019-07-28,43.37275939389076
2019-07-29,43.44981656139938
2019-07-30,42.99489705376407
2019-07-31,43.300659859166025
2019-08-01,42.04773399254787
2019-08-02,40.071380615234375
2019-08-03,40.071380615234375
2019-08-04,40.071380615234375
2019-08-05,38.23425342252101
2019-08-06,38.234248275537226
2019-08-07,37.264721853299825
2019-08-08,38.83336589276929
2019-08-09,38.93281334982283
2019-08-10,38.93281334982283
2019-08-11,38.93281334982283
2019-08-12,37.80666093035647
2019-08-13,37.635126781003414
2019-08-14,37.91107332820335
2019-08-15,37.49592010413939
2019-08-16,39.61396873535361
2019-08-17,39.61396873535361
2019-08-18,39.61396873535361
2019-08-19,40.799778163604124
2019-08-20,42.40073307297668
2019-08-21,42.39328160211462
2019-08-22,42.66424757640165
2019-08-23,41.86376289840615
2019-08-24,41.86376289840615
2019-08-25,41.86376289840615
2019-08-26,41.17018570626488
2019-08-27,41.51325417839412
2019-08-28,39.959251663372804
2019-08-29,41.03426267450444
2019-08-30,42.019678673388896
2019-08-31,42.019678673388896
2019-09-01,42.019678673388896
2019-09-02,42.019678673388896
2019-09-03,40.95461910349024
2019-09-04,41.45978514092562
2019-09-05,43.017540487475515
2019-09-06,44.49317364469825
2019-09-07,44.49317364469825
2019-09-08,44.49317364469825
2019-09-09,44.76690649595937
2019-09-10,44.58774140758919
2019-09-11,45.7299301410127
2019-09-12,46.33461673868749
2019-09-13,45.18745090891932
2019-09-14,45.18745090891932
2019-09-15,45.18745090891932
2019-09-16,44.523041387777866
2019-09-17,44.91123165007827
2019-09-18,44.98837044312841
2019-09-19,44.846540199623895
2019-09-20,44.02037591376022
2019-09-21,44.02037591376022
2019-09-22,44.02037591376022
2019-09-23,42.975234615533154
2019-09-24,43.8213062018955
2019-09-25,42.927964621792064
2019-09-26,44.25428537161293
2019-09-27,43.71181266023947
2019-09-28,43.71181266023947
2019-09-29,43.71181266023947
2019-09-30,43.00012621685762
2019-10-01,43.54756837603689
2019-10-02,43.07975289127783
2019-10-03,43.10463371831573
2019-10-04,45.14017424696726
2019-10-05,45.14017424696726
2019-10-06,45.14017424696726
2019-10-07,45.93149258813528
2019-10-08,44.951053667141785
2019-10-09,44.87141899174665
2019-10-10,44.946070796792505
2019-10-11,46.386885262160426
2019-10-12,46.386885262160426
2019-10-13,46.386885262160426
2019-10-14,46.19527382899082
2019-10-15,47.320030633178206
2019-10-16,48.52443867323887
2019-10-17,48.77327907846304
2019-10-18,48.352732274837585
2019-10-19,48.352732274837585
2019-10-20,48.352732274837585
2019-10-21,48.016799339587976
2019-10-22,49.345616509777685
2019-10-23,47.85505280605656
2019-10-24,48.959920327937624
2019-10-25,49.79354591839783
2019-10-26,49.79354591839783
2019-10-27,49.79354591839783
2019-10-28,51.33636695825741
2019-10-29,51.31894804562164
2019-10-30,50.76402575863993
2019-10-31,50.306161214196
2019-11-01,49.66912320937741
2019-11-02,49.66912320937741
2019-11-03,49.66912320937741
2019-11-04,51.22438819704781
2019-11-05,52.37901745640204
2019-11-06,51.918673542416116
2019-11-07,52.53331023162544
2019-11-08,51.67480234104098
2019-11-09,51.67480234104098
2019-11-10,51.67480234104098
2019-11-11,51.69719080281551
2019-11-12,52.18740708927682
2019-11-13,51.84649929141763
2019-11-14,51.99083239458535
2019-11-15,52.18243099900333
2019-11-16,52.18243099900333
2019-11-17,52.18243099900333
2019-11-18,50.73666013239679
2019-11-19,52.51340570029331
2019-11-20,51.52798175533795
2019-11-21,52.50593319934522
2019-11-22,52.528321663446576
2019-11-23,52.528321663446576
2019-11-24,52.528321663446576
2019-11-25,53.760103866092116
2019-11-26,54.86994441863029
2019-11-27,54.45470928531162
2019-11-28,54.45470928531162
2019-11-29,54.03884002018266
2019-11-30,54.03884002018266
2019-12-01,54.03884002018266
2019-12-02,53.904360773259654
2019-12-03,50.27106084270183
2019-12-04,52.549663016055476
2019-12-05,52.370353885356934
2019-12-06,52.67416691477734
2019-12-07,52.67416691477734
2019-12-08,52.67416691477734
2019-12-09,52.60692859297308
2019-12-10,53.13735982524112
2019-12-11,53.39136119371275
2019-12-12,53.83463172305754
2019-12-13,55.829345639509505
2019-12-14,55.829345639509505
2019-12-15,55.829345639509505
