,price
2019-02-19,95.27384615218328
2019-02-20,98.0919808792653
2019-02-21,99.49125223460743
2019-02-22,99.64816675163325
2019-02-23,99.64816675163325
2019-02-24,99.64816675163325
2019-02-25,99.64817941843621
2019-02-26,98.69354798921917
2019-02-27,98.38622443918395
2019-02-28,98.38621228287411
2019-03-01,99.17741500620946
2019-03-02,99.17741500620946
2019-03-03,99.17741500620946
2019-03-04,100.26278987053892
2019-03-05,97.00640106762161
2019-03-06,95.22584090516722
2019-03-07,94.11954189433314
2019-03-08,91.6647783774981
2019-03-09,91.6647783774981
2019-03-10,91.6647783774981
2019-03-11,92.9019847591136
2019-03-12,95.96555849315811
2019-03-13,96.22739302816063
2019-03-14,97.04565964510876
2019-03-15,96.93437868079559
2019-03-16,96.93437868079559
2019-03-17,96.93437868079559
2019-03-18,96.18811097228112
2019-03-19,97.53661610997914
2019-03-20,94.02135152759456
2019-03-21,93.19000015454812
2019-03-22,94.71525850953199
2019-03-23,94.71525850953199
2019-03-24,94.71525850953199
2019-03-25,93.43220903857274
2019-03-26,93.8969920634495
2019-03-27,94.42721565562054
2019-03-28,94.4337696612622
2019-03-29,95.6382544858576
2019-03-30,95.6382544858576
2019-03-31,95.6382544858576
2019-04-01,95.57932717279719
2019-04-02,97.60208068933233
2019-04-03,97.76572050621202
2019-04-04,98.34833218747781
2019-04-05,99.58552851073438
2019-04-06,99.58552851073438
2019-04-07,99.58552851073438
2019-04-08,99.04223568991912
2019-04-09,99.70990362470353
2019-04-10,98.89818551740768
2019-04-11,98.64942656655663
2019-04-12,100.7441949089578
2019-04-13,100.7441949089578
2019-04-14,100.7441949089578
2019-04-15,100.88821513035292
2019-04-16,99.22550007503416
2019-04-17,101.79156684715684
2019-04-18,103.16624553258147
2019-04-19,103.16624553258147
2019-04-20,103.16624553258147
2019-04-21,103.16624553258147
2019-04-22,101.45773200405715
2019-04-23,102.68182906813684
2019-04-24,101.79811272089455
2019-04-25,104.7372957761646
