,price
2019-02-19,22.860000610351562
2019-02-20,22.899999618530273
2019-02-21,22.559999465942383
2019-02-22,22.75
2019-02-23,22.75
2019-02-24,22.75
2019-02-25,23.139999389648438
2019-02-26,22.690000534057617
2019-02-27,22.0
2019-02-28,21.40999984741211
2019-03-01,21.780000686645508
2019-03-02,21.780000686645508
2019-03-03,21.780000686645508
2019-03-04,22.389999389648438
2019-03-05,21.889999389648438
2019-03-06,21.799999237060547
2019-03-07,21.239999771118164
2019-03-08,20.940000534057617
2019-03-09,20.940000534057617
2019-03-10,20.940000534057617
2019-03-11,22.420000076293945
2019-03-12,22.739999771118164
2019-03-13,22.670000076293945
2019-03-14,22.280000686645508
2019-03-15,22.299999237060547
2019-03-16,22.299999237060547
2019-03-17,22.299999237060547
2019-03-18,22.139999389648438
2019-03-19,22.09000015258789
2019-03-20,22.030000686645508
2019-03-21,21.280000686645508
2019-03-22,22.309999465942383
2019-03-23,22.309999465942383
2019-03-24,22.309999465942383
2019-03-25,21.149999618530273
2019-03-26,21.329999923706055
2019-03-27,21.6200008392334
2019-03-28,20.420000076293945
2019-03-29,20.6200008392334
2019-03-30,20.6200008392334
2019-03-31,20.6200008392334
2019-04-01,21.190000534057617
2019-04-02,21.440000534057617
2019-04-03,22.049999237060547
2019-04-04,22.200000762939453
2019-04-05,22.739999771118164
2019-04-06,22.739999771118164
2019-04-07,22.739999771118164
2019-04-08,22.6299991607666
2019-04-09,22.799999237060547
2019-04-10,22.610000610351562
2019-04-11,22.989999771118164
2019-04-12,23.149999618530273
2019-04-13,23.149999618530273
2019-04-14,23.149999618530273
2019-04-15,22.780000686645508
2019-04-16,22.670000076293945
2019-04-17,23.0
2019-04-18,22.559999465942383
2019-04-19,22.559999465942383
2019-04-20,22.559999465942383
2019-04-21,22.559999465942383
2019-04-22,22.610000610351562
2019-04-23,22.40999984741211
2019-04-24,22.610000610351562
2019-04-25,23.079999923706055
2019-04-26,22.079999923706055
2019-04-27,22.079999923706055
2019-04-28,22.079999923706055
2019-04-29,22.729999542236328
2019-04-30,22.8799991607666
2019-05-01,23.299999237060547
2019-05-02,22.579999923706055
2019-05-03,23.139999389648438
2019-05-04,23.139999389648438
2019-05-05,23.139999389648438
2019-05-06,22.579999923706055
2019-05-07,22.540000915527344
2019-05-08,21.81999969482422
2019-05-09,21.209999084472656
2019-05-10,21.049999237060547
2019-05-11,21.049999237060547
